,,,Week 16 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
45,Kenny Pickett,LV,HOU,HOU,14,39.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
46,Aidan O'Connell,LV,HOU,HOU,14,39.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
47,Deshaun Watson,CLE,BUF,BUF,10.5,41.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
48,Jimmy Garoppolo,LAR,SEA,SEA,1.5,42.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
49,Malik Willis,GB,CHI,CHI,1,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
50,Sam Howell,PHI,WAS,PHI,-7.0,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
51,Russell Wilson,NYG,MIN,MIN,2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
52,Josh Johnson,WAS,PHI,PHI,7,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
53,Jalen Milroe,SEA,LAR,SEA,-1.5,42.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
54,Daniel Jones,IND,SF,SF,5.5,46.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
55,Sam Ehlinger,DEN,JAX,DEN,-3.5,46.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
56,Trey Lance,LAC,DAL,DAL,1,51.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
57,Justin Fields,NYJ,NO,NO,6.5,40.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
58,Will Levis,TEN,KC,KC,3,37.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
59,Joe Flacco,CIN,MIA,CIN,-3.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
60,Patrick Mahomes,KC,TEN,KC,-3.0,37.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
61,Dillon Gabriel,CLE,BUF,BUF,10.5,41.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
62,Davis Mills,HOU,LV,HOU,-14.0,39.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
63,Nick Mullens,JAX,DEN,DEN,3.5,46.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
64,Joe Milton,DAL,LAC,DAL,-1.0,51.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
65,Brandon Allen,TEN,KC,KC,3,37.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
66,Kyler Murray,ARI,ATL,ATL,2.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
67,Kyle Allen,DET,PIT,DET,-7.5,52.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
68,Michael Penix,ATL,ARI,ATL,-2.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
69,Tyson Bagent,CHI,GB,CHI,-1.0,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
70,Spencer Rattler,NO,NYJ,NO,-6.5,40.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
71,Stetson Bennett,LAR,SEA,SEA,1.5,42.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
72,Mason Rudolph,PIT,DET,DET,7.5,52.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
73,Teddy Bridgewater,TB,CAR,TB,-3.0,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
74,Easton Stick,ATL,ARI,ATL,-2.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
75,Max Brosmer,MIN,NYG,MIN,-2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
76,Tua Tagovailoa,MIA,CIN,CIN,3.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
77,Jake Browning,CIN,MIA,CIN,-3.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
78,Skylar Thompson,PIT,DET,DET,7.5,52.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
79,Derek Carr,NO,NYJ,NO,-6.5,40.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
80,Mitchell Trubisky,BUF,CLE,BUF,-10.5,41.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
81,Andy Dalton,CAR,TB,TB,3,44.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
82,Carson Wentz,MIN,NYG,MIN,-2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
83,Jayden Daniels,WAS,PHI,PHI,7,43.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
84,Zach Wilson,MIA,CIN,CIN,3.5,48.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
85,Tommy DeVito,NE,BAL,BAL,3.5,48.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
86,Jameis Winston,NYG,MIN,MIN,2.5,41.5,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
87,Joshua Dobbs,NE,BAL,BAL,3.5,48.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
