PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
37794,"Jarrett Allen",,,CLE,NYK,156896,956574,-,27,15.73,8.98,2.16,0.01,1.74,0.81,0.88,17.89,24.71,26.87,1.69,11.14,9.48,6.08,0.11,4.7,3.54,9.59,6.09,33.08,33.08,33.4,25.8,41.16,11.59,11.59,11.8,25.85,30.2,33.4,36.37,41.41,43.47,51.93,6.93%,131,127,THURS,38286,2,37794,
37875,"Donovan Mitchell",,,CLE,NYK,156896,879707,-,33,30.7,3.99,5.44,4.16,2.89,1.3,0.22,36.14,34.69,40.13,1.52,9.43,12.36,5.79,11.2,8.02,6.65,23.56,9.95,45.32,45.32,47.68,37.89,58.53,18.67,18.67,18.32,37.73,43.28,47.68,52.08,58.56,61.1,73.14,17.65%,131,127,THURS,38278,3,37875,
1115224,"Darius Garland",,,CLE,NYK,156896,1134262,-,31,20.1,3.14,5.74,2.85,2.43,0.97,0.2,25.84,23.24,28.98,1.17,8.88,9.32,4.06,7.68,3.9,3.41,17,6.91,33.56,33.56,35.35,26.95,44.84,3.22,3.22,5.68,26.8,31.65,35.35,39.05,45.05,47.36,58.69,1.23%,131,127,THURS,86449,5,1115224,
1115296,"De'Andre Hunter",,,CLE,NYK,156896,942857,,26,12.42,3.6,1.31,1.71,1.03,0.61,0.16,13.73,16.02,17.33,0.77,4.91,4.85,2.15,4.65,3.51,2.98,9.5,3.86,19.99,19.99,20.77,14.61,27.71,0.22,0.22,1.23,14.47,17.74,20.77,23.34,27.77,29.4,37.81,0.09%,131,127,THURS,70224,6,1115296,
1144092,"Dean Wade",,,CLE,NYK,156896,880677,,24,5.3,4.93,1.7,1.37,0.26,0.74,0.46,7,10.23,11.93,1.2,6.63,0.91,0.37,3.91,0.66,0.45,4.82,1.74,17.11,17.11,16.98,11.55,23.27,0.42,0.42,1.31,11.4,14.65,16.98,19.31,23.26,25.12,32.8,0.43%,131,127,THURS,72850,7,1144092,
2439420,"Sam Merrill",,,CLE,NYK,156896,953106,,28,11.24,2.89,2.33,3.21,0.76,0.56,0.32,13.57,14.13,16.46,0.88,5.22,1.08,0.46,7.99,0.75,0.7,9.07,3.67,20.08,20.08,21.33,14.3,29.2,2.74,2.74,16.79,14.3,18.44,21.33,24.38,29.3,31.17,40.78,9.88%,131,127,THURS,72801,9,2439420,
4934240,"Craig Porter",,,CLE,NYK,156896,1236197,,18,5.39,3.34,2.9,0.49,0.99,1.05,0.48,8.29,8.73,11.63,1.53,6.24,3.15,1.65,1.19,0.93,0.63,4.34,2.14,17.35,17.35,16.73,11.47,22.43,2.84,2.84,7.81,11.46,14.44,16.73,19.02,22.69,24.06,30.94,3.34%,131,127,THURS,180209,13,4934240,
6412819,"Jaylon Tyson",,,CLE,NYK,156896,1342747,,25,10.33,4.56,2.4,1.51,1.32,0.63,0.33,12.73,14.89,17.29,0.96,6.96,4.39,1.96,4.39,2.4,1.88,8.78,3.47,20.96,20.96,21.67,15.36,28.95,0.16,0.16,0.14,15.15,18.87,21.67,24.47,28.89,30.76,38.45,0.08%,131,127,THURS,180082,14,6412819,
7796671,"Nae'Qwan Tomlin",,,CLE,NYK,156896,1403628,,11,2.7,2.75,0.72,0.21,0.12,0.37,0.26,3.42,5.45,6.17,0.63,3.47,1.66,0.76,0.89,0.79,0.55,2.55,0.97,8.85,8.85,8.52,5.04,12.52,0,0,0,4.84,6.91,8.52,9.9,12.43,13.59,17.96,0.16%,131,127,THURS,245036,15,7796671,
8998236,"Tyrese Proctor",,,CLE,NYK,156896,1403594,,6,1.86,0.88,0.34,0.28,0.21,0.18,0.09,2.2,2.74,3.08,0.27,1.22,0.86,0.37,0.81,0.36,0.26,1.67,0.65,4.03,4.03,4.05,1.38,7.5,0,0,0,1.27,2.78,4.05,5.57,7.59,8.86,13.16,0.04%,131,127,THURS,245535,17,8998236,
