PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
1115445,"Nickeil Alexander-Walker",6800,SG/SF,ATL,TOR,157412,1067668,-,34.5,20.91,3.36,2.64,2.71,2.59,0.98,0.9,23.55,24.27,26.91,1.88,6,10.99,4.81,7.04,3.83,3.18,18.03,7.52,31.95,31.95,32.89,4.84,0.69%,135,129,SAT,69666,4,1115445,24.24,42.45,4.29,4.29,11.12,24.14,29.18,32.89,36.87,42.7,45.36,56.5,
2439277,"Onyeka Okongwu",7200,C,ATL,TOR,157412,1185367,-,34,17.76,8.22,3.12,1.44,2.21,1,1.25,20.88,25.98,29.1,2.25,11.34,9.59,5.04,4.07,4.37,3.33,13.66,6.48,36.84,36.84,37.21,5.17,2.62%,135,129,SAT,91845,5,2439277,28.92,46.64,14.17,14.17,16.06,28.62,33.6,37.21,40.82,46.79,48.78,59.49,
2439347,"Vit Krejci",4100,SG/SF,ATL,TOR,157412,1257428,-,28,12.57,2.69,1.34,3.06,1.2,0.73,0.33,13.91,15.26,16.6,1.06,4.03,2.57,1.25,6.91,1.2,0.89,9.48,4.31,19.79,19.79,20.99,5.12,2.15%,135,129,SAT,161284,6,2439347,13.71,29.23,19.91,19.91,15.1,13.57,17.66,20.99,24.06,29.18,31.23,40.44,
3005263,"Jalen Johnson",9700,PF,ATL,TOR,157412,1230356,,35.5,23.69,9.74,8.36,1.31,3.07,1.31,0.66,32.05,33.43,41.79,1.97,18.1,15.07,7.72,3.77,5.57,4.33,18.84,9.03,50.76,50.76,52.62,5.42,31.15%,135,129,SAT,165214,7,3005263,42.2,63.58,35.41,35.41,29.11,41.85,47.97,52.62,56.78,63.39,66.08,78.32,
3587895,"Caleb Houstan",,,ATL,TOR,157412,1324361,,4,1.56,0.6,0.07,0.44,0.16,0.05,0.02,1.63,2.16,2.23,0.07,0.67,0.15,0.06,1.12,0.14,0.12,1.27,0.5,2.44,2.44,2.7,32,0.00%,135,129,SAT,180322,8,3587895,1.1,4.85,0,0,0,1.89,1.89,1.89,1.89,1.89,1.89,1.89,
3587993,"Dyson Daniels",6600,PG/SG,ATL,TOR,157412,1357745,,34.5,13.33,6.04,5.25,0.58,2.1,2.25,0.9,18.58,19.37,24.62,3.15,11.29,10.4,5.11,2.14,2.23,1.34,12.54,5.69,35.8,35.8,34.44,5.22,5.36%,135,129,SAT,195261,9,3587993,26.16,43.15,12.61,12.61,15.68,26.08,30.89,34.44,37.99,43.56,45.58,55.71,
4388493,"Keaton Wallace",3200,PG,ATL,TOR,157412,1063166,,13,3.22,1.79,2.49,0.52,0.52,0.46,0.14,5.71,5.01,7.5,0.6,4.28,1.26,0.55,1.5,0.7,0.57,2.76,1.07,10.38,10.38,10.39,3.25,0.41%,135,129,SAT,245561,10,4388493,5.96,15.52,0.76,0.76,0.16,5.83,8.36,10.39,12.42,15.46,16.98,23.31,
4878163,"Mouhamed Gueye",3300,PF/C,ATL,TOR,157412,1325101,,10.5,3.44,2.11,0.49,0.31,0.4,0.28,0.34,3.93,5.55,6.04,0.62,2.6,1.97,0.94,0.87,0.81,0.62,2.84,1.25,8.17,8.17,8.01,2.43,0.04%,135,129,SAT,180180,11,4878163,4.35,12.6,0,0,0,4.39,6.46,8.01,9.82,12.66,13.95,19.12,
6412725,"Zaccharie Risacher",4300,SF,ATL,TOR,157412,1432544,,26,9.97,3.51,1.42,1.41,1.14,0.91,0.54,11.39,13.48,14.9,1.45,4.93,5,2.25,4.12,1.82,1.25,9.12,3.66,19.52,19.52,19.53,4.54,9.76%,135,129,SAT,368366,13,6412725,13.66,26.4,12.51,12.51,5.01,13.58,16.91,19.53,22.15,26.44,28.1,35.96,
8985462,"Asa Newell",3400,PF/C,ATL,TOR,157412,1524332,,20,7.1,3.84,0.92,0.8,0.93,0.54,0.61,8.02,10.94,11.86,1.15,4.76,3.79,1.72,2.32,1.61,1.26,6.11,2.52,15.61,15.61,15.52,4.56,0.04%,135,129,SAT,457543,15,8985462,10.34,21.39,11.93,11.93,3.54,10.19,13.1,15.52,17.95,21.58,23.04,30.31,
35181,"Jaylen Brown",10100,SF,BOS,LAC,157418,883436,,36,28.71,5.82,4.78,2.4,3.99,1.38,0.36,33.49,34.53,39.31,1.74,10.6,15.88,7.87,6.92,7.62,5.77,22.8,10.27,44.09,44.09,45.93,4.55,0.00%,125,151,SAT,28025,18,35181,36.08,56.36,0,0,0,35.78,41.36,45.93,49.99,56.33,59.13,70.55,
37858,"Derrick White",8100,PG/SG,BOS,LAC,157418,796009,,35,18.99,4.31,5.02,3.53,1.83,1.36,1.06,24.01,23.3,28.32,2.42,9.33,6.58,2.89,9.49,3.01,2.63,16.07,6.42,37.12,37.12,37.65,4.65,0.00%,125,151,SAT,38299,20,37858,28.28,47.95,0,0,0,28.05,33.35,37.65,41.69,48.01,50.54,62.67,
409191,"Anfernee Simons",4800,PG/SG,BOS,LAC,157418,1121307,,24.5,11.33,2.48,2.27,1.88,0.88,0.61,0.17,13.6,13.81,16.08,0.78,4.75,4.68,1.96,5.04,1.97,1.78,9.72,3.84,19.17,19.17,19.9,4.15,0.00%,125,151,SAT,75325,22,409191,13.41,27.37,0,0,0,13.44,17.32,19.9,23,27.65,29.46,37.73,
2439093,"Payton Pritchard",7200,PG,BOS,LAC,157418,945610,,34,16.2,4.1,5.06,3.19,1.23,0.91,0.06,21.26,20.3,25.36,0.97,9.16,5.67,2.61,8.51,1.66,1.41,14.18,5.8,30.39,30.39,31.88,4.43,0.00%,125,151,SAT,73477,23,2439093,23.38,41.4,0,0,0,23.21,28.05,31.88,35.45,41.57,44.12,54.33,
3005208,"Luka Garza",4400,C,BOS,LAC,157418,1061057,,20,7.75,4.45,1.63,0.71,0.62,0.34,0.58,9.38,12.2,13.83,0.92,6.08,3.35,1.96,1.88,2.26,1.69,5.23,2.67,17.68,17.68,17.65,4.01,0.00%,125,151,SAT,72919,25,3005208,11.9,23.9,0,0,0,11.98,15.09,17.65,19.95,23.79,25.32,33,
3005606,"Neemias Queta",5500,C,BOS,LAC,157418,1142902,,25,10.46,6.86,1.37,0,0.75,1.15,1.5,11.83,17.32,18.69,2.65,8.23,6.5,4.43,0,2.41,1.59,6.5,4.43,27.95,27.95,26.07,4.74,0.00%,125,151,SAT,86307,26,3005606,19.37,33.55,0,0,0,19.03,23.2,26.07,28.68,33.63,35.46,43.8,
3022247,"Sam Hauser",3800,SF/PF,BOS,LAC,157418,922378,,20,6.09,3.13,0.92,1.75,0.46,0.42,0.3,7.01,9.22,10.14,0.72,4.05,0.82,0.36,4.35,0.14,0.13,5.17,2.11,12.93,12.93,13.47,3.54,0.00%,125,151,SAT,72761,27,3022247,7.91,20.04,0,0,0,7.92,10.83,13.47,16.11,20.34,21.95,29.85,
3588057,"Josh Minott",3000,PF/C,BOS,LAC,157418,1324299,,0.5,0.1,0.06,0.02,0.02,0.01,0.03,0.01,0.12,0.16,0.18,0.04,0.08,0.04,0.02,0.05,0.02,0.02,0.09,0.04,0.31,0.31,0.29,0.1,0.00%,125,151,SAT,179736,28,3588057,0.05,0.58,0,0,0,0.12,0.21,0.29,0.37,0.5,0.53,0.55,
4878181,"Jordan Walsh",3900,PF,BOS,LAC,157418,1401388,,16,3.88,3.42,0.46,0.63,0.69,0.72,0.41,4.34,7.3,7.76,1.13,3.88,1.38,0.73,1.71,0.7,0.53,3.09,1.36,11.37,11.37,11.08,2.84,0.00%,125,151,SAT,245001,29,4878181,6.44,16.72,0,0,0,6.33,8.97,11.08,13.02,16.62,18.2,24.54,
6412744,"Baylor Scheierman",3000,SG/SF,BOS,LAC,157418,1177129,,11,2.52,1.12,0.61,0.41,0.32,0.33,0.1,3.13,3.64,4.25,0.43,1.73,1.06,0.46,1.19,0.45,0.37,2.25,0.87,5.75,5.75,5.74,1.91,0.00%,125,151,SAT,90655,30,6412744,2.49,9.82,0,0,0,2.19,4.1,5.74,7.38,10.11,11.21,16.67,
8998149,"Hugo Gonzalez",4100,SG/SF,BOS,LAC,157418,1590553,,18,5.12,4,0.87,0.66,0.79,0.63,0.16,5.99,9.12,9.99,0.79,4.87,2.54,1.1,1.9,1.12,0.93,4.44,1.76,12.81,12.81,12.94,3.16,0.00%,125,151,SAT,622359,31,8998149,8.08,18.81,0,0,0,8.09,10.78,12.94,15.37,19.14,20.76,27.23,
18939,"Pat Connaughton",3000,SF/PF,CHA,CHI,157415,601514,,1,0.39,0.18,0.04,0.07,0.04,0.03,0,0.43,0.57,0.61,0.03,0.22,0.13,0.06,0.2,0.07,0.05,0.33,0.13,0.72,0.72,0.76,0.25,0.00%,136,130,SAT,12091,40,18939,0.31,1.37,0,0,0,0.53,0.53,0.53,0.53,0.53,0.53,0.53,
408896,"Collin Sexton",4700,PG/SG,CHA,CHI,157415,1061642,,22,13.32,2.05,3.83,1.19,1.63,0.75,0.27,17.15,15.37,19.2,1.02,5.88,6.66,3.23,2.96,3.8,3.29,9.62,4.42,22.96,22.96,23.46,4.99,12.91%,136,130,SAT,75326,41,408896,16.6,30.69,14.86,14.86,11.27,16.52,20.11,23.46,26.09,30.4,32.56,41.41,
409262,"Miles Bridges",7300,PF,CHA,CHI,157415,957479,,33,17.31,7.2,3.77,2.32,1.09,0.61,0.67,21.08,24.51,28.28,1.28,10.97,8.3,3.66,7.08,3.58,3.04,15.38,5.98,34.36,34.36,35.33,4.84,3.74%,136,130,SAT,75304,42,409262,26.72,44.84,5.47,5.47,10.88,26.76,31.43,35.33,38.97,44.94,47.54,58.45,
2439295,"LaMelo Ball",8100,PG,CHA,CHI,157415,1257420,,27,18.66,4.14,7.17,2.93,2.84,1.55,0.28,25.83,22.8,29.97,1.83,11.31,7.62,3.16,8.45,4.16,3.56,16.07,6.09,37.03,37.03,38.51,4.75,14.06%,136,130,SAT,161285,45,2439295,29.1,49.13,2.64,2.64,11.56,29.07,34.17,38.51,42.59,49.22,51.52,63.76,
2439366,"Josh Green",3300,SG/SF,CHA,CHI,157415,1193670,,15,3.98,1.78,1.03,0.74,0.36,0.61,0.02,5.01,5.76,6.79,0.63,2.81,1.51,0.7,1.87,0.57,0.38,3.38,1.44,9.19,9.19,9.2,2.79,0.04%,136,130,SAT,92617,46,2439366,4.26,15.38,0,0,0.22,4.09,6.81,9.2,11.24,15.33,17.04,24.87,
3005499,"Tre Mann",3000,PG,CHA,CHI,157415,1175356,,2,0.56,0.24,0.3,0.08,0.07,0.04,0.01,0.86,0.8,1.1,0.05,0.54,0.32,0.12,0.23,0.08,0.07,0.55,0.2,1.38,1.38,1.42,0.47,0.00%,136,130,SAT,91333,47,3005499,0.74,2.29,0,0,0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,
4878218,"Brandon Miller",6900,SF,CHA,CHI,157415,1401381,,34,20.49,4.87,3.37,3.33,2.22,1.24,1.05,23.86,25.36,28.73,2.29,8.24,9.15,3.81,9.4,3.42,2.87,18.55,7.14,36.04,36.04,36.79,5.33,29.14%,136,130,SAT,244988,49,4878218,27.54,46.83,21.68,21.68,21.2,27.4,32.73,36.79,40.6,46.94,49.22,59.63,
6412779,"Tidjane Salaun",3800,PF,CHA,CHI,157415,1504463,,22,7.19,5.56,1.23,1.22,0.78,0.75,0.35,8.42,12.75,13.98,1.1,6.79,2.56,1.1,3.52,1.86,1.33,6.08,2.32,18.23,18.23,18.41,4.84,4.86%,136,130,SAT,448015,51,6412779,12.08,25.9,0.74,0.74,9.42,12.06,15.55,18.41,21.27,25.71,27.93,37.14,
6447979,"PJ Hall",3900,C,CHA,CHI,157415,1232490,,21,9.13,7.31,1.47,0.84,1,0.19,0.86,10.6,16.44,17.91,1.05,8.78,5.24,2.49,2.36,2.13,1.63,7.6,3.33,22.26,22.26,22.49,5.77,0.20%,136,130,SAT,148846,53,6447979,12.57,34.63,0,0,30.87,12.65,18.27,22.49,27.41,35.84,38.65,52.71,
