PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
13563,"Kirk Cousins",,QB,ATL,LAR,147574,,34.26,21.72,215.07,1.41,0.75,0.64,1.27,0.05,0,0,0,0,14.14,14.13,14.13,216.34,1.46,216.34,1.46,1.27,0.05,0,8.13,21.73,1.6,30.94,0,0.00%,MNF,403308,2307,1,13563,
3491931,"Tyler Allgeier",,RB,ATL,LAR,147574,,0,0,0,0,0,6.4,24.93,0.24,1.09,0.86,6.15,0.04,5.63,5.6,5.17,31.08,0.28,24.93,0.24,31.08,0.28,0,2.13,14.12,0.56,9.36,0,0.00%,MNF,1131198,125422,2,3491931,
4687512,"Bijan Robinson",,RB,ATL,LAR,147574,,0,0,0,0,0,16.48,71.35,0.57,7.11,5.14,39.51,0.23,21.66,21.57,19,110.86,0.8,71.35,0.57,110.86,0.8,0,13.45,33.23,26.5,58.6,0,0.00%,MNF,1228244,123168,3,4687512,
8261767,"Nate Carter",,RB,ATL,LAR,147574,,0,0,0,0,0,0.11,0.48,0,0.01,0.01,0.05,0,0.06,0.07,0.06,0.53,0,0.48,0,0.53,0,0,0,0.12,,,0,0.00%,MNF,1214132,134222,4,8261767,
982204,"David Sills",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,1.52,0.88,8.45,0.06,2.08,2.07,1.63,8.45,0.06,0,0,8.45,0.06,0,0,5.72,0.08,4.12,0,0.00%,MNF,866973,65587,5,982204,
1844218,"Darnell Mooney",,WR,ATL,LAR,147574,,0,0,0,0,0,0.02,0.08,0,4.44,2.61,29.77,0.19,6.74,6.74,5.43,29.85,0.19,0.08,0,29.85,0.19,0,2.35,14.15,1.66,19.04,0,0.00%,MNF,912027,62802,6,1844218,
3491928,"Drake London",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,10.34,7.13,70.34,0.44,17.27,17.23,13.66,70.34,0.44,0,0,70.34,0.44,0,9.96,28.01,11.06,37.96,0,0.00%,MNF,1178741,140160,7,3491928,
4773069,"Dylan Drummond",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.74,0.45,3.8,0.03,1.01,1.01,0.78,3.8,0.03,0,0,3.8,0.03,0,0,2.02,0.02,1.58,0,0.00%,MNF,1108534,48414,8,4773069,
3515974,"Deven Thompkins",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.09,0.06,0.37,0,0.1,0.1,0.07,0.37,0,0,0,0.37,0,0,0,0.2,,,0,0.00%,MNF,1130833,49660,9,3515974,
2595531,"Chris Blair",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.09,0.05,0.52,0,0.1,0.11,0.08,0.52,0,0,0,0.52,0,0,0,0.2,,,0,0.00%,MNF,1120347,44825,10,2595531,
1849814,"Charlie Woerner",,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.8,0.56,4.09,0.04,1.2,1.2,0.92,4.09,0.04,0,0,4.09,0.04,0,0,2.4,0.02,2.94,0,0.00%,MNF,922040,58179,11,1849814,
2862126,"Kyle Pitts",,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,7.99,5.24,51.87,0.36,12.72,12.67,10.05,51.87,0.36,0,0,51.87,0.36,0,6.41,22.57,9.72,36.16,0,0.00%,MNF,1123026,54917,12,2862126,
3491690,"Teagan Quitoriano",,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.05,0.03,0.31,0,0.06,0.07,0.05,0.31,0,0,0,0.31,0,0,0,0.12,,,0,0.00%,MNF,1128538,63778,13,3491690,
36842,"Zane Gonzalez",,K,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0,0,0,0,8.06,8.06,8.06,0,0,0,0,0,0,7.1,3.08,14.57,,,0,0.00%,MNF,732774,33774,14,36842,
18442,"Los Angeles Rams",,DST,LAR,ATL,147574,,0,0,0,0,0,0,0,0,0,0,0,0,6.55,6.55,6.55,0,0,0,0,0,0,0,1.95,13.33,4.16,28.98,0,0.00%,MNF,343,8491,15,18442,
35493,"Jacoby Brissett",,QB,ARI,CIN,147571,,35.28,22.38,253.03,1.69,0.46,4.23,13.57,0.16,0,0,0,0,19.34,19.3,19.3,266.6,1.85,266.6,1.85,13.57,0.16,0,11.97,28.41,7.7,52,0,8.52%,SUN,607047,26395,16,35493,
2861839,"Michael Carter",,RB,ARI,CIN,147571,,0,0,0,0,0,11.75,46.39,0.37,3.08,2.22,17.18,0.08,11.28,11.23,10.12,63.57,0.45,46.39,0.37,63.57,0.45,0,5.88,19.71,3.34,31.2,0,5.86%,SUN,976329,162975,17,2861839,
4715680,"Emari Demercado",,RB,ARI,CIN,147571,,0,0,0,0,0,4.92,20.11,0.15,1.63,1.12,10.09,0.04,5.26,5.23,4.67,30.2,0.19,20.11,0.15,30.2,0.19,0,1.86,12.28,0.34,7.62,0,0.24%,SUN,1116817,92713,18,4715680,
8268732,"Corey Kiner",,RB,ARI,CIN,147571,,0,0,0,0,0,3.59,15.02,0.11,0.1,0.07,0.57,0,2.27,2.25,2.21,15.59,0.11,15.02,0.11,15.59,0.11,0,0.36,6.24,0,0.74,0,0.04%,SUN,1286050,169851,19,8268732,
4687487,"Michael Wilson",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0.01,6.72,4.18,52.01,0.3,11.43,11.4,9.31,52.01,0.31,0,0.01,52.01,0.31,0,5.37,21,4.84,22.18,0,3.21%,SUN,1123529,42545,20,4687487,
4687678,"Jalen Brooks",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.35,0.18,2.41,0.02,0.54,0.54,0.45,2.41,0.02,0,0,2.41,0.02,0,0,1.08,0,0.5,0,0.04%,SUN,1223301,171671,21,4687678,
6227657,"Xavier Weaver",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,2.75,1.56,16.89,0.12,3.96,3.95,3.17,16.89,0.12,0,0,16.89,0.12,0,0.06,10.46,0.24,9.94,0,0.55%,SUN,1180538,128333,22,6227657,
6227661,"Marvin Harrison",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,6.71,3.77,51.27,0.3,10.87,10.85,8.96,51.27,0.3,0,0,51.27,0.3,0,4.96,19.61,5.48,25.62,0,4.75%,SUN,1287828,169993,23,6227661,
1001771,"Steven Sims",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.04,0.02,0.23,0,0.04,0.04,0.03,0.23,0,0,0,0.23,0,0,0,0.08,,,0,0.01%,SUN,877596,68246,24,1001771,
1844275,"Josiah Deguara",,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.05,0.04,0.34,0,0.07,0.07,0.05,0.34,0,0,0,0.34,0,0,0,0.14,,,0,0.00%,SUN,866149,45301,25,1844275,
3492164,"Trey McBride",,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,11.65,8.16,90.34,0.72,22.65,22.56,18.48,90.34,0.72,0,0,90.34,0.72,0,12.62,35.02,36.24,59.1,0,28.46%,SUN,1108161,41195,26,3492164,
4687953,"Elijah Higgins",,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,2.14,1.74,16.23,0.11,4.01,3.99,3.12,16.23,0.11,0,0,16.23,0.11,0,0.12,10.15,0.72,12.02,0,0.56%,SUN,1161853,132184,27,4687953,
37028,"Pharaoh Brown",,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.05,0.03,0.33,0,0.06,0.07,0.05,0.33,0,0,0,0.33,0,0,0,0.12,,,0,0.00%,SUN,689689,33627,28,37028,
4688002,"Chad Ryland",,K,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0,0,0,0,7.97,7.97,7.97,0,0,0,0,0,0,7.09,3.16,14.21,,,0,0.00%,SUN,1108545,48407,29,4688002,
18420,"Cincinnati Bengals",,DST,CIN,ARI,147571,,0,0,0,0,0,0,0,0,0,0,0,0,6.81,6.81,6.81,0,0,0,0,0,0,0,2.1,13.58,5.36,34.46,0,3.24%,SUN,327,8469,30,18420,
2184520,"Tyler Huntley",,QB,BAL,GBP,147569,,27.46,16.71,163.21,0.91,0.5,5.92,23.44,0.19,0,0,0,0,13.15,13.1,13.1,186.65,1.1,186.65,1.1,23.44,0.19,0,7.8,20.44,,,0,0.00%,SAT,913163,46269,31,2184520,
35530,"Derrick Henry",,RB,BAL,GBP,147569,,0,0,0,0,0,15.94,73.02,0.58,1.19,0.87,4.74,0.02,13.15,13.09,12.65,77.76,0.6,73.02,0.58,77.76,0.6,0,6.17,22.45,9.34,36.68,0,0.00%,SAT,732145,26360,32,35530,
4744211,"Keaton Mitchell",,RB,BAL,GBP,147569,,0,0,0,0,0,4.31,21.01,0.09,1.85,1.25,8.99,0.05,5.07,5.05,4.42,30,0.14,21.01,0.09,30,0.14,0,1.88,11.46,0.86,15,0,0.00%,SAT,1222789,140482,33,4744211,
6227728,"Rasheen Ali",,RB,BAL,GBP,147569,,0,0,0,0,0,0.52,2.14,0.01,2.78,1.75,11.98,0.05,3.51,3.51,2.63,14.12,0.06,2.14,0.01,14.12,0.06,0,0.14,8.65,0.12,4.04,0,0.00%,SAT,1229133,148325,34,6227728,
16563,"DeAndre Hopkins",,WR,BAL,GBP,147569,,0,0,0,0,0,0,0,0,2.24,1.3,13.6,0.1,3.25,3.25,2.6,13.6,0.1,0,0,13.6,0.1,0,0,8.94,0.34,10.28,0,0.00%,SAT,560241,3873,35,16563,
2861521,"Rashod Bateman",,WR,BAL,GBP,147569,,0,0,0,0,0,0,0,0,2.92,1.7,18.18,0.08,3.99,3.99,3.14,18.18,0.08,0,0,18.18,0.08,0,0.15,9.38,0.42,11.78,0,0.00%,SAT,1108208,44328,36,2861521,
4687538,"Zay Flowers",,WR,BAL,GBP,147569,,0,0,0,0,0,0.53,2.88,0.02,7.5,4.76,49.76,0.23,11.73,11.7,9.32,52.64,0.25,2.88,0.02,52.64,0.25,0,5.84,20.47,10.72,36.14,0,0.00%,SAT,1177053,136555,37,4687538,
6227729,"Devontez Walker",,WR,BAL,GBP,147569,,0,0,0,0,0,0,0,0,0.22,0.13,1.36,0.01,0.33,0.33,0.26,1.36,0.01,0,0,1.36,0.01,0,0,0.66,0,0.12,0,0.00%,SAT,1277914,140381,38,6227729,
8228348,"LaJohntay Wester",,WR,BAL,GBP,147569,,0,0,0,0,0,0,0,0,0.05,0.03,0.29,0,0.06,0.06,0.04,0.29,0,0,0,0.29,0,0,0,0.12,,,0,0.00%,SAT,1231033,136011,39,8228348,
328096,"Mark Andrews",,TE,BAL,GBP,147569,,0,0,0,0,0,0.96,1.08,0.01,4.25,2.71,25.29,0.18,6.46,6.43,5.07,26.37,0.19,1.08,0.01,26.37,0.19,0,1.96,14.66,7.36,25.58,0,0.00%,SAT,820699,40601,40,328096,
