,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Ryker Evans,SEA,D,0.09,0.27,0.36,-0.10,0.41,0.77,0.00,0.02,0.05,0.00,0.00,1.12,1.18
Robby Fabbri,STL,LW,0.13,0.14,0.28,-0.15,0.67,1.09,0.00,0.01,0.01,0.00,0.00,1.21,0.47
Dante Fabbro,CBJ,D,0.04,0.11,0.14,0.02,0.25,0.74,0.01,0.00,0.00,0.00,0.00,0.60,1.40
Adam Fantilli,CBJ,C,0.30,0.33,0.63,-0.10,0.21,2.46,0.05,0.08,0.07,0.02,0.02,1.27,0.80
Justin Faulk,STL,D,0.09,0.26,0.35,-0.06,0.60,1.54,0.03,0.01,0.10,0.00,0.00,1.01,1.49
Kevin Fiala,LAK,LW,0.39,0.44,0.83,-0.06,0.41,2.93,0.08,0.16,0.19,0.00,0.00,0.55,0.35
Jack Finley,TBL,C,0.14,0.17,0.31,0.37,0.37,0.94,0.05,0.00,0.00,0.00,0.00,1.15,0.22
Cale Fleury,SEA,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Warren Foegele,LAK,LW,0.28,0.25,0.53,0.25,0.29,2.36,0.06,0.01,0.02,0.00,0.00,0.87,0.46
Tyson Foerster,PHI,RW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Derek Forbort,VAN,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cam Fowler,STL,D,0.06,0.29,0.35,-0.07,0.29,1.07,0.01,0.01,0.10,0.00,0.01,0.16,1.04
Conor Garland,VAN,RW,0.20,0.32,0.52,-0.20,0.63,1.99,0.03,0.06,0.13,0.01,0.00,0.61,0.47
Frederick Gaudreau,SEA,C,0.21,0.31,0.52,-0.07,0.20,1.52,0.02,0.06,0.01,0.00,0.00,0.51,0.85
Brendan Gaunce,CBJ,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cutter Gauthier,ANA,LW,0.31,0.43,0.74,0.20,0.24,2.67,0.05,0.08,0.10,0.00,0.00,0.72,0.50
Zemgus Girgensons,TBL,C,0.12,0.07,0.20,-0.08,0.45,1.36,0.02,0.00,0.00,0.00,0.00,2.49,0.66
Gage Goncalves,TBL,C,0.11,0.15,0.27,0.13,0.34,0.83,0.01,0.01,0.02,0.00,0.00,0.93,0.25
Yanni Gourde,TBL,LW,0.11,0.33,0.43,0.05,0.71,1.50,0.04,0.00,0.01,0.00,0.00,1.57,0.58
Mikael Granlund,ANA,C,0.20,0.38,0.58,0.04,0.27,1.67,0.02,0.05,0.20,0.01,0.00,0.59,0.60
Nikita Grebenkin,PHI,RW,0.08,0.22,0.30,-0.14,0.24,1.13,0.00,0.00,0.03,0.00,0.00,1.65,0.18
Carl Grundstrom,PHI,LW,0.19,0.16,0.36,-0.17,0.54,1.83,0.04,0.00,0.00,0.00,0.00,3.19,0.40
Radko Gudas,ANA,D,0.03,0.16,0.18,0.09,0.80,0.99,0.00,0.00,0.00,0.00,0.00,2.57,1.63
Erik Gudbranson,CBJ,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jake Guentzel,TBL,LW,0.55,0.54,1.09,0.25,0.28,2.71,0.10,0.16,0.15,0.01,0.00,0.42,0.55
Brandon Hagel,TBL,LW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jansen Harkins,ANA,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Garnet Hathaway,PHI,RW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Victor Hedman,TBL,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Samuel Helenius,LAK,C,0.07,0.12,0.19,0.00,0.35,0.45,0.02,0.00,0.00,0.00,0.00,2.06,0.25
Drew Helleson,ANA,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nils Hoglander,VAN,LW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dylan Holloway,STL,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pontus Holmberg,TBL,LW,0.11,0.23,0.34,0.10,0.36,1.23,0.02,0.00,0.01,0.00,0.00,0.78,0.69
Filip Hronek,VAN,D,0.06,0.42,0.48,0.12,0.53,1.33,0.00,0.01,0.12,0.00,0.01,1.45,0.93
Dominic James,TBL,LW,0.09,0.21,0.30,0.04,0.14,0.97,0.00,0.00,0.00,0.00,0.00,1.01,0.25
Boone Jenner,CBJ,LW,0.17,0.25,0.42,-0.09,0.27,2.15,0.02,0.08,0.04,0.04,0.02,1.54,0.93
