PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
18467,"Anthony Duclair",2700,W,NYI,UTA,8403350,743259,4,,,0.1432,0.1787,0.9969,0.4416,0,0,0,0,0,0,0.3219,0,4.39,1.63,5.12,7.29,1,0,10.94,0,,18467,0.483,3.25,11.2,156,2135,30344,1
34547,"Nick Jensen",2500,D,OTT,WSH,8403370,733469,2,,,0.0249,0.1709,0.6765,1.0437,0,0,0,0,0,0,0.1958,0,3.87,1.55,4.71,6.72,2,0,9.9,0,,34547,0.8,2.95,14.9,163,2050,30618,1
36584,"Clayton Keller",6500,W,UTA,NYI,8403350,920216,1,1,,0.3411,0.5354,2.5559,0.4301,0,0,0,0,0.0891,0.1772,0.8765,0.2663,10.7,1.65,8.76,12.65,3,1.62,21.91,0,,36584,0.328,7.47,19.2,183,2005,32089,0
14246,"Casey Cizikas",2500,C,NYI,UTA,8403350,521884,4,,,0.0974,0.1189,0.8172,0.6503,0,0,0,0,0,0,0.2163,0,3.76,1.5,4.98,7.03,4,0,10.13,0,,14246,1.787,3.42,10.8,156,2135,30928,1
17076,"Dylan McIlrath",2500,D,WSH,OTT,8403370,550760,3,,,0.0108,0.1293,0.4228,0.9549,0,0,0,0,0,0,0.1401,0,3,1.2,4.47,6.34,5,0,8.72,0,,17076,1.292,2.61,11.7,168,2232,30103,0
31735,"Bo Horvat",7500,C,NYI,UTA,8403350,741412,1,1,,0.4498,0.4227,2.9285,0.5044,0,0,0,0,0.1331,0.1422,0.8725,0.2753,11.93,1.59,8.92,12.61,6,2.69,23.35,0,,31735,0.969,8.44,20,156,2135,31049,1
18681,"Ryan Pulock",3700,D,NYI,UTA,8403350,741446,1,,,0.0625,0.2821,1.3257,2.0954,0,0,0,0,0,0,0.3446,0,7.83,2.12,5.49,7.78,7,2.14,14.86,0,,18681,1.47,5.66,21.8,156,2135,30776,1
35781,"Mikhail Sergachev",5200,D,UTA,NYI,8403350,920218,1,1,,0.1195,0.5136,1.7417,1.7664,0,0,0,0,0.0526,0.1367,0.6331,0.1893,9.54,1.83,6.73,9.77,8,2.57,18.15,0,,35781,0.958,6.85,23.6,183,2005,31482,0
1287130,"Brandon Duhaime",2500,W,WSH,OTT,8403370,920429,4,,,0.087,0.1124,0.8978,0.63,0,0,0,0,0,0,0.1994,0,3.72,1.49,5.01,7.06,9,0,10.13,0,,1287130,1.963,3.48,11.4,168,2232,92011,0
2295911,"Jake Sanderson",6700,D,OTT,WSH,8403370,1248071,1,1,,0.1449,0.4799,2.1413,1.7279,0,0,0,0,0.0747,0.1634,0.6248,0.2381,10.28,1.53,6.82,9.84,10,3.21,19.01,0,,2295911,0.663,7.11,24.2,163,2050,158608,1
37718,"Alexander Kerfoot",2500,W,UTA,NYI,8403350,681488,4,,,0.1272,0.2112,1.1086,0.7423,0,0,0,0,0,0,0.3384,0,5.09,2.04,5.37,7.67,11,0,11.96,0,,37718,0.791,3.85,13.9,183,2005,37927,0
17151,"David Perron",3400,W,OTT,WSH,8403370,392970,2,2,,0.1913,0.2648,1.3871,0.3173,0,0,0,0,0.0585,0.0758,0.4561,0.1343,5.66,1.66,6.01,8.62,12,0,13.35,0,,17151,1.362,4.66,13.5,163,2050,30170,1
18503,"Jonathan Drouin",3500,W,NYI,UTA,8403350,741406,2,1,,0.1619,0.5246,1.4184,0.3718,0,0,0,0,0.0532,0.2067,0.6865,0.2599,6.92,1.98,7.19,10.64,13,0,16.12,0,,18503,0.503,5.24,17.4,156,2135,30507,1
2295913,"Ridly Greig",3000,C,OTT,WSH,8403370,1248095,4,2,,0.1617,0.2168,1.3798,0.5109,0,0,0,0,0.0282,0.0494,0.3785,0.0776,5.46,1.82,5.86,8.34,14,0,12.96,0,,2295913,1.441,4.49,15.2,163,2050,158610,1
14465,"John Carlson",5000,D,WSH,OTT,8403370,456839,1,2,,0.0929,0.382,1.5248,1.7168,0,0,0,0,0.0269,0.078,0.4749,0.1049,8.13,1.63,6.36,9.19,15,1.54,16.27,0,,14465,0.718,5.74,20.6,168,2232,30360,0
1278918,"Fabian Zetterlund",4200,W,OTT,WSH,8403370,1057171,1,2,,0.2165,0.2503,1.9706,0.6732,0,0,0,0,0.0427,0.0713,0.4668,0.114,7.38,1.76,6.74,9.5,16,0.4,16.01,0,,1278918,1.689,5.85,16.3,163,2050,91992,1
2299078,"Emil Heineman",3700,W,NYI,UTA,8403350,1248154,1,1,,0.3357,0.3149,2.1819,0.6578,0,0,0,0,0.0878,0.0906,0.6506,0.1784,9.13,2.47,7.96,11.29,17,0.88,19.32,0,,2299078,3.562,7.98,19.1,156,2135,158640,1
1283254,"Logan Thompson",7600,G,WSH,OTT,8403370,1139760,,,B,0,0,0,0,0.4425,25.9044,3.1208,0.0502,0,0,0,0,11.58,1.52,8.58,10.8,18,2.69,22.56,0,,1283254,0,8.84,,168,2232,82970,0
10148334,"Max Shabanov",2800,W,NYI,UTA,8403350,1349311,3,2,,0.149,0.2489,1.2148,0.3532,0,0,0,0,0.0239,0.0448,0.3979,0.0687,4.99,1.78,5.37,7.66,19,0,11.86,0,,10148334,0.862,3.92,13.1,156,2135,624202,1
2296056,"Hendrix Lapierre",2500,C,WSH,OTT,8403370,1248089,4,,,0.0645,0.1639,0.6814,0.3836,0,0,0,0,0,0,0.2284,0,3.06,1.22,4.58,6.58,20,0,8.92,0,,2296056,0.584,2.4,8.9,168,2232,158581,0
5274485,"Ethen Frank",3100,W,WSH,OTT,8403370,1418688,4,2,,0.1452,0.1815,1.1293,0.5003,0,0,0,0,0.0282,0.0392,0.3267,0.0674,4.72,1.52,5.18,7.34,21,0,11.35,0,,5274485,0.752,3.64,11.4,168,2232,246121,0
9011929,"Matthew Schaefer",5600,D,NYI,UTA,8403350,1562161,1,1,,0.2104,0.426,2.7347,1.5524,0,0,0,0,0.0986,0.104,0.6364,0.2026,11.26,2.01,7.57,10.64,22,3.42,20.95,0,,9011929,0.959,7.83,24.9,156,2135,622914,1
2298980,"Tyler Kleven",2500,D,OTT,WSH,8403370,1248156,3,,,0.0376,0.121,0.9673,1.1212,0,0,0,0,0,0,0.1586,0,4.31,1.72,4.61,6.47,23,0,10.21,0,,2298980,1.225,3.41,14.4,163,2050,158612,1
34441,"Adam Pelech",3400,D,NYI,UTA,8403350,680616,2,,,0.0628,0.2875,1.5567,1.7504,0,0,0,0,0,0,0.3503,0,7.5,2.21,5.45,7.72,24,1.85,14.48,0,,34441,1.198,5.43,21.8,156,2135,30063,1
6875967,"Stephen Halliday",2500,C,OTT,WSH,8403370,1395062,4,,,0.0635,0.0858,0.6552,0.2485,0,0,0,0,0,0,0.1493,0,2.4,0.96,4.39,6.25,25,0,8.02,0,,6875967,0.761,2.01,6.3,163,2050,231522,1
5284135,"Marc Gatcomb",2500,W,NYI,UTA,8403350,1418856,4,,,0.118,0.0965,0.8933,0.4642,0,0,0,0,0,0,0.2145,0,3.63,1.45,4.97,7.02,26,0,9.99,0,,5284135,2.821,3.86,9.9,156,2135,246325,1
671953,"Drake Batherson",5700,W,OTT,WSH,8403370,1057231,2,1,,0.3283,0.471,2.2785,0.37,0,0,0,0,0.1097,0.2029,0.7993,0.3126,9.61,1.69,8.38,12.06,27,0.93,20.34,0,,671953,1.553,7.44,18.3,163,2050,82907,1
4200012,"Dylan Guenther",6600,W,UTA,NYI,8403350,1321462,2,1,,0.4067,0.3886,2.9801,0.4974,0,0,0,0,0.1189,0.12,0.7953,0.2389,11.44,1.73,8.92,12.6,28,2.2,22.86,0,,4200012,0.866,8.02,16.9,183,2005,165064,0
2298912,"JJ Peterka",4900,W,UTA,NYI,8403350,1207612,1,1,,0.3166,0.4019,2.2655,0.2694,0,0,0,0,0.0783,0.1149,0.7185,0.1932,8.94,1.82,7.6,10.88,29,1.07,18.67,0,,2298912,0.5,6.39,17.9,183,2005,158555,0
36276,"Liam O'Brien",2500,W,UTA,NYI,8403350,849162,4,,,0.0636,0.0873,0.8216,0.3759,0,0,0,0,0,0,0.1509,0,2.86,1.14,4.44,6.29,30,0,8.54,0,,36276,2.213,3.03,9,183,2005,30366,0
1283986,"Jordan Spence",2700,D,OTT,WSH,8403370,1172292,3,,,0.0535,0.2639,1.1795,0.9378,0,0,0,0,0,0,0.3174,0,5.17,1.91,5.15,7.44,31,0,11.76,0,,1283986,1.115,4.05,17.2,163,2050,91920,1
14422,"Ian Cole",2500,D,UTA,NYI,8403350,392959,3,,,0.0264,0.1746,0.6921,1.9887,0,0,0,0,0,0,0.201,0,5.75,2.3,4.99,7.01,32,0.58,12.14,0,,14422,1.173,4.12,18.2,183,2005,30423,0
2298978,"Leevi Merilainen",7800,G,OTT,WSH,8403370,1248204,,,B,0,0,0,0,0.5833,23.1104,2.7371,0.0746,0,0,0,0,11.31,1.45,7.43,9.73,33,3.61,20.82,0,,2298978,0,9.15,,163,2050,158607,1
2295912,"Tim Stutzle",7700,C,OTT,WSH,8403370,1207614,1,1,,0.3794,0.6975,2.5016,0.5465,0,0,0,0,0.1154,0.2843,1.0769,0.3997,12.04,1.56,9.11,13.25,34,2.6,23.7,0,,2295912,1.526,9.08,20.2,163,2050,158609,1
2299081,"Justin Sourdif",3400,C,WSH,OTT,8403370,1248635,2,2,,0.1483,0.2721,1.494,0.5323,0,0,0,0,0.0196,0.0424,0.4204,0.062,5.85,1.72,5.64,8.07,35,0.01,13.07,0,,2299081,1.412,4.74,16.4,168,2232,158643,0
37902,"Nick DeSimone",2500,D,UTA,NYI,8403350,977030,3,,,0.0477,0.1676,1.0478,1.0576,0,0,0,0,0,0,0.2153,0,4.64,1.86,4.82,6.8,36,0,10.81,0,,37902,0.897,3.51,15.2,183,2005,38122,0
6107923,"Marshall Warren",2500,D,NYI,UTA,8403350,1172483,3,,,0.0252,0.1562,0.8056,0.9185,0,0,0,0,0,0,0.1814,0,3.77,1.51,4.53,6.39,37,0,9.57,0,,6107923,0.908,2.95,11.9,156,2135,350613,1
414801,"Brady Tkachuk",8700,W,OTT,WSH,8403370,1121433,1,1,,0.4412,0.4355,4.1127,0.3851,0,0,0,0,0.1424,0.1679,0.8767,0.3103,14.16,1.63,9.21,12.84,38,4.62,25.95,0,,414801,2.994,10.54,18.2,163,2050,75435,1
414831,"Rasmus Sandin",2600,D,WSH,OTT,8403370,1121477,1,,,0.0426,0.2342,0.8541,1.5598,0,0,0,0,0,0,0.2768,0,5.57,2.14,5.11,7.25,39,0.28,12.11,0,,414831,1.229,4.22,17.9,168,2232,75423,0
4900460,"Calum Ritchie",2600,C,NYI,UTA,8403350,1453028,3,2,,0.1652,0.211,1.2791,0.4861,0,0,0,0,0.0279,0.04,0.3762,0.0679,5.26,2.02,5.85,8.33,40,0,12.75,0,,4900460,0.65,3.96,12.4,156,2135,260597,1
18972,"Lawson Crouse",3600,W,UTA,NYI,8403350,878042,2,2,,0.2414,0.1845,1.8379,0.6832,0,0,0,0,0.0247,0.0238,0.4259,0.0485,7.04,1.96,6.36,8.89,41,0.45,15.18,0,,18972,2.338,5.9,16.7,183,2005,30002,0
415477,"Barrett Hayton",3200,C,UTA,NYI,8403350,1121434,2,2,,0.1747,0.2243,1.6286,0.4584,0,0,0,0,0.0214,0.0321,0.399,0.0535,5.93,1.85,5.91,8.38,42,0,13.49,0,,415477,0.534,4.33,14.5,183,2005,75470,0
18846,"Tony DeAngelo",3100,D,NYI,UTA,8403350,831084,2,2,,0.0936,0.3433,1.6185,0.9821,0,0,0,0,0.0231,0.0914,0.4369,0.1145,6.72,2.17,5.96,8.57,43,0.55,14.35,0,,18846,0.644,4.91,18.3,156,2135,30506,1
34478,"Nick Cousins",2500,W,OTT,WSH,8403370,607960,4,,,0.0784,0.1232,0.8592,0.3512,0,0,0,0,0,0,0.2016,0,3.19,1.28,4.47,6.32,44,0,8.91,0,,34478,1.386,2.87,9.2,163,2050,30036,1
1279200,"Dylan Cozens",4700,C,OTT,WSH,8403370,1172189,2,1,,0.2601,0.3761,2.2719,0.3963,0,0,0,0,0.0881,0.1399,0.6362,0.228,8.51,1.81,7.6,10.88,45,0.64,18.24,0,,1279200,2.176,6.94,17.1,163,2050,91963,1
4900287,"Daniil But",2600,W,UTA,NYI,8403350,1420778,3,2,,0.1553,0.1889,1.5578,0.4597,0,0,0,0,0.0235,0.0322,0.3442,0.0557,5.47,2.1,5.28,7.42,46,0,12.23,0,,4900287,0.866,4.17,12.3,183,2005,260549,0
1282856,"John Marino",2800,D,UTA,NYI,8403350,878330,2,,,0.0405,0.2858,0.7997,1.2617,0,0,0,0,0,0,0.3263,0,5.17,1.85,5.19,7.49,47,0,11.81,0,,1282856,0.637,3.77,20.4,183,2005,88877,0
