PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6100,PG/SG,ATL,UTA,159173,522878,-,28,20.42,3.62,3.53,2.88,1.54,0.84,0.53,23.95,24.04,27.57,1.37,7.15,10.15,4.74,7.38,3.02,2.31,17.53,7.62,32.63,32.63,33.66,5.52,30.90%,135,149,THURS,12451,1,17121,25.21,43.17,28.84,28.84,27.6,25.25,29.95,33.66,37.37,43.31,45.29,56.18,
1115445,"Nickeil Alexander-Walker",7000,SG/SF,ATL,UTA,159173,1067668,-,32,21.06,2.88,3.9,3.4,1.77,1.7,0.76,24.96,23.94,27.84,2.46,6.78,8.83,3.77,8.81,3.92,3.33,17.64,7.17,35.98,35.98,36.26,5.18,22.49%,135,149,THURS,69666,4,1115445,27.47,46.09,24.7,24.7,17.39,27.44,32.34,36.26,40.18,46.06,48.51,59.78,
2439277,"Onyeka Okongwu",7500,C,ATL,UTA,159173,1185367,Q,31,17.95,7.32,3.13,1.82,1.81,1.33,0.85,21.08,25.27,28.4,2.18,10.45,9.42,4.88,5.06,3.56,2.74,14.48,6.7,36.16,36.16,36.39,4.85,4.14%,135,149,THURS,91845,5,2439277,28.3,46.1,5.54,5.54,10.6,27.93,32.55,36.39,39.98,45.87,48.69,58.69,
3005263,"Jalen Johnson",10500,PF,ATL,UTA,159173,1230356,,35,25.6,11.42,8.17,1.98,3.6,1.51,0.48,33.77,37.02,45.19,1.99,19.59,15.5,7.42,5.7,6.36,4.81,21.2,9.4,53.93,53.93,56.71,5.4,22.24%,135,149,THURS,165214,6,3005263,45.94,68.28,18.42,18.42,30.21,45.98,52.11,56.71,61.31,68.46,71.53,83.53,
3005340,"Corey Kispert",3900,SF,ATL,UTA,159173,1077554,,24.5,10.09,2.23,2.08,1.87,0.7,0.64,0.27,12.17,12.32,14.4,0.91,4.31,3.45,1.59,4.98,1.67,1.31,8.43,3.46,17.92,17.92,18.4,4.72,25.53%,135,149,THURS,72585,7,3005340,12.44,25.77,18.84,18.84,7.49,12.34,15.84,18.4,21.19,26.09,27.72,36.1,
3012652,"Jock Landale",6100,C,ATL,UTA,159173,850308,,14.5,6.54,3.63,0.93,0.49,0.47,0.37,0.25,7.47,10.17,11.1,0.62,4.56,3.82,1.99,1.3,1.53,1.08,5.12,2.48,13.68,13.68,13.83,2.27,0%,135,149,THURS,74198,8,3012652,8.85,19.71,0,0,0,9.68,9.68,9.68,9.68,9.68,9.68,9.68,
3587713,"Christian Koloko",3300,C,ATL,UTA,159173,1193674,,4,0.74,0.91,0.24,0.01,0.08,0.11,0.28,0.98,1.65,1.89,0.39,1.15,0.66,0.32,0.08,0.12,0.08,0.74,0.33,3.28,3.28,2.98,0.9,0.44%,135,149,THURS,92616,9,3587713,1.65,4.62,0,0,0,1.64,2.47,2.98,3.7,4.62,5.14,6.99,
3587993,"Dyson Daniels",7200,PG/SG,ATL,UTA,159173,1357745,,32,11.22,5.45,7.23,0.48,1.6,2.09,0.5,18.45,16.67,23.9,2.59,12.68,8.86,4.36,1.84,1.75,1.06,10.7,4.84,34.78,34.78,33.74,4.69,4.00%,135,149,THURS,195261,11,3587993,25.76,42.92,4.63,4.63,7.65,25.82,30.16,33.74,37.32,42.94,45.24,55.98,
4388493,"Keaton Wallace",3000,PG,ATL,UTA,159173,1063166,,1,0.46,0.06,0.14,0.09,0.05,0.02,0.01,0.6,0.52,0.66,0.03,0.2,0.2,0.08,0.24,0.03,0.02,0.44,0.17,0.78,0.78,0.83,0.28,0.05%,135,149,THURS,245561,12,4388493,0.27,1.66,0,0,0,0,0,0.83,1.11,1.94,2.49,4.7,
4878163,"Mouhamed Gueye",4300,PF/C,ATL,UTA,159173,1325101,,12,2.49,2.75,1.11,0.29,0.18,0.71,0.29,3.6,5.24,6.35,1,3.86,1.39,0.58,1.06,0.69,0.46,2.45,0.87,10.28,10.28,9.65,2.24,0.29%,135,149,THURS,180180,13,4878163,5.17,15.23,0,0,0,4.98,7.47,9.65,11.52,14.94,16.5,23.35,
