PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
13563,"Kirk Cousins",,QB,ATL,NOS,147585,,31.92,20.41,207.26,1.63,0.69,0.7,1.52,0.04,0,0,0,0,14.68,14.67,14.67,208.78,1.67,208.78,1.67,1.52,0.04,0,8.35,22.55,1.42,33.86,1.68,1.70%,MAIN,403308,2307,1,13563,
3491931,"Tyler Allgeier",,RB,ATL,NOS,147585,,0,0,0,0,0,9.34,39.75,0.38,0.87,0.69,5.21,0.04,7.69,7.66,7.31,44.96,0.42,39.75,0.38,44.96,0.42,0,3.09,16.89,1.64,17.04,0.34,0.17%,MAIN,1131198,125422,2,3491931,
4687512,"Bijan Robinson",,RB,ATL,NOS,147585,,0,0,0,0,0,17.61,85.89,0.66,7.4,5.38,43.47,0.31,25.56,25.46,22.77,129.36,0.97,85.89,0.66,129.36,0.97,0,15.92,37.19,39.24,71.48,54.36,39.12%,MAIN,1228244,123168,3,4687512,
8261767,"Nate Carter",,RB,ATL,NOS,147585,,0,0,0,0,0,0.11,0.53,0,0.01,0.01,0.05,0,0.07,0.07,0.06,0.58,0,0.53,0,0.58,0,0,0.03,0.11,,,0,0.00%,MAIN,1214132,134222,4,8261767,
982204,"David Sills",,WR,ATL,NOS,147585,,0,0,0,0,0,0,0,0,2.1,1.22,12.32,0.09,2.99,2.98,2.37,12.32,0.09,0,0,12.32,0.09,0,0,8.22,0.08,6.3,0.02,0.00%,MAIN,866973,65587,5,982204,
1844218,"Darnell Mooney",,WR,ATL,NOS,147585,,0,0,0,0,0,0.01,0.04,0,3.4,2.01,24.1,0.15,5.33,5.32,4.31,24.14,0.15,0.04,0,24.14,0.15,0,1.53,12.35,0.82,11.2,0.16,0.09%,MAIN,912027,62802,6,1844218,
3491928,"Drake London",,WR,ATL,NOS,147585,,0,0,0,0,0,0,0,0,7.99,5.54,58.97,0.48,14.58,14.55,11.78,58.97,0.48,0,0,58.97,0.48,0,7.8,24.87,9.48,33.32,4.48,6.08%,MAIN,1178741,140160,7,3491928,
4773069,"Dylan Drummond",,WR,ATL,NOS,147585,,0,0,0,0,0,0,0,0,1.71,1.05,9.28,0.08,2.45,2.45,1.92,9.28,0.08,0,0,9.28,0.08,0,0,6.74,0.04,5.62,0.03,0.01%,MAIN,1108534,48414,8,4773069,
3515974,"Deven Thompkins",,WR,ATL,NOS,147585,,0,0,0,0,0,0.01,0.06,0,0.52,0.34,2.26,0.02,0.69,0.69,0.52,2.32,0.02,0.06,0,2.32,0.02,0,0.28,1.1,,,0,0.00%,MAIN,1130833,49660,9,3515974,
1849814,"Charlie Woerner",,TE,ATL,NOS,147585,,0,0,0,0,0,0,0,0,1.13,0.75,6.1,0.07,1.77,1.77,1.39,6.1,0.07,0,0,6.1,0.07,0,0,3.54,0.22,5.22,0.01,0.00%,MAIN,922040,58179,10,1849814,
