"First Name","Last Name","Team","Matchup","PTS","REB","AST","3PM","BLK","STL","TO","PRA","PR","PA","DFS","Last Updated"
"Shai","Gilgeous-Alexander","OKC","MEM vs. OKC","30.80","5.28","6.71","2.10","0.85","1.50","2.17","42.79","36.08","37.51","54.29","2025-12-22T21:53:35Z"
"Nikola","Jokic","DEN","UTA vs. DEN","30.44","11.91","10.45","2.73","0.88","1.54","3.04","52.81","42.36","40.89","68.74","2025-12-22T21:53:34Z"
"Stephen","Curry","GSW","ORL vs. GSW","29.11","4.22","4.65","4.62","0.40","1.27","3.20","37.98","33.33","33.76","48.61","2025-12-22T21:53:34Z"
"Donovan","Mitchell","CLE","CHA vs. CLE","28.70","4.58","5.76","3.38","0.31","1.55","2.81","39.03","33.27","34.45","49.86","2025-12-22T21:53:34Z"
"Cade","Cunningham","DET","DET vs. POR","28.34","6.46","8.86","2.17","0.90","1.65","3.97","43.66","34.80","37.20","57.88","2025-12-22T21:53:35Z"
"Jaylen","Brown","BOS","IND vs. BOS","27.99","6.46","4.66","2.07","0.41","1.11","3.26","39.11","34.45","32.64","48.76","2025-12-22T21:53:33Z"
"Deni","Avdija","POR","DET vs. POR","26.25","7.98","6.43","2.31","0.65","0.88","4.20","40.66","34.23","32.67","52.19","2025-12-22T21:53:35Z"
"Paolo","Banchero","ORL","ORL vs. GSW","25.99","8.14","5.25","1.81","0.54","0.96","3.28","39.37","34.13","31.23","49.57","2025-12-22T21:53:34Z"
"Shaedon","Sharpe","POR","DET vs. POR","25.37","5.14","3.24","2.42","0.30","1.39","3.33","33.74","30.50","28.61","42.89","2025-12-22T21:53:35Z"
"Jamal","Murray","DEN","UTA vs. DEN","25.02","4.00","6.70","3.47","0.48","1.26","1.91","35.72","29.02","31.72","46.24","2025-12-22T21:53:35Z"
"Lauri","Markkanen","UTA","UTA vs. DEN","24.23","6.19","1.97","2.82","0.47","0.89","1.31","32.39","30.42","26.20","39.71","2025-12-22T21:53:35Z"
"Anthony","Davis","DAL","DAL vs. NOP","24.18","11.53","3.59","0.84","2.03","1.13","2.28","39.31","35.71","27.78","51.85","2025-12-22T21:53:35Z"
"Trey","Murphy","NOP","DAL vs. NOP","22.62","5.80","4.18","2.55","0.29","1.63","2.17","32.61","28.42","26.80","42.35","2025-12-22T21:53:35Z"
"Jimmy","Butler","GSW","ORL vs. GSW","22.08","5.83","4.77","0.87","0.26","1.51","1.47","32.68","27.91","26.85","41.24","2025-12-22T21:53:34Z"
"Pascal","Siakam","IND","IND vs. BOS","22.01","6.09","3.76","1.67","0.41","0.97","1.99","31.86","28.10","25.77","39.84","2025-12-22T21:53:34Z"
"Keyonte","George","UTA","UTA vs. DEN","21.92","4.05","6.55","2.88","0.22","0.83","2.89","32.52","25.97","28.47","41.78","2025-12-22T21:53:35Z"
"Cooper","Flagg","DAL","DAL vs. NOP","21.81","6.30","3.93","1.06","0.78","1.27","2.16","32.04","28.10","25.74","41.28","2025-12-22T21:53:35Z"
"Zion","Williamson","NOP","DAL vs. NOP","21.46","5.50","4.03","0.08","0.66","1.14","2.62","30.99","26.96","25.49","39.33","2025-12-22T21:53:35Z"
"Darius","Garland","CLE","CHA vs. CLE","21.35","3.39","7.20","2.88","0.13","1.23","2.59","31.93","24.73","28.54","41.84","2025-12-22T21:53:34Z"
"Brandon","Miller","CHA","CHA vs. CLE","21.18","4.54","3.35","3.69","0.77","1.10","2.66","29.06","25.72","24.52","38.78","2025-12-22T21:53:34Z"
"Miles","Bridges","CHA","CHA vs. CLE","20.93","6.12","3.59","2.61","0.50","0.75","2.00","30.64","27.05","24.52","38.76","2025-12-22T21:53:34Z"
"Desmond","Bane","ORL","ORL vs. GSW","20.59","5.11","5.05","2.21","0.32","1.17","2.80","30.75","25.70","25.65","40.06","2025-12-22T21:53:34Z"
"Kon","Knueppel","CHA","CHA vs. CLE","19.81","4.97","3.56","3.90","0.25","0.94","2.55","28.35","24.78","23.37","36.98","2025-12-22T21:53:34Z"
"Jalen","Williams","OKC","MEM vs. OKC","19.47","5.39","5.29","1.60","0.57","1.32","1.64","30.16","24.87","24.77","39.55","2025-12-22T21:53:35Z"
"LaMelo","Ball","CHA","CHA vs. CLE","19.44","4.64","7.69","2.79","0.25","1.05","3.14","31.78","24.09","27.13","42.34","2025-12-22T21:53:34Z"
"Derrick","White","BOS","IND vs. BOS","17.39","4.86","4.70","3.30","1.22","1.27","1.70","26.95","22.25","22.09","37.99","2025-12-22T21:53:34Z"
"Jaren","Jackson","MEM","MEM vs. OKC","17.11","5.20","2.29","2.22","1.16","0.77","2.42","24.60","22.31","19.40","33.23","2025-12-22T21:53:36Z"
"Jalen","Duren","DET","DET vs. POR","17.11","10.32","2.51","0.00","1.31","0.91","2.09","29.93","27.42","19.62","39.25","2025-12-22T21:53:35Z"
"Bennedict","Mathurin","IND","IND vs. BOS","17.00","5.63","2.16","1.83","0.24","0.70","2.18","24.80","22.63","19.16","31.17","2025-12-22T21:53:34Z"
"Cam","Spencer","MEM","MEM vs. OKC","16.54","3.73","5.91","3.21","0.14","1.15","2.16","26.18","20.27","22.45","35.34","2025-12-22T21:53:36Z"
"Anthony","Black","ORL","ORL vs. GSW","16.52","4.70","3.50","1.50","0.83","1.45","2.50","24.72","21.22","20.02","34.20","2025-12-22T21:53:34Z"
"P.J.","Washington","DAL","DAL vs. NOP","16.50","7.12","2.34","1.83","1.27","1.06","2.27","25.96","23.62","18.84","35.60","2025-12-22T21:53:35Z"
"Jordan","Poole","NOP","DAL vs. NOP","16.44","2.88","3.68","2.37","0.29","0.96","1.76","23.01","19.33","20.13","30.13","2025-12-22T21:53:35Z"
"Payton","Pritchard","BOS","IND vs. BOS","16.36","4.68","4.51","2.82","0.12","0.90","1.22","25.54","21.04","20.87","33.02","2025-12-22T21:53:34Z"
"Cameron","Johnson","DEN","UTA vs. DEN","16.35","4.36","3.62","2.43","0.44","1.08","1.19","24.33","20.71","19.97","32.07","2025-12-22T21:53:34Z"
"Santi","Aldama","MEM","MEM vs. OKC","16.02","7.45","3.85","2.21","0.49","0.90","2.10","27.31","23.46","19.87","36.04","2025-12-22T21:53:36Z"
"Naji","Marshall","DAL","DAL vs. NOP","15.72","4.98","3.24","1.14","0.22","1.18","1.49","23.94","20.70","18.96","30.92","2025-12-22T21:53:35Z"
"De'Andre","Hunter","CLE","CHA vs. CLE","14.49","4.07","1.81","2.11","0.20","0.76","1.19","20.37","18.56","16.29","25.86","2025-12-22T21:53:34Z"
"Andrew","Nembhard","IND","IND vs. BOS","14.42","2.83","5.70","1.75","0.17","0.99","1.94","22.95","17.25","20.13","30.67","2025-12-22T21:53:34Z"
"Derik","Queen","NOP","DAL vs. NOP","14.31","7.49","4.72","0.14","1.00","1.03","2.02","26.51","21.80","19.02","35.88","2025-12-22T21:53:35Z"
"Anfernee","Simons","BOS","IND vs. BOS","14.26","2.52","2.65","2.27","0.07","0.72","1.24","19.43","16.78","16.91","24.71","2025-12-22T21:53:34Z"
"Jarrett","Allen","CLE","CHA vs. CLE","14.22","8.30","2.26","0.00","0.95","1.21","1.39","24.78","22.52","16.49","33.01","2025-12-22T21:53:34Z"
"Toumani","Camara","POR","DET vs. POR","14.10","5.06","3.39","2.49","0.65","1.32","2.04","22.55","19.16","17.49","31.72","2025-12-22T21:53:35Z"
"Jaylon","Tyson","CLE","CHA vs. CLE","13.78","5.86","2.54","1.85","0.50","1.23","1.27","22.18","19.64","16.31","29.94","2025-12-22T21:53:34Z"
"Tobias","Harris","DET","DET vs. POR","13.76","4.87","2.26","1.44","0.53","1.15","1.29","20.89","18.63","16.02","27.95","2025-12-22T21:53:35Z"
"Cedric","Coward","MEM","MEM vs. OKC","13.44","6.97","3.05","1.51","0.34","0.56","2.08","23.46","20.41","16.48","30.30","2025-12-22T21:53:36Z"
"Saddiq","Bey","NOP","DAL vs. NOP","13.31","5.37","1.90","1.33","0.13","0.81","0.72","20.58","18.68","15.21","25.77","2025-12-22T21:53:35Z"
"Ajay","Mitchell","OKC","MEM vs. OKC","13.26","3.53","3.65","1.44","0.30","1.30","1.44","20.44","16.79","16.91","27.77","2025-12-22T21:53:35Z"
"Ace","Bailey","UTA","UTA vs. DEN","13.13","3.47","2.26","1.74","0.55","0.90","1.37","18.86","16.60","15.39","25.31","2025-12-22T21:53:35Z"
"Tim","Hardaway","DEN","UTA vs. DEN","13.12","2.46","1.62","2.65","0.09","0.72","0.46","17.21","15.59","14.75","21.80","2025-12-22T21:53:34Z"
"Jeremiah","Fears","NOP","DAL vs. NOP","13.08","3.20","2.74","0.92","0.15","1.08","1.85","19.02","16.28","15.82","25.05","2025-12-22T21:53:35Z"
"Ausar","Thompson","DET","DET vs. POR","12.40","6.17","2.65","0.18","1.01","1.47","1.42","21.22","18.57","15.05","29.85","2025-12-22T21:53:35Z"
"Brandon","Williams","DAL","DAL vs. NOP","12.37","2.47","4.53","0.94","0.27","1.38","1.93","19.37","14.84","16.89","26.99","2025-12-22T21:53:35Z"
"Jaylen","Wells","MEM","MEM vs. OKC","12.37","4.75","1.90","2.07","0.13","0.78","1.35","19.02","17.12","14.26","24.67","2025-12-22T21:53:36Z"
"Wendell","Carter","ORL","ORL vs. GSW","12.26","8.09","1.98","1.21","0.61","0.73","1.41","22.34","20.36","14.25","29.34","2025-12-22T21:53:34Z"
"Peyton","Watson","DEN","UTA vs. DEN","11.77","5.12","1.76","0.96","1.33","1.04","1.16","18.65","16.90","13.53","26.60","2025-12-22T21:53:35Z"
"Kyle","Filipowski","UTA","UTA vs. DEN","11.42","7.12","2.15","1.46","0.44","0.67","1.23","20.69","18.55","13.57","27.12","2025-12-22T21:53:35Z"
