,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Santi Aldama,MEM,OKC,F,35.00000,17.00118,10.76612,5.09587,1.08923,0.68986,2.21976,6.23970,13.72430,45.5,2.22823,6.19278,36.0,2.29355,3.35178,68.4,3.65442,7.11170
Trey Alexander,NOP,DAL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jarrett Allen,CLE,CHA,C,27.00000,14.28486,11.37416,2.17341,0.90543,1.21863,1.20956,5.85840,8.54766,68.5,0.22623,0.64294,35.2,2.34184,3.28453,71.3,4.09443,7.27973
Jose Alvarado,NOP,DAL,G,20.00000,7.38460,2.91049,2.71362,0.99311,0.10033,1.01068,2.58144,6.20416,41.6,1.30349,3.49971,37.2,0.91823,1.14493,80.2,0.64573,2.26476
Kyle Anderson,UTA,DEN,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Deni Avdija,POR,DET,F,37.00000,25.14247,9.02859,5.81894,1.40913,0.57055,3.95697,7.74385,16.92743,45.7,2.81162,7.59704,37.0,6.84315,8.37797,81.7,1.41614,7.61245
Ace Bailey,UTA,DEN,F,29.00000,14.90444,5.77823,1.96211,0.72361,0.59615,1.55927,5.44005,12.27475,44.3,1.55468,4.54615,34.2,2.46965,3.26766,75.6,1.43649,4.34173
LaMelo Ball,CHA,CLE,G,28.00000,19.80822,4.73724,6.46403,1.02448,0.27001,2.99512,6.64146,15.74379,42.2,2.79863,7.89041,35.5,3.72666,4.26412,87.4,1.10029,3.63695
Lonzo Ball,CLE,CHA,G,22.00000,7.51022,4.45034,4.36623,1.21380,0.58301,1.33683,2.72089,6.69504,40.6,1.38111,3.78611,36.5,0.68734,0.88271,77.9,0.72978,3.72056
Paolo Banchero,ORL,GSW,F,36.00000,24.00655,8.33554,4.38767,1.08336,0.61671,2.68992,8.18314,17.30819,47.3,1.79269,5.42535,33.0,5.84759,7.42993,78.7,2.48107,5.85447
Desmond Bane,ORL,GSW,G,35.00000,19.44912,5.73683,4.24722,1.30467,0.39082,2.25844,7.04296,15.32240,46.0,2.67428,7.28993,36.7,2.68891,3.00205,89.6,0.87851,4.85832
Brooks Barnhizer,OKC,MEM,F,8.00000,2.62069,1.54807,0.49172,0.22980,0.04921,0.55859,1.11247,2.63029,42.3,0.10907,0.39518,27.6,0.28668,0.41700,68.7,0.57640,0.97167
Tamar Bates,DEN,UTA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Saddiq Bey,NOP,DAL,F,26.00000,10.65301,5.38077,2.06088,0.72803,0.13840,0.88483,3.66862,8.90802,41.2,1.58591,4.80062,33.0,1.72986,2.12666,81.3,1.28399,4.09678
Goga Bitadze,ORL,GSW,C,17.00000,7.62508,4.89140,1.24104,0.50637,0.84172,0.98927,2.87915,5.44282,52.9,0.47252,1.68641,28.0,1.39427,1.94058,71.8,2.09768,2.79372
Anthony Black,ORL,GSW,G,35.00000,15.40556,4.83959,4.38296,1.85014,0.84825,2.54393,5.50309,12.07315,45.6,1.35260,4.21349,32.1,3.04678,3.83839,79.4,1.02575,3.81384
Chris Boucher,BOS,IND,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tony Bradley,IND,BOS,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
