PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
17121,"CJ McCollum",,,ATL,IND,158759,522878,-,26,16.63,2.86,2.87,2.37,1.66,0.75,0.4,19.5,19.49,22.36,1.15,5.73,8.32,3.81,6.04,2.48,1.9,14.36,6.18,26.16,26.16,27.18,18.05,37.77,0,0,0,19.03,19.03,19.03,19.03,19.03,19.03,19.03,0%,135,133,SAT,12451,1,17121,
37814,"Luke Kennard",,,ATL,IND,158759,887661,-,18.5,6.22,2.86,1.53,1.31,0.45,0.62,0.08,7.75,9.08,10.61,0.7,4.39,1.6,0.84,2.91,0.68,0.61,4.51,2.15,13.6,13.6,13.92,5.48,25.28,0,0,0,9.74,9.74,9.74,9.74,9.74,9.74,9.74,0%,135,133,SAT,38279,3,37814,
1115445,"Nickeil Alexander-Walker",,,ATL,IND,158759,1067668,-,34,23.05,4.67,3.76,3.71,2.68,1.41,0.55,26.81,27.72,31.48,1.96,8.43,9.63,4.13,9.61,4.3,3.67,19.24,7.84,37.49,37.49,38.97,26.42,53.57,0,0,0,27.28,27.28,27.28,27.28,27.28,27.28,27.28,0%,135,133,SAT,69666,4,1115445,
2439347,"Vit Krejci",,,ATL,IND,158759,1257428,,6,2,1.02,0.41,0.49,0.16,0.13,0.04,2.41,3.02,3.43,0.17,1.43,0.43,0.19,1.15,0.21,0.15,1.58,0.68,4.19,4.19,4.41,1.78,7.94,0,0,0,3.09,3.09,3.09,3.09,3.09,3.09,3.09,0%,135,133,SAT,161284,6,2439347,
3005263,"Jalen Johnson",,,ATL,IND,158759,1230356,Q,35.5,24.07,9.71,6.9,1.84,3.3,1.17,0.56,30.97,33.78,40.68,1.73,16.61,14.64,7.01,5.38,5.94,4.52,20.02,8.85,47.96,47.96,50.21,37.05,64.89,0,0,0,35.15,35.15,35.15,35.15,35.15,35.15,35.15,0%,135,133,SAT,165214,7,3005263,
3005340,"Corey Kispert",,,ATL,IND,158759,1077554,,18.5,9.57,2.1,1.3,1.76,0.74,0.55,0.03,10.87,11.67,12.97,0.58,3.4,3.26,1.52,4.7,1.6,1.25,7.96,3.28,15.04,15.04,15.83,8.16,25.36,0,0,0,11.08,11.08,11.08,11.08,11.08,11.08,11.08,0.23%,135,133,SAT,72585,8,3005340,
3587713,"Christian Koloko",,,ATL,IND,158759,1193674,,24.5,7.54,5.09,0.99,0.07,0.78,0.78,1.21,8.53,12.63,13.62,1.99,6.08,6.36,3.37,0.46,1.12,0.6,6.82,3.44,20.32,20.32,19.01,10.07,29.28,0,0,0,13.31,13.31,13.31,13.31,13.31,13.31,13.31,0%,135,133,SAT,92616,9,3587713,
3587993,"Dyson Daniels",,,ATL,IND,158759,1357745,,34.5,12.27,7.35,6.93,0.52,1.57,2.1,0.45,19.2,19.62,26.55,2.55,14.28,9.54,4.76,1.97,1.93,1.17,11.51,5.28,37.57,37.57,36.6,24.34,50.93,0,0,0,25.62,25.62,25.62,25.62,25.62,25.62,25.62,0%,135,133,SAT,195261,11,3587993,
4878163,"Mouhamed Gueye",,,ATL,IND,158759,1325101,,19.5,5.78,4.69,1.89,0.71,0.41,1.06,0.47,7.67,10.47,12.36,1.53,6.58,3.32,1.33,2.6,1.51,0.99,5.92,2.04,18.42,18.42,17.76,9.51,27.94,0,0,0,12.43,12.43,12.43,12.43,12.43,12.43,12.43,0%,135,133,SAT,180180,13,4878163,
6412725,"Zaccharie Risacher",,,ATL,IND,158759,1432544,Q,23,10.28,3.66,1.08,1.46,0.78,0.41,0.4,11.36,13.94,15.02,0.81,4.74,5.04,2.32,4.15,1.83,1.25,9.19,3.78,17.94,17.94,18.45,10.52,28.08,0,0,0,12.92,12.92,12.92,12.92,12.92,12.92,12.92,0%,135,133,SAT,368366,15,6412725,
