PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH
4716517,"Brycen Tremayne",3000,WR,CAR,LAR,157729,,0,0,0,0,0,0,0,0,0.45,0.3,2.97,0.02,0.72,0.24,,0,0.00%,SAT,1123525,132163,19,4716517,0.71,0.56,2.97,0.02,0,0,2.97,0.02,0,0,1.44,,
6227778,"Jalen Coker",4500,WR,CAR,LAR,157729,,0,0,0,0,0,0,0,0,5.32,3.5,35.7,0.25,8.62,1.92,,0,0.00%,SAT,1218753,134299,20,6227778,8.6,6.85,35.7,0.25,0,0,35.7,0.25,0,3.6,16.9,,
6227782,"Xavier Legette",3300,WR,CAR,LAR,157729,,0,0,0,0,0,0.05,0.15,0,3.38,1.94,20.13,0.16,4.92,1.49,,0,0.00%,SAT,1180321,138501,21,6227782,4.91,3.94,20.28,0.16,0.15,0,20.28,0.16,0,1.03,12.21,,
8216948,"Tetairoa McMillan",6000,WR,CAR,LAR,157729,,0,0,0,0,0,0,0,0,7.8,4.4,54.24,0.36,12.25,2.04,,0,0.00%,SAT,1380576,239536,22,8216948,12.22,10.02,54.24,0.36,0,0,54.24,0.36,0,5.73,22.34,,
8228394,"Jimmy Horn",3000,WR,CAR,LAR,157729,,0,0,0,0,0,0.41,2.04,0.01,1.44,0.94,9.02,0.07,2.52,0.84,,0,0.00%,SAT,1322393,168229,23,8228394,2.51,2.04,11.06,0.08,2.04,0.01,11.06,0.08,0,0,6.93,,
2862165,"Tommy Tremble",2800,TE,CAR,LAR,157729,,0,0,0,0,0,0,0,0,4.28,2.74,23.71,0.16,6.06,2.16,,0,0.00%,SAT,1130555,138593,24,2862165,6.03,4.66,23.71,0.16,0,0,23.71,0.16,0,2.14,13.49,,
3491484,"James Mitchell",2500,TE,CAR,LAR,157729,,0,0,0,0,0,0,0,0,0.22,0.16,1.47,0.01,0.37,0.15,,0,0.00%,SAT,1123712,65553,25,3491484,0.36,0.28,1.47,0.01,0,0,1.47,0.01,0,0,0.74,,
8228395,"Mitchell Evans",2500,TE,CAR,LAR,157729,,0,0,0,0,0,0,0,0,2.17,1.52,13.02,0.08,3.29,1.32,,0,0.00%,SAT,1289471,169321,26,8228395,3.27,2.51,13.02,0.08,0,0,13.02,0.08,0,0,9.05,,
8250519,"Ryan Fitzgerald",,K,CAR,LAR,157729,,0,0,0,0,0,0,0,0,0,0,0,0,6.93,21,,0,0.00%,SAT,1176373,171446,27,8250519,6.93,6.93,0,0,0,0,0,0,6.19,2.42,13.13,,
18442,"Los Angeles Rams",3500,DST,LAR,CAR,157729,,0,0,0,0,0,0,0,0,0,0,0,0,7.74,2.21,41.38,5.3,10.62%,SAT,343,8491,28,18442,7.74,7.74,0,0,0,0,0,0,0,2.7,14.42,7.52,
6227816,"Caleb Williams",5600,QB,CHI,GBP,157730,,31.4,18.94,209.43,1.53,0.35,4.48,16.05,0.16,0,0,0,0,16.87,3.01,55.58,11.22,13.52%,SAT,1286445,171060,29,6227816,16.82,16.82,225.48,1.69,225.48,1.69,16.05,0.16,0,10.43,25.14,9.64,
982875,"Travis Homer",4000,RB,CHI,GBP,157730,,0,0,0,0,0,0.12,0.71,0,0.03,0.02,0.2,0,0.11,0.03,,0,0.00%,SAT,922484,52386,30,982875,0.11,0.1,0.91,0,0.71,0,0.91,0,0,0,0.22,,
1844244,"D'Andre Swift",5700,RB,CHI,GBP,157730,,0,0,0,0,0,14.01,63.27,0.48,2.48,1.74,12.81,0.08,13.34,2.34,35.12,5.43,4.98%,SAT,1069808,58120,31,1844244,13.27,12.4,76.08,0.56,63.27,0.48,76.08,0.56,0,6.82,22.34,6.76,
8228422,"Kyle Monangai",5200,RB,CHI,GBP,157730,,0,0,0,0,0,9.36,44.12,0.32,1.91,1.18,9.64,0.06,8.85,1.7,22.06,1.16,1.61%,SAT,1250886,136192,32,8228422,8.79,8.2,53.76,0.38,44.12,0.32,53.76,0.38,0,4.25,18,2.86,
328733,"D.J. Moore",5300,WR,CHI,GBP,157730,,0,0,0,0,0,0.4,2.2,0.01,4.02,2.29,26.13,0.2,6.4,1.21,22.58,3.33,1.51%,SAT,877790,75269,33,328733,6.39,5.24,28.33,0.21,2.2,0.01,28.33,0.21,0,2.14,14.39,4.92,
982543,"Olamide Zaccheaus",3400,WR,CHI,GBP,157730,,0,0,0,0,0,0.2,1.07,0.01,0.93,0.56,5.94,0.05,1.62,0.48,21.66,1.8,0.81%,SAT,883976,53868,34,982543,1.61,1.33,7.01,0.06,1.07,0.01,7.01,0.06,0,0,3.24,2.68,
1844099,"Devin Duvernay",,WR,CHI,GBP,157730,,0,0,0,0,0,0,0,0,0.3,0.2,1.78,0.02,0.5,21,0.22,0,0.00%,SAT,920756,51057,35,1844099,0.5,0.4,1.78,0.02,0,0,1.78,0.02,0,0,1,0,
6227815,"Rome Odunze",5800,WR,CHI,GBP,157730,Q,0,0,0,0,0,0,0,0,5.1,2.74,34.75,0.28,7.93,1.37,,0,0,SAT,1213727,136241,36,6227815,7.91,6.54,34.75,0.28,0,0,34.75,0.28,0,2.76,16.76,
8222949,"Luther Burden",4600,WR,CHI,GBP,157730,,0,0,0,0,0,0,0,0,5.84,4.02,45.61,0.32,10.8,2.35,48.84,17.93,16.27%,SAT,1377732,235652,37,8222949,10.78,8.77,45.61,0.32,0,0,45.61,0.32,0,4.72,20.31,18,
8268095,"Jahdae Walker",3100,WR,CHI,GBP,157730,,0,0,0,0,0,0,0,0,0.3,0.18,1.86,0.02,0.48,0.15,0.6,0.05,0.01%,SAT,1465213,282939,38,8268095,0.48,0.39,1.86,0.02,0,0,1.86,0.02,0,0,0.96,0,
