PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6400,PG/SG,ATL,HOU,158653,522878,-,29,17.64,3.14,3.05,2.51,1.42,0.73,0.54,20.69,20.78,23.83,1.27,6.19,8.82,4.04,6.4,2.65,2.03,15.22,6.55,28.37,28.37,29.23,4.57,0.05%,135,141,THURS,12451,1,17121,21.25,38.09,3.77,3.77,6.47,21.17,25.7,29.23,32.51,38.05,40.32,50.14,
37814,"Luke Kennard",4200,PG/SG,ATL,HOU,158653,887661,-,24,8.03,2.64,2.16,1.69,0.62,0.8,0.14,10.19,10.67,12.83,0.94,4.8,2.02,1.09,3.76,0.87,0.78,5.78,2.78,16.64,16.64,16.99,4.05,0.05%,135,141,THURS,38279,3,37814,10.96,23.95,1.01,1.01,2.7,10.9,14.2,16.99,19.78,24.09,26.12,34.49,
1115445,"Nickeil Alexander-Walker",7100,SG,ATL,HOU,158653,1067668,-,33,17.95,3.34,3.92,2.88,1.88,1.36,0.69,21.87,21.29,25.21,2.05,7.26,7.46,3.23,7.45,3.34,2.84,14.91,6.11,32.11,32.11,32.61,4.59,0.56%,135,141,THURS,69666,4,1115445,24.18,41.87,1.74,1.74,7.25,24.08,28.85,32.61,36.12,41.89,44.15,55.44,
2439347,"Vit Krejci",3500,SG/SF,ATL,HOU,158653,1257428,,15,6.73,1.32,0.96,1.65,0.38,0.33,0.13,7.69,8.05,9.01,0.46,2.28,1.44,0.62,3.87,0.71,0.53,5.31,2.27,10.75,10.75,11.38,3.25,0.05%,135,141,THURS,161284,6,2439347,6.09,17.71,0,0,0.59,6.09,9,11.38,14.03,18,19.58,26.47,
3005263,"Jalen Johnson",10000,PF,ATL,HOU,158653,1230356,Q,36.5,24.44,10.15,7.4,1.86,3.63,1.3,0.58,31.84,34.59,41.99,1.88,17.55,14.79,7.09,5.43,6.13,4.67,20.22,8.95,49.73,49.73,52.21,5.22,7.36%,135,141,THURS,165214,7,3005263,42.02,63.06,5.22,5.22,22.95,41.72,47.46,52.21,56.71,62.95,65.7,76.94,
3005340,"Corey Kispert",3900,SF/PF,ATL,HOU,158653,1077554,,18,9,1.87,1.39,1.66,0.75,0.54,0.04,10.39,10.87,12.26,0.58,3.26,3.06,1.41,4.44,1.53,1.21,7.5,3.07,14.32,14.32,15.04,3.86,0.05%,135,141,THURS,72585,8,3005340,9.27,21.91,0.51,0.51,2.02,9.24,12.4,15.04,17.68,21.9,23.75,32.19,
3587713,"Christian Koloko",3300,C,ATL,HOU,158653,1193674,,19,4.84,3.6,0.64,0.05,0.6,0.61,1.2,5.48,8.44,9.08,1.81,4.24,3.99,2.15,0.22,0.75,0.4,4.21,2.2,14.95,14.95,13.65,4.14,0.48%,135,141,THURS,92616,9,3587713,8.93,19.09,0,0,1.27,8.69,11.42,13.65,15.64,19.11,20.38,26.81,
3587993,"Dyson Daniels",7000,PG,ATL,HOU,158653,1357745,,33.5,11.96,6.24,5.8,0.51,1.77,1.85,0.41,17.76,18.2,24,2.26,12.04,9.07,4.65,1.9,1.87,1.13,10.97,5.16,33.16,33.16,32.51,4.64,3.51%,135,141,THURS,195261,11,3587993,24.88,41.35,3.58,3.58,6.47,24.77,29.16,32.51,35.86,41.28,43.35,52.9,
4388493,"Keaton Wallace",3000,PG,ATL,HOU,158653,1063166,,3,1.35,0.3,0.35,0.26,0.2,0.08,0.04,1.7,1.65,2,0.12,0.65,0.59,0.25,0.7,0.1,0.07,1.29,0.51,2.4,2.4,2.52,0.84,0.00%,135,141,THURS,245561,12,4388493,0.83,5.09,0,0,0,0,1.58,2.52,4.1,6.3,7.25,12.29,
4878163,"Mouhamed Gueye",3700,PF/C,ATL,HOU,158653,1325101,,29,8.06,6.36,1.84,0.99,0.69,1.68,0.3,9.9,14.42,16.26,1.98,8.2,4.48,1.86,3.54,2.11,1.38,8.02,2.85,23.7,23.7,22.92,6.19,0.05%,135,141,THURS,180180,13,4878163,16.46,29.98,0.09,0.09,27.31,16.37,19.9,22.92,25.69,29.97,31.74,40.3,
