PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6400,PG/SG,ATL,MIA,159079,522878,-,28,18.56,3.56,3.15,2.63,2.05,0.86,0.48,21.71,22.12,25.27,1.34,6.71,9.3,4.29,6.75,2.75,2.1,16.05,6.92,29.53,29.53,30.71,4.8,1.62%,135,137,TUE,12451,1,17121,22.56,39.55,4.41,4.41,9.19,22.65,27.44,30.71,34.23,39.77,42.04,52.61,
18899,"Kristaps Porzingis",5700,PF/C,ATL,MIA,159079,877869,-,18,13.25,3.86,1.42,1.47,0.94,0.56,0.69,14.67,17.11,18.53,1.25,5.28,5.62,2.64,3.83,4.28,3.55,9.45,4.11,22.82,22.82,22.98,4.03,0.05%,135,137,TUE,12577,2,18899,16.36,30.38,0.19,0.19,2.28,16.24,19.98,22.98,25.73,30.47,32.22,39.97,
37814,"Luke Kennard",4000,SG/SF,ATL,MIA,159079,887661,-,18,6.3,2.29,1.6,1.32,0.5,0.57,0.09,7.9,8.59,10.19,0.66,3.89,1.64,0.87,2.93,0.68,0.61,4.57,2.19,12.93,12.93,13.29,3.32,0.05%,135,137,TUE,38279,3,37814,8.11,19.85,0.15,0.15,0.48,7.82,10.94,13.29,15.64,19.8,21.37,28.93,
1115445,"Nickeil Alexander-Walker",7100,SG/SF,ATL,MIA,159079,1067668,,34,18.8,3.4,3.87,3.03,2.63,1.16,0.52,22.67,22.2,26.07,1.68,7.27,7.85,3.37,7.83,3.5,2.97,15.68,6.4,31.1,31.1,32.42,4.57,1.59%,135,137,TUE,69666,4,1115445,24.01,41.46,4.43,4.43,6.69,24.02,28.62,32.42,35.97,41.79,44.32,56.23,
3005263,"Jalen Johnson",10200,PF,ATL,MIA,159079,1230356,,35,23.34,10.69,7,1.81,3.56,1.27,0.61,30.34,34.03,41.03,1.88,17.69,14.29,6.77,5.27,5.77,4.38,19.56,8.58,48.75,48.75,51.22,5.02,20.13%,135,137,TUE,165214,6,3005263,40.83,62.27,18.89,18.89,18.08,40.82,46.66,51.22,55.78,62.63,65.17,77.34,
3005340,"Corey Kispert",3800,SF/PF,ATL,MIA,159079,1077554,,18,8.34,2.27,1.39,1.54,0.71,0.57,0.03,9.73,10.61,12,0.6,3.66,2.82,1.33,4.07,1.35,1.06,6.89,2.87,14.24,14.24,14.88,3.92,0.49%,135,137,TUE,72585,7,3005340,9.22,21.62,0.21,0.21,2.09,9.14,12.53,14.88,17.49,21.93,23.76,32.11,
3587713,"Christian Koloko",3500,C,ATL,MIA,159079,1193674,,11,2.9,2.45,0.45,0.03,0.34,0.37,0.6,3.35,5.35,5.8,0.97,2.9,2.55,1.3,0.2,0.43,0.23,2.75,1.33,9.09,9.09,8.42,2.41,0.05%,135,137,TUE,92616,8,3587713,4.72,12.59,0,0,0,4.59,6.63,8.42,9.95,12.76,13.78,18.88,
3587993,"Dyson Daniels",7400,PG/SG,ATL,MIA,159079,1357745,,33,11.52,6.48,6.67,0.49,1.63,1.96,0.47,18.19,18,24.67,2.43,13.15,9.01,4.49,1.86,1.78,1.07,10.87,4.98,34.96,34.96,34.17,4.62,1.49%,135,137,TUE,195261,10,3587993,26.62,43.49,2.89,2.89,6.41,26.27,30.6,34.17,37.74,43.35,45.9,55.85,
4878163,"Mouhamed Gueye",4400,PF/C,ATL,MIA,159079,1325101,,23,6.14,5.76,2.24,0.72,0.48,1.32,0.61,8.38,11.9,14.14,1.93,8,3.48,1.42,2.67,1.69,1.13,6.15,2.14,21.72,21.72,20.69,4.7,0.31%,135,137,TUE,180180,12,4878163,14.77,27.57,0.78,0.78,6.27,14.82,18.14,20.69,23.24,27.59,29.37,37.29,
6412725,"Zaccharie Risacher",4300,SF,ATL,MIA,159079,1432544,,21,8.36,3.46,1,1.19,0.7,0.39,0.41,9.36,11.82,12.82,0.8,4.46,4.09,1.89,3.38,1.47,1.01,7.47,3.08,15.71,15.71,16.03,3.73,0.05%,135,137,TUE,368366,14,6412725,10.42,22.38,0.17,0.17,0.97,10.18,13.49,16.03,18.57,22.39,24.17,31.3,
