PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
18467,"Anthony Duclair",3800,W,NYI,NYR,8405460,743259,1,2,,0.2777,0.3631,1.6858,0.577,0,0,0,0,0.0622,0.1094,0.6408,0.1716,7.88,2.07,7.54,10.84,1,0.07,17.53,0,,18467,0.564,5.75,15.9,156,2135,30344,1
34547,"Nick Jensen",2600,D,OTT,COL,8405410,733469,2,,,0.0286,0.201,0.686,1.3661,0,0,0,0,0,0,0.2296,0,4.66,1.79,4.96,7.12,2,0,11.01,0,,34547,0.867,3.46,16.5,163,2050,30618,1
893763,"Will Borgen",2500,D,NYR,NYI,8405460,878229,2,,,0.0548,0.1975,1.0752,1.4618,0,0,0,0,0,0,0.2523,0,5.68,2.27,4.88,6.87,3,0.62,11.93,0,,893763,1.889,4.6,18.8,157,2059,83676,0
14246,"Casey Cizikas",2500,C,NYI,NYR,8405460,521884,4,,,0.1262,0.1381,0.9472,0.6765,0,0,0,0,0,0,0.2643,0,4.35,1.74,5.01,7.06,4,0,10.76,0,,14246,1.82,3.84,11.3,156,2135,30928,1
16700,"Rasmus Ristolainen",3200,D,PHI,CBJ,8405400,741411,1,,,0.0609,0.2219,1.4257,1.8239,0,0,0,0,0,0,0.2828,0,7.08,2.21,5.27,7.38,5,1.62,13.83,0,,16700,1.723,5.36,19.4,158,2229,31067,0
31735,"Bo Horvat",7600,C,NYI,NYR,8405460,741412,2,1,,0.4563,0.4104,2.9123,0.5045,0,0,0,0,0.1,0.1074,0.8667,0.2074,11.92,1.57,8.92,12.61,6,2.68,23.34,0,,31735,0.977,8.39,19.1,156,2135,31049,1
17113,"Valeri Nichushkin",5100,W,COL,OTT,8405410,741413,2,2,,0.3412,0.3188,2.0867,0.4236,0,0,0,0,0.0227,0.0417,0.66,0.0644,8.64,1.69,7.94,11.27,7,0.41,18.8,0,,17113,1.038,6.38,16.6,176,2155,30530,0
896240,"Victor Olofsson",4300,W,COL,OTT,8405410,831548,1,1,,0.3496,0.3534,2.1916,0.3929,0,0,0,0,0.1076,0.1175,0.703,0.2251,9.03,2.1,7.93,11.26,8,0.81,19.18,0,,896240,0.566,6.49,18.7,176,2155,81307,0
14408,"James Reimer",7100,G,OTT,COL,8405410,446889,,,C,0,0,0,0,0.4425,25.5844,3.5945,0.0294,0,0,0,0,9.69,1.36,9.43,11.69,9,-0.08,21.76,0,,14408,0,7.22,,163,2050,30203,1
16668,"Nathan MacKinnon",10000,C,COL,OTT,8405410,741404,1,1,,0.5742,1.061,4.3,0.6595,0,0,0,0,0.1814,0.4016,1.6352,0.583,19.8,1.98,11.8,17.02,10,7.58,34.9,0,,16668,0.732,13.31,21.6,176,2155,30677,0
