PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
1115132,"Nic Claxton",,,BKN,CHI,158141,1061682,-,29,13.91,7.55,3.8,0.05,1.07,0.61,1.27,17.71,21.46,25.26,1.88,11.35,9.65,5.74,0.27,3.93,2.29,9.92,5.79,33.24,33.24,32.55,24.98,41.17,0,0,13.44,24.79,29.3,32.55,35.81,41.31,43.09,51.83,17.76%,126,130,SUN,71024,3,1115132,
1115590,"Terance Mann",,,BKN,CHI,158141,879504,-,28,8.72,3.72,4,1.05,0.97,1.16,0.41,12.72,12.44,16.44,1.57,7.72,4.45,2.17,2.93,1.55,1.24,7.38,3.22,22.92,22.92,22.56,16.07,29.75,0,0,25.81,15.97,19.52,22.56,25.35,29.91,31.69,39.8,24.54%,126,130,SUN,74628,4,1115590,
3005094,"Day'Ron Sharpe",,,BKN,CHI,158141,1243725,-,20,9.51,8.07,2.42,0.2,1.53,1.1,0.39,11.93,17.58,20,1.49,10.49,5.97,3.49,0.81,2.84,1.92,6.78,3.69,25.76,25.76,25.72,19.28,33.36,0,0,11.98,19.29,22.89,25.72,28.81,33.44,35.24,43.47,12.92%,126,130,SUN,148967,5,3005094,
3005097,"Cam Thomas",,,BKN,CHI,158141,1232020,,24.5,18.2,2.32,2.45,1.93,1.69,0.39,0.18,20.65,20.52,22.97,0.57,4.77,9.27,3.94,5.36,5.26,4.55,14.63,5.87,24.68,24.68,26.04,18.61,34.19,0,0,8.97,18.46,22.75,26.04,29.07,34.38,36.66,46.01,10.71%,126,130,SUN,149404,6,3005097,
3587834,"Tyrese Martin",,,BKN,CHI,158141,1134107,,17,6.61,2.81,1.66,1.32,0.9,0.6,0.09,8.27,9.42,11.08,0.69,4.47,2.54,1.02,3.81,0.79,0.6,6.35,2.34,13.64,13.64,14.2,8.88,20.6,0,0,5.63,8.78,11.62,14.2,16.52,20.65,22.46,30.21,8.84%,126,130,SUN,89873,9,3587834,
4878197,"Noah Clowney",,,BKN,CHI,158141,1401380,,29.5,14.24,4.19,1.89,2.52,1.67,1.22,0.75,16.13,18.43,20.32,1.97,6.08,4.38,1.66,7.68,4.22,3.36,12.06,4.18,26.34,26.34,26.69,19.26,35.18,0,0,16.33,19.14,23.42,26.69,29.96,35.25,37.27,46.33,16.26%,126,130,SUN,244975,12,4878197,
4878198,"Jalen Wilson",,,BKN,CHI,158141,1174884,,16,6.65,1.38,0.35,1.09,0.39,0.56,0.7,7,8.03,8.38,1.26,1.73,2.5,1,3.21,1.7,1.37,5.71,2.09,12.22,12.22,11.77,6.92,17.89,0,0,1.62,6.65,9.47,11.77,14.07,17.66,19.19,26.1,6.19%,126,130,SUN,90541,13,4878198,
8985498,"Egor Demin",,,BKN,CHI,158141,1523978,,28,11.35,3.11,3.71,1.91,1.26,0.97,0.11,15.06,14.46,18.17,1.08,6.82,4.5,1.93,5.49,2.23,1.76,9.99,3.84,22.63,22.63,23.29,16.33,31.14,0,0,3.72,16.28,20.28,23.29,26.3,31.05,33.08,41.82,2.55%,126,130,SUN,455367,17,8985498,
8985499,"Danny Wolf",,,BKN,CHI,158141,1415928,,24,9.53,5.28,1.88,1.08,0.8,0.81,0.31,11.41,14.81,16.69,1.12,7.16,5.11,2.31,3.13,2.11,1.66,8.24,3.39,21.25,21.25,21.36,15.14,28.94,0,0,18.68,15,18.56,21.36,24.16,28.73,30.77,40.18,18.42%,126,130,SUN,247158,18,8985499,
8998170,"Nolan Traore",,,BKN,CHI,158141,1590550,,24,9.09,2.06,3,1.18,1.13,0.78,0.14,12.09,11.15,14.15,0.92,5.06,4.52,1.96,3.4,1.95,1.62,7.92,3.14,17.69,17.69,18.03,11.88,24.94,0,0,14.29,11.9,15.49,18.03,20.82,25.14,26.92,35.04,14.89%,126,130,SUN,622357,20,8998170,
