PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
17121,"CJ McCollum",,,ATL,PHO,158376,522878,-,26,15.85,3.32,3.04,2.26,1.59,0.52,0.59,18.89,19.17,22.21,1.11,6.36,8.02,3.6,5.82,2.44,1.87,13.84,5.86,26.13,26.13,27.13,18.01,37.7,0,0,0,18.99,18.99,18.99,18.99,18.99,18.99,18.99,0%,135,153,FRI,12451,1,17121,
37814,"Luke Kennard",,,ATL,PHO,158376,887661,-,17,6.08,1.7,1.29,1.29,0.59,0.64,0.05,7.37,7.78,9.07,0.69,2.99,1.54,0.81,2.87,0.65,0.59,4.41,2.1,11.54,11.54,11.87,4.67,21.56,0,0,0,8.31,8.31,8.31,8.31,8.31,8.31,8.31,0%,135,153,FRI,38279,3,37814,
1115445,"Nickeil Alexander-Walker",,,ATL,PHO,158376,1067668,-,33.5,18.16,4.35,4.48,2.33,2.34,1.13,0.48,22.64,22.51,26.99,1.61,8.83,9.51,4.15,6.07,3.39,2.86,15.58,6.48,32.59,32.59,33.54,22.74,46.1,0,0,0,23.48,23.48,23.48,23.48,23.48,23.48,23.48,0%,135,153,FRI,69666,4,1115445,
2439277,"Onyeka Okongwu",,,ATL,PHO,158376,1185367,,34,17.38,8.56,3.43,1.45,2.24,1.75,0.66,20.81,25.94,29.37,2.41,11.99,9.53,4.92,4.07,4.18,3.19,13.6,6.37,37.79,37.79,38.09,26.49,51.34,0,0,0,26.66,26.66,26.66,26.66,26.66,26.66,26.66,0%,135,153,FRI,91845,5,2439277,
2439347,"Vit Krejci",,,ATL,PHO,158376,1257428,,17,6.54,1.6,0.93,1.61,0.48,0.68,0.33,7.47,8.14,9.07,1.01,2.53,1.4,0.6,3.77,0.69,0.51,5.17,2.21,12.41,12.41,12.53,5.06,22.55,0,0,0,8.77,8.77,8.77,8.77,8.77,8.77,8.77,0%,135,153,FRI,161284,6,2439347,
3005263,"Jalen Johnson",,,ATL,PHO,158376,1230356,,37,24.32,10.41,6.14,1.36,4,1.25,0.59,30.46,34.73,40.87,1.84,16.55,15.91,7.86,3.97,5.91,4.53,19.88,9.22,47.54,47.54,49.83,36.77,64.4,0,0,0,34.88,34.88,34.88,34.88,34.88,34.88,34.88,0%,135,153,FRI,165214,7,3005263,
3005340,"Corey Kispert",,,ATL,PHO,158376,1077554,,20,9.7,2.46,1.15,1.79,1.09,0.84,0.09,10.85,12.16,13.31,0.93,3.61,3.29,1.52,4.79,1.64,1.28,8.08,3.31,16.08,16.08,16.72,8.62,26.78,0,0,0,11.7,11.7,11.7,11.7,11.7,11.7,11.7,0.23%,135,153,FRI,72585,8,3005340,
3587993,"Dyson Daniels",,,ATL,PHO,158376,1357745,,32.5,11.07,7.28,6.18,0.47,2.13,1.91,0.5,17.25,18.35,24.53,2.41,13.46,8.61,4.28,1.79,1.81,1.1,10.4,4.75,34.18,34.18,33.6,23.8,44.69,0,0,0,23.52,23.52,23.52,23.52,23.52,23.52,23.52,0%,135,153,FRI,195261,11,3587993,
4388493,"Keaton Wallace",,,ATL,PHO,158376,1063166,,1,0.47,0.12,0.12,0.09,0.08,0.03,0.01,0.59,0.59,0.71,0.04,0.24,0.21,0.09,0.24,0.04,0.03,0.45,0.18,0.83,0.83,0.93,0.48,1.5,0,0,0,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0%,135,153,FRI,245561,12,4388493,
4878163,"Mouhamed Gueye",,,ATL,PHO,158376,1325101,,18.5,4.26,4.55,1.15,0.52,0.54,0.97,0.61,5.41,8.81,9.96,1.58,5.7,2.45,0.97,1.89,1.13,0.75,4.34,1.49,15.65,15.65,14.89,7.97,23.43,0,0,0,10.42,10.42,10.42,10.42,10.42,10.42,10.42,0%,135,153,FRI,180180,13,4878163,
