PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,OWNERSHIP
31729,"Andrew Copp",3900,C,DET,OTT,8404660,744810,2,2,,0.1983,0.3698,1.4586,0.6867,0,0,0,0,0.0289,0.0666,0.5681,0.0955,7,1.79,6.59,9.57,1,0.17,15.44,16,,31729,0.545,5.13,16.8,172,2075,30594,1,
31746,"Radek Faksa",2500,C,DAL,TBL,8404700,659857,4,,,0.0634,0.0982,0.6683,0.5872,0,0,0,0,0,0,0.1616,0,3.03,1.21,4.44,6.3,2,0,8.71,0,,31746,1.138,2.6,11.1,181,1954,30523,1,40
34547,"Nick Jensen",2600,D,OTT,DET,8404660,733469,2,,,0.0314,0.1915,0.7353,1.1904,0,0,0,0,0,0,0.2229,0,4.38,1.68,4.74,6.74,3,0,10.45,0.3,,34547,0.823,3.29,16.1,163,2050,30618,0,
37698,"Alex DeBrincat",7200,W,DET,OTT,8404660,920337,2,1,,0.4547,0.5022,2.9239,0.4232,0,0,0,0,0.1377,0.1797,0.9569,0.3174,12.31,1.71,9.13,12.99,4,2.85,24,22.7,,37698,0.629,8.56,17.3,172,2075,37837,1,
5274308,"Max Crozier",2900,D,TBL,DAL,8404700,1172319,3,,,0.046,0.1842,1.3049,1.064,0,0,0,0,0,0,0.2302,0,5.13,1.77,4.87,6.84,5,0.08,11.36,1,,5274308,1.295,4.03,15.8,167,2218,262433,0,
16699,"Zemgus Girgensons",2500,W,TBL,DAL,8404700,659858,3,,,0.1184,0.1121,1.1768,0.6138,0,0,0,0,0,0,0.2305,0,4.4,1.76,5.02,7.07,6,0,10.83,1,,16699,2.411,4.15,14.4,167,2218,30275,0,
9190220,"Isaac Howard",2500,W,EDM,STL,8404690,1394927,3,2,,0.1203,0.1423,1.0817,0.2302,0,0,0,0,0.0117,0.0165,0.2626,0.0282,3.79,1.52,4.99,7.03,7,0,10.18,1,,9190220,0.652,2.94,9.9,177,1953,204733,1,
555386,"Trent Frederic",2500,W,EDM,STL,8404690,920239,2,,,0.1324,0.1584,1.1002,0.4275,0,0,0,0,0,0,0.2908,0,4.33,1.73,5.01,7.05,8,0,10.74,1,,555386,2.3,4.11,11.7,177,1953,82490,1,
16667,"Cam Fowler",3300,D,STL,EDM,8404690,550762,3,,,0.0629,0.2697,1.0103,1.2086,0,0,0,0,0,0,0.3326,0,5.51,1.67,5.26,7.55,9,0.06,12.24,0.3,,16667,0.371,3.86,19.5,174,1944,30980,0,
5278036,"Matt Savoie",2500,W,EDM,STL,8404690,1394907,3,2,,0.1595,0.2029,1.327,0.4703,0,0,0,0,0.0112,0.0181,0.3624,0.0293,5.22,2.09,5.38,7.67,10,0,12.11,6,,5278036,0.533,3.85,14,177,1953,204712,1,
58046,"Connor Ingram",8200,G,EDM,STL,8404690,893577,,,C,0,0,0,0,0.6,21.6128,2.879,0.0654,0,0,0,0,9.76,1.19,7.43,9.73,11,2.06,19.27,16,,58046,0,7.93,,177,1953,40250,1,
14408,"James Reimer",7500,G,OTT,DET,8404660,446889,,,B,0,0,0,0,0.4762,22.6966,3.3173,0.0408,0,0,0,0,8.6,1.15,8.12,10.37,12,0.19,18.99,10.7,,14408,0,6.52,,163,2050,30203,0,
6881419,"Justin Hryckowian",2500,C,DAL,TBL,8404700,1505690,3,,,0.0994,0.1329,0.8548,0.4071,0,0,0,0,0,0,0.2323,0,3.5,1.4,4.97,7.02,13,0,9.86,0.3,,6881419,1.325,3.05,11.3,181,1954,501678,1,
31676,"Curtis Lazar",2500,C,EDM,STL,8404690,741449,4,,,0.0724,0.0973,0.6296,0.4248,0,0,0,0,0,0,0.1697,0,2.78,1.11,4.42,6.28,14,0,8.44,0.3,,31676,1.883,2.82,8.9,177,1953,30738,1,
2295911,"Jake Sanderson",6800,D,OTT,DET,8404660,1248071,1,1,,0.1323,0.5037,2.1465,1.8991,0,0,0,0,0.0591,0.1467,0.636,0.2058,10.64,1.56,6.9,9.93,15,3.49,19.47,5,,2295911,0.649,7.28,24,163,2050,158608,0,
2296243,"Jake Neighbours",3800,W,STL,EDM,8404690,1248093,2,1,,0.2958,0.2594,1.5697,0.6182,0,0,0,0,0.0732,0.0674,0.5552,0.1406,7.35,1.93,7.05,10.04,16,0.05,16.37,9.3,,2296243,2.108,6.12,16.1,174,1944,158699,0,
34544,"Esa Lindell",3600,D,DAL,TBL,8404700,680652,1,2,,0.0602,0.2299,1.1536,2.2079,0,0,0,0,0.009,0.0186,0.2901,0.0276,7.44,2.07,5.26,7.4,17,1.99,14.17,4.7,,34544,0.903,5.11,23.8,181,1954,30528,1,
17151,"David Perron",2800,W,OTT,DET,8404660,392970,4,2,,0.1744,0.2317,1.1534,0.2891,0,0,0,0,0.051,0.0635,0.4061,0.1145,4.93,1.76,5.79,8.28,18,0,12.34,3,,17151,1.164,4.05,11.7,163,2050,30170,0,
31680,"Colton Parayko",4000,D,STL,EDM,8404690,680852,1,,,0.0793,0.2659,1.2744,2.3053,0,0,0,0,0,0,0.3452,0,8.22,2.06,5.63,7.94,19,2.39,15.43,4.7,,31680,1.279,5.76,22.1,174,1944,30565,0,
2299114,"Gage Goncalves",3000,W,TBL,DAL,8404700,1248183,2,2,,0.1233,0.2132,0.9001,0.3505,0,0,0,0,0.0177,0.0358,0.3365,0.0535,4.09,1.36,5.29,7.59,20,0,10.86,0,,2299114,0.999,3.37,11.9,167,2218,158693,0,40
2295913,"Ridly Greig",3100,W,OTT,DET,8404660,1248095,2,2,,0.1857,0.2327,1.4725,0.5893,0,0,0,0,0.025,0.0421,0.4184,0.0671,6.03,1.95,5.93,8.39,21,0,13.62,2.3,,2295913,1.506,4.89,16.3,163,2050,158610,0,
34560,"Nick Paul",3300,C,TBL,DAL,8404700,744807,1,2,,0.1817,0.1939,1.4223,0.4483,0,0,0,0,0.0213,0.0274,0.3756,0.0487,5.48,1.66,5.76,8.1,22,0,12.85,12.7,,34560,1.133,4.33,15.3,167,2218,82903,0,
2296342,"Dylan Holloway",4900,W,STL,EDM,8404690,1248086,3,2,,0.3046,0.3772,2.143,0.6894,0,0,0,0,0.0474,0.0698,0.6818,0.1172,9.17,1.87,7.63,10.91,23,1.27,18.94,12,,2296342,2.258,7.36,17.2,174,1944,158633,0,
2296463,"Mavrik Bourque",3000,W,DAL,TBL,8404700,1248097,3,2,,0.1515,0.1922,1.4552,0.4046,0,0,0,0,0.0199,0.03,0.3437,0.0499,5.19,1.73,5.28,7.42,24,0,11.95,4.3,,2296463,0.729,3.93,13.9,181,1954,158700,1,
16861,"Nick Bjugstad",2600,C,STL,EDM,8404690,550769,3,,,0.1613,0.1635,1.3884,0.5055,0,0,0,0,0,0,0.3248,0,5.19,2,5.71,8.06,25,0,12.5,5.3,,16861,1.419,4.23,12.2,174,1944,29998,0,
1278918,"Fabian Zetterlund",3300,W,OTT,DET,8404660,1057171,1,2,,0.1867,0.2076,1.5365,0.5983,0,0,0,0,0.0339,0.0567,0.3943,0.0906,6.03,1.83,5.93,8.39,26,0,13.62,8,,1278918,1.381,4.82,13.4,163,2050,91992,0,
2299112,"Jack Finley",2500,C,TBL,DAL,8404700,1248176,4,,,0.0723,0.0971,0.6131,0.2353,0,0,0,0,0,0,0.1694,0,2.45,0.98,4.39,6.25,27,0,8.07,0,,2299112,1.044,2.19,7.9,167,2218,158686,0,40
17115,"Patrick Kane",5100,W,DET,OTT,8404660,392942,2,2,,0.2552,0.4594,2.1598,0.3303,0,0,0,0,0.0485,0.108,0.7146,0.1565,8.62,1.69,7.41,10.73,28,0.94,18.1,11.3,,17115,0.367,6.12,15.1,172,2075,30639,1,
17222,"James van Riemsdyk",4000,W,DET,OTT,8404660,392943,1,1,,0.2988,0.365,1.9186,0.392,0,0,0,0,0.0968,0.1266,0.6638,0.2234,8.16,2.04,7.52,10.82,29,0.37,17.79,24,,17222,0.523,5.94,15.3,172,2075,29821,1,
14278,"Lars Eller",2500,C,OTT,DET,8404660,392954,4,,,0.1036,0.1403,0.9377,0.466,0,0,0,0,0,0,0.2439,0,3.8,1.52,4.97,7.02,30,0,10.16,0.3,,14278,0.668,2.92,11.4,163,2050,29793,0,
2298980,"Tyler Kleven",2500,D,OTT,DET,8404660,1248156,3,,,0.0418,0.1286,1.0148,1.2971,0,0,0,0,0,0,0.1704,0,4.78,1.91,4.72,6.58,31,0,10.82,2.7,,2298980,1.396,3.78,15.7,163,2050,158612,0,
2033165,"Philip Broberg",3200,D,STL,EDM,8404690,1172190,1,1,,0.0927,0.3485,1.4119,1.5499,0,0,0,0,0.0274,0.0612,0.4412,0.0886,7.45,2.33,6.08,8.7,32,1.15,15.23,20,,2033165,0.732,5.32,22.3,174,1944,112788,0,
16714,"Mattias Ekholm",3800,D,EDM,STL,8404690,595927,1,2,,0.1062,0.2985,1.7817,1.4781,0,0,0,0,0.0112,0.0157,0.4047,0.0269,7.79,2.05,5.87,8.28,33,1.71,15.3,4,,16714,1.25,5.73,21.7,177,1953,30023,1,
1321494,"Logan Mailloux",2600,D,STL,EDM,8404690,1321494,3,,,0.0372,0.1744,0.8535,0.9414,0,0,0,0,0,0,0.2116,0,4.08,1.57,4.73,6.72,34,0,10.13,0,,1321494,1.092,3.26,14.2,174,1944,164998,0,40
1286008,"Darren Raddysh",6200,D,TBL,DAL,8404700,849370,1,1,,0.1605,0.533,2.3646,1.0847,0,0,0,0,0.0805,0.1792,0.6935,0.2597,9.79,1.58,7.53,10.92,35,1.99,19.43,10.3,,1286008,1.114,7.23,24.4,167,2218,82823,0,
671953,"Drake Batherson",5500,W,OTT,DET,8404660,1057231,1,1,,0.2992,0.4078,2.0924,0.3721,0,0,0,0,0.088,0.1261,0.707,0.2141,8.69,1.58,7.6,10.88,36,0.82,18.42,8.3,,671953,1.47,6.73,17.3,163,2050,82907,0,
4904615,"Emmitt Finnie",3100,W,DET,OTT,8404660,1453286,3,2,,0.1994,0.2662,1.4799,0.5162,0,0,0,0,0.0341,0.0519,0.4656,0.086,6.22,2.01,6.09,8.69,37,0,14.02,9,,4904615,1.3,4.95,14.6,172,2075,278331,1,
414800,"Jacob Bernard-Docker",2500,D,DET,OTT,8404660,1121472,3,,,0.0299,0.1367,0.6878,1.4483,0,0,0,0,0,0,0.1666,0,4.5,1.8,4.62,6.49,38,0,10.41,1.3,,414800,0.987,3.36,14.4,172,2075,75434,1,
1283986,"Jordan Spence",2700,D,OTT,DET,8404660,1172292,3,,,0.0571,0.258,1.1495,0.9309,0,0,0,0,0,0,0.3151,0,5.12,1.9,5.15,7.44,39,0,11.71,2.3,,1283986,1.023,3.97,16.5,163,2050,91920,0,
34557,"Oskar Sundqvist",2500,C,STL,EDM,8404690,680817,4,2,,0.1177,0.1967,0.8934,0.6639,0,0,0,0,0.0228,0.0411,0.3144,0.0639,4.47,1.79,5.16,7.33,40,0,11.07,0.7,,34557,1.119,3.64,13.7,174,1944,30178,0,
37747,"Miro Heiskanen",6700,D,DAL,TBL,8404700,1057101,1,1,,0.1178,0.5667,1.9969,1.6223,0,0,0,0,0.058,0.2351,0.6845,0.2931,9.94,1.48,7.16,10.45,41,2.52,19.1,7.3,,37747,0.656,7.07,26.4,181,1954,82268,1,
37746,"Roope Hintz",5300,C,DAL,TBL,8404700,878170,2,1,,0.3574,0.4496,2.2296,0.4861,0,0,0,0,0.1145,0.1815,0.807,0.296,9.86,1.86,8.39,12.07,42,1.17,20.6,17,,37746,0.854,7.23,18.3,181,1954,37812,1,
2295912,"Tim Stutzle",7200,C,OTT,DET,8404660,1207614,1,1,,0.3297,0.596,2.2378,0.573,0,0,0,0,0.086,0.1772,0.9257,0.2632,10.62,1.48,8.68,12.58,43,1.63,21.73,8.3,,2295912,1.422,8.02,19.5,163,2050,158609,0,
2296188,"Lucas Raymond",5900,W,DET,OTT,8404660,1207659,1,1,,0.3147,0.6463,2.0427,0.3974,0,0,0,0,0.0898,0.2343,0.961,0.3241,10.08,1.71,8.51,12.5,44,1.26,20.97,20.3,,2296188,0.657,7.4,18,172,2075,158681,1,
1283476,"Moritz Seider",6400,D,DET,OTT,8404660,1166563,1,1,,0.1332,0.6064,2.0385,2.339,0,0,0,0,0.0615,0.2358,0.7396,0.2973,11.8,1.84,7.35,10.65,45,4.19,21.21,19.8,,1283476,2.406,8.95,25.8,172,2075,92082,1,
415161,"Tyler Tucker",2500,D,STL,EDM,8404690,1121672,2,,,0.0477,0.1549,0.9852,1.1774,0,0,0,0,0,0,0.2026,0,4.76,1.9,4.61,6.47,46,0,10.66,1,,415161,1.818,3.98,16.3,174,1944,75516,0,
555946,"Alexey Toropchenko",2500,W,STL,EDM,8404690,1057223,4,,,0.1152,0.1308,1.0893,0.7001,0,0,0,0,0,0,0.246,0,4.47,1.79,5.05,7.09,47,0,10.93,0,,555946,2.075,4.04,12.2,174,1944,82507,0,40
414594,"Nils Lundkvist",2600,D,DAL,TBL,8404700,1121474,2,,,0.0395,0.1565,1.0657,1.0489,0,0,0,0,0,0,0.196,0,4.53,1.74,4.65,6.5,48,0,10.48,1.3,,414594,0.887,3.42,15.6,181,1954,75390,1,
1279980,"Jake Oettinger",7600,G,DAL,TBL,8404700,1057135,,,C,0,0,0,0,0.4878,22.747,3.0379,0.055,0,0,0,0,9.6,1.26,8.12,10.37,49,1.19,19.99,21.2,,1279980,0,7.46,,181,1954,92109,1,
31694,"Dylan Larkin",6400,C,DET,OTT,8404660,831080,1,1,,0.3875,0.4961,2.6586,0.4377,0,0,0,0,0.1227,0.1914,0.8836,0.3141,11.15,1.74,8.48,12.14,50,2.36,22,29.2,,31694,0.576,7.85,18.7,172,2075,30619,1,
122302,"Anthony Cirelli",5000,C,TBL,DAL,8404700,878193,2,2,,0.2463,0.3206,1.8023,0.8024,0,0,0,0,0.0204,0.0418,0.5669,0.0622,7.95,1.59,6.87,9.81,51,0.83,16.74,10.7,,122302,0.622,5.71,17.8,167,2218,39720,0,
4579713,"Marco Kasper",2900,W,DET,OTT,8404660,1264486,3,,,0.1651,0.1616,1.3041,0.473,0,0,0,0,0,0,0.3267,0,5.02,1.73,5.7,8.05,52,0,12.32,3.3,,4579713,1.624,4.23,11.3,172,2075,204732,1,
1283916,"Jason Robertson",8600,W,DAL,TBL,8404700,1057147,2,1,,0.4773,0.5648,3.0363,0.4968,0,0,0,0,0.1621,0.2012,1.0421,0.3633,13.14,1.53,10.01,14.32,53,2.77,25.95,11.3,,1283916,0.831,9.25,19.6,181,1954,82258,1,
4200013,"J.J. Moser",3000,D,TBL,DAL,8404700,1167037,1,,,0.0865,0.2751,1.4067,1.5702,0,0,0,0,0,0,0.3616,0,7.1,2.37,5.86,8.29,54,1.03,14.6,7,,4200013,1.206,5.2,22.6,167,2218,165063,0,
4200212,"Wyatt Johnston",6600,C,DAL,TBL,8404700,1321477,1,1,,0.3964,0.4799,2.5443,0.6334,0,0,0,0,0.1215,0.1582,0.8763,0.2797,11.18,1.69,9.05,12.93,55,1.8,22.76,16.7,,4200212,0.655,7.94,20.9,181,1954,165117,1,
4900972,"Otto Stenberg",2700,W,STL,EDM,8404690,1453026,1,,,0.1158,0.2085,0.9674,0.5745,0,0,0,0,0,0,0.3243,0,4.47,1.66,5.31,7.62,56,0,11.27,1,,4900972,1.42,3.78,14,174,1944,260604,0,
415407,"Oskar Back",2500,W,DAL,TBL,8404700,1121531,3,,,0.0548,0.1278,0.5233,0.4662,0,0,0,0,0,0,0.1826,0,2.69,1.08,4.42,6.28,57,0,8.35,0,,415407,0.473,2.07,11.3,181,1954,75523,1,40
