PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6600,PG/SG,ATL,GSW,157814,522878,-,27.5,14.88,3.28,3.11,2.15,1.69,0.6,0.27,17.99,18.16,21.27,0.87,6.39,7.36,3.4,5.35,2.1,1.64,12.71,5.55,24.4,24.4,25.62,3.88,0.74%,135,150,SUN,12451,1,17121,18.44,33.82,1.34,1.34,1.19,18.37,22.48,25.62,28.52,33.84,35.77,45.68,
18899,"Kristaps Porzingis",6000,C,ATL,GSW,157814,877869,Q,21,13.89,4.53,2.25,1.52,1.2,0.8,0.93,16.14,18.42,20.67,1.73,6.78,5.92,2.79,4.01,4.5,3.74,9.93,4.31,26.69,26.69,26.57,4.43,1.42%,135,150,SUN,12577,2,18899,19.18,34.68,2.15,2.15,6.19,19.09,23.47,26.57,29.92,34.82,36.89,46.44,
37814,"Luke Kennard",3700,PG/SG,ATL,GSW,157814,887661,-,14,3.79,1.14,1.38,0.81,0.46,0.59,0.08,5.17,4.93,6.31,0.67,2.52,0.97,0.5,1.81,0.41,0.37,2.78,1.31,8.78,8.78,8.8,2.38,0.38%,135,150,SUN,38279,3,37814,4.83,13.51,0.12,0.12,0,4.84,7.04,8.8,10.56,13.42,14.96,20.46,
1115445,"Nickeil Alexander-Walker",7300,SG,ATL,GSW,157814,1067668,,33.5,18.09,3.71,3.43,2.35,2.38,1.42,0.48,21.52,21.8,25.23,1.9,7.14,9.64,4.15,6.16,3.28,2.75,15.8,6.5,31.01,31.01,31.67,4.34,1.07%,135,150,SUN,69666,4,1115445,23.6,40.67,2.69,2.69,4.11,23.26,28.21,31.67,35.13,40.82,42.8,52.7,
2439277,"Onyeka Okongwu",7300,C,ATL,GSW,157814,1185367,,30.5,14.78,7.8,3.06,1.23,1.75,1.63,0.66,17.84,22.58,25.64,2.29,10.86,8.06,4.23,3.43,3.45,2.63,11.49,5.46,33.85,33.85,33.97,4.65,15.97%,135,150,SUN,91845,5,2439277,26.27,42.5,18.05,18.05,6.13,26.29,30.71,33.97,37.46,42.58,44.91,55.14,
2439347,"Vit Krejci",4100,SF,ATL,GSW,157814,1257428,,18.5,6.44,2.04,1.32,1.58,0.72,1.05,0.23,7.76,8.48,9.8,1.28,3.36,1.33,0.62,3.59,0.6,0.45,4.92,2.2,13.99,13.99,13.96,3.4,0.69%,135,150,SUN,161284,6,2439347,8.33,20.38,0.63,0.63,0.63,8.08,11.27,13.96,16.41,20.33,22.04,29.39,
3005263,"Jalen Johnson",10800,PF,ATL,GSW,157814,1230356,,36.5,23.27,10.22,8.3,1.3,3.41,1.15,0.59,31.57,33.49,41.79,1.74,18.52,14.96,7.63,3.73,5.34,4.1,18.69,8.93,49.79,49.79,52.43,4.85,7.69%,135,150,SUN,165214,7,3005263,42.43,63.41,7.83,7.83,13.5,42.14,47.91,52.43,56.69,63.47,66.23,78.02,
3005340,"Corey Kispert",4000,SF/PF,ATL,GSW,157814,1077554,,18,6.8,2.08,1.36,1.26,0.7,0.66,0.14,8.16,8.88,10.24,0.8,3.44,2.26,1.09,3.31,1.1,0.84,5.57,2.35,13.04,13.04,13.32,3.33,0.35%,135,150,SUN,72585,8,3005340,8.07,19.6,0.68,0.68,0.42,7.89,11.1,13.32,15.79,19.73,21.21,28.61,
3587993,"Dyson Daniels",7000,PG/SG,ATL,GSW,157814,1357745,,34,11.53,6.21,6.42,0.49,2.51,1.76,0.68,17.95,17.74,24.16,2.44,12.63,8.88,4.46,1.84,1.86,1.13,10.72,4.95,33.42,33.42,33.04,4.72,5.53%,135,150,SUN,195261,10,3587993,25.4,43.94,7.15,7.15,9.85,25.03,29.54,33.04,36.54,42.05,44.3,53.82,
4878163,"Mouhamed Gueye",4200,PF/C,ATL,GSW,157814,1325101,,4,1.12,1.06,0.27,0.1,0.16,0.11,0.1,1.39,2.18,2.45,0.21,1.33,0.64,0.31,0.28,0.26,0.2,0.92,0.41,3.27,3.27,3.24,0.77,0.04%,135,150,SUN,180180,12,4878163,0.85,6.48,0,0,0,1.39,2.31,3.24,4.17,5.55,5.9,6.17,
8985462,"Asa Newell",3000,PF/C,ATL,GSW,157814,1524332,,2.5,0.81,0.53,0.16,0.09,0.11,0.07,0.04,0.97,1.34,1.5,0.11,0.69,0.43,0.2,0.26,0.18,0.14,0.69,0.29,1.91,1.91,1.92,0.64,0.04%,135,150,SUN,457543,16,8985462,0.43,3.8,0,0,0,0,1.28,1.92,3.2,5.12,6.08,10.24,
1115132,"Nic Claxton",5900,C,BKN,MEM,157807,1061682,,29,13.64,8.28,3.02,0.05,1.61,0.97,1.44,16.66,21.92,24.94,2.41,11.3,9.3,5.67,0.25,3.76,2.22,9.55,5.72,33.73,33.73,33,5.59,0.00%,126,142,SUN,71024,21,1115132,25.44,41.35,0,0,0,25.29,29.63,33,36.13,41.43,43.6,52.51,
1115590,"Terance Mann",3400,SG,BKN,MEM,157807,879504,,27,7.35,3.68,3.87,0.88,1.12,1.26,0.54,11.22,11.03,14.9,1.8,7.55,3.78,1.81,2.49,1.32,1.1,6.27,2.69,21.85,21.85,21.24,6.25,0.00%,126,142,SUN,74628,22,1115590,14.95,28.32,0,0,0,14.89,18.31,21.24,23.93,28.32,30.03,37.11,
3005094,"Day'Ron Sharpe",4800,C,BKN,MEM,157807,1243725,,18,6.95,6.14,2.93,0.16,1.59,1.15,0.45,9.88,13.09,16.02,1.6,9.07,4.48,2.56,0.66,2.1,1.39,5.14,2.72,21.92,21.92,21.54,4.49,0.00%,126,142,SUN,148967,23,3005094,15.51,28.29,0,0,0,15.53,18.78,21.54,24.3,28.3,30.06,37.57,
3005097,"Cam Thomas",6000,SG,BKN,MEM,157807,1232020,,24.5,18.9,2.42,2.34,1.98,2.21,0.25,0.23,21.24,21.32,23.66,0.48,4.76,9.5,4.14,5.49,5.51,4.76,14.99,6.12,24.54,24.54,26.28,4.38,0.00%,126,142,SUN,149404,24,3005097,19.06,34.65,0,0,0,19.07,22.93,26.28,29.63,34.78,37.1,45.86,
3587834,"Tyrese Martin",3000,PG,BKN,MEM,157807,1134107,,13,5.59,2.28,1.38,1.11,0.82,0.36,0.01,6.97,7.87,9.25,0.37,3.66,2.22,0.87,3.28,0.7,0.53,5.5,1.98,10.69,10.69,11.4,3.8,0.00%,126,142,SUN,89873,27,3587834,6.44,17.25,0,0,0,6.22,9.07,11.4,13.73,17.36,18.91,25.91,
4878197,"Noah Clowney",5300,PF,BKN,MEM,157807,1401380,,30,14.3,4.24,2.16,2.54,2.28,1.45,1.11,16.46,18.54,20.7,2.56,6.4,4.38,1.69,7.68,4.2,3.33,12.06,4.23,28.03,28.03,28.1,5.3,0.00%,126,142,SUN,244975,30,4878197,20.35,36.64,0,0,0,20.14,24.62,28.1,31.33,36.55,38.54,48.49,
4878198,"Jalen Wilson",3000,SF/PF,BKN,MEM,157807,1174884,,16,6.73,1.2,0.3,1.11,0.43,0.72,0,7.03,7.93,8.23,0.72,1.5,2.61,1,3.27,1.76,1.42,5.88,2.11,10.35,10.35,10.46,3.49,0.00%,126,142,SUN,90541,31,4878198,5.73,16.3,0,0,0,5.75,8.11,10.46,12.81,16.21,17.78,25.37,
8985498,"Egor Demin",5400,PG,BKN,MEM,157807,1523978,,28,12.5,4.13,4.08,2.11,2.26,1.25,0.13,16.58,16.63,20.71,1.38,8.21,4.99,2.14,6.07,2.47,1.95,11.06,4.25,25.46,25.46,26.49,4.91,0.00%,126,142,SUN,455367,35,8985498,18.85,34.83,0,0,0,18.92,23.21,26.49,29.77,35.07,37.34,47.18,
8985499,"Danny Wolf",4100,PF/C,BKN,MEM,157807,1415928,,30,11.48,5.73,1.95,1.3,1.56,0.98,0.42,13.43,17.21,19.16,1.4,7.68,6.19,2.81,3.76,2.55,2,9.95,4.11,23.92,23.92,24.3,5.93,0.00%,126,142,SUN,247158,36,8985499,17.52,32.12,0,0,0,17.47,21.26,24.3,27.34,32.15,33.92,42.27,
8998170,"Nolan Traore",3200,PG,BKN,MEM,157807,1590550,,23,9.59,2.76,2.76,1.25,1.62,0.96,0.17,12.35,12.35,15.11,1.13,5.52,4.8,2.09,3.6,2.07,1.72,8.4,3.34,18.81,18.81,19.26,6.02,0.00%,126,142,SUN,622357,38,8998170,13.09,26.5,0,0,0,13.01,16.58,19.26,22.19,26.53,28.57,36.73,
16879,"Tim Hardaway Jr.",4500,SF/PF,DEN,MIL,157813,551771,,24.5,11.5,2.33,1.16,2.31,0.39,0.27,0.14,12.66,13.83,14.99,0.41,3.49,3.38,1.42,6.17,2.02,1.74,9.55,3.73,16.88,16.88,17.93,3.98,0.42%,145,134,SUN,12479,41,16879,11.31,25.37,1.24,1.24,3.15,11.17,15.07,17.93,20.53,25.21,27.28,35.6,
18601,"Aaron Gordon",6400,PF,DEN,MIL,157813,748788,,24.5,16.45,6.05,1.73,1.82,1.88,0.45,0.08,18.18,22.5,24.23,0.53,7.78,6.67,3.5,4.58,5.06,3.99,11.25,5.32,26.02,26.02,27.73,4.33,2.15%,145,134,SUN,12545,42,18601,20.06,36.22,1.92,1.92,3.87,19.96,24.36,27.73,31.1,36.28,38.36,47.69,
35211,"Jamal Murray",9900,PG,DEN,MIL,157813,891352,Q,36.5,28.72,5.33,9.49,3.48,2.58,0.77,0.39,38.21,34.05,43.54,1.16,14.82,14.48,6.76,8.32,5.42,4.76,22.8,10.24,50.25,50.25,53.16,5.37,26.62%,145,134,SUN,28062,44,35211,41.84,65.06,25.63,25.63,29.25,41.52,48.1,53.16,57.72,65.1,67.84,79.74,
408913,"Bruce Brown",4300,PG/SG,DEN,MIL,157813,941834,,20,6,4,2,0.42,0.96,1.01,0.08,8,10,12,1.09,6,3.98,1.85,1.34,1.33,1.06,5.32,2.27,16.11,16.11,15.91,3.7,0.23%,145,134,SUN,75331,45,408913,10.29,22.87,0.1,0.1,1.25,10.07,13.31,15.91,18.51,22.73,24.68,32.8,
2439457,"Zeke Nnaji",4600,C,DEN,MIL,157813,1193676,,18,5.99,3.87,0.64,0.47,0.56,0.37,0.45,6.63,9.86,10.5,0.82,4.51,3.05,1.54,1.46,2.06,1.49,4.51,2.01,13.49,13.49,13.39,2.91,0.09%,145,134,SUN,92620,47,2439457,8.88,18.41,0.2,0.2,0.01,8.78,11.41,13.39,15.15,18.44,19.54,25.68,
3588036,"Peyton Watson",7500,SF/PF,DEN,MIL,157813,1326502,,34,18.65,5.77,2.35,1.82,2.42,1.2,0.69,21,24.42,26.77,1.89,8.12,9.78,4.8,4.99,5.1,3.58,14.77,6.62,32.35,32.35,32.95,4.39,2.78%,145,134,SUN,180124,48,3588036,24.63,41.95,3.43,3.43,4.65,24.53,29.48,32.95,36.67,42.12,44.59,54.5,
3588037,"Christian Braun",5200,SG,DEN,MIL,157813,1174878,,26,9.09,3.81,2.55,0.8,0.69,0.81,0.32,11.64,12.9,15.45,1.13,6.36,4.98,2.48,2.42,2.26,1.73,7.4,3.28,20.19,20.19,20,3.85,0.44%,145,134,SUN,90542,49,3588037,13.85,26.71,0.67,0.67,1.21,13.67,17.22,20,22.53,26.58,28.61,36.2,
4878294,"Jalen Pickett",4700,PG/SG,DEN,MIL,157813,1136567,,16,4.67,2.14,2.86,0.97,0.8,0.32,0.21,7.53,6.81,9.67,0.53,5,1.8,0.81,2.41,0.18,0.15,4.21,1.78,12.32,12.32,12.78,2.72,0.17%,145,134,SUN,87084,50,4878294,7.79,18.69,0.04,0.04,0.02,7.67,10.48,12.78,15.08,18.91,20.19,27.35,
6412857,"DaRon Holmes",4200,C,DEN,MIL,157813,1334228,,16.5,4.77,3.4,1.87,0.44,0.48,0.43,0.37,6.64,8.17,10.04,0.8,5.27,2.73,1.3,1.24,1.13,0.86,3.97,1.74,13.58,13.58,13.41,3.19,0.10%,145,134,SUN,179465,53,6412857,8.68,18.82,0.26,0.26,0.08,8.62,11.25,13.41,15.57,18.92,20.12,26.58,
6863241,"Spencer Jones",5100,SF/PF,DEN,MIL,157813,1176586,Q,24,5.01,3.92,1.69,0.76,0.58,1.2,0.48,6.7,8.93,10.62,1.68,5.61,2.3,1,2.21,0.98,0.72,4.51,1.76,16.71,16.71,15.9,3.12,0.30%,145,134,SUN,89746,54,6863241,10.47,22.36,0.04,0.04,0.12,10.26,13.34,15.9,18.21,22.31,24.11,31.29,
1079,"Stephen Curry",9000,PG,GSW,ATL,157814,338365,,32.5,29.69,3.73,4.59,5.49,3.28,1.16,0.35,34.28,33.42,38.01,1.51,8.32,8.81,3.99,13.85,5.67,5.25,22.66,9.48,42.3,42.3,45.4,5.04,17.25%,150,135,SUN,12231,60,1079,34.76,56.54,18.7,18.7,18.9,34.73,40.69,45.4,50.11,56.81,59.54,72.69,
13327,"Jimmy Butler",7800,SF/PF,GSW,ATL,157814,458730,,32.5,22.06,5.82,5.25,0.86,1.71,1.57,0.28,27.31,27.88,33.13,1.85,11.07,10.25,5.1,2.34,10.98,9.28,12.59,5.96,40.76,40.76,40.71,5.22,22.56%,150,135,SUN,12346,61,13327,32.2,49.81,24.33,24.33,17.32,32.13,36.79,40.71,44.14,49.78,52.02,62.05,
13976,"Draymond Green",5800,PF/C,GSW,ATL,157814,468895,,27.5,9.24,6.92,6.27,1.32,2.07,0.9,0.7,15.51,16.16,22.43,1.6,13.19,4.37,1.95,3.99,2.04,1.39,8.36,3.27,29.68,29.68,30.36,5.23,29.68%,150,135,SUN,12401,62,13976,23.07,38.94,36.25,36.25,18.41,23.2,27.4,30.36,33.82,39.25,41.47,52.08,
35206,"Buddy Hield",3000,SF,GSW,ATL,157814,697086,,1,0.42,0.2,0.05,0.09,0.07,0.05,0.02,0.47,0.62,0.67,0.07,0.25,0.12,0.05,0.25,0.03,0.03,0.37,0.14,0.88,0.88,0.9,0.3,0.04%,150,135,SUN,27988,63,35206,0.36,1.33,0,0,0,0.39,0.64,0.9,1.16,1.54,1.64,1.71,
3005536,"Moses Moody",4600,SG/SF,GSW,ATL,157814,1231366,,24.5,10.47,3.3,1.47,1.87,0.93,1.28,0.49,11.94,13.77,15.24,1.77,4.77,3.75,1.56,5.08,2.14,1.73,8.83,3.43,21.02,21.02,20.81,4.52,10.03%,150,135,SUN,149270,64,3005536,14.19,28.21,10.36,10.36,6.36,13.87,17.84,20.81,23.54,27.99,29.98,38.89,
