PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
13563,"Kirk Cousins",,QB,ATL,ARI,147554,,32.49,20.75,212.28,1.69,0.63,0.7,1.85,0.05,0,0,0,0,15.31,15.3,15.3,214.13,1.74,214.13,1.74,1.85,0.05,0,8.99,23.1,2.18,41.16,3.39,2.23%,MAIN,n/a,2307,1,13563,
3491931,"Tyler Allgeier",,RB,ATL,ARI,147554,,0,0,0,0,0,7.84,38.28,0.35,1.22,0.97,6.54,0.06,7.91,7.88,7.39,44.82,0.41,38.28,0.35,44.82,0.41,0,3.58,16.08,1.84,20.96,0.54,0.50%,MAIN,n/a,125422,2,3491931,
4687512,"Bijan Robinson",,RB,ATL,ARI,147554,,0,0,0,0,0,18.38,100.12,0.75,5.49,4.04,31.63,0.25,24.6,24.51,22.49,131.75,1,100.12,0.75,131.75,1,0,14.91,36.16,30.92,62.32,19.56,27.23%,MAIN,n/a,123168,3,4687512,
982204,"David Sills",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,2.77,1.62,16.1,0.14,4.06,4.05,3.24,16.1,0.14,0,0,16.1,0.14,0,0.11,11.17,0.32,8.74,0.16,0.16%,MAIN,n/a,65587,4,982204,
1844218,"Darnell Mooney",,WR,ATL,ARI,147554,,0,0,0,0,0,0.03,0.15,0,4.62,2.74,32.39,0.24,7.46,7.44,6.07,32.54,0.24,0.15,0,32.54,0.24,0,2.66,16.17,2.62,21.96,0.96,1.13%,MAIN,n/a,62802,5,1844218,
3491928,"Drake London",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,9.08,6.38,65.18,0.46,16.11,16.07,12.88,65.18,0.46,0,0,65.18,0.46,0,8.89,27.1,12.5,40,2.62,10.21%,MAIN,n/a,140160,6,3491928,
4773069,"Dylan Drummond",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.8,0.49,4.3,0.04,1.16,1.16,0.91,4.3,0.04,0,0,4.3,0.04,0,0,2.32,0,2.5,0.05,0.01%,MAIN,n/a,48414,7,4773069,
3515974,"Deven Thompkins",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.1,0.06,0.43,0.01,0.16,0.16,0.13,0.43,0.01,0,0,0.43,0.01,0,0,0.32,0,0.1,0.02,0.01%,MAIN,n/a,49660,8,3515974,
2595531,"Chris Blair",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.4,0.24,2.42,0.02,0.6,0.6,0.48,2.42,0.02,0,0,2.42,0.02,0,0,1.2,,,0.09,0.03%,MAIN,n/a,44825,9,2595531,
1849814,"Charlie Woerner",,TE,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.7,0.49,3.79,0.04,1.1,1.1,0.85,3.79,0.04,0,0,3.79,0.04,0,0,2.2,0.04,3.06,0.02,0.01%,MAIN,n/a,58179,10,1849814,
2862126,"Kyle Pitts",,TE,ATL,ARI,147554,,0,0,0,0,0,0,0,0,7.28,4.82,49.6,0.43,12.48,12.43,10.02,49.6,0.43,0,0,49.6,0.43,0,5.74,22.71,8.3,36.32,1.8,11.00%,MAIN,n/a,54917,11,2862126,
3491690,"Teagan Quitoriano",,TE,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.04,0.02,0.26,0,0.05,0.05,0.04,0.26,0,0,0,0.26,0,0,0,0.1,,,0,0.00%,MAIN,n/a,63778,12,3491690,
36842,"Zane Gonzalez",,K,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0,0,0,0,8.9,8.9,8.9,0,0,0,0,0,0,7.89,3.94,15.34,,,0,0.00%,MAIN,n/a,33774,13,36842,
18415,"Arizona Cardinals",,DST,ARI,ATL,147554,,0,0,0,0,0,0,0,0,0,0,0,0,4.77,4.77,4.77,0,0,0,0,0,0,0,0.6,10.51,4.08,31.38,2.71,1.18%,MAIN,355,8463,14,18415,
35493,"Jacoby Brissett",,QB,ARI,ATL,147554,,36.15,23.27,251.27,1.64,0.5,4.65,14.76,0.16,0,0,0,0,19.13,19.09,19.09,266.03,1.8,266.03,1.8,14.76,0.16,0,12.22,27.89,8.24,58.46,6.97,10.90%,MAIN,607047,26395,15,35493,
2861839,"Michael Carter",,RB,ARI,ATL,147554,,0,0,0,0,0,13.07,50.65,0.44,4.04,2.95,22.54,0.12,13.69,13.64,12.16,73.19,0.56,50.65,0.44,73.19,0.56,0,7.47,22.89,7.62,41.56,4.73,11.99%,MAIN,976329,162975,16,2861839,
4715680,"Emari Demercado",,RB,ARI,ATL,147554,,0,0,0,0,0,5.52,22.37,0.19,1.92,1.36,11.94,0.06,6.27,6.24,5.56,34.31,0.25,22.37,0.19,34.31,0.25,0,2.46,14.08,0.58,12.82,0.3,0.13%,MAIN,1116817,92713,17,4715680,
8268732,"Corey Kiner",,RB,ARI,ATL,147554,,0,0,0,0,0,0.11,0.32,0,0.13,0.09,0.73,0,0.19,0.2,0.15,1.05,0,0.32,0,1.05,0,0,0,0.38,,,0,0.00%,MAIN,1286050,169851,18,8268732,
4687487,"Michael Wilson",,WR,ARI,ATL,147554,,0,0,0,0,0,0.01,0.05,0.01,8.11,5.1,58.7,0.37,13.57,13.54,10.99,58.75,0.38,0.05,0.01,58.75,0.38,0,7.18,23.75,7.68,29.12,1.85,3.61%,MAIN,1123529,42545,19,4687487,
