PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,OWNERSHIP
13563,"Kirk Cousins",5100,QB,ATL,NOS,147585,,31.92,20.41,207.26,1.66,0.69,0.7,1.52,0.04,0,0,0,0,14.8,2.9,35.88,3.05,2.16%,MAIN,403308,2307,1,13563,14.79,14.79,208.78,1.7,208.78,1.7,1.52,0.04,0,8.76,22.85,1.92,
3491931,"Tyler Allgeier",4700,RB,ATL,NOS,147585,,0,0,0,0,0,9.34,39.76,0.39,0.87,0.69,5.18,0.04,7.74,1.65,18.4,0.37,0.34%,MAIN,1131198,125422,2,3491931,7.71,7.36,44.94,0.43,39.76,0.39,44.94,0.43,0,3.3,16.8,1.38,
4687512,"Bijan Robinson",8700,RB,ATL,NOS,147585,,0,0,0,0,0,17.61,85.9,0.67,7.37,5.36,43.07,0.31,25.53,2.93,71.18,57.91,42.63%,MAIN,1228244,123168,3,4687512,25.44,22.76,128.97,0.98,85.9,0.67,128.97,0.98,0,15.93,37.25,39.88,
8261767,"Nate Carter",4000,RB,ATL,NOS,147585,,0,0,0,0,0,0.11,0.53,0,0.04,0.03,0.21,0,0.1,0.03,,0,0.00%,MAIN,1214132,134222,4,8261767,0.11,0.09,0.74,0,0.53,0,0.74,0,0,0,0.2,,
982204,"David Sills",3400,WR,ATL,NOS,147585,,0,0,0,0,0,0,0,0,2.16,1.25,12.6,0.1,3.1,0.91,7.02,0.09,0.02%,MAIN,866973,65587,5,982204,3.1,2.47,12.6,0.1,0,0,12.6,0.1,0,0,8.53,0.22,
1844218,"Darnell Mooney",3900,WR,ATL,NOS,147585,,0,0,0,0,0,0.01,0.04,0,3.51,2.07,24.75,0.16,5.51,1.41,12.62,0.33,0.22%,MAIN,912027,62802,6,1844218,5.5,4.46,24.79,0.16,0.04,0,24.79,0.16,0,1.43,13.11,0.68,
3491928,"Drake London",6900,WR,ATL,NOS,147585,,0,0,0,0,0,0,0,0,8.22,5.71,60.35,0.5,15,2.17,32.38,7.53,9.04%,MAIN,1178741,140160,7,3491928,14.97,12.11,60.35,0.5,0,0,60.35,0.5,0,8.03,25.88,9.62,
4773069,"Dylan Drummond",3000,WR,ATL,NOS,147585,,0,0,0,0,0,0,0,0,1.76,1.08,9.5,0.08,2.5,0.83,4.74,0.02,0.01%,MAIN,1108534,48414,8,4773069,2.49,1.95,9.5,0.08,0,0,9.5,0.08,0,0,6.88,0.04,
3515974,"Deven Thompkins",3000,WR,ATL,NOS,147585,,0,0,0,0,0,0,0,0,0.07,0.05,0.3,0,0.08,0.03,,0,0.00%,MAIN,1130833,49660,9,3515974,0.08,0.05,0.3,0,0,0,0.3,0,0,0,0.16,,
1849814,"Charlie Woerner",2500,TE,ATL,NOS,147585,,0,0,0,0,0,0,0,0,1.13,0.75,6.07,0.07,1.77,0.71,5.5,0.02,0.01%,MAIN,922040,58179,10,1849814,1.77,1.39,6.07,0.07,0,0,6.07,0.07,0,0,3.54,0.22,
2862126,"Kyle Pitts",5500,TE,ATL,NOS,147585,,0,0,0,0,0,0,0,0,6.63,4.37,45.26,0.4,11.33,2.06,25.64,2.61,3.05%,MAIN,1123026,54917,11,2862126,11.29,9.1,45.26,0.4,0,0,45.26,0.4,0,4.83,21.24,6,
