PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
35181,"Jaylen Brown",9600,SF,BOS,SAS,157768,883436,-,35,28.78,6.93,4.57,2.44,3.99,0.81,0.29,33.35,35.71,40.28,1.1,11.5,15.88,7.85,6.9,7.62,5.77,22.78,10.29,43.26,43.26,46.03,4.79,16.50%,125,144,SAT,28025,1,35181,36.53,56.49,17.89,17.89,11.52,36.68,41.85,46.03,50.21,56.65,59.57,71.88,
37858,"Derrick White",7900,PG/SG,BOS,SAS,157768,796009,-,34.5,19.26,4.8,5.24,3.6,1.78,1.3,1.57,24.5,24.06,29.3,2.87,10.04,6.82,2.92,9.83,3,2.62,16.65,6.52,39.71,39.71,39.88,5.05,22.97%,125,144,SAT,38299,3,37858,30.63,50.25,28.23,28.23,16.34,30.58,35.88,39.88,43.79,50.4,53.09,64.84,
409191,"Anfernee Simons",4900,PG/SG,BOS,SAS,157768,1121307,-,24.5,11.9,2.3,2.42,2,1.04,0.41,0.12,14.32,14.2,16.62,0.53,4.72,4.74,2.07,5.2,1.96,1.76,9.94,4.07,18.84,18.84,19.95,4.07,2.99%,125,144,SAT,75325,5,409191,13.52,27.16,2.31,2.31,2.78,13.46,17.07,19.95,22.83,27.4,29.08,37.5,
2439093,"Payton Pritchard",6900,PG,BOS,SAS,157768,945610,,33,15.69,4.62,4.92,3.08,0.95,0.99,0.17,20.61,20.31,25.23,1.16,9.54,5.4,2.55,8.11,1.57,1.34,13.51,5.63,31.14,31.14,32.3,4.68,11.67%,125,144,SAT,73477,6,2439093,24.24,41.62,10.56,10.56,8.02,23.92,28.6,32.3,35.75,41.67,43.89,54.98,
3005208,"Luka Garza",4500,C,BOS,SAS,157768,1061057,,20,8.15,5.05,1.16,0.73,0.56,0.56,0.75,9.31,13.2,14.36,1.31,6.21,3.59,2.11,1.9,2.29,1.75,5.49,2.84,19.32,19.32,18.92,4.2,1.28%,125,144,SAT,72919,8,3005208,13.19,25.49,0.58,0.58,2.48,13.06,16.26,18.92,21.32,25.32,27.18,34.11,
3005606,"Neemias Queta",5300,C,BOS,SAS,157768,1142902,,24.5,9.48,9.68,1.01,0,0.59,0.73,0.87,10.49,19.16,20.17,1.6,10.69,6.24,4.03,0,2.11,1.41,6.24,4.03,26.82,26.82,26.38,4.98,10.81%,125,144,SAT,86307,9,3005606,19.88,33.57,9.77,9.77,10.4,19.79,23.45,26.38,29.31,33.46,35.66,43.48,
3022247,"Sam Hauser",3800,SF/PF,BOS,SAS,157768,922378,,24.5,8.67,3.5,1.06,2.5,0.54,0.64,0.45,9.73,12.17,13.23,1.09,4.56,1.16,0.51,6.2,0.17,0.16,7.36,3.01,17.19,17.19,17.8,4.68,8.15%,125,144,SAT,72761,10,3022247,11.32,24.86,7.22,7.22,7.6,11.13,15.08,17.8,20.77,24.97,26.95,34.86,
4878181,"Jordan Walsh",3700,PF,BOS,SAS,157768,1401388,,18,3.66,4.33,0.63,0.6,0.47,0.6,0.29,4.29,7.99,8.62,0.89,4.96,1.32,0.68,1.6,0.65,0.49,2.92,1.28,12,12,11.86,3.21,0.08%,125,144,SAT,245001,12,4878181,7.29,17.03,0.19,0.19,0.09,7.17,9.64,11.86,13.84,17.05,18.28,23.97,
6412744,"Baylor Scheierman",3000,SG/SF,BOS,SAS,157768,1177129,,8,2.47,0.92,0.53,0.4,0.32,0.24,0.06,3,3.39,3.92,0.3,1.45,1.04,0.45,1.16,0.44,0.35,2.2,0.85,4.95,4.95,5.06,1.69,0.17%,125,144,SAT,90655,13,6412744,1.91,9.21,0,0,0,1.77,3.54,5.06,6.33,8.86,10.12,14.93,
8998149,"Hugo Gonzalez",3500,SG/SF,BOS,SAS,157768,1590553,,18,7.16,2.3,2.44,0.93,1.12,0.62,0.12,9.6,9.46,11.9,0.74,4.74,3.55,1.54,2.68,1.54,1.28,6.23,2.47,14.68,14.68,15.08,4.31,4.93%,125,144,SAT,622359,14,8998149,9.74,21.21,2.28,2.28,2.84,9.64,12.61,15.08,17.3,21.26,22.74,29.67,
