PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID
37681,"Martin Necas",,W,CZE,SUI,,1057110,2,1,,0.332,0.565,2.7606,0,0,0,0,0,0.1095,0.2196,0.897,0.3291,10.44,1.27,21.77,0,,37681,1.005,7.68,34.1,,,37907,1,8.85,12.71,27
18667,"David Pastrnak",,W,CZE,SUI,,831092,1,1,,0.5719,0.6299,4.4534,0,0,0,0,0,0.1793,0.2413,1.2018,0.4206,16.53,5.06,30.7,0,,18667,1.082,11.16,34.8,,,30380,1,11.07,15.55,28
37707,"Filip Hronek",,D,CZE,SUI,,920361,1,1,,0.0973,0.5453,1.8885,0,0,0,0,0,0.0449,0.2179,0.6426,0.2628,6.6,0,15.39,0,,37707,1.601,5.59,48.4,,,37845,1,6.87,10.17,29
16757,"Tomas Hertl",,C,CZE,SUI,,659862,1,1,,0.3832,0.4195,2.6376,0,0,0,0,0,0.1274,0.1569,0.8027,0.2843,9.87,1.34,20.4,0,,16757,1.339,7.43,28.2,,,29907,1,8.23,11.71,30
37696,"David Kampf",,C,CZE,SUI,,1050068,2,,,0.1058,0.2009,1.2983,0,0,0,0,0,0,0,0.3067,0,3.9,0,10.75,0,,37696,1.111,3.29,24.1,,,37886,1,5.35,7.64,31
35921,"Ondrej Kase",,W,CZE,SUI,,831571,3,2,,0.1285,0.1433,1.2009,0,0,0,0,0,0,0,0.2718,0,3.64,0,10.08,0,,35921,0,2.55,,,,31502,1,5.03,7.06,32
,1,,D,CZE,SUI,,902830,2,,,0.0385,0.1164,0.8933,0,0,0,0,0,0,0,0.1549,0,2.26,,,0,,,,,,,,,,,,33,"Michal Kempny"
17120,"Ondrej Palat",,W,CZE,SUI,,615345,1,1,,0.2198,0.3537,1.7804,0,0,0,0,0,0.0629,0.1314,0.5735,0.1943,6.48,0,15.18,0,,17120,1.929,5.58,28.7,,,30825,1,6.8,9.73,34
16742,"Radko Gudas",,D,CZE,SUI,,554520,2,,,0.0482,0.2322,1.6246,0,0,0,0,0,0,0,0.2804,0,4.09,0,10.46,0,,16742,3.612,4.65,34.1,,,30042,1,4.98,7.08,35
35854,"Lukas Sedlak",,C,CZE,SUI,,612924,3,,,0.0982,0.1095,0.9178,0,0,0,0,0,0,0,0.2077,0,2.77,0,9.09,0,,35854,0,1.95,,,,,1,4.94,6.99,36
10239699,"David Tomasek",,W,CZE,SUI,,1166671,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,10239699,1.003,0.5,,,,658745,1,1.15,1.15,37
5273742,"David Spacek",,D,CZE,SUI,,1364089,3,2,,0.0247,0.2328,0.8267,0,0,0,0,0,0.0079,0.0768,0.2575,0.0847,2.63,0,8.75,0,,5273742,1.122,2.51,26.4,,,231601,1,4.78,6.92,38
37697,"Jan Rutta",,D,CZE,SUI,,1054103,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,37697,0.544,0.27,,,,32354,1,1.15,1.15,39
