PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
37858,"Derrick White",7900,PG/SG,BOS,HOU,159129,796009,-,35,21.15,4.65,5.58,3.72,2.38,1.06,1.16,26.73,25.8,31.38,2.22,10.23,8.61,3.46,10.48,3.48,3.05,19.09,7.18,39.38,39.38,40.54,5.13,24.65%,125,141,WED,38299,4,37858,30.86,51.25,24.11,24.11,18.97,30.72,36.26,40.54,44.82,51.37,54.14,64.97,
2439093,"Payton Pritchard",6900,PG,BOS,HOU,159129,945610,-,34,21.15,3.68,5.74,3.62,1.59,0.39,0.17,26.89,24.83,30.57,0.56,9.42,8.76,4.22,9.54,2.17,1.87,18.3,7.84,34.27,34.27,36.59,5.3,23.43%,125,141,WED,73477,6,2439093,27.4,46.7,20.54,20.54,20.62,27.44,32.52,36.59,40.4,47.01,49.55,60.48,
2439402,"Xavier Tillman",3000,C,BOS,HOU,159129,1078665,-,9,1.76,1.13,0.27,0.16,0.47,0.19,0.07,2.03,2.89,3.16,0.26,1.4,1.28,0.54,0.79,0.33,0.19,2.07,0.7,3.83,3.83,3.94,1.31,0.44%,125,141,WED,71549,7,2439402,1.32,7.47,0,0,0,1.41,2.53,3.94,5.35,7.6,8.44,13.23,
3005208,"Luka Garza",4100,C,BOS,HOU,159129,1061057,,23,11.68,5.3,1.71,1.12,0.75,0.51,0.68,13.39,16.98,18.69,1.19,7.01,5.28,2.95,2.79,3.14,2.42,8.07,4.07,23.43,23.43,23.47,5.72,6.33%,125,141,WED,72919,8,3005208,16.95,30.84,6.02,6.02,21.29,16.87,20.54,23.47,26.16,30.8,32.52,41.56,
3005606,"Neemias Queta",5600,C,BOS,HOU,159129,1142902,,28,14.5,8.02,1.76,0,1.3,0.97,1.3,16.26,22.52,24.28,2.27,9.78,9.7,6.02,0,3.59,2.45,9.7,6.02,32.27,32.27,31.33,5.59,12.03%,125,141,WED,86307,9,3005606,24.09,39.48,9.69,9.69,25.08,23.94,28.02,31.33,34.64,39.48,41.77,51.71,
3588057,"Josh Minott",3000,PF,BOS,HOU,159129,1324299,,14,5.61,1.75,0.86,0.91,0.65,0.81,0.16,6.47,7.36,8.22,0.97,2.61,2.09,1.04,2.19,0.97,0.8,4.28,1.95,11.26,11.26,11.16,3.72,0.44%,125,141,WED,179736,11,3588057,6.33,16.94,0.13,0.13,1,6.23,8.82,11.16,13.24,17.13,18.45,25.43,
4878181,"Jordan Walsh",3400,PF,BOS,HOU,159129,1401388,,24,7.89,4.23,0.93,1.27,0.56,0.67,0.58,8.82,12.12,13.05,1.25,5.16,3.47,1.47,3.7,1.56,1.13,7.17,2.74,17.55,17.55,17.43,5.13,0.54%,125,141,WED,245001,12,4878181,11.59,24.26,1.39,1.39,10.14,11.37,14.65,17.43,19.96,24.25,26.02,33.09,
6412744,"Baylor Scheierman",3500,SG/SF,BOS,HOU,159129,1177129,,28,7,5.12,1.84,1.72,0.94,0.92,0.12,8.84,12.12,13.96,1.04,6.96,1.74,0.68,4.6,0.62,0.49,6.34,2.4,18.08,18.08,18.64,5.33,3.70%,125,141,WED,90655,13,6412744,12.41,26.08,3.23,3.23,14.08,12.34,15.75,18.64,21.53,26.25,27.83,36.23,
8998149,"Hugo Gonzalez",3600,SG/SF,BOS,HOU,159129,1590553,,25,8.23,4.57,0.63,1.29,1.27,0.9,0.36,8.86,12.8,13.43,1.26,5.2,4.13,1.9,3.66,1.18,0.56,7.79,3.19,17.17,17.17,17.42,4.84,0.07%,125,141,WED,622359,14,8998149,11.35,24.08,1.77,1.77,7.69,11.27,14.6,17.42,19.98,23.82,25.62,34.07,
8998150,"Max Shulga",3000,PG/SG,BOS,HOU,159129,1231970,,8,2.6,1.1,0.43,0.39,0.3,0.2,0.12,3.03,3.7,4.13,0.32,1.53,1.19,0.52,1.13,0.51,0.37,2.32,0.91,5.23,5.23,5.31,1.77,0.17%,125,141,WED,149588,15,8998150,2.03,9.63,0,0,0,2.24,3.63,5.31,6.99,9.78,11.18,16.77,
