Player,Team,Min,Shots,Goals,Assists,Blocks
Pius Suter,STL,17.18,1.8,0.25,0.16,0.4
Dalibor Dvorsky,STL,14.82,1.5,0.15,0.13,0.4
Robby Fabbri,STL,12.71,1.3,0.11,0.17,0.5
Alexey Toropchenko,STL,16.00,1.4,0.11,0.16,0.8
Oskar Sundqvist,STL,13.22,1.0,0.10,0.23,0.5
Mathieu Joseph,STL,11.62,1.0,0.08,0.15,0.5
Philip Broberg,STL,22.76,1.7,0.10,0.21,1.5
Colton Parayko,STL,21.46,1.5,0.05,0.19,1.9
Tyler Tucker,STL,16.52,1.2,0.04,0.09,0.9
Justin Faulk,STL,22.74,1.8,0.14,0.28,1.5
Cam Fowler,STL,19.86,1.4,0.05,0.28,0.7
Logan Mailloux,STL,14.78,1.4,0.05,0.04,0.6
Yanni Gourde,TB,17.25,1.5,0.16,0.37,0.5
Brayden Point,TB,18.80,2.2,0.39,0.42,0.5
Nikita Kucherov,TB,19.98,2.9,0.48,0.93,0.4
Jake Guentzel,TB,20.43,2.5,0.53,0.50,0.5
Nick Paul,TB,14.07,1.6,0.25,0.23,0.3
Oliver Bjorkstrand,TB,15.28,1.7,0.21,0.29,0.5
Pontus Holmberg,TB,14.08,1.3,0.13,0.22,0.7
Anthony Cirelli,TB,17.52,1.7,0.27,0.27,0.7
Zemgus Girgensons,TB,15.12,1.3,0.14,0.05,0.8
Jack Finley,TB,8.32,0.8,0.09,0.08,0.1
Dominic James,TB,11.44,1.2,0.13,0.26,0.3
Gage Goncalves,TB,11.40,0.9,0.11,0.26,0.3
J.J. Moser,TB,22.72,1.3,0.06,0.23,1.3
Darren Raddysh,TB,25.11,2.3,0.18,0.63,1.3
Ryan McDonagh,TB,18.69,0.9,0.04,0.28,1.5
Charle-Edouard D'Astous,TB,20.27,1.2,0.06,0.29,1.0
Declan Carlile,TB,14.16,0.9,0.04,0.07,0.7
Max Crozier,TB,16.25,1.5,0.07,0.24,0.9
Evander Kane,VAN,16.41,2.5,0.25,0.33,0.3
Marco Rossi,VAN,20.06,1.8,0.19,0.46,0.6
Brock Boeser,VAN,19.64,2.3,0.31,0.28,0.5
Jake DeBrusk,VAN,16.98,2.3,0.30,0.20,0.4
David Kampf,VAN,15.51,0.9,0.08,0.10,0.6
Conor Garland,VAN,18.98,2.2,0.27,0.32,0.6
Kiefer Sherwood,VAN,17.44,2.0,0.33,0.24,0.4
Aatu Raty,VAN,10.73,1.0,0.09,0.20,0.2
Drew O'Connor,VAN,12.70,1.1,0.10,0.14,0.4
Liam Ohgren,VAN,10.03,1.3,0.12,0.10,0.4
Max Sasson,VAN,10.97,1.1,0.11,0.04,0.5
Linus Karlsson,VAN,10.16,1.4,0.15,0.21,0.3
Marcus Pettersson,VAN,22.23,0.9,0.03,0.26,1.7
Filip Hronek,VAN,24.89,1.6,0.07,0.50,1.3
Zeev Buium,VAN,20.45,1.1,0.06,0.37,0.6
Tyler Myers,VAN,20.89,1.3,0.05,0.22,1.7
Elias Nils Pettersson,VAN,14.00,1.0,0.04,0.16,0.7
Tom Willander,VAN,13.77,0.7,0.03,0.25,0.8
