PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
31729,"Andrew Copp",4000,C,DET,TOR,8404900,744810,2,2,,0.1817,0.3494,1.584,0.6574,0,0,0,0,0.0236,0.0564,0.5311,0.08,6.91,1.73,6.33,9.1,1,0.35,15.01,0,,31729,0.564,5.05,17.7,172,2075,30594,0
18467,"Anthony Duclair",3500,W,NYI,SEA,8404970,743259,1,2,,0.2305,0.2743,1.6205,0.5519,0,0,0,0,0.0257,0.0452,0.5048,0.0709,6.82,1.95,6.57,9.35,2,0.01,15.23,0,,18467,0.563,4.97,15.2,156,2135,30344,0
36584,"Clayton Keller",6900,W,UTA,PHI,8404950,920216,1,1,,0.3999,0.6848,2.5137,0.3761,0,0,0,0,0.1184,0.2536,1.0847,0.372,11.85,1.72,9.6,13.94,3,1.9,24.14,0,,36584,0.32,8.37,19.2,183,2005,32089,1
37698,"Alex DeBrincat",7500,W,DET,TOR,8404900,920337,2,1,,0.4408,0.4965,3.2999,0.4094,0,0,0,0,0.1201,0.1619,0.9373,0.282,12.88,1.72,9.26,13.1,4,3.29,24.73,0,,37698,0.641,8.8,17.8,172,2075,37837,0
14246,"Casey Cizikas",2500,C,NYI,SEA,8404970,521884,4,,,0.1113,0.1216,0.9521,0.6727,0,0,0,0,0,0,0.2329,0,4.13,1.65,5.01,7.06,5,0,10.54,0,,14246,1.799,3.68,11.4,156,2135,30928,0
37907,"Connor Clifton",2500,D,PIT,CGY,8404980,744943,3,,,0.0382,0.1911,0.9542,1.9,0,0,0,0,0,0,0.2293,0,6.13,2.45,5.05,7.06,6,0.9,12.59,0,,37907,3.252,5.47,16.8,159,1927,82491,0
6231006,"Maxim Tsyplakov",2500,W,NYI,SEA,8404970,1072913,3,,,0.1209,0.2001,1.2804,0.4017,0,0,0,0,0,0,0.321,0,4.68,1.87,5.38,7.67,7,0,11.57,0,,6231006,1.546,3.98,12.1,156,2135,363028,0
5721344,"Cutter Gauthier",6600,W,ANA,COL,8404920,1394905,3,1,,0.342,0.3003,3.0209,0.5643,0,0,0,0,0.0994,0.0863,0.6423,0.1857,10.58,1.6,8.16,11.45,8,2.13,21.02,0,,5721344,0.839,7.35,15.9,180,1997,204709,0
17453,"Jake McCabe",2900,D,TOR,DET,8404900,660793,1,,,0.0515,0.3085,0.9236,2.029,0,0,0,0,0,0,0.36,0,7.08,2.44,5.65,8.15,9,1.23,14.31,0,,17453,2.079,5.54,21.4,164,2146,30280,1
2578776,"Justin Brazeau",3000,W,PIT,CGY,8404980,956418,3,2,,0.2406,0.2396,1.6305,0.6063,0,0,0,0,0.0372,0.0469,0.4802,0.0841,6.84,2.28,6.41,9.07,10,0.2,15.04,0,,2578776,1.601,5.48,12.3,159,1927,82518,0
18681,"Ryan Pulock",3900,D,NYI,SEA,8404970,741446,1,,,0.0645,0.2797,1.4203,2.0475,0,0,0,0,0,0,0.3442,0,7.9,2.03,5.56,7.84,11,2.14,15.02,0,,18681,1.36,5.65,21.7,156,2135,30776,0
34611,"Anthony Mantha",3200,W,PIT,CGY,8404980,741457,3,2,,0.2139,0.2752,1.6032,0.5359,0,0,0,0,0.0314,0.0517,0.4891,0.0831,6.63,2.07,6.57,9.35,12,0,15.04,0,,34611,0.867,5,13.5,159,1927,30621,0
6082975,"Liam Ohgren",2600,W,VAN,WSH,8404940,1394917,3,2,,0.1519,0.1815,1.653,0.5111,0,0,0,0,0.0246,0.0354,0.3334,0.06,5.64,2.17,5.38,7.51,13,0.07,12.53,0,,6082975,1.444,4.55,14.1,179,2129,204718,1
35781,"Mikhail Sergachev",5500,D,UTA,PHI,8404950,920218,1,1,,0.1365,0.5709,1.8586,1.6659,0,0,0,0,0.066,0.1688,0.7074,0.2348,10.03,1.82,7.08,10.38,14,2.7,19.09,0,,35781,0.954,7.22,24,183,2005,31482,1
2296155,"Egor Chinakhov",2700,W,PIT,CGY,8404980,1209293,2,2,,0.1916,0.2205,1.7144,0.4358,0,0,0,0,0.0282,0.0365,0.4121,0.0647,6.17,2.29,5.99,8.44,15,0,13.84,0,,2296155,1.171,4.8,12.9,159,1927,158667,0
17113,"Valeri Nichushkin",5600,W,COL,ANA,8404920,741413,2,2,,0.3793,0.3606,2.253,0.4249,0,0,0,0,0.0291,0.0576,0.7399,0.0867,9.52,1.7,8.15,11.65,16,1.08,19.95,0,,17113,1.083,6.98,17,176,2155,30530,1
34598,"Noel Acciari",2500,W,PIT,CGY,8404980,873205,4,,,0.1145,0.1232,1.0432,1.1803,0,0,0,0,0,0,0.2377,0,5.2,2.08,5.12,7.17,17,0,11.75,0,,34598,1.804,4.31,13.1,159,1927,31008,0
2296274,"Connor Zary",3200,W,CGY,PIT,8404980,1248091,1,1,,0.2415,0.3462,1.7902,0.405,0,0,0,0,0.057,0.1041,0.5877,0.1611,7.35,2.3,6.82,9.75,18,0.28,16.08,0,,2296274,0.672,5.45,15.9,175,2134,158630,1
896240,"Victor Olofsson",3100,W,COL,ANA,8404920,831548,3,2,,0.2472,0.2547,1.6841,0.2793,0,0,0,0,0.0445,0.0477,0.5019,0.0922,6.53,2.11,6.61,9.38,19,0,14.99,0,,896240,0.425,4.72,12.5,176,2155,81307,1
5274487,"Ivan Miroshnichenko",2500,W,WSH,VAN,8404940,1394918,4,,,0.1075,0.1804,1.0333,0.3727,0,0,0,0,0,0,0.2879,0,4.03,1.61,5.15,7.31,20,0,10.62,0,,5274487,1.291,3.42,9.7,168,2232,204715,0
14204,"Alex Killorn",3500,W,ANA,COL,8404920,651621,2,2,,0.2236,0.2523,1.8284,0.4991,0,0,0,0,0.0301,0.0466,0.4759,0.0767,6.93,1.98,6.62,9.4,21,0.07,15.4,0,,14204,1.053,5.24,18.2,180,1997,30512,0
37715,"Ryan Lomberg",2500,W,CGY,PIT,8404980,894479,4,,,0.0847,0.1067,0.9644,0.2797,0,0,0,0,0,0,0.1914,0,3.21,1.28,4.95,7,22,0,9.55,0,,37715,1.674,3.02,9,175,2134,31513,1
34841,"Ross Johnston",2500,W,ANA,COL,8404920,789848,4,,,0.062,0.1339,0.6919,0.5535,0,0,0,0,0,0,0.1959,0,3.18,1.27,4.44,6.3,23,0,8.86,0,,34841,2.992,3.65,11.9,180,1997,30771,0
1287130,"Brandon Duhaime",2500,W,WSH,VAN,8404940,920429,4,,,0.0964,0.123,0.8616,0.5555,0,0,0,0,0,0,0.2194,0,3.68,1.47,4.99,7.03,24,0,10.07,0,,1287130,1.828,3.4,10.7,168,2232,92011,0
5277871,"Pavel Mintyukov",3000,D,ANA,COL,8404920,1394908,2,2,,0.0604,0.2845,1.1161,1.6696,0,0,0,0,0.0168,0.0544,0.3449,0.0712,6.6,2.2,5.34,7.63,25,1.07,13.44,0,,5277871,1.099,4.87,19.2,180,1997,204737,0
14155,"Jordan Eberle",4400,W,SEA,NYI,8404970,456834,1,1,,0.2742,0.3563,1.9838,0.4875,0,0,0,0,0.0656,0.0953,0.6305,0.1609,8.15,1.85,7.38,10.48,26,0.5,17.6,0,,14155,0.661,5.95,18.1,1179,182467,30312,1
16668,"Nathan MacKinnon",10500,C,COL,ANA,8404920,741404,1,1,,0.6556,1.1485,4.6399,0.6783,0,0,0,0,0.2289,0.5008,1.8041,0.7297,21.9,2.09,12.29,17.73,27,9.17,37.63,0,,16668,0.746,14.58,22.2,176,2155,30677,1
2296434,"Jamie Drysdale",2800,D,PHI,UTA,8404950,1207492,2,1,,0.0775,0.3296,1.2567,1.5136,0,0,0,0,0.0295,0.1069,0.4071,0.1364,6.9,2.46,5.63,8.1,28,1.07,14.11,0,,2296434,0.606,4.92,22,158,2229,158711,0
16738,"Jaden Schwartz",3700,W,SEA,NYI,8404970,550764,4,2,,0.2258,0.2699,1.8935,0.5719,0,0,0,0,0.0383,0.0512,0.4957,0.0895,7.26,1.96,6.64,9.41,29,0.38,15.76,0,,16738,0.729,5.31,16.3,1179,182467,30567,1
18556,"Josh Manson",3800,D,COL,ANA,8404920,612926,2,,,0.0882,0.2873,1.5305,1.498,0,0,0,0,0,0,0.3755,0,7.24,1.91,5.79,8.22,30,1.24,14.65,0,,18556,2.423,5.92,18.7,176,2155,30652,1
2298811,"Emil Andrae",2500,D,PHI,UTA,8404950,1248171,2,,,0.0339,0.1876,0.8383,1.3132,0,0,0,0,0,0,0.2215,0,4.77,1.91,4.81,6.81,31,0,10.93,0,,2298811,1.248,3.73,17.4,158,2229,158533,0
14202,"Sidney Crosby",8000,C,PIT,CGY,8404980,296786,1,1,,0.4236,0.6626,2.4919,0.538,0,0,0,0,0.116,0.1891,1.0862,0.3051,12.18,1.52,9.62,13.95,32,2.21,24.49,0,,14202,0.998,8.87,19.5,159,1927,30424,0
