PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
37814,"Luke Kennard",,,ATL,NYK,157044,887661,-,14,4.34,1.33,1.29,0.93,0.43,0.49,0.01,5.63,5.67,6.96,0.5,2.62,1.14,0.55,2.13,0.49,0.44,3.27,1.48,8.94,8.94,9.19,4.76,14.84,0,0,0.09,4.73,7.09,9.19,11.29,14.7,16.02,22.84,0.04%,135,127,SAT,38279,2,37814,
409063,"Trae Young",,,ATL,NYK,157044,1060978,Q,32,22.19,2.15,8.5,2.63,2.7,0.99,0.35,30.69,24.34,32.84,1.34,10.65,8.87,3.75,7.82,7.95,6.8,16.69,6.38,38.84,38.84,40.79,31.3,51.17,1.93,1.93,9.18,30.97,36.76,40.79,44.82,51.37,53.88,65.72,2.11%,135,127,SAT,75299,3,409063,
1115445,"Nickeil Alexander-Walker",,,ATL,NYK,157044,1067668,-,30,15.55,2.92,2.18,2.01,1.6,0.82,0.5,17.73,18.47,20.65,1.32,5.1,8.22,3.61,5.26,2.79,2.32,13.48,5.62,24.68,24.68,25.32,17.72,33.38,0.29,0.29,0.85,17.55,21.81,25.32,28.33,33.34,35.35,44.62,0.11%,135,127,SAT,69666,4,1115445,
2439277,"Onyeka Okongwu",,,ATL,NYK,157044,1185367,,34,15.97,8.01,2.92,1.28,1.45,1.22,1.29,18.89,23.98,26.9,2.51,10.93,8.75,4.61,3.73,3.85,2.92,12.48,5.89,36.04,36.04,35.69,27.56,45.26,3.35,3.35,11.1,27.26,31.72,35.69,39.16,44.9,47.09,57.5,4.75%,135,127,SAT,91845,5,2439277,
2439347,"Vit Krejci",,,ATL,NYK,157044,1257428,,21,7.9,2.12,0.92,1.89,0.65,0.56,0.24,8.82,10.02,10.94,0.8,3.04,1.61,0.82,4.23,0.78,0.57,5.84,2.71,13.57,13.57,14.15,8.46,20.74,0.33,0.33,0.62,8.49,11.58,14.15,16.72,20.84,22.64,30.1,0.12%,135,127,SAT,161284,6,2439347,
3005263,"Jalen Johnson",,,ATL,NYK,157044,1230356,,36,24.98,11.3,6.87,1.42,3.12,1.22,0.61,31.85,36.28,43.15,1.83,18.17,16.26,8.1,4.06,5.79,4.52,20.32,9.52,51.22,51.22,53.51,43.38,64.22,24.42,24.42,26.67,43.26,49.01,53.51,57.76,64.51,67.26,78.77,24.96%,135,127,SAT,165214,7,3005263,
3587993,"Dyson Daniels",,,ATL,NYK,157044,1357745,,34,13.57,6.51,4.3,0.6,2.05,1.34,0.35,17.87,20.08,24.38,1.69,10.81,10.89,5.22,2.26,2.21,1.34,13.15,5.82,30.85,30.85,30.98,23.38,39.42,1.14,1.14,4.02,23.42,27.71,30.98,34.51,39.54,41.81,51.38,0.71%,135,127,SAT,195261,9,3587993,
4388493,"Keaton Wallace",,,ATL,NYK,157044,1063166,,2,0.81,0.28,0.22,0.13,0.1,0.07,0.02,1.03,1.09,1.31,0.09,0.5,0.32,0.14,0.38,0.17,0.14,0.7,0.27,1.65,1.65,1.69,0.55,3.38,0,0,0,0,0,1.69,2.7,4.73,6.08,10.82,0.04%,135,127,SAT,245561,10,4388493,
4878163,"Mouhamed Gueye",,,ATL,NYK,157044,1325101,,8,2.85,1.99,0.44,0.26,0.29,0.21,0.27,3.29,4.84,5.28,0.48,2.43,1.64,0.78,0.73,0.66,0.5,2.37,1.04,7.05,7.05,6.94,3.53,11.16,0,0,0,3.34,5.4,6.94,8.48,11.05,12.08,17.22,0.04%,135,127,SAT,90129,11,4878163,
6412725,"Zaccharie Risacher",,,ATL,NYK,157044,1432544,,21.5,7.93,3.52,1.4,1.1,0.51,0.85,0.47,9.33,11.45,12.85,1.32,4.92,3.97,1.83,3.22,1.39,0.97,7.19,2.93,17.7,17.7,17.37,11.78,24.08,0.99,0.99,2,11.66,14.71,17.37,20.03,24.34,26.12,33.47,1.11%,135,127,SAT,368366,13,6412725,
8985462,"Asa Newell",,,ATL,NYK,157044,1524332,,7.5,2.95,1.49,0.4,0.33,0.28,0.19,0.14,3.35,4.44,4.84,0.33,1.89,1.58,0.72,0.96,0.65,0.51,2.54,1.05,6.05,6.05,6.1,2.71,10.25,0,0,0,2.65,4.51,6.1,7.69,10.34,11.4,16.44,0.12%,135,127,SAT,457543,15,8985462,
409154,"Michael Porter Jr.",,,BKN,MIN,157041,1061724,,33.5,24.9,7.07,2.4,3.92,2.75,0.66,0.26,27.3,31.97,34.37,0.92,9.47,10.35,5.12,10.01,3.59,2.88,20.36,9.04,36.99,36.99,40.01,30.4,50.99,0,0,0,30.13,35.71,40.01,44.15,51.15,53.68,64.83,0%,126,146,SAT,75295,18,409154,
1115132,"Nic Claxton",,,BKN,MIN,157041,1061682,,29,13.64,7.13,4.08,0.04,1.59,0.48,1.02,17.72,20.77,24.85,1.5,11.21,9.55,5.6,0.24,3.83,2.31,9.79,5.64,31.23,31.23,31.1,23.84,38.76,0,0,0,23.83,27.59,31.1,34.36,38.88,40.88,49.41,0%,126,146,SAT,71024,20,1115132,
1115590,"Terance Mann",,,BKN,MIN,157041,879504,,25,8.67,3.11,3.12,1.07,0.84,0.84,0.06,11.79,11.78,14.9,0.9,6.23,4.44,2.1,2.98,1.54,1.24,7.42,3.17,18.94,18.94,19.15,13.16,26.31,0,0,0,13.02,16.34,19.15,21.7,26.3,28.09,36.26,0%,126,146,SAT,74628,21,1115590,
3005094,"Day'Ron Sharpe",,,BKN,MIN,157041,1243725,,18,7.12,5.67,1.7,0.17,1.57,0.91,0.6,8.82,12.79,14.49,1.51,7.37,4.56,2.59,0.63,2.19,1.45,5.19,2.76,19.43,19.43,19.1,13.54,25.5,0,0,0,13.5,16.55,19.1,21.65,25.72,27.25,34.63,0%,126,146,SAT,148967,22,3005094,
3005396,"Ziaire Williams",,,BKN,MIN,157041,1231313,,18,6.47,1.8,0.59,1.08,0.9,0.63,0.25,7.06,8.27,8.86,0.88,2.39,2.42,0.98,3.4,1.52,1.26,5.82,2.06,11.26,11.26,11.46,6.53,17.15,0,0,0,6.51,9.38,11.46,13.8,17.45,19.01,26.31,0%,126,146,SAT,149033,24,3005396,
3587834,"Tyrese Martin",,,BKN,MIN,157041,1134107,,14,5.34,1.94,1.4,1.05,0.68,0.56,0.03,6.74,7.28,8.68,0.59,3.34,2.08,0.84,3.09,0.67,0.51,5.17,1.89,10.86,10.86,11.23,6.43,17.26,0,0,0,6.27,8.88,11.23,13.58,17.24,18.57,25.86,0%,126,146,SAT,89873,26,3587834,
4878197,"Noah Clowney",,,BKN,MIN,157041,1401380,,30,13.6,4.11,1.92,2.46,1.89,0.59,0.73,15.52,17.71,19.63,1.32,6.03,3.95,1.59,7.2,3.76,3.04,11.15,4.05,23.48,23.48,24.55,17.2,33.01,0,0,0,17.21,21.26,24.55,28.09,33.16,35.18,44.55,0%,126,146,SAT,244975,29,4878197,
4878198,"Jalen Wilson",,,BKN,MIN,157041,1174884,,2,0.68,0.12,0.06,0.11,0.04,0.04,0,0.74,0.8,0.86,0.04,0.18,0.26,0.1,0.32,0.17,0.14,0.58,0.21,0.99,0.99,1.04,0.29,1.98,0,0,0,0.45,0.74,1.04,1.34,1.78,1.89,1.98,0%,126,146,SAT,90541,30,4878198,
8985497,"Drake Powell",,,BKN,MIN,157041,1542179,,15,4.54,1.7,1.47,0.69,0.58,0.45,0.31,6.01,6.24,7.71,0.76,3.17,2.09,0.91,2,0.87,0.64,4.09,1.6,10.49,10.49,10.45,5.94,15.9,0,0,0,5.75,8.36,10.45,12.54,15.94,17.5,24.56,0%,126,146,SAT,503267,33,8985497,
8985498,"Egor Demin",,,BKN,MIN,157041,1523978,,26.5,10.14,3.12,3.46,1.71,1.77,1.31,0.18,13.6,13.26,16.72,1.49,6.58,4.01,1.72,4.92,2.01,1.58,8.93,3.43,21.77,21.77,22.18,15.31,30.23,0,0,0,15.22,19.09,22.18,25.27,30.43,32.5,41.52,0%,126,146,SAT,455367,34,8985498,
8985499,"Danny Wolf",,,BKN,MIN,157041,1415928,,21,9.04,4.49,1.84,1.02,1.19,0.51,0.17,10.88,13.53,15.37,0.68,6.33,4.84,2.19,2.95,2.01,1.58,7.79,3.21,18.04,18.04,18.7,12.94,25.83,0,0,0,12.81,16.14,18.7,21.26,25.87,27.67,35.35,0%,126,146,SAT,247158,35,8985499,
8998170,"Nolan Traore",,,BKN,MIN,157041,1590550,,8,3.79,0.87,0.78,0.49,0.44,0.2,0.04,4.57,4.66,5.44,0.24,1.65,1.88,0.82,1.41,0.82,0.68,3.29,1.31,6.28,6.28,6.55,2.9,11.11,0,0,0,3,4.91,6.55,8.46,11.46,12.55,18.56,0%,126,146,SAT,622357,37,8998170,
13296,"Nikola Vucevic",,,CHI,MIL,157043,457598,,29.5,16.87,8.5,3.17,1.62,1.38,1.02,0.44,20.04,25.37,28.54,1.46,11.67,10.42,5.23,4.49,1.94,1.56,14.91,6.85,34.83,34.83,35.71,27.48,45.1,20.21,20.21,18.83,27.29,32.14,35.71,39.54,45.15,47.7,57.14,15.37%,130,134,SAT,12334,39,13296,
37866,"Zach Collins",,,CHI,MIL,157043,955887,,17,7.02,5.07,1.43,0.59,1.12,0.31,0.33,8.45,12.09,13.52,0.64,6.5,3.91,1.98,1.72,1.68,1.3,5.63,2.57,16.05,16.05,16.53,11.06,22.6,4.66,4.66,6,10.85,13.95,16.53,18.85,22.73,24.28,31.51,5.86%,130,134,SAT,38280,40,37866,
408969,"Kevin Huerter",,,CHI,MIL,157043,944785,,21,9.02,2.59,1.6,1.48,0.72,0.93,0.23,10.62,11.61,13.21,1.16,4.19,4.33,1.96,4.35,0.89,0.68,8.68,3.44,17.29,17.29,17.36,11.17,24.38,0.67,0.67,1.95,10.98,14.55,17.36,19.91,24.25,26.04,33.45,0.35%,130,134,SAT,70259,41,408969,
1115205,"Coby White",,,CHI,MIL,157043,1138387,,29.5,21.07,2.97,4.08,2.97,2.75,0.9,0.04,25.15,24.04,28.12,0.94,7.05,8.69,3.87,8.26,5.2,4.42,16.95,6.84,30.82,30.82,32.91,24.81,42.43,10.38,10.38,11.47,24.49,29.08,32.91,36.48,42.35,44.9,54.85,6.81%,130,134,SAT,86731,43,1115205,
2439190,"Patrick Williams",,,CHI,MIL,157043,1174904,,7,2.65,1.13,0.51,0.46,0.28,0.3,0.03,3.16,3.78,4.29,0.33,1.64,1.23,0.48,1.18,0.44,0.31,2.41,0.94,5.48,5.48,5.58,2.18,9.96,0,0,0,2.23,3.91,5.58,7.53,10.04,11.44,17.3,0.37%,130,134,SAT,91367,44,2439190,
2439210,"Isaac Okoro",,,CHI,MIL,157043,1193432,,21,7.28,1.92,0.73,1.09,0.38,0.96,0.34,8.01,9.2,9.93,1.3,2.65,2.96,1.48,2.88,1.52,1.06,5.84,2.57,14.2,14.2,13.73,8.43,19.9,2.19,2.19,3.02,8.14,11.19,13.73,16.02,19.83,21.36,28.99,3.30%,130,134,SAT,92179,45,2439210,
2439441,"Tre Jones",,,CHI,MIL,157043,1132030,,22.5,9.42,2.04,3.77,0.64,0.83,1.04,0.17,13.19,11.46,15.23,1.21,5.81,5.26,2.77,1.94,2.32,1.98,7.2,3.41,20.32,20.32,19.96,13.85,26.76,1.6,1.6,3.69,13.82,17.4,19.96,22.52,26.87,28.92,36.85,1.28%,130,134,SAT,161288,46,2439441,
