PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
17453,"Jake McCabe",6000,D,TOR,PIT,8402820,660793,2,,,0.0507,0.3042,0.8639,2.0925,0,0,0,0,0,0,0.3549,0,7.09,1.18,5.65,8.15,1,1.24,14.32,0,,17453,2.18,5.57,21.6,164,2146,30280,1
2578776,"Justin Brazeau",5400,W,PIT,TOR,8402820,956418,2,2,,0.2097,0.2331,1.4776,0.5197,0,0,0,0,0.0303,0.0429,0.4428,0.0732,6.14,1.14,6.41,9.07,2,0,14.34,0,,2578776,1.862,5.16,13.2,159,1927,82518,0
34611,"Anthony Mantha",7000,W,PIT,TOR,8402820,741457,2,1,,0.2576,0.3351,2.0389,0.4706,0,0,0,0,0.0706,0.1107,0.5927,0.1813,7.98,1.14,6.91,9.83,3,0.82,16.82,0,,34611,0.966,5.97,16.1,159,1927,30621,0
34598,"Noel Acciari",2000,W,PIT,TOR,8402820,873205,4,,,0.1008,0.1077,0.9028,0.8904,0,0,0,0,0,0,0.2085,0,4.27,2.14,5.04,7.09,4,0,10.72,0,,34598,1.876,3.77,12.7,159,1927,31008,0
18468,"Kevin Hayes",3400,C,PIT,TOR,8402820,550774,4,2,,0.1646,0.2049,1.5562,0.2314,0,0,0,0,0.0259,0.0441,0.3695,0.07,5.26,1.55,5.9,8.36,5,0,12.81,0,,18468,0.86,4.06,12.6,159,1927,30388,0
14202,"Sidney Crosby",10000,C,PIT,TOR,8402820,296786,1,1,,0.3576,0.5752,2.4591,0.4071,0,0,0,0,0.0978,0.1638,0.9328,0.2616,10.86,1.09,8.76,12.65,6,1.78,22.07,0,,14202,1.012,7.95,19.3,159,1927,30424,0
18682,"Bryan Rust",9000,W,PIT,TOR,8402820,554539,1,1,,0.3361,0.4718,2.5495,0.7321,0,0,0,0,0.0807,0.1436,0.8079,0.2243,10.78,1.2,8.5,12.17,7,1.97,21.66,0,,18682,0.83,7.71,20.1,159,1927,30873,0
18500,"Chris Tanev",2000,D,TOR,PIT,8402820,547709,3,,,0.025,0.2003,0.5486,1.9934,0,0,0,0,0,0,0.2253,0,5.66,2.83,5.16,7.33,8,0.31,12.26,0,,18500,0.641,3.81,17.4,164,2146,29877,1
794229,"Philippe Myers",2200,D,TOR,PIT,8402820,892768,1,,,0.0339,0.149,0.8941,1.1824,0,0,0,0,0,0,0.1829,0,4.42,2.01,4.61,6.47,9,0,10.32,0,,794229,1.558,3.65,14.1,164,2146,83287,1
14456,"Erik Karlsson",8400,D,PIT,TOR,8402820,456827,1,1,,0.1155,0.5704,2.2266,1.0374,0,0,0,0,0.0522,0.1768,0.6859,0.229,9.28,1.1,7.06,10.34,10,1.97,18.32,0,,14456,0.551,6.63,23.9,159,1927,30218,0
