PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
13563,"Kirk Cousins",,QB,ATL,LAR,147574,,34.26,21.72,215.07,1.41,0.75,0.64,1.27,0.05,0,0,0,0,14.13,14.13,14.13,216.34,1.46,216.34,1.46,1.27,0.05,0,8.27,21.83,,,0,0.00%,MNF,403308,2307,1,13563,
3491931,"Tyler Allgeier",,RB,ATL,LAR,147574,,0,0,0,0,0,6.4,24.93,0.24,1.09,0.86,6.15,0.04,5.62,5.6,5.17,31.08,0.28,24.93,0.24,31.08,0.28,0,2.14,13.59,,,0,0.00%,MNF,1131198,125422,2,3491931,
4687512,"Bijan Robinson",,RB,ATL,LAR,147574,,0,0,0,0,0,16.48,71.35,0.57,7.11,5.14,39.5,0.23,21.66,21.57,19,110.85,0.8,71.35,0.57,110.85,0.8,0,13.36,33.14,,,0,0.00%,MNF,1228244,123168,3,4687512,
8261767,"Nate Carter",,RB,ATL,LAR,147574,,0,0,0,0,0,0.11,0.48,0,0.01,0.01,0.05,0,0.06,0.07,0.06,0.53,0,0.48,0,0.53,0,0,0,0.12,,,0,0.00%,MNF,1214132,134222,4,8261767,
982204,"David Sills",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,1.8,1.04,10,0.07,2.45,2.45,1.93,10,0.07,0,0,10,0.07,0,0,6.56,,,0,0.00%,MNF,866973,65587,5,982204,
1844218,"Darnell Mooney",,WR,ATL,LAR,147574,,0,0,0,0,0,0.02,0.08,0,4.69,2.76,31.44,0.17,6.94,6.93,5.55,31.52,0.17,0.08,0,31.52,0.17,0,2.5,14.32,,,0,0.00%,MNF,912027,62802,6,1844218,
3491928,"Drake London",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,9.75,6.74,68.1,0.46,16.76,16.72,13.35,68.1,0.46,0,0,68.1,0.46,0,9.55,27.57,,,0,0.00%,MNF,1178741,140160,7,3491928,
4773069,"Dylan Drummond",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.78,0.48,4,0.03,1.06,1.05,0.81,4,0.03,0,0,4,0.03,0,0,2.12,,,0,0.00%,MNF,1108534,48414,8,4773069,
3515974,"Deven Thompkins",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.1,0.06,0.41,0,0.1,0.1,0.07,0.41,0,0,0,0.41,0,0,0,0.2,,,0,0.00%,MNF,1130833,49660,9,3515974,
2595531,"Chris Blair",,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.1,0.06,0.58,0,0.12,0.12,0.09,0.58,0,0,0,0.58,0,0,0,0.24,,,0,0.00%,MNF,1120347,44825,10,2595531,
1849814,"Charlie Woerner",,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.99,0.66,5.06,0.04,1.4,1.39,1.06,5.06,0.04,0,0,5.06,0.04,0,0,2.8,,,0,0.00%,MNF,922040,58179,11,1849814,
2862126,"Kyle Pitts",,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,7.8,5.12,50.62,0.36,12.43,12.38,9.82,50.62,0.36,0,0,50.62,0.36,0,6.09,21.93,,,0,0.00%,MNF,1123026,54917,12,2862126,
3491690,"Teagan Quitoriano",,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.05,0.03,0.31,0,0.06,0.07,0.05,0.31,0,0,0,0.31,0,0,0,0.12,,,0,0.00%,MNF,1128538,63778,13,3491690,
36842,"Zane Gonzalez",,K,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0,0,0,0,8.06,8.06,8.06,0,0,0,0,0,0,7.1,3.14,14.57,,,0,0.00%,MNF,732774,33774,14,36842,
18442,"Los Angeles Rams",,DST,LAR,ATL,147574,,0,0,0,0,0,0,0,0,0,0,0,0,6.58,6.58,6.58,0,0,0,0,0,0,0,1.86,13.13,,,0,0.00%,MNF,343,8491,15,18442,
35493,"Jacoby Brissett",,QB,ARI,CIN,147571,,35.24,22.36,252.76,1.71,0.46,4.23,13.55,0.17,0,0,0,0,19.49,19.45,19.45,266.31,1.88,266.31,1.88,13.55,0.17,0,12.34,28.61,9.44,57.04,6.8,10.99%,MAIN,607047,26395,16,35493,
2861839,"Michael Carter",,RB,ARI,CIN,147571,,0,0,0,0,0,11.38,44.88,0.36,3.26,2.34,18.21,0.08,11.29,11.24,10.07,63.09,0.44,44.88,0.36,63.09,0.44,0,5.79,19.51,3.4,30.88,4.96,6.44%,MAIN,976329,162975,17,2861839,
4715680,"Emari Demercado",,RB,ARI,CIN,147571,,0,0,0,0,0,4.73,19.31,0.15,1.48,1.02,9.17,0.03,4.93,4.9,4.39,28.48,0.18,19.31,0.15,28.48,0.18,0,1.72,11.45,0.3,6.64,0.08,0.13%,MAIN,1116817,92713,18,4715680,
8268732,"Corey Kiner",,RB,ARI,CIN,147571,,0,0,0,0,0,4.18,17.47,0.13,0.42,0.27,2.38,0.01,3.07,3.05,2.91,19.85,0.14,17.47,0.13,19.85,0.14,0,0.76,8.44,0,2.12,0.07,0.07%,MAIN,1286050,169851,19,8268732,
4687487,"Michael Wilson",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0.01,7.18,4.45,55.65,0.33,12.31,12.28,10.05,55.65,0.34,0,0.01,55.65,0.34,0,5.97,21.73,7.24,27.04,5.72,6.55%,MAIN,1123529,42545,20,4687487,
4687678,"Jalen Brooks",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.36,0.19,2.48,0.02,0.56,0.56,0.46,2.48,0.02,0,0,2.48,0.02,0,0,1.12,0,0.82,0.08,0.04%,MAIN,1223301,171671,21,4687678,
6227657,"Xavier Weaver",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,2.61,1.48,16.05,0.12,3.8,3.79,3.05,16.05,0.12,0,0,16.05,0.12,0,0.05,10.45,0.06,9.56,1.02,0.75%,MAIN,1180538,128333,22,6227657,
6227661,"Marvin Harrison",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,6.01,3.37,45.99,0.28,9.75,9.74,8.05,45.99,0.28,0,0,45.99,0.28,0,4.27,18.32,3.94,22.14,3.41,2.84%,MAIN,1287828,169993,23,6227661,
1001771,"Steven Sims",,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.04,0.02,0.23,0,0.04,0.04,0.03,0.23,0,0,0,0.23,0,0,0,0.08,,,0.02,0.01%,MAIN,877596,68246,24,1001771,
1844275,"Josiah Deguara",,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.05,0.04,0.34,0,0.07,0.07,0.05,0.34,0,0,0,0.34,0,0,0,0.14,,,0,0.00%,MAIN,866149,45301,25,1844275,
3492164,"Trey McBride",,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,11.29,7.88,87.67,0.71,21.97,21.89,17.95,87.67,0.71,0,0,87.67,0.71,0,12.08,35.61,35.06,58.66,33.2,28.49%,MAIN,1108161,41195,26,3492164,
4687953,"Elijah Higgins",,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,2.53,2.05,19.21,0.13,4.73,4.72,3.69,19.21,0.13,0,0,19.21,0.13,0,0.79,11.58,1.5,17.08,1.56,0.62%,MAIN,1161853,132184,27,4687953,
4688002,"Chad Ryland",,K,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0,0,0,0,8.02,8.02,8.02,0,0,0,0,0,0,7.13,3.22,14.24,,,0,0.00%,MAIN,1108545,48407,28,4688002,
18420,"Cincinnati Bengals",,DST,CIN,ARI,147571,,0,0,0,0,0,0,0,0,0,0,0,0,6.82,6.82,6.82,0,0,0,0,0,0,0,1.85,13.83,5.68,33.76,3.6,4.95%,MAIN,327,8469,29,18420,
