PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
18899,"Kristaps Porzingis",6300,PF/C,ATL,NYK,157364,877869,-,18.5,14.2,4.08,1.91,1.54,0.57,0.29,1.03,16.11,18.28,20.19,1.32,5.99,5.94,2.91,4,4.53,3.76,9.94,4.45,25.35,25.35,25.3,4.02,0.35%,135,127,FRI,12577,1,18899,18.61,32.85,0.1,0.1,1.14,18.6,22.32,25.3,28.28,33.24,35.22,43.66,
37814,"Luke Kennard",3400,PG/SG,ATL,NYK,157364,887661,-,18,4.74,1.78,1.9,1.01,0.56,0.85,0,6.64,6.52,8.42,0.85,3.68,1.25,0.61,2.31,0.53,0.48,3.56,1.62,11.72,11.72,11.74,3.45,0.23%,135,127,FRI,38279,2,37814,6.95,17.71,0,0,0.53,7.04,9.65,11.74,14.09,17.74,19.31,26.09,
1115445,"Nickeil Alexander-Walker",6900,SG/SF,ATL,NYK,157364,1067668,-,34,20.75,3.06,3.17,2.69,2.5,0.93,0.7,23.92,23.81,26.98,1.63,6.23,10.9,4.8,6.96,3.68,3.07,17.86,7.49,31.57,31.57,32.69,4.74,4.70%,135,127,FRI,69666,4,1115445,24.32,41.6,0.21,0.21,8.58,24.27,28.98,32.69,36.16,41.85,44.08,54.98,
2439277,"Onyeka Okongwu",7500,C,ATL,NYK,157364,1185367,,29,15.31,7.26,3.03,1.25,1.64,0.69,0.81,18.34,22.57,25.6,1.5,10.29,8.36,4.36,3.56,3.7,2.84,11.92,5.61,31.43,31.43,32.02,4.27,0.17%,135,127,FRI,91845,5,2439277,24.23,40.53,0.5,0.5,2.88,24.14,28.57,32.02,35.47,40.64,42.61,53.2,
2439347,"Vit Krejci",4200,SG/SF,ATL,NYK,157364,1257428,,26,10.35,2.42,1.59,2.53,1.18,0.48,0.24,11.94,12.77,14.36,0.72,4.01,2.11,1.03,5.71,0.97,0.72,7.82,3.56,16.62,16.62,17.88,4.26,0.45%,135,127,FRI,161284,6,2439347,11.33,25.42,0.24,0.24,4.95,11.08,14.86,17.88,20.65,25.18,27.45,35.76,
3005263,"Jalen Johnson",9900,PF,ATL,NYK,157364,1230356,,37,26.52,10.76,8.32,1.48,2.83,1.09,0.49,34.84,37.28,45.6,1.58,19.08,17.07,8.67,4.26,6.07,4.75,21.33,10.15,53.82,53.82,56.46,5.7,27.11%,135,127,FRI,165214,7,3005263,45.82,67.49,17.16,17.16,38.95,45.37,51.78,56.46,60.65,67.55,70.02,81.85,
3587993,"Dyson Daniels",6600,PG/SG,ATL,NYK,157364,1357745,,34,12.79,5.54,5.79,0.56,2.23,2.12,0.23,18.58,18.33,24.12,2.35,11.33,9.96,4.93,2.06,2.07,1.25,12.02,5.49,32.94,32.94,32.41,4.91,4.78%,135,127,FRI,195261,9,3587993,24.4,40.84,2.43,2.43,9.88,24.18,28.67,32.41,35.65,41.14,43.38,53.1,
4388493,"Keaton Wallace",3200,PG,ATL,NYK,157364,1063166,,6,1.84,0.81,1.32,0.3,0.26,0.2,0.05,3.16,2.65,3.97,0.25,2.13,0.72,0.31,0.87,0.39,0.32,1.59,0.61,5.28,5.28,5.35,1.67,0.04%,135,127,FRI,245561,10,4388493,2.28,9.43,0,0,0,2.41,4.01,5.35,6.96,9.63,10.43,15.78,
4878163,"Mouhamed Gueye",3300,PF/C,ATL,NYK,157364,1325101,,1,0.28,0.23,0.06,0.03,0.03,0.03,0.03,0.34,0.51,0.57,0.06,0.29,0.16,0.08,0.08,0.06,0.05,0.24,0.11,0.8,0.8,0.78,0.24,0.28%,135,127,FRI,180180,11,4878163,0.21,1.56,0,0,0,0.33,0.56,0.78,1,1.34,1.42,1.49,
6412725,"Zaccharie Risacher",4300,SF,ATL,NYK,157364,1432544,,25,9.7,3.96,1.8,1.38,0.96,0.99,0.42,11.5,13.66,15.46,1.41,5.76,4.92,2.19,4.03,1.7,1.17,8.95,3.57,20.42,20.42,20.39,4.74,0.41%,135,127,FRI,368366,13,6412725,14.04,27.34,0.08,0.08,7.42,13.85,17.37,20.39,23.16,27.44,29.45,38.01,
