PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
13563,"Kirk Cousins",,QB,ATL,ARI,147554,,32.42,20.71,211.82,1.71,0.63,0.7,1.85,0.06,0,0,0,0,15.44,15.43,15.43,213.67,1.77,213.67,1.77,1.85,0.06,0,8.94,23.85,2.18,41.16,3.4,5.06%,MAIN,403308,2307,1,13563,
3491931,"Tyler Allgeier",,RB,ATL,ARI,147554,,0,0,0,0,0,7.83,38.21,0.35,1.21,0.96,6.49,0.06,7.88,7.85,7.37,44.7,0.41,38.21,0.35,44.7,0.41,0,3.49,16,1.84,20.96,0.82,0.35%,MAIN,1131198,125422,2,3491931,
4687512,"Bijan Robinson",,RB,ATL,ARI,147554,,0,0,0,0,0,18.35,99.9,0.75,5.47,4.02,31.52,0.25,24.55,24.46,22.45,131.42,1,99.9,0.75,131.42,1,0,15.27,36.53,30.92,62.32,28.23,24.93%,MAIN,1228244,123168,3,4687512,
8261767,"Nate Carter",,RB,ATL,ARI,147554,,0,0,0,0,0,0.12,0.66,0,0,0,0,0,0.07,0.06,0.06,0.66,0,0.66,0,0.66,0,0,0,0.14,,,0,0.00%,MAIN,1214132,134222,4,8261767,
982204,"David Sills",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,2.76,1.61,16.04,0.14,4.05,4.04,3.23,16.04,0.14,0,0,16.04,0.14,0,0.21,10.75,0.32,8.74,0.3,0.18%,MAIN,866973,65587,5,982204,
1844218,"Darnell Mooney",,WR,ATL,ARI,147554,,0,0,0,0,0,0.03,0.15,0,4.61,2.74,32.32,0.24,7.46,7.44,6.07,32.47,0.24,0.15,0,32.47,0.24,0,2.57,15.4,2.62,21.96,1.58,1.41%,MAIN,912027,62802,6,1844218,
3491928,"Drake London",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,9.06,6.36,65.04,0.47,16.13,16.09,12.91,65.04,0.47,0,0,65.04,0.47,0,8.95,27.08,12.5,40,9.68,12.88%,MAIN,1178741,140160,7,3491928,
4773069,"Dylan Drummond",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.8,0.49,4.3,0.04,1.16,1.16,0.91,4.3,0.04,0,0,4.3,0.04,0,0,2.32,0,2.5,0.05,0.01%,MAIN,1108534,48414,8,4773069,
3515974,"Deven Thompkins",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.1,0.06,0.43,0.01,0.16,0.16,0.13,0.43,0.01,0,0,0.43,0.01,0,0,0.32,0,0.1,0.03,0.01%,MAIN,1130833,49660,9,3515974,
2595531,"Chris Blair",,WR,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.4,0.24,2.42,0.02,0.6,0.6,0.48,2.42,0.02,0,0,2.42,0.02,0,0.24,0.96,,,0.01,0.00%,MAIN,1120347,44825,10,2595531,
1849814,"Charlie Woerner",,TE,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.7,0.49,3.79,0.04,1.1,1.1,0.85,3.79,0.04,0,0,3.79,0.04,0,0,2.2,0.04,3.06,0.02,0.01%,MAIN,922040,58179,11,1849814,
2862126,"Kyle Pitts",,TE,ATL,ARI,147554,,0,0,0,0,0,0,0,0,7.26,4.8,49.46,0.43,12.44,12.4,10,49.46,0.43,0,0,49.46,0.43,0,5.85,22.74,8.3,36.32,7.97,10.97%,MAIN,1123026,54917,12,2862126,
3491690,"Teagan Quitoriano",,TE,ATL,ARI,147554,,0,0,0,0,0,0,0,0,0.04,0.02,0.26,0,0.05,0.05,0.04,0.26,0,0,0,0.26,0,0,0,0.1,,,0,0.00%,MAIN,1128538,63778,13,3491690,
