PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,OWNERSHIP
328331,"Josh Allen",7000,QB,BUF,JAC,157731,,30.4,20.18,227.37,1.78,0.64,8.51,38.51,0.54,0,0,0,0,23.2,3.31,,0,0.00%,SUN,868199,58465,1,328331,23.13,23.13,265.88,2.32,265.88,2.32,38.51,0.54,0,14.94,32.87,,
982111,"Ty Johnson",4400,RB,BUF,JAC,157731,Q,0,0,0,0,0,2.92,12.21,0.08,2.15,1.4,15.03,0.11,5.25,1.19,,0,0.00%,SUN,877784,68741,2,982111,5.23,4.53,27.24,0.19,12.21,0.08,27.24,0.19,0,1.28,13.28,,
3491576,"James Cook",7400,RB,BUF,JAC,157731,,0,0,0,0,0,17.51,82.55,0.46,3.79,2.75,23.71,0.19,18.13,2.45,,0,0.00%,SUN,1131012,58170,3,3491576,18.04,16.66,106.26,0.65,82.55,0.46,106.26,0.65,0,10.21,28.74,,
6227753,"Ray Davis",4200,RB,BUF,JAC,157731,,0,0,0,0,0,0.94,3.71,0.02,0.32,0.25,2.4,0.02,1.1,0.26,,0,0.00%,SUN,1165229,93411,4,6227753,1.1,0.97,6.11,0.04,3.71,0.02,6.11,0.04,0,0,3.03,,
3491575,"Khalil Shakir",4800,WR,BUF,JAC,157731,,0,0,0,0,0,0.08,0.44,0,4.96,3.59,40.8,0.35,9.96,2.08,,0,0.00%,SUN,1130603,55222,5,3491575,9.94,8.14,41.24,0.35,0.44,0,41.24,0.35,0,4.2,19.24,,
6227754,"Keon Coleman",3200,WR,BUF,JAC,157731,,0,0,0,0,0,0,0,0,1.32,0.77,10.04,0.09,2.31,0.72,,0,0,SUN,1322431,170256,6,6227754,2.31,1.92,10.04,0.09,0,0,10.04,0.09,0,0.92,3.7,,42
4744237,"Tyrell Shavers",3100,WR,BUF,JAC,157731,,0,0,0,0,0,0,0,0,2.06,1.33,20.7,0.14,4.29,1.38,,0,0.00%,SUN,973949,63556,7,4744237,4.29,3.62,20.7,0.14,0,0,20.7,0.14,0,0.22,10.68,,
1844330,"Gabriel Davis",3300,WR,BUF,JAC,157731,,0,0,0,0,0,0,0,0,1.32,0.73,10.66,0.09,2.33,0.71,,0,0.00%,SUN,976761,43135,8,1844330,2.33,1.96,10.66,0.09,0,0,10.66,0.09,0,0,4.66,,
18281,"Brandin Cooks",3500,WR,BUF,JAC,157731,,0,0,0,0,0,0,0,0,4.44,2.8,31.76,0.31,7.85,2.24,,0,0.00%,SUN,607864,2255,9,18281,7.84,6.44,31.76,0.31,0,0,31.76,0.31,0,2.98,16.46,,
982202,"Dawson Knox",3300,TE,BUF,JAC,157731,,0,0,0,0,0,0,0,0,3.66,2.43,26.13,0.17,6.05,1.83,,0,0.00%,SUN,884083,61345,10,982202,6.03,4.81,26.13,0.17,0,0,26.13,0.17,0,1.98,14.05,,
