PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,OWNERSHIP
982257,"Jarrett Stidham",4500,QB,DEN,NEP,158397,,32.78,19.75,206.11,1.37,0.98,5.39,22.18,0.13,0,0,0,0,15.9,3.53,48.26,23.83,16.83%,MAIN,865868,61644,1,982257,15.85,15.85,228.29,1.5,228.29,1.5,22.18,0.13,0,9.67,23.91,3.02,
4773040,"Jaleel McLaughlin",4400,RB,DEN,NEP,158397,,0,0,0,0,0,6.56,23.23,0.22,0.69,0.51,2.73,0.02,4.53,1.03,7.44,6.33,4.24%,MAIN,1271738,173596,2,4773040,4.51,4.25,25.96,0.24,23.23,0.22,25.96,0.24,0,1.67,12.46,0.62,
3491354,"Tyler Badie",4200,RB,DEN,NEP,158397,,0,0,0,0,0,0.22,0.76,0.01,2.41,1.54,11.01,0.06,3.12,0.74,3.04,2.47,1.75%,MAIN,1124338,50826,3,3491354,3.11,2.34,11.77,0.07,0.76,0.01,11.77,0.07,0,0,8.36,0.08,
8223044,"RJ Harvey",5900,RB,DEN,NEP,158397,,0,0,0,0,0,12.8,52.53,0.43,4.34,3.05,22.82,0.11,13.85,2.35,32.08,33.41,41.35%,MAIN,1172401,132462,4,8223044,13.76,12.23,75.35,0.54,52.53,0.43,75.35,0.54,0,7.24,23.34,4.2,
2874182,"Adam Prentice",,RB,DEN,NEP,158397,,0,0,0,0,0,0.11,0.41,0,0.35,0.22,1.58,0.01,0.48,21,0.06,0.3,0.80%,MAIN,885540,41100,5,2874182,0.47,0.36,1.99,0.01,0.41,0,1.99,0.01,0,0,0.96,0,
328827,"Courtland Sutton",5700,WR,DEN,NEP,158397,,0,0,0,0,0,0,0,0,7.86,4.57,54.57,0.38,12.5,2.19,28.22,23.22,29.81%,MAIN,838878,40663,6,328827,12.47,10.18,54.57,0.38,0,0,54.57,0.38,0,5.94,22.65,6.3,
4687701,"Marvin Mims",4200,WR,DEN,NEP,158397,,0,0,0,0,0,1.71,7.55,0.02,3.9,2.54,28.8,0.19,7.46,1.78,20.3,11.6,15.96%,MAIN,1213799,138890,7,4687701,7.43,6.16,36.35,0.21,7.55,0.02,36.35,0.21,0,2.85,15.4,2.5,
8223043,"Pat Bryant",4400,WR,DEN,NEP,158397,,0,0,0,0,0,0,0,0,5.44,3.29,36.93,0.26,8.64,1.96,25.56,16.97,19.85%,MAIN,1305866,170072,8,8223043,8.62,6.97,36.93,0.26,0,0,36.93,0.26,0,3.58,17.17,5.12,
982599,"Lil'Jordan Humphrey",3400,WR,DEN,NEP,158397,,0,0,0,0,0,0,0,0,1.67,1.03,11.6,0.08,2.66,0.78,5.16,2.02,1.69%,MAIN,920758,51064,9,982599,2.66,2.14,11.6,0.08,0,0,11.6,0.08,0,0,7.32,0.1,
2861841,"Elijah Moore",,WR,DEN,NEP,158397,,0,0,0,0,0,0,0,0,0.06,0.03,0.35,0,0.06,21,,0.11,0.60%,MAIN,1128783,61372,10,2861841,0.07,0.05,0.35,0,0,0,0.35,0,0,0,0.12,,
36968,"Evan Engram",3300,TE,DEN,NEP,158397,,0,0,0,0,0,0,0,0,3.65,2.41,22.36,0.15,5.54,1.68,16.74,11.04,12.05%,MAIN,749185,33338,11,36968,5.52,4.31,22.36,0.15,0,0,22.36,0.15,0,1.56,12.42,2.94,
1844770,"Adam Trautman",2500,TE,DEN,NEP,158397,,0,0,0,0,0,0,0,0,1.41,0.89,8.72,0.06,2.11,0.84,4.88,2.95,1.33%,MAIN,875444,50142,12,1844770,2.11,1.66,8.72,0.06,0,0,8.72,0.06,0,0,4.22,0.2,
4773039,"Nate Adkins",2500,TE,DEN,NEP,158397,,0,0,0,0,0,0,0,0,0.77,0.53,4.15,0.03,1.12,0.45,2.5,1.36,0.59%,MAIN,1132517,147718,13,4773039,1.12,0.85,4.15,0.03,0,0,4.15,0.03,0,0,2.24,0.02,
35411,"Wil Lutz",,K,DEN,NEP,158397,,0,0,0,0,0,0,0,0,0,0,0,0,6.84,21,,0,0.00%,MAIN,700299,26281,14,35411,6.84,6.84,0,0,0,0,0,0,6.14,2.18,13.08,,
18432,"New England Patriots",3500,DST,NEP,DEN,158397,,0,0,0,0,0,0,0,0,0,0,0,0,7.03,2.01,35.14,33.13,27.43%,MAIN,348,8481,15,18432,7.03,7.03,0,0,0,0,0,0,0,2.57,13.19,6,
11613,"Matthew Stafford",6300,QB,LAR,SEA,158398,,34.69,22.46,268.39,1.72,0.69,1.18,1.88,0.02,0,0,0,0,17.98,2.85,42.96,9.07,24.79%,MAIN,323205,6957,16,11613,17.97,17.97,270.27,1.74,270.27,1.74,1.88,0.02,0,10.88,26.29,4.8,
