PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6500,PG/SG,ATL,BOS,158580,522878,-,27,17.17,3.05,3.3,2.45,1.3,0.64,0.51,20.47,20.22,23.52,1.15,6.35,8.57,3.93,6.22,2.56,1.97,14.79,6.38,27.93,27.93,28.81,4.43,0.39%,135,125,WED,12451,1,17121,20.73,37.96,2.59,2.59,5.6,20.65,25.24,28.81,32.12,37.99,40.28,49.97,
37814,"Luke Kennard",4200,PG/SG,ATL,BOS,158580,887661,-,23,7.9,2.6,2.27,1.67,0.58,0.63,0.22,10.17,10.5,12.77,0.85,4.87,1.98,1.06,3.71,0.85,0.77,5.69,2.73,16.4,16.4,16.8,4,0.31%,135,125,WED,38279,3,37814,10.6,24.05,0.95,0.95,2.95,10.44,14,16.8,19.6,24.18,25.96,34.11,
1115445,"Nickeil Alexander-Walker",6800,SG,ATL,BOS,158580,1067668,-,33,17.87,2.98,3.54,2.87,1.76,1.02,0.63,21.41,20.85,24.39,1.65,6.52,7.44,3.23,7.44,3.31,2.81,14.88,6.1,29.95,29.95,30.76,4.52,1.13%,135,125,WED,69666,4,1115445,22.64,39.81,1.85,1.85,6.15,22.63,27.2,30.76,34.57,40.17,42.45,52.11,
2439277,"Onyeka Okongwu",7500,C,ATL,BOS,158580,1185367,,33,16.97,8.19,3.11,1.66,1.89,0.93,0.71,20.08,25.16,28.27,1.64,11.3,8.56,4.46,4.6,4.03,3.09,13.16,6.12,34.49,34.49,35.42,4.72,2.36%,135,125,WED,91845,5,2439277,26.84,44.11,2.18,2.18,8.09,26.63,31.4,35.42,38.94,44.21,46.47,57.03,
2439347,"Vit Krejci",3500,SG/SF,ATL,BOS,158580,1257428,,12,4.5,1.1,0.85,1.1,0.24,0.24,0.11,5.35,5.6,6.45,0.35,1.95,0.96,0.42,2.58,0.48,0.35,3.54,1.52,7.91,7.91,8.28,2.37,0.05%,135,125,WED,161284,6,2439347,3.87,13.72,0,0,0.02,3.74,6.41,8.28,10.42,13.89,15.22,22.17,
3005263,"Jalen Johnson",10000,PF,ATL,BOS,158580,1230356,,36.5,21.79,10.21,6.72,1.65,3.03,0.83,0.47,28.51,32,38.72,1.3,16.93,13.18,6.37,4.87,5.38,4.11,18.05,8.02,44.99,44.99,47.54,4.75,2.36%,135,125,WED,165214,7,3005263,37.57,58.29,1.92,1.92,11.45,37.48,43.01,47.54,51.56,58.1,60.62,71.18,
3005340,"Corey Kispert",4000,SF/PF,ATL,BOS,158580,1077554,,17,8.31,1.63,1.41,1.54,0.66,0.46,0.03,9.72,9.94,11.35,0.49,3.04,2.86,1.29,4.16,1.43,1.12,7.02,2.83,13.19,13.19,13.88,3.47,0.36%,135,125,WED,72585,8,3005340,8.31,20.23,0.76,0.76,0.71,8.23,11.31,13.88,16.45,20.31,22.11,29.56,
3587713,"Christian Koloko",3300,C,ATL,BOS,158580,1193674,,12,3.4,2.37,0.42,0.03,0.39,0.35,0.77,3.82,5.77,6.19,1.12,2.79,2.77,1.51,0.13,0.52,0.28,2.9,1.54,9.84,9.84,9.05,2.74,0.51%,135,125,WED,92616,9,3587713,5.1,13.7,0,0,0.01,5.17,7.5,9.05,10.86,13.96,15,19.91,
3587993,"Dyson Daniels",6700,PG,ATL,BOS,158580,1357745,,33.5,10.78,6.47,6.32,0.45,1.51,1.18,0.42,17.1,17.25,23.57,1.6,12.79,8.22,4.2,1.7,1.69,1.02,9.92,4.65,31.31,31.31,31.22,4.66,2.24%,135,125,WED,195261,11,3587993,24.01,39.7,1.72,1.72,5.88,23.67,27.95,31.22,34.49,39.53,41.79,51.36,
4878163,"Mouhamed Gueye",3600,PF/C,ATL,BOS,158580,1325101,,13,2.99,3.12,1.02,0.36,0.24,0.68,0.14,4.01,6.11,7.13,0.82,4.14,1.68,0.69,1.3,0.79,0.52,2.98,1.05,10.48,10.48,10.12,2.81,0.05%,135,125,WED,180180,13,4878163,5.97,15.04,0,0,0.02,5.97,8.3,10.12,11.94,15.05,16.35,22.58,
