"First Name","Last Name","Team","Matchup","PTS","REB","AST","3PM","BLK","STL","TO","PRA","PR","PA","DFS","Last Updated"
"Shai","Gilgeous-Alexander","OKC","MEM vs. OKC","30.54","5.21","6.59","2.07","0.83","1.51","2.14","42.34","35.74","37.13","53.71","2025-12-22T15:41:05Z"
"Nikola","Jokic","DEN","UTA vs. DEN","30.46","11.80","10.42","2.74","0.91","1.53","3.07","52.67","42.25","40.88","68.60","2025-12-22T15:41:04Z"
"Stephen","Curry","GSW","ORL vs. GSW","28.85","4.22","4.65","4.62","0.40","1.28","3.01","37.72","33.07","33.50","48.26","2025-12-22T15:41:03Z"
"Donovan","Mitchell","CLE","CHA vs. CLE","28.60","4.58","5.82","3.34","0.30","1.56","2.81","39.00","33.18","34.42","49.85","2025-12-22T15:41:04Z"
"Jaylen","Brown","BOS","IND vs. BOS","28.57","6.74","4.73","2.06","0.42","1.06","3.28","40.05","35.31","33.31","49.73","2025-12-22T15:41:03Z"
"Cade","Cunningham","DET","DET vs. POR","28.41","6.58","8.90","2.16","0.89","1.64","3.95","43.89","34.99","37.31","58.09","2025-12-22T15:41:04Z"
"Paolo","Banchero","ORL","ORL vs. GSW","26.02","8.16","5.68","1.82","0.54","0.94","3.29","39.86","34.18","31.71","50.26","2025-12-22T15:41:04Z"
"Deni","Avdija","POR","DET vs. POR","25.82","8.05","6.64","2.27","0.65","0.88","4.18","40.51","33.87","32.45","52.11","2025-12-22T15:41:05Z"
"Jamal","Murray","DEN","UTA vs. DEN","24.96","3.88","6.69","3.45","0.49","1.26","1.91","35.53","28.84","31.65","46.02","2025-12-22T15:41:04Z"
"Anthony","Davis","DAL","DAL vs. NOP","24.51","11.57","3.66","0.81","2.03","1.17","2.11","39.74","36.08","28.17","52.32","2025-12-22T15:41:05Z"
"Lauri","Markkanen","UTA","UTA vs. DEN","24.33","6.62","1.96","2.82","0.47","0.91","1.32","32.90","30.95","26.28","40.38","2025-12-22T15:41:04Z"
"Keyonte","George","UTA","UTA vs. DEN","23.50","4.09","6.54","3.03","0.22","0.85","3.20","34.12","27.58","30.04","43.67","2025-12-22T15:41:04Z"
"Shaedon","Sharpe","POR","DET vs. POR","23.22","4.73","3.09","2.29","0.28","1.31","2.89","31.04","27.95","26.31","39.53","2025-12-22T15:41:05Z"
"Trey","Murphy","NOP","DAL vs. NOP","22.62","5.80","4.18","2.55","0.29","1.63","2.17","32.61","28.42","26.80","42.35","2025-12-22T15:41:05Z"
"Pascal","Siakam","IND","IND vs. BOS","22.11","6.11","3.68","1.72","0.41","0.97","1.96","31.91","28.22","25.79","39.87","2025-12-22T15:41:03Z"
"Cooper","Flagg","DAL","DAL vs. NOP","22.03","6.30","3.93","1.06","0.78","1.27","1.97","32.25","28.33","25.96","41.40","2025-12-22T15:41:05Z"
"Jimmy","Butler","GSW","ORL vs. GSW","21.76","5.83","4.80","0.87","0.26","1.51","1.47","32.38","27.58","26.55","40.95","2025-12-22T15:41:03Z"
"Darius","Garland","CLE","CHA vs. CLE","21.35","3.35","7.19","2.87","0.13","1.22","2.57","31.88","24.70","28.53","41.75","2025-12-22T15:41:04Z"
"Zion","Williamson","NOP","DAL vs. NOP","21.29","5.49","4.17","0.08","0.64","1.17","2.62","30.95","26.78","25.46","39.39","2025-12-22T15:41:05Z"
"Brandon","Miller","CHA","CHA vs. CLE","21.23","4.59","3.49","3.71","0.75","1.11","2.66","29.31","25.82","24.73","39.11","2025-12-22T15:41:04Z"
"Desmond","Bane","ORL","ORL vs. GSW","20.66","5.14","5.06","2.23","0.32","1.18","2.80","30.86","25.80","25.72","40.18","2025-12-22T15:41:04Z"
"Miles","Bridges","CHA","CHA vs. CLE","20.27","5.76","3.48","2.53","0.47","0.71","1.94","29.50","26.03","23.74","37.27","2025-12-22T15:41:04Z"
"Kon","Knueppel","CHA","CHA vs. CLE","19.81","5.19","3.56","3.90","0.24","0.95","2.55","28.56","25.00","23.37","37.26","2025-12-22T15:41:04Z"
"LaMelo","Ball","CHA","CHA vs. CLE","19.40","4.59","7.67","2.81","0.25","1.06","3.15","31.66","23.99","27.07","42.23","2025-12-22T15:41:04Z"
"Jalen","Williams","OKC","MEM vs. OKC","19.37","5.32","5.37","1.60","0.52","1.33","1.59","30.06","24.69","24.74","39.35","2025-12-22T15:41:05Z"
"Jerami","Grant","POR","DET vs. POR","18.13","3.91","2.93","2.56","0.82","0.84","2.10","24.97","22.04","21.06","33.07","2025-12-22T15:41:05Z"
"Derrick","White","BOS","IND vs. BOS","17.51","4.96","4.97","3.38","1.13","1.27","1.79","27.44","22.47","22.48","38.54","2025-12-22T15:41:03Z"
