PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
17212,"Brendan Gallagher",2500,W,MTL,BOS,8402840,555807,4,2,,0.1496,0.1735,1.398,0.321,0,0,0,0,0.0245,0.0481,0.3231,0.0726,4.85,1.94,5.2,7.35,136,0,11.51,0,,17212,0.855,3.77,11.7,162,2017,29796,0
2299078,"Emil Heineman",3800,W,NYI,NJD,8402860,1248154,2,1,,0.3443,0.2974,2.2821,0.7312,0,0,0,0,0.0783,0.0753,0.6417,0.1536,9.43,2.48,7.79,10.99,137,1.36,19.4,0,,2299078,3.415,8.05,18.1,156,2135,158640,1
2295723,"Braden Schneider",3500,D,NYR,WSH,8402790,1248088,1,,,0.0671,0.2287,1.3598,2.305,0,0,0,0,0,0,0.2958,0,8.07,2.31,5.45,7.6,138,2.42,15.05,0,,2295723,2.311,6.14,22.2,157,2059,158563,0
31743,"Chandler Stephenson",3900,C,SEA,LAK,8402910,680757,2,1,,0.1875,0.3731,1.2982,0.7521,0,0,0,0,0.0468,0.1142,0.5606,0.161,6.78,1.74,6.54,9.52,139,0,15.15,0,,31743,0.531,5.01,19.7,1179,182467,30369,0
1283126,"Eetu Luostarinen",3300,W,FLA,CAR,8402830,1057150,1,2,,0.1522,0.2851,1.3482,0.9691,0,0,0,0,0.0212,0.0439,0.4373,0.0651,6.46,1.96,5.63,8.06,140,0.63,13.67,0,,1283126,1.962,5.38,17.4,166,2047,91962,0
992345,"Jack Studnicka",2500,W,FLA,CAR,8402830,1057161,4,,,0.0636,0.0898,0.9117,0.408,0,0,0,0,0,0,0.1534,0,3.06,1.22,4.49,6.33,141,0,8.81,0,,992345,0.985,2.55,8.3,166,2047,82493,0
6058435,"Collin Graf",3500,W,SJS,VGK,8403010,1507765,1,2,,0.2111,0.2663,1.5018,0.7878,0,0,0,0,0.0247,0.0455,0.4774,0.0702,6.81,1.95,6.61,9.4,142,0,15.27,0,,6058435,1.023,5.17,18.4,184,1950,344685,0
1283254,"Logan Thompson",8000,G,WSH,NYR,8402790,1139760,,,B,0,0,0,0,0.6255,22.7608,2.4849,0.0934,0,0,0,0,12.09,1.51,7.43,9.73,143,4.39,21.6,0,,1283254,0,9.95,,168,2232,82970,1
4904965,"Denver Barkey",2500,W,PHI,CHI,8402940,1453172,2,2,,0.2095,0.2695,1.7557,0.4919,0,0,0,0,0.0415,0.0612,0.479,0.1027,6.74,2.7,6.62,9.4,144,0,15.21,0,,4904965,1.328,5.3,15.8,158,2229,260542,0
10148334,"Max Shabanov",3300,W,NYI,NJD,8402860,1349311,3,2,,0.1578,0.2582,1.3872,0.4068,0,0,0,0,0.0312,0.0568,0.416,0.088,5.48,1.66,5.57,8,145,0,12.61,0,,10148334,0.833,4.23,13.8,156,2135,624202,1
2299379,"Yan Kuznetsov",2900,D,CGY,EDM,8402880,1248166,2,,,0.0377,0.1642,0.7243,1.586,0,0,0,0,0,0,0.2019,0,5.03,1.73,4.9,6.9,146,0,11.3,0,,2299379,1.481,3.93,20.2,175,2134,158625,0
2296056,"Hendrix Lapierre",2500,C,WSH,NYR,8402790,1248089,4,,,0.0761,0.1898,0.7815,0.3952,0,0,0,0,0,0,0.2659,0,3.46,1.38,4.61,6.6,147,0,9.36,0,,2296056,0.656,2.72,9.4,168,2232,158581,1
4904968,"Matvei Michkov",4100,W,PHI,CHI,8402940,1338014,3,2,,0.2619,0.3487,1.918,0.2444,0,0,0,0,0.0739,0.0909,0.6106,0.1648,7.51,1.83,7.28,10.4,148,0,16.83,0,,4904968,0.51,5.47,14.2,158,2229,260577,0
6417759,"Artyom Levshunov",3000,D,CHI,PHI,8402940,1517413,2,1,,0.0726,0.3641,1.5039,1.0631,0,0,0,0,0.0254,0.0632,0.4367,0.0886,6.6,2.2,5.86,8.55,149,0.53,14.1,0,,6417759,1.383,5.19,20.6,170,2205,449323,1
5274485,"Ethen Frank",3100,W,WSH,NYR,8402790,1418688,3,2,,0.1846,0.225,1.387,0.5501,0,0,0,0,0.0347,0.0472,0.4096,0.0819,5.78,1.86,5.86,8.34,150,0,13.28,0,,5274485,0.862,4.42,12.7,168,2232,246121,1
555421,"Ukko-Pekka Luukkonen",7500,G,BUF,OTT,8402870,1057162,,,B,0,0,0,0,0.4255,25.5805,3.3408,0.0395,0,0,0,0,10.53,1.4,8.58,10.8,151,1.64,21.51,0,,555421,0,7.88,,161,2004,82846,0
17222,"James van Riemsdyk",3100,W,DET,DAL,8402810,392943,4,1,,0.2318,0.2837,1.8216,0.3568,0,0,0,0,0.0775,0.1012,0.5155,0.1787,6.91,2.23,6.62,9.39,152,0.05,15.38,0,,17222,0.527,5.06,14.9,172,2075,29821,1
5273945,"Brennan Othmann",2500,W,NYR,WSH,8402790,1321470,3,,,0.0766,0.1184,0.9482,0.3961,0,0,0,0,0,0,0.195,0,3.36,1.34,4.47,6.32,153,0,9.08,0,,5273945,1.259,2.91,10,157,2059,164989,0
9011929,"Matthew Schaefer",5800,D,NYI,NJD,8402860,1562161,1,1,,0.2393,0.4132,3.2253,1.6982,0,0,0,0,0.1057,0.0941,0.6525,0.1998,12.72,2.19,7.73,10.77,154,4.71,22.61,0,,9011929,0.982,8.6,25,156,2135,622914,1
