PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID,OWNERSHIP
942480,"Cale Makar",,D,CAN,TBD,,1057102,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,28.67,,942480,0,0,,,,87789,1,1.15,1.15,1,
31733,"Connor McDavid",,C,CAN,TBD,,878032,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,55.33,,31733,0,0,,,,31006,1,1.15,1.15,2,
17128,"Tom Wilson",,W,CAN,TBD,,659860,1,,,0.22,0.2224,1.4614,0,0,0,0,0,0,0,0.4424,0,5.26,0,13.43,2,,17128,2.25,4.8,12.9,,,30148,1,6.38,9.03,3,
35733,"Devon Toews",,D,CAN,TBD,,831460,1,,,0.0868,0.363,1.4289,0,0,0,0,0,0,0,0.4498,0,4.78,0,12.63,15.67,,35733,0.742,3.77,16.2,,,83302,1,6.13,8.95,4,
6418266,"Macklin Celebrini",,C,CAN,TBD,,1497708,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,14,,6418266,0,0,,,,449320,1,1.15,1.15,5,
16668,"Nathan MacKinnon",,C,CAN,TBD,,741404,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,35,,16668,0,0,,,,30677,1,1.15,1.15,6,
31680,"Colton Parayko",,D,CAN,TBD,,680852,2,,,0.0607,0.1798,1.086,0,0,0,0,0,0,0,0.2405,0,3.09,0,9.07,5,,31680,1.081,2.71,16.5,,,30565,1,4.67,6.64,7,
37779,"Nick Suzuki",,C,CAN,TBD,,1057111,2,,,0.164,0.2723,1.2034,0,0,0,0,0,0,0,0.4363,0,4.62,0,12.3,0.67,,37779,0.639,3.6,12.6,,,40159,1,6,8.61,8,
1279531,"Brandon Hagel",,W,CAN,TBD,,920496,2,,,0.2991,0.2999,1.9085,0,0,0,0,0,0,0,0.599,0,7.13,0,16.21,7.33,,1279531,0.603,5.2,13.6,,,92058,1,7.09,10.06,9,
34600,"Josh Morrissey",,D,CAN,TBD,,741443,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,34600,0.724,0.36,21.3,,,30599,1,1.15,1.15,10,39
17172,"Mark Stone",,W,CAN,TBD,,556369,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,2,,17172,0,0,,,,31019,1,1.15,1.15,11,
14383,"Drew Doughty",,D,CAN,TBD,,456625,3,,,0.0554,0.1848,0.9319,0,0,0,0,0,0,0,0.2402,0,2.81,0,8.72,2,,14383,0.797,2.4,16.1,,,29920,1,4.62,6.6,12,
14202,"Sidney Crosby",,C,CAN,TBD,,296786,3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,20.33,,14202,0,0,,,,30424,1,1.15,1.15,13,
1283915,"Thomas Harley",,D,CAN,TBD,,1172200,3,,,0.0787,0.2144,1.1824,0,0,0,0,0,0,0,0.2931,0,3.55,0,9.83,7,,1283915,0.585,2.8,15,,,92099,1,4.91,7.02,14,
35796,"Mitch Marner",,C,CAN,TBD,,878035,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,16,,35796,0,0,,,,30483,1,1.15,1.15,15,
18501,"Shea Theodore",,D,CAN,TBD,,741466,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,10,,18501,0,0,,,,30663,1,1.15,1.15,16,
31735,"Bo Horvat",,C,CAN,TBD,,741412,4,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,6,,31735,0,0,,,,31049,1,1.15,1.15,17,
31688,"Sam Reinhart",,W,CAN,TBD,,831067,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,14,,31688,0,0,,,,30753,1,1.15,1.15,18,
14182,"Brad Marchand",,W,CAN,TBD,,414433,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0.67,,14182,0.759,0.38,15,,,29852,1,1.15,1.15,19,
31732,"Sam Bennett",,C,CAN,TBD,,831069,5,,,0.115,0.1176,1.0008,0,0,0,0,0,0,0,0.2326,0,3.08,0,9.45,0,,31732,0.824,2.57,12.1,,,30332,1,4.98,7.02,20,39
2295968,"Seth Jarvis",,W,CAN,TBD,,1248085,4,,,0.138,0.1331,0.9852,0,0,0,0,0,0,0,0.2711,0,3.34,0,9.66,0,,2295968,0.607,2.65,12.2,,,158546,1,4.94,6.99,21,39
1283254,"Logan Thompson",,G,CAN,TBD,,1139760,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,22.67,,1283254,0,0,,,,82970,1,0.58,0,22,
