PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
1115445,"Nickeil Alexander-Walker",,,ATL,TOR,157412,1067668,-,34.5,20.91,3.36,2.64,2.71,2.59,0.98,0.9,23.55,24.27,26.91,1.88,6,10.99,4.81,7.04,3.83,3.18,18.03,7.52,31.95,31.95,32.89,24.24,42.45,1.51,1.51,11.12,24.14,29.18,32.89,36.87,42.7,45.36,56.5,0.69%,135,129,SAT,69666,4,1115445,
2439277,"Onyeka Okongwu",,,ATL,TOR,157412,1185367,-,34,17.76,8.22,3.12,1.44,2.21,1,1.25,20.88,25.98,29.1,2.25,11.34,9.59,5.04,4.07,4.37,3.33,13.66,6.48,36.84,36.84,37.21,28.92,46.64,1.04,1.04,16.06,28.62,33.6,37.21,40.82,46.79,48.78,59.49,2.62%,135,129,SAT,91845,5,2439277,
2439347,"Vit Krejci",,,ATL,TOR,157412,1257428,-,28,12.57,2.69,1.34,3.06,1.2,0.73,0.33,13.91,15.26,16.6,1.06,4.03,2.57,1.25,6.91,1.2,0.89,9.48,4.31,19.79,19.79,20.99,13.71,29.23,2.57,2.57,15.1,13.57,17.66,20.99,24.06,29.18,31.23,40.44,2.15%,135,129,SAT,161284,6,2439347,
3005263,"Jalen Johnson",,,ATL,TOR,157412,1230356,,35.5,23.69,9.74,8.36,1.31,3.07,1.31,0.66,32.05,33.43,41.79,1.97,18.1,15.07,7.72,3.77,5.57,4.33,18.84,9.03,50.76,50.76,52.62,42.2,63.58,34.08,34.08,29.11,41.85,47.97,52.62,56.78,63.39,66.08,78.32,31.15%,135,129,SAT,165214,7,3005263,
3587895,"Caleb Houstan",,,ATL,TOR,157412,1324361,,4,1.56,0.6,0.07,0.44,0.16,0.05,0.02,1.63,2.16,2.23,0.07,0.67,0.15,0.06,1.12,0.14,0.12,1.27,0.5,2.44,2.44,2.7,1.1,4.85,0,0,0,1.89,1.89,1.89,1.89,1.89,1.89,1.89,0.00%,135,129,SAT,180322,8,3587895,
3587993,"Dyson Daniels",,,ATL,TOR,157412,1357745,,34.5,13.33,6.04,5.25,0.58,2.1,2.25,0.9,18.58,19.37,24.62,3.15,11.29,10.4,5.11,2.14,2.23,1.34,12.54,5.69,35.8,35.8,34.44,26.16,43.15,3.28,3.28,15.68,26.08,30.89,34.44,37.99,43.56,45.58,55.71,5.36%,135,129,SAT,195261,9,3587993,
4388493,"Keaton Wallace",,,ATL,TOR,157412,1063166,,13,3.22,1.79,2.49,0.52,0.52,0.46,0.14,5.71,5.01,7.5,0.6,4.28,1.26,0.55,1.5,0.7,0.57,2.76,1.07,10.38,10.38,10.39,5.96,15.52,0,0,0.16,5.83,8.36,10.39,12.42,15.46,16.98,23.31,0.41%,135,129,SAT,245561,10,4388493,
4878163,"Mouhamed Gueye",,,ATL,TOR,157412,1325101,,10.5,3.44,2.11,0.49,0.31,0.4,0.28,0.34,3.93,5.55,6.04,0.62,2.6,1.97,0.94,0.87,0.81,0.62,2.84,1.25,8.17,8.17,8.01,4.35,12.6,0,0,0,4.39,6.46,8.01,9.82,12.66,13.95,19.12,0.04%,135,129,SAT,180180,11,4878163,
6412725,"Zaccharie Risacher",,,ATL,TOR,157412,1432544,,26,9.97,3.51,1.42,1.41,1.14,0.91,0.54,11.39,13.48,14.9,1.45,4.93,5,2.25,4.12,1.82,1.25,9.12,3.66,19.52,19.52,19.53,13.66,26.4,10.1,10.1,5.01,13.58,16.91,19.53,22.15,26.44,28.1,35.96,9.76%,135,129,SAT,368366,13,6412725,
8985462,"Asa Newell",,,ATL,TOR,157412,1524332,,20,7.1,3.84,0.92,0.8,0.93,0.54,0.61,8.02,10.94,11.86,1.15,4.76,3.79,1.72,2.32,1.61,1.26,6.11,2.52,15.61,15.61,15.52,10.34,21.39,0,0,3.54,10.19,13.1,15.52,17.95,21.58,23.04,30.31,0.04%,135,129,SAT,457543,15,8985462,
