PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
13296,"Nikola Vucevic",,,BOS,NYK,159269,457598,-,28,13.79,7.2,3.14,1.33,1.12,0.59,0.73,16.93,20.99,24.13,1.32,10.34,8.31,4.25,3.59,1.61,1.31,11.9,5.58,29.98,29.98,30.45,22.84,39.06,0,0,0,22.65,26.93,30.45,33.97,39.26,41.04,50.08,0.00%,125,127,SUN,12334,1,13296,
35181,"Jaylen Brown",,,BOS,NYK,159269,883436,-,36,26.82,7.45,3.62,2.29,3.67,1.08,0.33,30.44,34.27,37.89,1.41,11.07,15.25,7.16,6.6,7.46,5.64,21.85,9.45,41.75,41.75,44.01,34.72,54.47,0,0,0,34.65,39.96,44.01,48.06,54.38,57.42,68.04,0.00%,125,127,SUN,28025,2,35181,
37858,"Derrick White",,,BOS,NYK,159269,796009,-,35.5,16.4,4.56,5.26,2.88,1.88,0.79,0.69,21.66,20.96,26.22,1.48,9.82,6.62,2.69,8.07,2.7,2.37,14.69,5.57,32.32,32.32,33.53,24.88,43.3,0,0,0,24.89,29.72,33.53,37.34,43.69,46.23,57.66,0.00%,125,127,SUN,38299,4,37858,
2439093,"Payton Pritchard",,,BOS,NYK,159269,945610,,33,17.05,3.48,4.56,2.91,1.03,0.52,0.07,21.61,20.53,25.09,0.59,8.04,6.99,3.38,7.6,1.81,1.56,14.59,6.29,28.81,28.81,30.38,22.11,39.86,0,0,0,22.21,26.81,30.38,34.46,40.08,42.38,52.08,0.00%,125,127,SUN,73477,5,2439093,
3005208,"Luka Garza",,,BOS,NYK,159269,1061057,,12.5,5.66,2.73,0.75,0.54,0.32,0.42,0.32,6.41,8.39,9.14,0.74,3.48,2.53,1.42,1.34,1.55,1.18,3.87,1.96,11.96,11.96,11.79,7.22,17.09,0,0,0,7.18,9.74,11.79,13.84,17.17,18.71,24.86,0.00%,125,127,SUN,72919,6,3005208,
3005606,"Neemias Queta",,,BOS,NYK,159269,1142902,,22,8.34,6.5,1.34,0,0.82,0.92,1.24,9.68,14.84,16.18,2.16,7.84,5.51,3.45,0,2.09,1.44,5.51,3.45,23.81,23.81,22.45,16.47,29.17,0,0,0,16.46,19.71,22.45,25.19,29.43,31.18,39.41,0.00%,125,127,SUN,86307,7,3005606,
3022247,"Sam Hauser",,,BOS,NYK,159269,922378,Q,30,10.71,4.2,1.53,3.08,0.5,0.76,0.27,12.24,14.91,16.44,1.03,5.73,1.42,0.62,7.62,0.26,0.24,9.04,3.7,20.64,20.64,21.61,14.53,29.87,0,0,0,14.49,18.56,21.61,24.92,30,32.03,40.93,0.00%,125,127,SUN,72761,8,3022247,
4878181,"Jordan Walsh",,,BOS,NYK,159269,1401388,,6,1.73,1.03,0.22,0.28,0.17,0.16,0.1,1.95,2.76,2.98,0.26,1.25,0.77,0.32,0.83,0.35,0.26,1.6,0.6,3.91,3.91,3.92,1.31,7.54,0,0,0,1.4,2.8,3.92,5.32,7.56,8.68,13.44,0.00%,125,127,SUN,245001,9,4878181,
6412744,"Baylor Scheierman",,,BOS,NYK,159269,1177129,,19,5.1,3.92,1.41,1.24,0.76,0.6,0.08,6.51,9.02,10.43,0.68,5.33,1.23,0.5,3.33,0.47,0.37,4.56,1.74,13.2,13.2,13.72,8.66,19.82,0,0,0,8.54,11.39,13.72,16.05,19.67,21.23,28.73,0.00%,125,127,SUN,90655,10,6412744,
8998149,"Hugo Gonzalez",,,BOS,NYK,159269,1590553,,17,3.59,3.43,0.63,0.56,0.54,0.77,0.13,4.22,7.02,7.65,0.9,4.06,1.89,0.83,1.64,0.51,0.24,3.53,1.39,10.81,10.81,10.63,6.24,15.78,0,0,0,6.22,8.82,10.63,12.7,16.07,17.37,23.59,0.00%,125,127,SUN,622359,11,8998149,
