PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,OWNERSHIP
328331,"Josh Allen",7100,QB,BUF,DEN,158061,,29.33,19.44,219.34,1.52,0.66,8.11,38.04,0.5,0,0,0,0,21.37,3.01,59.18,33.36,0.00%,SAT,868199,58465,1,328331,21.3,21.3,257.38,2.02,257.38,2.02,38.04,0.5,0,13.66,30.99,11.2,
982111,"Ty Johnson",4500,RB,BUF,DEN,158061,Q,0,0,0,0,0,2.99,12.96,0.07,1.67,1.08,9.79,0.08,4.24,0.94,5.88,0,0.00%,SAT,877784,68741,2,982111,4.23,3.69,22.75,0.15,12.96,0.07,22.75,0.15,0,1.09,10.63,0.36,
3491576,"James Cook",7300,RB,BUF,DEN,158061,,0,0,0,0,0,16.87,82.44,0.41,3.4,2.44,21.93,0.15,17.03,2.33,38.08,47.42,0.00%,SAT,1131012,58170,3,3491576,16.94,15.72,104.37,0.56,82.44,0.41,104.37,0.56,0,9.84,26.72,8.66,
6227753,"Ray Davis",4600,RB,BUF,DEN,158061,,0,0,0,0,0,1.26,5.15,0.03,0.96,0.73,7.42,0.04,2.4,0.52,1.2,1.62,0.00%,SAT,1165229,93411,4,6227753,2.39,2.02,12.57,0.07,5.15,0.03,12.57,0.07,0,0.01,6.6,0,
36991,"Curtis Samuel",3200,WR,BUF,DEN,158061,Q,0,0,0,0,0,0,0,0,1.24,0.83,8.64,0.08,2.17,0.68,,0,0,SAT,821389,33239,5,36991,2.17,1.75,8.64,0.08,0,0,8.64,0.08,0,0.87,3.47,,42
3491575,"Khalil Shakir",5100,WR,BUF,DEN,158061,,0,0,0,0,0,0.08,0.46,0,5.26,3.77,44.61,0.33,10.45,2.05,33.92,24.01,0.00%,SAT,1130603,55222,6,3491575,10.43,8.54,45.07,0.33,0.46,0,45.07,0.33,0,4.75,19.13,7.48,
6227754,"Keon Coleman",3500,WR,BUF,DEN,158061,,0,0,0,0,0,0,0,0,2.55,1.47,20,0.16,4.44,1.27,15.82,1.2,0.00%,SAT,1322431,170256,7,6227754,4.44,3.7,20,0.16,0,0,20,0.16,0,0.8,10.84,1.32,
982694,"Mecole Hardman",3000,WR,BUF,DEN,158061,,0,0,0,0,0,0,0,0,0.42,0.29,3.43,0.03,0.81,0.27,1.72,0,0.00%,SAT,922026,58212,8,982694,0.82,0.67,3.43,0.03,0,0,3.43,0.03,0,0,1.62,0,
18281,"Brandin Cooks",4000,WR,BUF,DEN,158061,,0,0,0,0,0,0,0,0,4.12,2.57,30.38,0.26,7.19,1.8,25.32,12.8,0.00%,SAT,607864,2255,9,18281,7.18,5.89,30.38,0.26,0,0,30.38,0.26,0,2.68,14.76,2.94,
982202,"Dawson Knox",3300,TE,BUF,DEN,158061,,0,0,0,0,0,0,0,0,3.2,2.11,23.55,0.13,5.23,1.58,13.42,6.47,0.00%,SAT,884083,61345,10,982202,5.22,4.16,23.55,0.13,0,0,23.55,0.13,0,1.33,12.1,2.14,
4687560,"Dalton Kincaid",4300,TE,BUF,DEN,158061,,0,0,0,0,0,0,0,0,6.16,4.19,45.75,0.26,10.4,2.42,34.86,21.4,0.00%,SAT,1135513,170729,11,4687560,10.37,8.27,45.75,0.26,0,0,45.75,0.26,0,4.9,18.56,9.64,
8228372,"Jackson Hawes",2500,TE,BUF,DEN,158061,,0,0,0,0,0,0,0,0,0.34,0.24,2.6,0.01,0.56,0.22,0.9,0.74,0.00%,SAT,1182649,146678,12,8228372,0.56,0.44,2.6,0.01,0,0,2.6,0.01,0,0,1.12,0,
