PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,OWNERSHIP
14120,"Nazem Kadri",6200,C,CGY,MTL,8403800,504258,1,1,,0.3459,0.4782,2.9544,0.3687,0,0,0,0,0.1051,0.1416,0.8241,0.2467,11.1,1.79,8.58,12.23,1,2.21,22.08,12.3,,14120,0.761,7.82,19,175,2134,29811,0,
36543,"Rasmus Andersson",5900,D,CGY,MTL,8403800,878174,1,1,,0.1311,0.4332,2.116,2.1351,0,0,0,0,0.0594,0.1346,0.5643,0.194,10.59,1.79,6.61,9.42,2,3.74,19.05,16.7,,36543,0.644,7.19,24.8,175,2134,30906,0,
35813,"MacKenzie Weegar",5200,D,CGY,MTL,8403800,745370,2,2,,0.1127,0.3937,2.1152,2.0657,0,0,0,0,0.025,0.0816,0.5064,0.1066,10.12,1.95,6.61,9.42,3,3.27,18.58,6,,35813,2.32,7.65,22.7,175,2134,30010,0,
1283633,"Dustin Wolf",7200,G,CGY,MTL,8403800,1172526,,,C,0,0,0,0,0.4425,23.751,3.2929,0.0417,0,0,0,0,9.31,1.29,8.58,10.8,4,0.42,20.29,4.3,,1283633,0,7.03,,175,2134,92022,0,
16683,"Mikael Backlund",4500,C,CGY,MTL,8403800,392966,3,2,,0.2264,0.316,2.4226,0.4822,0,0,0,0,0.0318,0.0573,0.5424,0.0891,8.32,1.85,7.02,9.91,5,1.05,17.31,11,,16683,0.668,5.91,18.2,175,2134,29880,0,
36283,"Blake Coleman",4200,W,CGY,MTL,8403800,607967,3,2,,0.2376,0.2637,2.1681,0.6927,0,0,0,0,0.0222,0.0452,0.5013,0.0674,8.03,1.91,6.74,9.5,6,1.05,16.66,7.3,,36283,1.887,6.32,17.3,175,2134,30084,0,
14274,"Jonathan Huberdeau",3900,W,CGY,MTL,8403800,600077,2,1,,0.2112,0.4618,1.566,0.5771,0,0,0,0,0.0657,0.1795,0.673,0.2452,7.62,1.95,7.28,10.63,7,0.08,16.94,5,,14274,0.651,5.71,17.3,175,2134,30539,0,
4541612,"Matt Coronato",4100,W,CGY,MTL,8403800,1321466,3,1,,0.265,0.2883,2.053,0.349,0,0,0,0,0.092,0.1004,0.5533,0.1924,7.62,1.86,7.19,10.14,8,0.17,16.82,7.3,,4541612,0.403,5.44,15.1,175,2134,165045,0,
414517,"Yegor Sharangovich",3600,W,CGY,MTL,8403800,1072797,2,2,,0.2659,0.2454,1.9283,0.4354,0,0,0,0,0.0467,0.058,0.5113,0.1047,7.33,2.04,6.97,9.82,9,0.11,16.25,4.3,,414517,0.336,5.16,16.7,175,2134,75419,0,
414630,"Joel Farabee",3200,W,CGY,MTL,8403800,1121445,1,,,0.2207,0.2402,1.6981,0.6808,0,0,0,0,0,0,0.4609,0,6.91,2.16,6.5,9.15,10,0.18,15.23,1.7,,414630,0.884,5.11,15.6,175,2134,75354,0,
1144545,"Morgan Frost",3300,C,CGY,MTL,8403800,1057136,2,1,,0.1843,0.316,1.7129,0.5626,0,0,0,0,0.0652,0.1285,0.5003,0.1937,6.81,2.06,6.38,9.14,11,0.2,14.98,6,,1144545,0.669,5.08,14.7,175,2134,83279,0,
2296274,"Connor Zary",2800,W,CGY,MTL,8403800,1248091,1,2,,0.202,0.2809,1.4589,0.384,0,0,0,0,0.0404,0.0728,0.4829,0.1132,6.07,2.17,6.55,9.33,12,0,14.45,6.3,,2296274,0.612,4.54,14.5,175,2134,158630,0,
415472,"Kevin Bahl",2600,D,CGY,MTL,8403800,1121510,1,,,0.0457,0.208,0.927,1.5778,0,0,0,0,0,0,0.2537,0,5.61,2.16,5.11,7.25,13,0.32,12.15,0.3,,415472,1.662,4.44,21.5,175,2134,75465,0,
2299379,"Yan Kuznetsov",2800,D,CGY,MTL,8403800,1248166,2,,,0.0451,0.1707,0.7877,1.5549,0,0,0,0,0,0,0.2158,0,5.16,1.84,4.9,6.9,14,0.08,11.43,0.3,,2299379,1.447,4.02,20.2,175,2134,158625,0,
5296944,"Adam Klapka",2600,W,CGY,MTL,8403800,1386331,4,,,0.1341,0.1373,1.0867,0.6051,0,0,0,0,0,0,0.2714,0,4.51,1.73,5.02,7.07,15,0,10.94,0,,5296944,2.936,4.51,10.8,175,2134,246330,0,40
34621,"Joel Hanley",2500,D,CGY,MTL,8403800,827586,3,,,0.0202,0.1255,0.5492,1.154,0,0,0,0,0,0,0.1457,0,3.61,1.44,4.55,6.42,16,0,9.43,0,,34621,0.767,2.71,13.1,175,2134,31021,0,40
37715,"Ryan Lomberg",2500,W,CGY,MTL,8403800,894479,4,,,0.0833,0.1003,0.9319,0.2824,0,0,0,0,0,0,0.1836,0,3.11,1.24,4.95,7,17,0,9.45,0,,37715,1.642,2.94,9,175,2134,31513,0,40
4905196,"Hunter Brzustewicz",2500,D,CGY,MTL,8403800,1453144,3,,,0.0242,0.1424,0.6767,0.8037,0,0,0,0,0,0,0.1666,0,3.3,1.32,4.5,6.36,18,0,9.06,0,,4905196,0.784,2.59,12.4,175,2134,260548,0,40
5296947,"William Stromgren",2500,W,CGY,MTL,8403800,1321652,4,,,0.1133,0.1447,0.9791,0.386,0,0,0,0,0,0,0.258,0,3.84,1.54,4.96,7.01,19,0,10.19,0,,5296947,0.837,3.04,10.5,175,2134,165048,0,40
4200287,"Spencer Knight",7400,G,CHI,STL,8403810,1172194,,,C,0,0,0,0,0.5,22.1126,2.7575,0.0724,0,0,0,0,10.12,1.37,7.41,9.65,20,2.44,19.6,8.7,,4200287,0,8,,170,2205,162807,1,
18539,"Tyler Bertuzzi",4800,W,CHI,STL,8403810,743067,1,1,,0.3691,0.3705,2.1304,0.4084,0,0,0,0,0.0764,0.079,0.7396,0.1554,9.22,1.92,8.15,11.65,21,0.78,19.65,4.7,,18539,1.08,6.85,18.2,170,2205,30615,1,
169101,"Ryan Donato",3800,W,CHI,STL,8403810,831284,2,1,,0.2775,0.2687,2.0446,0.2585,0,0,0,0,0.0652,0.0697,0.5462,0.1349,7.46,1.96,7.18,10.13,22,0.02,16.65,3,,169101,1.375,5.8,16.3,170,2205,39718,1,
6417759,"Artyom Levshunov",3500,D,CHI,STL,8403810,1517413,2,1,,0.0889,0.4181,1.5907,1.2018,0,0,0,0,0.036,0.086,0.507,0.122,7.41,2.12,6.29,9.12,23,0.89,15.46,8.3,,6417759,1.397,5.76,22.3,170,2205,449323,1,
18483,"Andre Burakovsky",3400,W,CHI,STL,8403810,741463,1,1,,0.2158,0.4444,1.5857,0.3739,0,0,0,0,0.0568,0.1325,0.6602,0.1893,7.24,2.13,7.27,10.61,24,0,16.55,3,,18483,0.613,5.43,17.3,170,2205,30358,1,
8154724,"Ryan Greene",3100,C,CHI,STL,8403810,1394988,1,2,,0.1813,0.3137,1.6692,0.5474,0,0,0,0,0.0176,0.0378,0.495,0.0554,6.67,2.15,6.38,9.14,25,0.06,14.84,2,,8154724,0.973,5.07,18,170,2205,204759,1,
1286382,"Ilya Mikheyev",2900,W,CHI,STL,8403810,905606,2,,,0.2386,0.2207,1.7851,0.3021,0,0,0,0,0,0,0.4593,0,6.48,2.23,6.46,9.1,26,0,14.75,1.7,,1286382,0.704,4.75,17.7,170,2205,92004,1,
17427,"Teuvo Teravainen",3300,W,CHI,STL,8403810,659863,3,1,,0.1841,0.3755,1.3992,0.4129,0,0,0,0,0.0496,0.1259,0.5596,0.1755,6.36,1.93,6.51,9.49,27,0,14.69,2,,17427,0.433,4.72,17.2,170,2205,30644,1,
4904466,"Nick Lardis",2500,W,CHI,STL,8403810,1453133,3,2,,0.2122,0.2133,1.6675,0.3476,0,0,0,0,0.0279,0.0347,0.4255,0.0626,6.09,2.44,6.46,9.11,28,0,14.36,1,,4904466,1.515,4.93,13.5,170,2205,263552,1,
4537477,"Alex Vlasic",3100,D,CHI,STL,8403810,1172235,1,,,0.0475,0.247,0.9991,1.6639,0,0,0,0,0,0,0.2945,0,6.12,1.97,5.11,7.25,29,0.83,12.66,1,,4537477,0.831,4.35,21.6,170,2205,183390,1,
17017,"Connor Murphy",2500,D,CHI,STL,8403810,600120,3,,,0.0463,0.1732,0.9705,1.7918,0,0,0,0,0,0,0.2195,0,5.94,2.38,4.93,6.93,30,0.83,12.25,0,,17017,1.667,4.57,18.1,170,2205,30992,1,40
1286532,"Louis Crevier",2900,D,CHI,STL,8403810,1190699,1,,,0.0666,0.163,1.4501,1.3492,0,0,0,0,0,0,0.2296,0,5.95,2.05,5.01,6.97,31,0.76,12.36,0.7,,1286532,1.824,4.76,18.1,170,2205,92093,1,
34834,"Jason Dickinson",2900,C,CHI,STL,8403810,741469,2,,,0.1602,0.1963,1.2807,0.7688,0,0,0,0,0,0,0.3565,0,5.62,1.94,5.73,8.08,32,0,12.95,1,,34834,1.618,4.6,16.3,170,2205,30521,1,
36270,"Matt Grzelcyk",2500,D,CHI,STL,8403810,680847,3,2,,0.0459,0.292,1.1589,1.0339,0,0,0,0,0.0092,0.0315,0.3379,0.0407,5.39,2.16,5.2,7.48,33,0,12.05,1.7,,36270,0.776,4.04,18.9,170,2205,31824,1,
2299210,"Wyatt Kaiser",2700,D,CHI,STL,8403810,1248505,2,,,0.0574,0.1787,1.0751,1.3232,0,0,0,0,0,0,0.2361,0,5.31,1.97,4.88,6.87,34,0.25,11.56,0,,2299210,1.013,3.96,19.3,170,2205,158657,1,40
17136,"Nick Foligno",2800,C,CHI,STL,8403810,329662,4,2,,0.1461,0.2305,1.2598,0.4375,0,0,0,0,0.0177,0.0456,0.3766,0.0633,5.08,1.81,5.38,7.67,35,0,11.97,0.7,,17136,2.193,4.62,14.4,170,2205,30464,1,
4904467,"Oliver Moore",2700,C,CHI,STL,8403810,1453009,3,2,,0.1442,0.2379,1.3495,0.3381,0,0,0,0,0.0176,0.0346,0.3821,0.0522,5.09,1.89,5.37,7.66,36,0,11.96,0.7,,4904467,0.864,3.96,13.3,170,2205,260582,1,
5250013,"Colton Dach",2500,W,CHI,STL,8403810,1321681,4,,,0.111,0.1494,1.0819,0.4484,0,0,0,0,0,0,0.2604,0,4.1,1.64,5.01,7.05,37,0,10.51,0,,5250013,2.787,4.19,11.3,170,2205,165087,1,40
2299209,"Landon Slaggert",2500,W,CHI,STL,8403810,1248472,4,,,0.0937,0.1291,0.9153,0.319,0,0,0,0,0,0,0.2228,0,3.38,1.35,4.95,7,38,0,9.72,0,,2299209,1.047,2.84,10.4,170,2205,158656,1,40
1283916,"Jason Robertson",8800,W,DAL,WSH,8403770,1057147,2,1,,0.5417,0.6008,3.3728,0.5607,0,0,0,0,0.178,0.2492,1.1425,0.4272,14.78,1.68,10.14,14.43,39,4.27,27.76,15.7,,1283916,0.844,10.22,20.3,181,1954,82258,0,
