PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
13296,"Nikola Vucevic",,,BOS,NYK,159269,457598,-,28,13.8,7.19,3.14,1.33,1.12,0.59,0.73,16.94,20.99,24.13,1.32,10.33,8.32,4.25,3.59,1.61,1.31,11.91,5.58,29.98,29.98,30.46,22.9,38.56,0,0,0,22.91,27.19,30.46,33.98,39.02,41.03,50.6,0.00%,125,127,SUN,12334,1,13296,
35181,"Jaylen Brown",,,BOS,NYK,159269,883436,-,36,26.85,7.44,3.62,2.29,3.67,1.08,0.33,30.47,34.29,37.91,1.41,11.06,15.27,7.17,6.6,7.46,5.64,21.87,9.46,41.77,41.77,44.03,34.61,54.39,0,0,0,34.47,39.75,44.03,47.8,54.6,56.86,69.19,0.00%,125,127,SUN,28025,2,35181,
37858,"Derrick White",,,BOS,NYK,159269,796009,-,35.5,16.42,4.56,5.27,2.88,1.88,0.79,0.69,21.69,20.98,26.25,1.48,9.83,6.63,2.7,8.07,2.7,2.37,14.7,5.58,32.36,32.36,33.56,25.09,43.34,0,0,0,24.98,29.78,33.56,37.34,43.4,46.18,56.77,0.00%,125,127,SUN,38299,4,37858,
2439093,"Payton Pritchard",,,BOS,NYK,159269,945610,,33,17.07,3.48,4.57,2.91,1.03,0.52,0.07,21.64,20.55,25.12,0.59,8.05,7,3.38,7.6,1.81,1.56,14.6,6.29,28.84,28.84,30.42,22.12,39.77,0,0,0,22.05,26.87,30.42,33.97,39.8,42.33,53.24,0.00%,125,127,SUN,73477,5,2439093,
3005208,"Luka Garza",,,BOS,NYK,159269,1061057,,12.5,5.66,2.73,0.75,0.55,0.32,0.42,0.32,6.41,8.39,9.14,0.74,3.48,2.53,1.42,1.37,1.55,1.18,3.9,1.97,11.96,11.96,11.79,7.02,17.15,0,0,0,6.92,9.74,11.79,13.84,17.17,18.45,25.12,0.00%,125,127,SUN,72919,6,3005208,
3005606,"Neemias Queta",,,BOS,NYK,159269,1142902,,22,8.34,6.49,1.34,0,0.82,0.92,1.23,9.68,14.83,16.17,2.15,7.83,5.52,3.45,0,2.09,1.44,5.52,3.45,23.77,23.77,22.41,16.23,29.21,0,0,0,15.94,19.42,22.41,25.15,29.13,30.88,38.84,0.00%,125,127,SUN,86307,7,3005606,
3022247,"Sam Hauser",,,BOS,NYK,159269,922378,Q,30,10.73,4.2,1.53,3.08,0.5,0.76,0.27,12.26,14.93,16.46,1.03,5.73,1.42,0.62,7.62,0.26,0.24,9.04,3.7,20.66,20.66,21.63,14.81,29.99,0,0,0,14.76,18.58,21.63,24.94,29.77,32.06,40.97,0.00%,125,127,SUN,72761,8,3022247,
4878181,"Jordan Walsh",,,BOS,NYK,159269,1401388,,6,1.73,1.02,0.22,0.28,0.17,0.16,0.1,1.95,2.75,2.97,0.26,1.24,0.77,0.32,0.83,0.35,0.26,1.6,0.6,3.89,3.89,3.91,1.34,7.71,0,0,0,1.4,2.51,3.91,5.31,7.54,8.69,13.69,0.00%,125,127,SUN,245001,9,4878181,
6412744,"Baylor Scheierman",,,BOS,NYK,159269,1177129,,19,5.11,3.92,1.41,1.24,0.76,0.6,0.08,6.52,9.03,10.44,0.68,5.33,1.24,0.5,3.33,0.47,0.37,4.57,1.74,13.21,13.21,13.73,8.58,20.09,0,0,0,8.55,11.4,13.73,16.32,20.21,22.02,29.79,0.00%,125,127,SUN,90655,10,6412744,
8998149,"Hugo Gonzalez",,,BOS,NYK,159269,1590553,,17,3.6,3.43,0.63,0.56,0.54,0.77,0.13,4.23,7.03,7.66,0.9,4.06,1.9,0.83,1.64,0.51,0.24,3.54,1.39,10.82,10.82,10.64,6.06,15.65,0,0,0,5.83,8.36,10.64,12.41,15.45,16.97,23.05,0.00%,125,127,SUN,622359,11,8998149,
