PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
37814,"Luke Kennard",3100,PG/SG,ATL,OKC,157139,887661,-,18,5.98,2.23,2.01,1.28,0.93,0.81,0.01,7.99,8.21,10.22,0.82,4.24,1.57,0.76,2.93,0.68,0.61,4.5,2.04,13.2,13.2,13.6,4.39,0.60%,135,148,MON,38279,2,37814,8.17,20.06,0.53,0.53,4.01,8.21,11.03,13.6,16.17,20.27,21.81,29.51,
1115445,"Nickeil Alexander-Walker",6400,SG/SF,ATL,OKC,157139,1067668,-,31.5,21.4,3.58,3.56,2.76,3.39,0.81,0.7,24.96,24.98,28.54,1.51,7.14,11.27,4.92,7.19,3.92,3.27,18.46,7.68,32.18,32.18,33.93,5.3,16.60%,135,148,MON,69666,4,1115445,25.34,43.08,17.88,17.88,18.15,25.2,29.94,33.93,37.42,43.16,45.66,56.13,
2439277,"Onyeka Okongwu",7800,C,ATL,OKC,157139,1185367,-,32.5,16.73,8.7,3.48,1.35,2.34,0.93,0.98,20.21,25.43,28.91,1.91,12.18,9.13,4.77,3.88,4.13,3.14,13.01,6.12,35.78,35.78,36.71,4.71,0.72%,135,148,MON,91845,5,2439277,28.2,45.92,1.44,1.44,8.27,28.09,32.77,36.71,40.41,46.07,48.29,58.39,
2439347,"Vit Krejci",3500,SG/SF,ATL,OKC,157139,1257428,,29,15,3.3,1.82,3.63,2.22,0.51,0.19,16.82,18.3,20.12,0.7,5.12,3.03,1.51,8.15,1.47,1.09,11.18,5.14,21.57,21.57,23.96,6.85,32.98%,135,148,MON,161284,6,2439347,16.42,32.94,20.75,20.75,40.25,16.39,20.68,23.96,27.49,33.29,35.56,44.89,
3587895,"Caleb Houstan",3000,SF/PF,ATL,OKC,157139,1324361,,5,2.02,0.74,0.09,0.57,0.2,0.06,0.03,2.11,2.76,2.85,0.09,0.83,0.19,0.08,1.44,0.19,0.16,1.63,0.65,3.11,3.11,3.45,1.15,0.29%,135,148,MON,180322,8,3587895,0.54,7.04,0,0,0,0,1.59,3.45,4.78,7.17,8.49,13.53,
3587993,"Dyson Daniels",6800,PG/SG,ATL,OKC,157139,1357745,,33.5,14.17,6.31,6.22,0.62,3.33,1.97,0.3,20.39,20.48,26.7,2.27,12.53,11.18,5.46,2.33,2.32,1.4,13.51,6.08,34.55,34.55,34.83,5.12,9.68%,135,148,MON,195261,9,3587993,26.8,43.84,7.05,7.05,14.09,26.75,31.3,34.83,38.62,44.17,46.69,56.79,
4388493,"Keaton Wallace",3000,PG,ATL,OKC,157139,1063166,,16.5,6.78,2.69,3.59,1.1,1.25,0.52,0.15,10.37,9.47,13.06,0.67,6.28,2.66,1.16,3.17,1.45,1.18,5.83,2.26,16.15,16.15,16.8,5.6,8.32%,135,148,MON,245561,10,4388493,11.13,23.71,6.78,6.78,14.34,11.2,14.25,16.8,19.6,23.93,25.45,33.6,
4878163,"Mouhamed Gueye",3000,PF/C,ATL,OKC,157139,1325101,,21,7.52,5.23,1.33,0.69,0.98,0.51,0.58,8.85,12.75,14.08,1.09,6.56,4.32,2.05,1.94,1.76,1.34,6.26,2.74,18.08,18.08,18.1,6.03,23.74%,135,148,MON,180180,11,4878163,12.35,24.27,44.01,44.01,18.25,12.15,15.37,18.1,20.58,24.3,25.79,33.72,
6412725,"Zaccharie Risacher",3800,SF,ATL,OKC,157139,1432544,,27,12.61,4.3,1.81,1.75,1.6,1.01,0.49,14.42,16.91,18.72,1.5,6.11,6.35,2.9,5.14,2.23,1.57,11.49,4.65,23.39,23.39,23.79,6.26,28.21%,135,148,MON,368366,13,6412725,16.68,31.51,33.1,33.1,30.84,16.53,20.78,23.79,27.05,32.05,33.81,42.82,
8985462,"Asa Newell",3300,PF/C,ATL,OKC,157139,1524332,,23,7.54,4.49,1.25,0.85,1.1,0.56,0.37,8.79,12.03,13.28,0.93,5.74,4.03,1.83,2.46,1.69,1.33,6.49,2.68,16.49,16.49,16.77,5.08,4.15%,135,148,MON,457543,15,8985462,11.2,23.34,1.95,1.95,8.76,11.01,14.27,16.77,19.27,23.28,25.03,32.04,
6052099,"Malik Williams",3000,C,ATL,OKC,157139,1076185,,3,1.04,0.38,0.35,0.14,0.15,0.09,0.02,1.39,1.42,1.77,0.11,0.73,0.52,0.22,0.4,0.23,0.19,0.92,0.36,2.2,2.2,2.26,0.75,0.04%,135,148,MON,74370,17,6052099,0.59,4.79,0,0,0,0,1.41,2.26,3.39,5.09,5.93,9.89,
