PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,OWNERSHIP
13563,"Kirk Cousins",5100,QB,ATL,LAR,147574,,34.26,21.72,215.07,1.44,0.75,0.64,1.26,0.05,0,0,0,0,14.27,2.8,30.94,0,0.00%,MNF,403308,2307,1,13563,14.27,14.27,216.33,1.49,216.33,1.49,1.26,0.05,0,8.39,22.48,1.6,
3491931,"Tyler Allgeier",4700,RB,ATL,LAR,147574,,0,0,0,0,0,5.53,21.46,0.22,1.2,0.94,6.8,0.04,5.3,1.13,9.36,0,0.00%,MNF,1131198,125422,2,3491931,5.27,4.8,28.26,0.26,21.46,0.22,28.26,0.26,0,1.81,13.49,0.56,
4687512,"Bijan Robinson",8700,RB,ATL,LAR,147574,,0,0,0,0,0,17.34,74.78,0.61,7.34,5.3,40.91,0.24,22.75,2.61,58.6,0,0.00%,MNF,1228244,123168,3,4687512,22.66,20.01,115.69,0.85,74.78,0.61,115.69,0.85,0,13.74,34.24,26.5,
8261767,"Nate Carter",4000,RB,ATL,LAR,147574,,0,0,0,0,0,0.11,0.48,0,0.01,0.01,0.05,0,0.06,0.02,,0,0.00%,MNF,1214132,134222,4,8261767,0.07,0.06,0.53,0,0.48,0,0.53,0,0,0,0.12,,
982204,"David Sills",3300,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,1.63,0.94,9.09,0.07,2.26,0.68,4.12,0,0.00%,MNF,866973,65587,5,982204,2.26,1.79,9.09,0.07,0,0,9.09,0.07,0,0,6.22,0.08,
1844218,"Darnell Mooney",3800,WR,ATL,LAR,147574,,0,0,0,0,0,0.02,0.08,0,4.44,2.6,29.86,0.2,6.8,1.79,19.04,0,0.00%,MNF,912027,62802,6,1844218,6.78,5.48,29.94,0.2,0.08,0,29.94,0.2,0,2.45,14.16,1.66,
3491928,"Drake London",6800,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,9.57,6.6,65.3,0.44,16.12,2.37,37.96,0,0.00%,MNF,1178741,140160,7,3491928,16.08,12.78,65.3,0.44,0,0,65.3,0.44,0,8.9,26.82,11.06,
4773069,"Dylan Drummond",3000,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.71,0.43,3.66,0.03,0.97,0.32,1.58,0,0.00%,MNF,1108534,48414,8,4773069,0.97,0.75,3.66,0.03,0,0,3.66,0.03,0,0,1.94,0.02,
3515974,"Deven Thompkins",3000,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.09,0.06,0.37,0,0.1,0.03,,0,0.00%,MNF,1130833,49660,9,3515974,0.1,0.07,0.37,0,0,0,0.37,0,0,0,0.2,,
2595531,"Chris Blair",3000,WR,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.09,0.05,0.52,0,0.1,0.03,,0,0.00%,MNF,1120347,44825,10,2595531,0.11,0.08,0.52,0,0,0,0.52,0,0,0,0.2,,
1849814,"Charlie Woerner",2500,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.83,0.58,4.25,0.04,1.24,0.5,2.94,0,0.00%,MNF,922040,58179,11,1849814,1.23,0.94,4.25,0.04,0,0,4.25,0.04,0,0,2.48,0.02,
2862126,"Kyle Pitts",5300,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,8.3,5.44,54.04,0.37,13.21,2.49,36.16,0,0.00%,MNF,1123026,54917,12,2862126,13.15,10.43,54.04,0.37,0,0,54.04,0.37,0,6.64,23.26,9.72,
3491690,"Teagan Quitoriano",2500,TE,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0.05,0.03,0.31,0,0.06,0.02,,0,0.00%,MNF,1128538,63778,13,3491690,0.07,0.05,0.31,0,0,0,0.31,0,0,0,0.12,,
36842,"Zane Gonzalez",,K,ATL,LAR,147574,,0,0,0,0,0,0,0,0,0,0,0,0,8.02,21,,0,0.00%,MNF,732774,33774,14,36842,8.02,8.02,0,0,0,0,0,0,7.06,3.22,14.24,,
18442,"Los Angeles Rams",3600,DST,LAR,ATL,147574,,0,0,0,0,0,0,0,0,0,0,0,0,6.51,1.81,28.98,0,0.00%,MNF,343,8491,15,18442,6.51,6.51,0,0,0,0,0,0,0,1.92,13.2,4.16,
35493,"Jacoby Brissett",5700,QB,ARI,CIN,147571,,35.28,22.38,253.03,1.61,0.46,4.23,13.57,0.16,0,0,0,0,18.98,3.33,52,0,0.00%,SUN,607047,26395,16,35493,18.95,18.95,266.6,1.77,266.6,1.77,13.57,0.16,0,12.05,28.17,7.7,
2861839,"Michael Carter",5200,RB,ARI,CIN,147571,,0,0,0,0,0,11.75,46.39,0.35,3.08,2.22,17.18,0.07,11.13,2.14,31.2,0,0.00%,SUN,976329,162975,17,2861839,11.08,9.97,63.57,0.42,46.39,0.35,63.57,0.42,0,6.07,19.52,3.34,
4715680,"Emari Demercado",4700,RB,ARI,CIN,147571,,0,0,0,0,0,4.92,20.11,0.15,1.63,1.12,10.09,0.04,5.26,1.12,7.62,0,0.00%,SUN,1116817,92713,18,4715680,5.23,4.67,30.2,0.19,20.11,0.15,30.2,0.19,0,1.96,11.96,0.34,
8268732,"Corey Kiner",4000,RB,ARI,CIN,147571,,0,0,0,0,0,3.59,15.02,0.11,0.1,0.07,0.57,0,2.27,0.57,0.74,0,0.00%,SUN,1286050,169851,19,8268732,2.25,2.21,15.59,0.11,15.02,0.11,15.59,0.11,0,0.31,6.24,0,
4687487,"Michael Wilson",6400,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,6.72,4.18,52.01,0.29,11.28,1.76,22.18,0,0.00%,SUN,1123529,42545,20,4687487,11.26,9.17,52.01,0.29,0,0,52.01,0.29,0,5.43,20.28,4.84,
4687678,"Jalen Brooks",3000,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.35,0.18,2.41,0.01,0.48,0.16,0.5,0,0.00%,SUN,1223301,171671,21,4687678,0.48,0.39,2.41,0.01,0,0,2.41,0.01,0,0,0.96,0,
6227657,"Xavier Weaver",3000,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,2.75,1.56,16.89,0.12,3.96,1.32,9.94,0,0.00%,SUN,1180538,128333,22,6227657,3.95,3.17,16.89,0.12,0,0,16.89,0.12,0,0.23,10.61,0.24,
6227661,"Marvin Harrison",5400,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,6.71,3.77,51.27,0.28,10.74,1.99,25.62,0,0.00%,SUN,1287828,169993,23,6227661,10.72,8.83,51.27,0.28,0,0,51.27,0.28,0,5.04,19.74,5.48,
1001771,"Steven Sims",3000,WR,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.04,0.02,0.23,0,0.04,0.01,,0,0.00%,SUN,877596,68246,24,1001771,0.04,0.03,0.23,0,0,0,0.23,0,0,0,0.08,,
1844275,"Josiah Deguara",2500,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.05,0.04,0.34,0,0.07,0.03,,0,0.00%,SUN,866149,45301,25,1844275,0.07,0.05,0.34,0,0,0,0.34,0,0,0,0.14,,
3492164,"Trey McBride",7500,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,11.65,8.16,90.34,0.68,22.35,2.98,59.1,0,0.00%,SUN,1108161,41195,26,3492164,22.27,18.19,90.34,0.68,0,0,90.34,0.68,0,12.27,35.11,36.24,
4687953,"Elijah Higgins",2500,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,2.14,1.74,16.23,0.11,4.01,1.6,12.02,0,0.00%,SUN,1161853,132184,27,4687953,3.99,3.12,16.23,0.11,0,0,16.23,0.11,0,0.11,10.25,0.72,
37028,"Pharaoh Brown",2500,TE,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0.05,0.03,0.33,0,0.06,0.02,,0,0.00%,SUN,689689,33627,28,37028,0.07,0.05,0.33,0,0,0,0.33,0,0,0,0.12,,
4688002,"Chad Ryland",,K,ARI,CIN,147571,,0,0,0,0,0,0,0,0,0,0,0,0,8.08,21,,0,0.00%,SUN,1108545,48407,29,4688002,8.08,8.08,0,0,0,0,0,0,7.17,3.09,14.23,,
