PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
1279401,"Rodrigo Abols",2500,C,PHI,VAN,8402740,920579,4,,,0.1043,0.1347,0.9889,0.4141,0,0,0,0,0,0,0.239,0,3.77,1.51,4.97,7.02,1,0,10.13,0,,1279401,1.113,3.12,9.9,158,2229,92052,1
5274308,"Max Crozier",2700,D,TBL,STL,8402730,1172319,3,,,0.049,0.1998,1.3842,0.9148,0,0,0,0,0,0,0.2488,0,5.09,1.89,4.82,6.79,2,0.1,11.26,0,,5274308,1.297,4.04,14.7,167,2218,262433,1
16700,"Rasmus Ristolainen",2800,D,PHI,VAN,8402740,741411,3,,,0.0537,0.208,1.3601,1.6306,0,0,0,0,0,0,0.2617,0,6.46,2.31,5.19,7.32,3,1.08,13.1,0,,16700,1.852,5.07,19.2,158,2229,31067,1
17079,"Brian Dumoulin",2500,D,LAK,CBJ,8402780,654336,3,,,0.0393,0.2118,0.8989,1.4772,0,0,0,0,0,0,0.2511,0,5.34,2.14,5.02,7.16,4,0.14,11.77,0,,17079,1.001,3.96,18.3,182,2054,30426,1
16699,"Zemgus Girgensons",2700,W,TBL,STL,8402730,659858,3,,,0.1436,0.1291,1.4226,0.6531,0,0,0,0,0,0,0.2727,0,5.16,1.91,5.17,7.19,5,0,11.78,0,,16699,2.657,4.78,15.1,167,2218,30275,1
5721344,"Cutter Gauthier",7200,W,ANA,SEA,8402770,1394905,2,2,,0.3902,0.4693,3.1089,0.5191,0,0,0,0,0.0652,0.0774,0.8595,0.1426,12.04,1.67,9.14,12.99,6,2.57,23.74,0,,5721344,0.986,8.41,16.9,180,1997,204709,1
17077,"Cody Ceci",2500,D,LAK,CBJ,8402780,659859,3,,,0.041,0.2018,0.9014,1.4676,0,0,0,0,0,0,0.2428,0,5.31,2.12,5.02,7.16,7,0.11,11.74,0,,17077,0.949,3.9,17.4,182,2054,30249,1
6082975,"Liam Ohgren",2600,W,VAN,PHI,8402740,1394917,4,,,0.0947,0.1094,0.9776,0.3476,0,0,0,0,0,0,0.2041,0,3.43,1.32,4.96,7.01,8,0,9.78,0,,6082975,1.081,2.87,9.4,179,2129,204718,0
2296155,"Yegor Chinakhov",2800,W,CBJ,LAK,8402780,1209293,4,,,0.1059,0.1239,1.0367,0.3444,0,0,0,0,0,0,0.2298,0,3.69,1.32,5,7.04,9,0,10.09,0,,2296155,0.812,2.92,9.4,171,2023,158667,0
16667,"Cam Fowler",3500,D,STL,TBL,8402730,550762,3,1,,0.084,0.3235,1.4345,1.2687,0,0,0,0,0.0283,0.0947,0.4075,0.123,6.75,1.93,6.01,8.62,10,0.52,14.44,0,,16667,0.387,4.76,21.2,174,1944,30980,0
14204,"Alex Killorn",2800,W,ANA,SEA,8402770,651621,4,,,0.2162,0.2535,1.3869,0.358,0,0,0,0,0,0,0.4697,0,5.89,2.1,6.49,9.29,11,0,14.2,0,,14204,0.898,4.51,14.4,180,1997,30512,1
34841,"Ross Johnston",2500,W,ANA,SEA,8402770,789848,4,,,0.0618,0.1424,0.5719,0.3965,0,0,0,0,0,0,0.2042,0,2.78,1.11,4.41,6.27,12,0,8.42,0,,34841,2.504,3.16,9.8,180,1997,30771,1
5277871,"Pavel Mintyukov",2900,D,ANA,SEA,8402770,1394908,2,,,0.0567,0.2943,1.004,1.2805,0,0,0,0,0,0,0.351,0,5.7,1.97,5.26,7.55,13,0.25,12.43,0,,5277871,1.131,4.37,16.9,180,1997,204737,1
14155,"Jordan Eberle",4900,W,SEA,ANA,8402770,456834,1,1,,0.302,0.3743,2.3678,0.5464,0,0,0,0,0.0797,0.1099,0.6763,0.1896,9.3,1.9,7.72,10.98,14,1.3,19.18,0,,14155,0.671,6.65,18.9,1179,182467,30312,0
14383,"Drew Doughty",3800,D,LAK,CBJ,8402780,456625,1,1,,0.0867,0.4703,1.559,1.5843,0,0,0,0,0.0341,0.1465,0.557,0.1806,8.35,2.2,6.66,9.71,15,1.45,16.87,0,,14383,1.162,6.22,23.5,182,2054,29920,1
37674,"Mason Marchment",3900,W,CBJ,LAK,8402780,895218,1,2,,0.1954,0.2957,1.7193,0.4974,0,0,0,0,0.0222,0.0397,0.4911,0.0619,6.71,1.72,6.16,8.74,16,0.33,14.59,0,,37674,1.403,5.3,16.6,171,2023,82868,0
34423,"Frank Vatrano",3100,W,ANA,SEA,8402770,866948,3,,,0.1831,0.1676,1.6843,0.6155,0,0,0,0,0,0,0.3507,0,6.07,1.96,5.85,8.18,17,0.01,13.56,0,,34423,1.47,4.8,11.7,180,1997,30382,1
