PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
37814,"Luke Kennard",3100,PG/SG,ATL,OKC,157139,887661,-,16,4.56,1.68,1.39,0.98,0.78,0.52,0,5.95,6.24,7.63,0.52,3.07,1.2,0.58,2.24,0.52,0.46,3.44,1.56,9.44,9.44,9.89,3.19,0.36%,135,148,MON,38279,2,37814,5.31,15.24,0,0,0.22,5.21,7.81,9.89,11.97,15.36,16.92,23.43,
409063,"Trae Young",8800,PG,ATL,OKC,157139,1060978,Q,31,22.61,2.32,8.36,2.69,3.88,0.89,0.28,30.97,24.93,33.29,1.17,10.68,8.95,3.78,7.88,8.09,6.99,16.83,6.47,37.56,37.56,40.31,4.58,1.21%,135,148,MON,75299,3,409063,30.57,50.81,4.68,4.68,8.81,30.36,36.08,40.31,44.29,51.01,53.75,65.19,
1115445,"Nickeil Alexander-Walker",6400,SG/SF,ATL,OKC,157139,1067668,-,30,17.47,3.41,2.39,2.26,2.52,0.75,0.67,19.86,20.88,23.27,1.42,5.8,9.22,4.02,5.88,3.16,2.64,15.1,6.28,26.89,26.89,28.03,4.38,0.40%,135,148,MON,69666,4,1115445,20.19,36.72,1.67,1.67,4.55,20.02,24.53,28.03,31.28,36.79,39.04,49.06,
2439277,"Onyeka Okongwu",7800,C,ATL,OKC,157139,1185367,,35,17.1,8.61,3.07,1.39,2.18,1.19,1.05,20.17,25.71,28.78,2.24,11.68,9.36,4.89,4,4.17,3.17,13.36,6.28,36.58,36.58,37.03,4.75,0.48%,135,148,MON,91845,5,2439277,28.65,46.13,1.77,1.77,8.54,28.33,33.3,37.03,40.51,45.98,48.21,58.41,
2439347,"Vit Krejci",3500,SG/SF,ATL,OKC,157139,1257428,,24,9.41,2.65,1.05,2.28,1.1,0.63,0.16,10.46,12.06,13.11,0.79,3.7,1.91,0.95,5.12,0.91,0.67,7.03,3.23,15.44,15.44,16.47,4.71,1.76%,135,148,MON,161284,6,2439347,10.22,23.72,4.05,4.05,7.9,10.29,13.64,16.47,19.3,23.93,25.73,34.48,
3587993,"Dyson Daniels",6800,PG/SG,ATL,OKC,157139,1357745,,35,13.36,7.43,5.1,0.58,2.84,1.27,0.31,18.46,20.79,25.89,1.58,12.53,10.56,5.15,2.18,2.16,1.31,12.74,5.73,31.83,31.83,32.62,4.8,1.21%,135,148,MON,195261,9,3587993,25,41.48,4.06,4.06,8.36,24.59,29.11,32.62,36.13,41.19,43.66,52.19,
4388493,"Keaton Wallace",3000,PG,ATL,OKC,157139,1063166,,1,0.39,0.16,0.11,0.06,0.06,0.03,0.01,0.5,0.55,0.66,0.04,0.27,0.15,0.07,0.17,0.08,0.07,0.32,0.13,0.81,0.81,0.84,0.28,0.45%,135,148,MON,245561,10,4388493,0.28,1.68,0,0,0,0.36,0.6,0.84,1.08,1.44,1.53,1.6,
4878163,"Mouhamed Gueye",3000,PF/C,ATL,OKC,157139,1325101,,18,6.16,5.36,1,0.57,0.87,0.45,0.51,7.16,11.52,12.52,0.96,6.36,3.54,1.69,1.6,1.42,1.09,5.14,2.26,16.1,16.1,16.14,5.38,0.36%,135,148,MON,180180,11,4878163,10.98,22.14,10.2,10.2,9.36,10.84,13.62,16.14,18.41,22.19,23.96,31.02,
6412725,"Zaccharie Risacher",3800,SF,ATL,OKC,157139,1432544,,27,11.19,4.37,1.7,1.56,1.3,0.98,0.49,12.89,15.56,17.26,1.47,6.07,5.64,2.58,4.58,1.96,1.37,10.22,4.14,22.09,22.09,22.29,5.87,29.33%,135,148,MON,368366,13,6412725,15.54,29.89,20.79,20.79,23.39,15.7,19.25,22.29,25.33,30.14,32.17,40.78,
8985462,"Asa Newell",3300,PF/C,ATL,OKC,157139,1524332,,23,8.7,5.34,1.23,0.99,1.16,0.55,0.37,9.93,14.04,15.27,0.92,6.57,4.66,2.11,2.87,1.92,1.51,7.53,3.1,18.55,18.55,19,5.76,22.07%,135,148,MON,457543,15,8985462,13.17,25.63,13.44,13.44,16.78,13.17,16.21,19,21.53,25.84,27.61,34.96,
409154,"Michael Porter Jr.",8400,SF,BKN,GSW,157137,1061724,,33,23.5,8.42,2.72,3.7,2.38,1.11,0.31,26.22,31.92,34.64,1.42,11.14,9.72,4.84,9.38,3.38,2.73,19.1,8.54,39.56,39.56,42.13,5.02,12.30%,126,150,MON,75295,18,409154,32.47,52.55,16.56,16.56,16.28,32.54,38.09,42.13,46.42,52.73,55.25,66.1,
1115132,"Nic Claxton",6100,C,BKN,GSW,157137,1061682,,29.5,13.42,8.16,4.04,0.04,1.99,0.59,1.26,17.46,21.58,25.62,1.85,12.2,9.32,5.52,0.24,3.74,2.25,9.56,5.56,32.83,32.83,32.8,5.38,10.62%,126,150,MON,71024,20,1115132,25.34,41.21,12.4,12.4,21.73,25.15,29.35,32.8,36.01,41.18,43.16,52.28,
1115590,"Terance Mann",4000,SG,BKN,GSW,157137,879504,,24,6.62,3.38,3.22,0.82,0.81,0.98,0.06,9.84,10,13.22,1.04,6.6,3.39,1.61,2.29,1.15,0.93,5.68,2.43,17.82,17.82,17.76,4.44,0.05%,126,150,MON,74628,21,1115590,12.04,24.28,0.42,0.42,3.96,11.92,15.22,17.76,20.3,24.36,25.88,33.49,
3005094,"Day'Ron Sharpe",3800,C,BKN,GSW,157137,1243725,,17,6.43,5.96,1.63,0.15,1.84,1.04,0.69,8.06,12.39,14.02,1.73,7.59,4.05,2.35,0.56,1.94,1.28,4.61,2.5,19.38,19.38,18.96,4.99,1.16%,126,150,MON,148967,22,3005094,13.33,25.03,1.24,1.24,7.22,13.22,16.47,18.96,21.45,25.2,26.69,33.68,
3005097,"Cam Thomas",6600,PG/SG,BKN,GSW,157137,1232020,,23,16.53,1.99,2.21,1.74,1.74,0.41,0.09,18.74,18.52,20.73,0.5,4.2,8.39,3.62,4.79,4.66,4.07,13.18,5.36,21.99,21.99,23.33,3.53,0.05%,126,150,MON,149404,23,3005097,16.02,31.43,0.03,0.03,0.53,15.98,20.29,23.33,26.37,31.7,33.47,42.1,
3005396,"Ziaire Williams",3000,SF/PF,BKN,GSW,157137,1231313,,1,0.35,0.11,0.03,0.06,0.06,0.04,0.02,0.38,0.46,0.49,0.06,0.14,0.13,0.05,0.19,0.08,0.07,0.32,0.11,0.65,0.65,0.65,0.22,0.05%,126,150,MON,149033,24,3005396,0.12,1.29,0,0,0,0.28,0.46,0.65,0.84,1.11,1.18,1.24,
3587834,"Tyrese Martin",3000,PG/SG,BKN,GSW,157137,1134107,,1,0.37,0.15,0.1,0.07,0.06,0.05,0,0.47,0.52,0.62,0.05,0.25,0.14,0.06,0.21,0.05,0.04,0.35,0.13,0.79,0.79,0.81,0.27,0.05%,126,150,MON,89873,26,3587834,0.3,1.62,0,0,0,0.35,0.58,0.81,1.04,1.39,1.48,1.54,
4878197,"Noah Clowney",5000,PF,BKN,GSW,157137,1401380,,29,11.62,4.31,1.8,2.1,2.08,0.7,0.85,13.42,15.93,17.73,1.55,6.11,3.4,1.36,6.22,3.2,2.59,9.62,3.46,22.06,22.06,22.83,4.57,0.69%,126,150,MON,244975,29,4878197,15.91,30.65,3.09,3.09,7.38,15.63,19.6,22.83,25.81,30.77,32.51,41.19,
8985497,"Drake Powell",3200,SG/SF,BKN,GSW,157137,1542179,,18,5.29,2.27,1.78,0.81,0.86,0.66,0.45,7.07,7.56,9.34,1.11,4.05,2.44,1.06,2.35,1.01,0.74,4.79,1.87,13.15,13.15,12.99,4.06,0.16%,126,150,MON,503267,33,8985497,7.76,18.91,0.42,0.42,1.95,7.49,10.49,12.99,15.24,18.74,20.23,27.48,
8985498,"Egor Demin",4500,PG,BKN,GSW,157137,1523978,,27.5,9.29,3.52,3.66,1.57,2.1,1.66,0.23,12.95,12.81,16.47,1.89,7.18,3.68,1.58,4.51,1.82,1.44,8.19,3.15,22.57,22.57,22.7,5.04,4.65%,126,150,MON,455367,34,8985498,15.63,30.42,3.38,3.38,13.09,15.64,19.42,22.7,25.73,30.52,32.28,40.61,
8985499,"Danny Wolf",4300,PF/C,BKN,GSW,157137,1415928,,19,7.38,4.52,1.72,0.84,1.24,0.56,0.19,9.1,11.9,13.62,0.75,6.24,3.96,1.79,2.43,1.63,1.28,6.39,2.63,16.39,16.39,16.92,3.93,0.05%,126,150,MON,247158,35,8985499,11.41,23.08,0.2,0.2,1.25,11.36,14.65,16.92,19.45,23.23,24.75,32.07,
8998170,"Nolan Traore",3400,PG,BKN,GSW,157137,1590550,,18,8.31,2.19,1.78,1.08,1.23,0.55,0.11,10.09,10.5,12.28,0.66,3.97,4.13,1.79,3.11,1.78,1.48,7.24,2.87,14.36,14.36,14.96,4.4,0.49%,126,150,MON,622357,37,8998170,9.48,21.44,0.59,0.59,3.9,9.54,12.64,14.96,17.54,21.67,23.21,31.47,
