PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
18899,"Kristaps Porzingis",6500,C,ATL,MIN,157229,877869,-,19,13.78,4.06,1.75,1.48,0.79,0.29,0.92,15.53,17.84,19.59,1.21,5.81,5.77,2.8,3.89,4.46,3.72,9.66,4.28,24.12,24.12,24.26,3.73,0.00%,135,146,WED,12577,1,18899,17.41,32.1,0,0,0,17.26,21.01,24.26,27.26,32.01,34.01,42.27,
37814,"Luke Kennard",3500,PG/SG,ATL,MIN,157229,887661,-,17,3.74,1.8,1.42,0.81,0.47,0.81,0,5.16,5.54,6.96,0.81,3.22,0.98,0.47,1.85,0.43,0.38,2.83,1.28,9.99,9.99,9.91,2.83,0.00%,135,146,WED,38279,2,37814,5.57,15.37,0,0,0,5.48,7.82,9.91,11.74,15.13,16.43,23.21,
1115445,"Nickeil Alexander-Walker",6700,SG/SF,ATL,MIN,157229,1067668,-,33.5,19.44,3.53,3.48,2.51,2.52,0.92,0.71,22.92,22.97,26.45,1.63,7.01,10.22,4.48,6.53,3.52,2.93,16.75,6.99,31.27,31.27,32.34,4.83,0.00%,135,146,WED,69666,4,1115445,24.18,41.64,0,0,0,24,28.55,32.34,35.88,41.69,44.21,54.32,
2439277,"Onyeka Okongwu",7600,C,ATL,MIN,157229,1185367,,31,16.95,7.66,2.64,1.38,1.94,0.68,0.78,19.59,24.61,27.25,1.46,10.3,9.22,4.81,3.94,4.19,3.2,13.16,6.19,32.54,32.54,33.48,4.41,0.00%,135,146,WED,91845,5,2439277,25.15,42.57,0,0,0,25.17,29.7,33.48,37,42.79,44.81,54.63,
2439347,"Vit Krejci",4200,SG/SF,ATL,MIN,157229,1257428,,23,10.28,2.26,1.22,2.49,1.24,0.43,0.18,11.5,12.54,13.76,0.61,3.48,2.09,1.04,5.6,0.98,0.72,7.69,3.53,15.41,15.41,16.78,4,0.00%,135,146,WED,161284,6,2439347,10.25,24.15,0,0,0,10.33,13.68,16.78,19.62,24.27,26.1,34.59,
3005263,"Jalen Johnson",9800,PF,ATL,MIN,157229,1230356,,36,24.46,9.48,8.61,1.37,2.82,1.08,0.68,33.07,33.94,42.55,1.76,18.09,15.89,7.92,3.97,5.79,4.52,19.86,9.29,51.21,51.21,53.29,5.44,0.00%,135,146,WED,165214,7,3005263,43.05,64.03,0,0,0,42.78,48.79,53.29,57.54,64.3,66.8,78.81,
3587993,"Dyson Daniels",6400,PG/SG,ATL,MIN,157229,1357745,,33.5,12.38,6.06,5.15,0.54,2.35,2.09,0.63,17.53,18.44,23.59,2.72,11.21,9.76,4.77,2.04,2,1.22,11.8,5.31,33.19,33.19,32.34,5.05,0.00%,135,146,WED,195261,9,3587993,24.52,41.27,0,0,0,24.38,28.75,32.34,35.68,41.32,43.38,53.64,
4388493,"Keaton Wallace",3300,PG,ATL,MIN,157229,1063166,,6,2.34,0.91,1.27,0.38,0.34,0.2,0.05,3.61,3.25,4.52,0.25,2.18,0.92,0.4,1.1,0.5,0.41,2.02,0.78,5.75,5.75,5.9,1.79,0.00%,135,146,WED,245561,10,4388493,2.56,10.37,0,0,0,2.68,4.29,5.9,7.51,10.19,11.53,16.63,
4878163,"Mouhamed Gueye",3400,PF/C,ATL,MIN,157229,1325101,,6,1.94,1.22,0.31,0.18,0.21,0.16,0.16,2.25,3.16,3.47,0.32,1.53,1.12,0.53,0.51,0.45,0.35,1.63,0.71,4.62,4.62,4.56,1.34,0.00%,135,146,WED,180180,11,4878163,1.66,8.22,0,0,0,1.61,3.49,4.56,5.9,8.32,9.39,13.95,
6412725,"Zaccharie Risacher",4100,SF,ATL,MIN,157229,1432544,,23,9.7,2.69,1.11,1.37,1.01,0.91,0.26,10.81,12.39,13.5,1.17,3.8,4.85,2.2,3.98,1.69,1.19,8.83,3.57,17.09,17.09,17.25,4.21,0.00%,135,146,WED,368366,13,6412725,11.45,24.07,0,0,0,11.42,14.46,17.25,19.79,24.1,25.88,33.49,
