PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
37794,"Jarrett Allen",6100,C,CLE,IND,157550,956574,-,27.5,15.76,8.9,1.82,0.01,1.86,0.82,0.56,17.58,24.66,26.48,1.38,10.72,9.49,6.09,0.12,4.73,3.56,9.61,6.1,31.45,31.45,31.92,5.23,14.07%,131,133,TUE,38286,2,37794,24.4,40.19,10.88,10.88,18.49,24.07,28.37,31.92,34.96,40.28,42.31,50.92,
37885,"Lonzo Ball",3500,PG/SG,CLE,IND,157550,946714,-,11.5,2.75,1.96,1.71,0.7,0.62,0.63,0.08,4.46,4.71,6.42,0.71,3.67,0.55,0.18,2.31,0.36,0.27,2.86,0.88,9.18,9.18,9.23,2.64,0.24%,131,133,TUE,38269,4,37885,5.02,14.68,0,0,0.03,4.89,7.33,9.23,11.4,14.93,16.29,22.8,
1115224,"Darius Garland",7200,PG,CLE,IND,157550,1134262,-,33,23.84,2.75,7.92,3.38,3.36,0.7,0.17,31.76,26.59,34.51,0.87,10.67,10.62,4.84,8.98,4.55,4.01,19.6,8.22,38.27,38.27,41.32,5.74,32.92%,131,133,TUE,86449,5,1115224,31.19,52.52,38.9,38.9,33.04,31.18,36.76,41.32,45.63,52.73,55.26,68.19,
1115296,"De'Andre Hunter",4900,SF/PF,CLE,IND,157550,942857,,24.5,13.17,3.94,1.35,1.84,1.12,0.6,0.25,14.52,17.11,18.46,0.85,5.29,5.18,2.24,4.99,3.71,3.16,10.17,4.08,21.35,21.35,22.19,4.53,4.40%,131,133,TUE,70224,6,1115296,15.59,29.97,3.07,3.07,6.64,15.48,19.35,22.19,25.29,30.19,32.25,41.8,
1144092,"Dean Wade",3900,SF/PF,CLE,IND,157550,880677,,23,5.59,5.1,1.31,1.44,0.17,0.63,0.2,6.9,10.69,12,0.83,6.41,0.96,0.4,4.07,0.67,0.47,5.03,1.84,16,16,16.23,4.16,2.30%,131,133,TUE,72850,7,1144092,10.38,22.65,1.1,1.1,2.75,10.3,13.65,16.23,18.55,22.67,24.22,32.2,
2439420,"Sam Merrill",4600,SG/SF,CLE,IND,157550,953106,,27,11.05,2.62,2.13,3.14,0.67,0.69,0.19,13.18,13.67,15.8,0.88,4.75,1.1,0.47,7.77,0.75,0.68,8.87,3.61,19.36,19.36,20.52,4.46,5.79%,131,133,TUE,72801,9,2439420,13.38,28.68,4.06,4.06,7.56,13.34,17.44,20.52,23.6,28.73,30.52,39.76,
3005190,"Evan Mobley",7600,PF/C,CLE,IND,157550,1231862,,32.5,22.54,9.28,3.97,1.51,2.47,0.72,1.6,26.51,31.82,35.79,2.32,13.25,12.46,6.71,4.16,6.69,4.59,16.62,8.22,44.12,44.12,44.85,5.9,46.88%,131,133,TUE,149666,10,3005190,35.72,55.01,49.69,49.69,37.2,35.58,40.59,44.85,48.86,55.12,57.38,68.65,
4934240,"Craig Porter",3600,PG,CLE,IND,157550,1236197,,23.5,7.99,4.78,3.25,0.74,1.34,1.13,0.54,11.24,12.77,16.02,1.67,8.03,4.91,2.39,1.85,1.43,0.99,6.76,3.13,22.27,22.27,21.89,6.08,23.37%,131,133,TUE,180209,13,4934240,15.61,28.77,25.73,25.73,24.18,15.53,19.09,21.89,24.69,28.76,30.8,38.94,
6412819,"Jaylon Tyson",5800,SG/SF,CLE,IND,157550,1342747,Q,24.5,11.96,5.67,1.76,1.75,1.34,0.71,0.33,13.72,17.63,19.39,1.04,7.43,5.08,2.27,5.09,2.78,2.18,10.17,4.02,23.18,23.18,24.02,4.14,0.60%,131,133,TUE,180082,14,6412819,17.07,31.97,1.16,1.16,3.52,17.05,20.92,24.02,27.12,32.28,34.09,43.65,
7796671,"Nae'Qwan Tomlin",3100,PF,CLE,IND,157550,1403628,,12,4.18,2.26,0.36,0.34,0.15,0.62,0.61,4.54,6.44,6.8,1.23,2.62,2.57,1.11,1.39,1.29,0.93,3.96,1.45,10.97,10.97,10.1,3.26,0.12%,131,133,TUE,245036,15,7796671,5.89,15.05,0.19,0.19,0.12,5.96,8.29,10.1,12.17,15.06,16.32,22.53,
8998236,"Tyrese Proctor",3000,PG,CLE,IND,157550,1403594,,0.5,0.2,0.07,0.06,0.03,0.02,0.02,0.01,0.26,0.27,0.33,0.03,0.13,0.09,0.04,0.09,0.04,0.03,0.18,0.07,0.44,0.44,0.44,0.15,0.04%,131,133,TUE,245535,17,8998236,0.07,0.88,0,0,0,0.19,0.31,0.44,0.57,0.75,0.8,0.84,
37884,"Thomas Bryant",3000,C,CLE,IND,157550,896601,,0.5,0.21,0.14,0.02,0.02,0.02,0.01,0.01,0.23,0.35,0.37,0.02,0.16,0.09,0.05,0.06,0.05,0.04,0.15,0.07,0.45,0.45,0.46,0.15,0.33%,131,133,TUE,38313,18,37884,0.12,0.92,0,0,0,0.2,0.33,0.46,0.59,0.79,0.84,0.88,
13315,"Klay Thompson",6000,SF/PF,DAL,SAC,157555,457611,,21.5,10,2.14,1.11,2.2,0.67,0.47,0.34,11.11,12.14,13.25,0.81,3.25,3.26,1.34,5.8,0.84,0.72,9.06,3.54,15.99,15.99,16.73,2.79,0.00%,140,154,TUE,12329,21,13315,10.33,24.02,0,0,0,10.3,13.9,16.73,19.82,24.45,26.51,35.26,
13895,"Anthony Davis",15900,PF/C,DAL,SAC,157555,603096,,35,28.31,12.95,2.96,0.99,2.66,1.51,1.79,31.27,41.26,44.22,3.3,15.91,17.06,9.1,3.47,9.22,7.13,20.53,10.09,55.53,55.53,55.92,3.52,0.00%,140,154,TUE,12369,23,13895,46.22,66.69,0,0,0,46.14,51.83,55.92,60.43,66.74,69.46,80.25,
