PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,OWNERSHIP
328331,"Josh Allen",,QB,BUF,JAC,157731,,30.4,20.18,227.37,1.78,0.64,8.51,38.51,0.54,0,0,0,0,23.15,23.07,23.07,265.88,2.32,265.88,2.32,38.51,0.54,0,14.91,32.92,16.16,68.72,32.24,31.87%,MAIN,868199,58465,1,328331,
982111,"Ty Johnson",,RB,BUF,JAC,157731,Q,0,0,0,0,0,2.92,12.21,0.08,2.15,1.4,15.03,0.11,5.25,5.23,4.53,27.24,0.19,12.21,0.08,27.24,0.19,0,1.3,13.17,0.38,8.9,2.03,2.47%,MAIN,877784,68741,2,982111,
3491576,"James Cook",,RB,BUF,JAC,157731,,0,0,0,0,0,17.51,82.55,0.46,3.79,2.75,23.71,0.19,18.22,18.13,16.75,106.26,0.65,82.55,0.46,106.26,0.65,0,10.24,28.31,11.18,43.54,37.69,34.89%,MAIN,1131012,58170,3,3491576,
6227753,"Ray Davis",,RB,BUF,JAC,157731,,0,0,0,0,0,0.94,3.71,0.02,0.32,0.25,2.4,0.02,1.1,1.1,0.97,6.11,0.04,3.71,0.02,6.11,0.04,0,0,3.03,0.02,0.5,0.07,0.32%,MAIN,1165229,93411,4,6227753,
3491575,"Khalil Shakir",,WR,BUF,JAC,157731,,0,0,0,0,0,0.08,0.44,0,4.96,3.59,40.8,0.35,9.96,9.94,8.14,41.24,0.35,0.44,0,41.24,0.35,0,4.06,18.88,8.76,35.76,25.67,25.16%,MAIN,1130603,55222,5,3491575,
6227754,"Keon Coleman",,WR,BUF,JAC,157731,,0,0,0,0,0,0,0,0,1.32,0.77,10.04,0.09,2.31,2.31,1.92,10.04,0.09,0,0,10.04,0.09,0,0,4.62,0.1,5.3,1.14,1.21%,MAIN,1322431,170256,6,6227754,
4744237,"Tyrell Shavers",,WR,BUF,JAC,157731,,0,0,0,0,0,0,0,0,2.06,1.33,20.7,0.14,4.26,4.26,3.59,20.7,0.14,0,0,20.7,0.14,0,0,11.72,1.4,17.48,6.35,4.44%,MAIN,973949,63556,7,4744237,
1844330,"Gabriel Davis",,WR,BUF,JAC,157731,,0,0,0,0,0,0,0,0,1.32,0.73,10.66,0.09,2.33,2.33,1.96,10.66,0.09,0,0,10.66,0.09,0,0,4.66,0.02,4.12,0.96,1.12%,MAIN,976761,43135,8,1844330,
18281,"Brandin Cooks",,WR,BUF,JAC,157731,,0,0,0,0,0,0,0,0,4.44,2.8,31.76,0.31,7.85,7.83,6.43,31.76,0.31,0,0,31.76,0.31,0,2.88,16.81,3.32,28.5,14.54,16.42%,MAIN,607864,2255,9,18281,
982202,"Dawson Knox",,TE,BUF,JAC,157731,,0,0,0,0,0,0,0,0,3.66,2.43,26.13,0.17,6.04,6.02,4.8,26.13,0.17,0,0,26.13,0.17,0,2.05,13.55,2.52,17.02,5.66,4.55%,MAIN,884083,61345,10,982202,
4687560,"Dalton Kincaid",,TE,BUF,JAC,157731,,0,0,0,0,0,0,0,0,5.6,3.85,40.35,0.26,9.49,9.46,7.53,40.35,0.26,0,0,40.35,0.26,0,4.35,17.58,13.16,37.54,21.57,20.17%,MAIN,1135513,170729,11,4687560,
8228372,"Jackson Hawes",,TE,BUF,JAC,157731,,0,0,0,0,0,0,0,0,0.79,0.56,5.85,0.04,1.38,1.37,1.09,5.85,0.04,0,0,5.85,0.04,0,0,2.76,0.08,3.52,0.72,0.44%,MAIN,1182649,146678,12,8228372,
11559,"Matt Prater",,K,BUF,JAC,157731,,0,0,0,0,0,0,0,0,0,0,0,0,9.19,9.19,9.19,0,0,0,0,0,0,8.01,4.37,15.54,,,0,0.00%,MAIN,218237,6014,13,11559,
