PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
34491,"Mike Reilly",2600,D,CAR,PIT,8403280,610577,3,,,0.0466,0.1917,1.5227,0.9296,0,0,0,0,0,0,0.2383,0,5.28,2.03,4.9,6.85,1,0.2,11.55,0,,34491,0.754,3.88,14.4,165,2181,30298,0
18467,"Anthony Duclair",2800,W,NYI,CHI,8403210,743259,3,2,,0.181,0.2419,1.3054,0.3989,0,0,0,0,0.0267,0.0513,0.4229,0.078,5.45,1.95,5.84,8.32,2,0,12.93,0,,18467,0.504,4.05,13,156,2135,30344,0
1279401,"Rodrigo Abols",2500,C,PHI,VAN,8403290,920579,4,,,0.1041,0.1465,1.03,0.4614,0,0,0,0,0,0,0.2506,0,3.97,1.59,5.01,7.05,3,0,10.38,0,,1279401,1.101,3.25,10.3,158,2229,92052,0
14246,"Casey Cizikas",2500,C,NYI,CHI,8403210,521884,4,,,0.1041,0.1217,0.9201,0.5609,0,0,0,0,0,0,0.2258,0,3.84,1.54,4.99,7.03,4,0,10.23,0,,14246,1.748,3.47,10.9,156,2135,30928,0
16700,"Rasmus Ristolainen",2800,D,PHI,VAN,8403290,741411,3,,,0.0504,0.1992,1.3102,1.5327,0,0,0,0,0,0,0.2496,0,6.12,2.19,5.02,7,5,0.92,12.55,0,,16700,1.718,4.8,18.7,158,2229,31067,0
34585,"Mike Matheson",4300,D,MTL,FLA,8403200,659869,1,,,0.1076,0.2853,1.6574,2.3249,0,0,0,0,0,0,0.3929,0,9.21,2.14,6.17,8.6,6,2.82,17.11,0,,34585,0.903,6.22,24.1,162,2017,30000,0
34514,"Phillip Danault",3300,C,MTL,FLA,8403200,600128,3,,,0.142,0.2231,1.2416,0.7103,0,0,0,0,0,0,0.3651,0,5.43,1.65,5.41,7.7,7,0,12.35,0,,34514,0.887,4.14,14.6,162,2017,31116,0
17453,"Jake McCabe",3200,D,TOR,NJD,8403170,660793,2,,,0.0507,0.2809,0.943,2.2311,0,0,0,0,0,0,0.3316,0,7.37,2.3,5.41,7.72,8,1.77,14.29,0,,17453,2.106,5.65,21.1,164,2146,30280,1
2578776,"Justin Brazeau",3400,W,PIT,CAR,8403280,956418,2,2,,0.2283,0.2378,1.6064,0.7114,0,0,0,0,0.0363,0.0477,0.4661,0.084,6.86,2.02,6.43,9.09,9,0.2,15.09,0,,2578776,1.873,5.62,13,159,1927,82518,1
556106,"Jalen Chatfield",2500,D,CAR,PIT,8403280,893575,1,,,0.0836,0.2185,1.4538,1.2206,0,0,0,0,0,0,0.3021,0,6.18,2.47,5.61,7.9,10,0.37,13.36,0,,556106,1,4.55,20,165,2181,37855,0
31735,"Bo Horvat",7800,C,NYI,CHI,8403210,741412,1,1,,0.4577,0.4592,3.2225,0.4331,0,0,0,0,0.129,0.1477,0.9169,0.2767,12.67,1.62,9.26,13.1,11,3.08,24.52,0,,31735,0.921,8.84,19.9,156,2135,31049,0
18681,"Ryan Pulock",3900,D,NYI,CHI,8403210,741446,1,,,0.0604,0.2867,1.3583,1.7259,0,0,0,0,0,0,0.3471,0,7.16,1.84,5.39,7.67,12,1.58,14.06,0,,18681,1.429,5.31,22,156,2135,30776,0
34611,"Anthony Mantha",3800,W,PIT,CAR,8403280,741457,2,1,,0.2715,0.3474,1.8393,0.6497,0,0,0,0,0.083,0.1264,0.6189,0.2094,8.1,2.13,7.32,10.44,13,0.52,17.47,0,,34611,0.996,6.11,16.4,159,1927,30621,1
6082975,"Liam Ohgren",2700,W,VAN,PHI,8403290,1394917,4,,,0.1036,0.1315,1.1253,0.402,0,0,0,0,0,0,0.2351,0,3.94,1.46,5.01,7.05,14,0,10.35,0,,6082975,1.312,3.33,11.2,179,2129,204718,1
34598,"Noel Acciari",2500,W,PIT,CAR,8403280,873205,4,,,0.1073,0.1111,0.9763,1.2526,0,0,0,0,0,0,0.2184,0,5.11,2.04,5.15,7.21,15,0,11.7,0,,34598,1.926,4.28,12.7,159,1927,31008,1
34834,"Jason Dickinson",3000,C,CHI,NYI,8403210,741469,3,,,0.1756,0.2032,1.4108,0.7824,0,0,0,0,0,0,0.3788,0,6.02,2.01,5.97,8.44,16,0,13.66,0,,34834,1.634,4.88,16.5,170,2205,30521,1
17150,"Taylor Hall",3000,W,CAR,PIT,8403280,550751,4,2,,0.1735,0.2956,1.5968,0.4725,0,0,0,0,0.0314,0.0763,0.4691,0.1077,6.27,2.09,6.08,8.68,17,0,14.05,0,,17150,0.616,4.65,13.3,165,2181,30960,0
2296000,"Anton Lundell",4900,C,FLA,MTL,8403200,1248081,1,2,,0.2623,0.4156,2.1777,0.6508,0,0,0,0,0.0348,0.085,0.6779,0.1198,8.99,1.83,7.63,10.91,18,1.09,18.76,0,,2296000,1.231,6.74,18,166,2047,158644,1
14293,"Jeff Petry",2500,D,FLA,MTL,8403200,542700,3,,,0.0379,0.2119,0.716,1.1705,0,0,0,0,0,0,0.2498,0,4.48,1.79,4.93,7.07,19,0,10.79,0,,14293,1.279,3.6,13.4,166,2047,30496,1
14516,"Jacob Markstrom",7600,G,NJD,TOR,8403170,547717,,,B,0,0,0,0,0.5349,23.9087,3.0006,0.0575,0,0,0,0,10.76,1.42,8.6,10.87,20,1.85,21.77,0,,14516,0,8.55,,155,1979,30346,0
2296434,"Jamie Drysdale",3200,D,PHI,VAN,8403290,1207492,2,1,,0.0759,0.3312,1.0601,1.176,0,0,0,0,0.0266,0.0992,0.4071,0.1258,5.95,1.86,5.45,7.93,21,0.3,12.93,0,,2296434,0.572,4.37,20.1,158,2229,158711,0
16784,"Luke Glendening",2500,C,NJD,TOR,8403170,656728,4,,,0.0568,0.0643,0.5661,0.5545,0,0,0,0,0,0,0.1211,0,2.59,1.04,4.29,6.02,22,0,8.08,0,,16784,1.072,2.25,9.9,155,1979,30617,0
2298811,"Emil Andrae",2500,D,PHI,VAN,8403290,1248171,2,,,0.0391,0.2064,0.9265,1.0801,0,0,0,0,0,0,0.2455,0,4.62,1.85,4.96,7.1,23,0,10.97,0,,2298811,1.175,3.65,17.3,158,2229,158533,0
14202,"Sidney Crosby",8000,C,PIT,CAR,8403280,296786,1,1,,0.4054,0.5993,2.4502,0.565,0,0,0,0,0.1187,0.1826,1.0047,0.3013,11.64,1.46,9.3,13.39,24,2.01,23.54,0,,14202,1.038,8.51,19.4,159,1927,30424,1
14453,"Tyler Myers",2800,D,VAN,PHI,8403290,456704,2,,,0.0385,0.1924,0.9388,1.7134,0,0,0,0,0,0,0.2309,0,5.79,2.07,4.93,6.93,25,0.68,12.1,0,,14453,1.452,4.38,21.3,179,2129,31072,1
18503,"Jonathan Drouin",3700,W,NYI,CHI,8403210,741406,1,1,,0.1604,0.4953,1.5911,0.3293,0,0,0,0,0.0492,0.1833,0.6557,0.2325,6.98,1.89,6.85,10.04,26,0,15.75,0,,18503,0.496,5.23,17.7,156,2135,30507,0
18682,"Bryan Rust",7200,W,PIT,CAR,8403280,554539,1,1,,0.3519,0.4794,2.482,1.0326,0,0,0,0,0.091,0.1556,0.8313,0.2466,11.35,1.58,8.55,12.21,27,2.49,22.29,0,,18682,0.842,8.09,20.2,159,1927,30873,1
16713,"Seth Jones",4600,D,FLA,MTL,8403200,741407,2,1,,0.1346,0.4746,2.0994,1.4125,0,0,0,0,0.0676,0.1931,0.6092,0.2607,9.39,2.04,6.75,9.77,28,2.4,18.03,0,,16713,1.31,7,24.1,166,2047,30026,1
18500,"Chris Tanev",2700,D,TOR,NJD,8403170,547709,2,,,0.0295,0.2107,0.6941,2.4215,0,0,0,0,0,0,0.2402,0,6.83,2.53,5.31,7.49,29,1.33,13.63,0,,18500,0.7,4.49,19.1,164,2146,29877,1
2295667,"Dawson Mercer",3900,W,NJD,TOR,8403170,1207495,1,2,,0.2717,0.293,1.8759,0.5801,0,0,0,0,0.0292,0.038,0.5647,0.0672,7.77,1.99,7.12,10.09,30,0.39,16.88,0,,2295667,0.55,5.57,17.3,155,1979,158585,0
794229,"Philippe Myers",2500,D,TOR,NJD,8403170,892768,1,,,0.0352,0.1402,1.0088,1.2716,0,0,0,0,0,0,0.1754,0,4.73,1.89,4.72,6.58,31,0,10.77,0,,794229,1.586,3.85,14,164,2146,83287,1
14456,"Erik Karlsson",6000,D,PIT,CAR,8403280,456827,1,1,,0.1258,0.5743,1.9983,1.4325,0,0,0,0,0.0608,0.1914,0.7001,0.2522,9.71,1.62,7.1,10.39,32,2.35,18.8,0,,14456,0.559,6.89,23.6,159,1927,30218,1
5241875,"Max Sasson",2500,C,VAN,PHI,8403290,1443094,4,,,0.1175,0.1164,0.9042,0.4363,0,0,0,0,0,0,0.2339,0,3.7,1.48,4.97,7.02,33,0,10.06,0,,5241875,0.687,2.85,10.5,179,2129,289518,1
4200358,"Arber Xhekaj",2500,D,MTL,FLA,8403200,1345074,3,,,0.0352,0.1013,0.9028,0.9629,0,0,0,0,0,0,0.1365,0,3.81,1.52,4.56,6.41,34,0,9.65,0,,4200358,1.927,3.45,12.6,162,2017,166621,0
