PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
18899,"Kristaps Porzingis",6000,PF/C,ATL,TOR,157508,877869,-,20,14.47,4.2,1.9,1.55,0.63,0.29,0.9,16.37,18.67,20.57,1.19,6.1,6.07,2.95,4.09,4.69,3.91,10.16,4.5,25.3,25.3,25.41,4.24,0.73%,135,129,MON,12577,1,18899,18.08,33.35,0.89,0.89,4.32,17.84,22.17,25.41,28.65,33.25,35.41,45.96,
37814,"Luke Kennard",3500,PG/SG,ATL,TOR,157508,887661,Q,20,6.97,2,1.65,1.48,0.67,0.96,0.02,8.62,8.97,10.62,0.98,3.65,1.82,0.91,3.36,0.79,0.72,5.18,2.39,14.12,14.12,14.31,4.09,0.29%,135,129,MON,38279,2,37814,8.04,21.55,0.28,0.28,4.18,8.18,11.58,14.31,17.04,21.81,23.85,32.37,
1115445,"Nickeil Alexander-Walker",6900,SG/SF,ATL,TOR,157508,1067668,-,34.5,19.98,3.53,3.28,2.59,2.8,0.97,0.9,23.26,23.51,26.79,1.87,6.81,10.46,4.6,6.68,3.6,3.01,17.14,7.19,31.95,31.95,32.95,4.78,11.76%,135,129,MON,69666,4,1115445,24.7,42.71,12.2,12.2,9.98,24.34,29.26,32.95,36.88,42.79,45.24,55.82,
2439277,"Onyeka Okongwu",7200,C,ATL,TOR,157508,1185367,,31,14.37,7.66,3.09,1.17,2.05,0.76,1.1,17.46,22.03,25.12,1.86,10.75,7.85,4.09,3.34,3.5,2.67,11.19,5.26,31.73,31.73,32.29,4.48,7.68%,135,129,MON,91845,5,2439277,24.59,40.24,5.03,5.03,3.99,24.38,28.78,32.29,35.37,40.2,42.17,51.4,
2439347,"Vit Krejci",4300,SG/SF,ATL,TOR,157508,1257428,,25,9.82,2.47,1.25,2.39,1.05,0.74,0.26,11.07,12.29,13.54,1,3.72,1.99,0.99,5.35,0.92,0.68,7.34,3.38,16.61,16.61,17.45,4.06,3.81%,135,129,MON,161284,6,2439347,11.01,25.17,2.89,2.89,3.81,10.78,14.54,17.45,20.27,25.15,27.2,36.18,
3005263,"Jalen Johnson",10000,PF,ATL,TOR,157508,1230356,,36,23.32,9.89,8.74,1.3,3.45,1.33,0.74,32.06,33.21,41.95,2.07,18.63,14.89,7.59,3.72,5.47,4.23,18.61,8.89,51.06,51.06,53.03,5.3,15.46%,135,129,MON,165214,7,3005263,42.29,64.29,18.84,18.84,26.32,42.27,48.16,53.03,57.39,64.3,67.38,80.44,
3587993,"Dyson Daniels",6800,PG/SG,ATL,TOR,157508,1357745,,34.5,12.49,6.01,5.95,0.54,2.22,2.21,0.76,18.44,18.5,24.45,2.97,11.96,9.66,4.81,2,2.04,1.24,11.66,5.35,35.32,35.32,34.19,5.03,12.93%,135,129,MON,195261,9,3587993,26.2,43,12.74,12.74,12.14,26.07,30.75,34.19,37.39,43.04,45.26,55.35,
4388493,"Keaton Wallace",3300,PG,ATL,TOR,157508,1063166,,1.5,0.32,0.2,0.28,0.05,0.06,0.05,0.02,0.6,0.52,0.8,0.07,0.48,0.13,0.05,0.14,0.07,0.06,0.27,0.1,1.13,1.13,1.13,0.34,0.04%,135,129,MON,245561,10,4388493,0.37,2.28,0,0,0,0,0,1.13,1.36,3.16,3.62,6.33,
4878163,"Mouhamed Gueye",3600,PF/C,ATL,TOR,157508,1325101,,4,1.13,0.84,0.19,0.1,0.15,0.11,0.13,1.32,1.97,2.16,0.24,1.03,0.65,0.31,0.28,0.26,0.2,0.93,0.41,2.99,2.99,2.92,0.81,0.04%,135,129,MON,180180,11,4878163,0.77,6.19,0,0,0,0,0,2.92,4.67,7.59,8.18,15.18,
6412725,"Zaccharie Risacher",4500,SF,ATL,TOR,157508,1432544,,25.5,9.97,3.76,1.34,1.4,0.99,1.04,0.54,11.31,13.73,15.07,1.58,5.1,5.06,2.26,4.13,1.81,1.25,9.19,3.66,20.24,20.24,20.05,4.46,5.42%,135,129,MON,368366,13,6412725,13.76,27.25,4.11,4.11,5.22,13.8,17.19,20.05,23.17,27.6,29.45,38.02,
8985462,"Asa Newell",3300,PF/C,ATL,TOR,157508,1524332,,8,2.45,1.59,0.36,0.28,0.37,0.21,0.25,2.81,4.04,4.4,0.46,1.95,1.31,0.59,0.81,0.55,0.43,2.12,0.87,5.91,5.91,5.85,1.77,0.11%,135,129,MON,457543,15,8985462,2.56,9.94,0,0,0,2.66,4.52,5.85,7.45,10.1,11.17,15.95,
35181,"Jaylen Brown",9800,SF,BOS,CHI,157507,883436,,35,31.01,7.06,4.72,2.61,3.49,1.31,0.34,35.73,38.07,42.79,1.65,11.78,16.94,8.49,7.42,8.17,6.19,24.36,11.1,48.02,48.02,50.04,5.11,13.11%,125,130,MON,28025,18,35181,39.79,60.55,9.64,9.64,19.4,39.49,45.38,50.04,53.96,60.59,63.29,74.82,
37858,"Derrick White",8000,PG/SG,BOS,CHI,157507,796009,,34,20.61,4.64,5.25,3.83,1.65,1.05,1.64,25.86,25.25,30.5,2.69,9.89,7.13,3.13,10.28,3.28,2.86,17.41,6.96,40.47,40.47,40.83,5.1,16.08%,125,130,MON,38299,20,37858,31.7,51.22,16.33,16.33,17.37,31.46,36.75,40.83,44.91,51.16,53.56,64.61,
409191,"Anfernee Simons",5000,PG/SG,BOS,CHI,157507,1121307,,23,11.79,2.5,2.15,1.96,0.77,0.54,0.13,13.94,14.29,16.44,0.67,4.65,4.81,2.04,5.2,2.02,1.83,10.01,4,19.26,19.26,20.08,4.02,1.25%,125,130,MON,75325,22,409191,13.26,27.33,0.77,0.77,2.82,13.3,17.21,20.08,23.04,27.64,29.73,38.6,
2439093,"Payton Pritchard",7000,PG,BOS,CHI,157507,945610,,33.5,17.13,4.24,5.19,3.37,0.99,1.21,0.12,22.32,21.37,26.56,1.33,9.43,5.96,2.77,8.96,1.74,1.48,14.92,6.14,33,33,34.13,4.88,8.90%,125,130,MON,73477,23,2439093,25.68,44.05,5.54,5.54,11.83,25.35,30.11,34.13,37.89,43.92,46.18,56.97,
3005208,"Luka Garza",4600,C,BOS,CHI,157507,1061057,,20,7.25,4.73,1.46,0.66,0.55,0.64,0.76,8.71,11.98,13.44,1.4,6.19,3.09,1.82,1.74,2.14,1.62,4.83,2.48,18.77,18.77,18.21,3.96,0.09%,125,130,MON,72919,25,3005208,12.61,24.54,0.22,0.22,1.29,12.47,15.72,18.21,20.46,24.45,26.19,33.93,
3005606,"Neemias Queta",5100,C,BOS,CHI,157507,1142902,,24,10.09,7.19,1.45,0,0.57,1.12,1.19,11.54,17.28,18.73,2.31,8.64,6.37,4.28,0,2.32,1.53,6.37,4.28,27.25,27.25,25.7,5.04,3.64%,125,130,MON,86307,26,3005606,19.15,33.47,1.52,1.52,12.32,18.88,22.82,25.7,28.32,33.31,35.4,43.53,
3022247,"Sam Hauser",3900,SF/PF,BOS,CHI,157507,922378,,23.5,8.71,3.87,0.63,2.5,0.5,0.46,0.32,9.34,12.58,13.21,0.78,4.5,1.17,0.51,6.24,0.2,0.19,7.41,3.01,16.14,16.14,17.06,4.37,8.99%,125,130,MON,72761,27,3022247,10.75,24.01,5.9,5.9,4.95,10.81,14.18,17.06,19.7,24.27,26.19,33.88,
3588057,"Josh Minott",3000,PF/C,BOS,CHI,157507,1324299,,3,0.93,0.46,0.12,0.15,0.1,0.18,0.05,1.05,1.39,1.51,0.23,0.58,0.35,0.18,0.37,0.17,0.14,0.72,0.33,2.25,2.25,2.18,0.73,0.00%,125,130,MON,179736,28,3588057,0.86,3.95,0,0,0,1.53,1.53,1.53,1.53,1.53,1.53,1.53,
4878181,"Jordan Walsh",4000,PF,BOS,CHI,157507,1401388,,19,4.97,4.64,0.51,0.82,0.62,0.64,0.34,5.48,9.61,10.12,0.98,5.15,1.76,0.93,2.17,0.87,0.66,3.93,1.75,13.62,13.62,13.6,3.4,0.15%,125,130,MON,245001,29,4878181,8.84,19.67,0.45,0.45,0.3,8.65,11.62,13.6,15.83,19.78,21.27,28.19,
6412744,"Baylor Scheierman",3000,SG/SF,BOS,CHI,157507,1177129,,9,2.98,0.95,0.55,0.49,0.32,0.29,0.06,3.53,3.93,4.48,0.35,1.5,1.25,0.55,1.42,0.53,0.43,2.67,1.04,5.68,5.68,5.78,1.93,0.04%,125,130,MON,90655,30,6412744,1.44,11.79,0,0,0.03,1.65,3.3,5.78,7.43,11.15,12.8,19.82,
8998149,"Hugo Gonzalez",3800,SG/SF,BOS,CHI,157507,1590553,,16,6.53,1.87,1.99,0.85,0.85,0.61,0.1,8.52,8.4,10.39,0.71,3.86,3.23,1.4,2.45,1.42,1.18,5.68,2.25,13.04,13.04,13.27,3.49,0.07%,125,130,MON,622359,31,8998149,8.05,19.54,0.15,0.15,0.66,7.96,10.91,13.27,15.92,19.76,21.23,28.9,
408896,"Collin Sexton",4600,PG/SG,CHA,OKC,157510,1061642,,21,12.04,1.79,3.18,1.07,2.12,0.61,0.15,15.22,13.83,17.01,0.76,4.97,6.03,2.92,2.67,3.45,2.98,8.7,3.99,19.12,19.12,20.05,4.36,13.09%,136,148,MON,75326,41,408896,14.01,26.77,16.65,16.65,3.64,14.04,17.38,20.05,22.72,26.96,28.52,36.98,
