PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,OWNERSHIP
328331,"Josh Allen",7100,QB,BUF,DEN,158061,,29.33,19.44,219.34,1.52,0.66,9.14,42.68,0.5,0,0,0,0,21.91,3.09,61.22,22,23.31%,MAIN,868199,58465,1,328331,21.84,21.84,262.02,2.02,262.02,2.02,42.68,0.5,0,14.39,32.4,13.02,
982111,"Ty Johnson",4500,RB,BUF,DEN,158061,Q,0,0,0,0,0,2.03,8.76,0.05,1.66,1.07,9.73,0.08,3.69,0.82,3.06,1.5,0.90%,MAIN,877784,68741,2,982111,3.68,3.14,18.49,0.13,8.76,0.05,18.49,0.13,0,0.51,10.08,0.04,
3491576,"James Cook",7300,RB,BUF,DEN,158061,,0,0,0,0,0,17.18,83.57,0.44,3.49,2.51,22.5,0.16,17.54,2.4,39.5,28.71,29.83%,MAIN,1131012,58170,3,3491576,17.45,16.19,106.07,0.6,83.57,0.44,106.07,0.6,0,9.95,27.61,9.08,
6227753,"Ray Davis",4600,RB,BUF,DEN,158061,,0,0,0,0,0,0.87,3.54,0.02,0.88,0.67,6.8,0.04,2.06,0.45,1.24,0.43,0.54%,MAIN,1165229,93411,4,6227753,2.06,1.72,10.34,0.06,3.54,0.02,10.34,0.06,0,0,5.67,0.02,
36991,"Curtis Samuel",3200,WR,BUF,DEN,158061,Q,0,0,0,0,0,0,0,0,1.32,0.89,9.2,0.08,2.29,0.72,5.1,1.12,1.06%,MAIN,821389,33239,5,36991,2.29,1.84,9.2,0.08,0,0,9.2,0.08,0,0,6.3,0.02,
3491575,"Khalil Shakir",5100,WR,BUF,DEN,158061,,0,0,0,0,0,0.08,0.45,0,5.57,4,47.22,0.33,11.04,2.16,38.74,21.18,20.92%,MAIN,1130603,55222,6,3491575,11.02,9.02,47.67,0.33,0.45,0,47.67,0.33,0,5.08,20.39,10.24,
6227754,"Keon Coleman",3500,WR,BUF,DEN,158061,,0,0,0,0,0,0,0,0,2.7,1.56,21.17,0.16,4.64,1.33,12.58,3.32,2.82%,MAIN,1322431,170256,7,6227754,4.63,3.85,21.17,0.16,0,0,21.17,0.16,0,0.26,12.28,0.56,
982694,"Mecole Hardman",3000,WR,BUF,DEN,158061,,0,0,0,0,0,0,0,0,0.22,0.15,1.8,0.01,0.39,0.13,0.44,0.4,0.68%,MAIN,922026,58212,8,982694,0.39,0.31,1.8,0.01,0,0,1.8,0.01,0,0,0.78,0,
18281,"Brandin Cooks",4000,WR,BUF,DEN,158061,,0,0,0,0,0,0,0,0,4.36,2.72,32.14,0.26,7.51,1.88,22.72,7.49,9.92%,MAIN,607864,2255,9,18281,7.5,6.14,32.14,0.26,0,0,32.14,0.26,0,2.81,16.08,2.38,
982202,"Dawson Knox",3300,TE,BUF,DEN,158061,,0,0,0,0,0,0,0,0,3.25,2.14,23.91,0.14,5.36,1.62,14.68,4.85,2.85%,MAIN,884083,61345,10,982202,5.34,4.27,23.91,0.14,0,0,23.91,0.14,0,1.28,12.11,2.38,
4687560,"Dalton Kincaid",4300,TE,BUF,DEN,158061,,0,0,0,0,0,0,0,0,5.54,3.77,41.13,0.24,9.38,2.18,28.72,18.53,15.54%,MAIN,1135513,170729,11,4687560,9.34,7.45,41.13,0.24,0,0,41.13,0.24,0,4.04,17.4,7.66,
8228372,"Jackson Hawes",2500,TE,BUF,DEN,158061,,0,0,0,0,0,0,0,0,0.33,0.23,2.52,0.01,0.54,0.22,0.92,0.37,0.19%,MAIN,1182649,146678,12,8228372,0.54,0.42,2.52,0.01,0,0,2.52,0.01,0,0,1.08,0,
11559,"Matt Prater",,K,BUF,DEN,158061,,0,0,0,0,0,0,0,0,0,0,0,0,8.64,21,,0,0.00%,MAIN,218237,6014,13,11559,8.64,8.64,0,0,0,0,0,0,7.51,3.69,14.95,,
18423,"Denver Broncos",2800,DST,DEN,BUF,158061,,0,0,0,0,0,0,0,0,0,0,0,0,6.24,2.23,36.6,13.11,13.93%,MAIN,332,8472,14,18423,6.24,6.24,0,0,0,0,0,0,0,1.01,13.27,5.58,
6227816,"Caleb Williams",6100,QB,CHI,LAR,158064,,33.75,20.26,233.24,1.64,0.39,3.73,14.39,0.15,0,0,0,0,18.22,2.99,43.7,7.7,10.95%,MAIN,1286445,171060,15,6227816,18.18,18.18,247.63,1.79,247.63,1.79,14.39,0.15,0,11.52,26.8,5.08,
982875,"Travis Homer",4000,RB,CHI,LAR,158064,,0,0,0,0,0,0.11,0.63,0,0.03,0.02,0.21,0,0.1,0.03,,0.01,0.13%,MAIN,922484,52386,16,982875,0.1,0.09,0.84,0,0.63,0,0.84,0,0,0,0.2,,
1844244,"D'Andre Swift",6000,RB,CHI,LAR,158064,,0,0,0,0,0,13.65,59.62,0.45,2.58,1.82,13.86,0.08,12.6,2.1,29.14,15.6,18.72%,MAIN,1069808,58120,17,1844244,12.54,11.63,73.48,0.53,59.62,0.45,73.48,0.53,0,6.34,22.3,3.7,
8228422,"Kyle Monangai",5000,RB,CHI,LAR,158064,,0,0,0,0,0,8.67,39.52,0.29,2.15,1.34,11.28,0.07,8.57,1.71,18.6,8.18,5.92%,MAIN,1250886,136192,18,8228422,8.51,7.84,50.8,0.36,39.52,0.29,50.8,0.36,0,4.12,16.51,1.18,
328733,"D.J. Moore",5200,WR,CHI,LAR,158064,,0,0,0,0,0,0.35,1.86,0.01,5.68,3.26,38.39,0.27,9.07,1.74,23.46,7.85,7.42%,MAIN,877790,75269,19,328733,9.05,7.42,40.25,0.28,1.86,0.01,40.25,0.28,0,3.58,17.64,4.52,
982543,"Olamide Zaccheaus",3300,WR,CHI,LAR,158064,,0,0,0,0,0,0.04,0.21,0,1.29,0.79,8.57,0.07,2.08,0.63,3.82,0.43,0.66%,MAIN,883976,53868,20,982543,2.08,1.68,8.78,0.07,0.21,0,8.78,0.07,0,0,4.16,0.06,
