PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
16845,"Kelly Olynyk",,,SAS,OKC,156897,514882,,1.5,0.55,0.29,0.16,0.04,0.08,0.1,0,0.71,0.84,1,0.1,0.45,0.27,0.14,0.11,0.17,0.13,0.38,0.18,1.36,1.36,1.33,0.35,2.66,0,0,0,0,0,1.33,1.66,3.33,4.32,7.32,0.17%,144,148,THURS,12462,185,16845,
37800,"Luke Kornet",,,SAS,OKC,156897,745923,,25,8.25,6.53,1.16,0.01,0.6,0.6,0.92,9.41,14.78,15.94,1.52,7.69,5.11,3.33,0.04,1.93,1.56,5.15,3.34,21.79,21.79,20.96,15.32,27.28,1.24,1.24,7.66,15.15,18.43,20.96,23.49,27.27,29.29,36.87,0.45%,144,148,THURS,38323,186,37800,
37900,"De'Aaron Fox",,,SAS,OKC,156897,957489,,33,18.25,3.81,5.31,1.91,2.46,1.21,0.18,23.56,22.06,27.37,1.39,9.12,9.85,4.48,5.38,4.54,3.56,15.23,6.39,32.5,32.5,33.54,25.06,42.97,0.39,0.39,5.32,24.9,29.73,33.54,37.1,42.94,45.48,56.15,0.40%,144,148,THURS,38271,187,37900,
1115463,"Keldon Johnson",,,SAS,OKC,156897,1134174,,22.5,10.29,5.31,1.14,1.08,0.92,0.33,0.05,11.43,15.6,16.74,0.38,6.45,5.05,2.6,3.1,2.37,1.85,8.15,3.68,18.59,18.59,19.52,13.59,25.98,1.45,1.45,5.36,13.51,17.02,19.52,22.02,26.03,28.03,36.04,0.67%,144,148,THURS,69995,189,1115463,
2439442,"Devin Vassell",,,SAS,OKC,156897,1132051,,31,15.63,4.87,2.05,2.42,1.06,0.87,0.36,17.68,20.5,22.55,1.23,6.92,7.32,3.24,6.42,2.26,1.89,13.74,5.66,27.18,27.18,27.95,19.86,36.62,0.88,0.88,12.72,19.84,24.32,27.95,31.58,36.89,39.41,50.87,0.38%,144,148,THURS,91366,190,2439442,
3350175,"Lindy Waters",,,SAS,OKC,156897,944248,,1,0.34,0.14,0.02,0.09,0.02,0.03,0,0.36,0.48,0.5,0.03,0.16,0.07,0.03,0.24,0.01,0.01,0.31,0.12,0.61,0.61,0.64,0.1,1.28,0,0,0,0,0,0.64,1.02,1.79,2.32,4.1,0.04%,144,148,THURS,72488,191,3350175,
3597312,"Julian Champagnie",,,SAS,OKC,156897,1176070,,23,7.33,5.16,1.17,1.64,0.81,1.02,0.32,8.5,12.49,13.66,1.34,6.33,1.71,0.7,4.45,1.18,1.01,6.16,2.34,18.49,18.49,18.64,12.19,25.93,0.43,0.43,4.91,12.08,15.75,18.64,21.53,25.99,27.83,36.49,0.15%,144,148,THURS,89784,193,3597312,
4874559,"Victor Wembanyama",,,SAS,OKC,156897,1373356,,23.5,17.01,8.66,2.26,1.19,2.65,0.51,1.34,19.27,25.67,27.93,1.85,10.92,10.21,4.97,3.41,4.33,3.51,13.62,6.16,33.69,33.69,34.83,26.87,43.51,0.01,0.01,0.08,26.54,31.28,34.83,38.15,43.6,45.73,55.21,0.58%,144,148,THURS,264146,194,4874559,
6413239,"Stephon Castle",,,SAS,OKC,156897,1461118,,31,16.99,4.45,5.98,1.37,3.8,0.9,0.28,22.97,21.44,27.42,1.18,10.43,9.29,4.22,4.67,6.13,4.44,13.96,5.59,31.04,31.04,32.89,25.04,41.47,0.4,0.4,3.77,24.86,29.38,32.89,36.15,41.43,43.69,54.48,0.45%,144,148,THURS,288759,196,6413239,
8985942,"Carter Bryant",,,SAS,OKC,156897,1538604,,1,0.31,0.13,0.05,0.05,0.04,0.03,0.01,0.36,0.44,0.49,0.04,0.18,0.14,0.06,0.15,0.06,0.04,0.29,0.11,0.62,0.62,0.63,0.1,1.26,0,0,0,0.27,0.45,0.63,0.81,1.08,1.15,1.2,0.23%,144,148,THURS,503252,199,8985942,
8985943,"Dylan Harper",,,SAS,OKC,156897,1519362,,22,9.08,2.6,2.53,0.85,1.52,0.73,0.14,11.61,11.68,14.21,0.87,5.13,5.69,2.47,2.45,1.92,1.6,8.14,3.32,17.09,17.09,17.53,12.43,23.47,0.19,0.19,0.14,12.37,15.26,17.53,20,23.51,25.16,31.97,0.09%,144,148,THURS,457491,200,8985943,
