PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
31730,"Alexander Wennberg",4000,C,SJS,TBL,8404810,741444,2,1,,0.138,0.3037,1.1152,1.1281,0,0,0,0,0.0379,0.0873,0.4417,0.1252,6.35,1.59,5.85,8.48,1,0.29,13.84,0,,31730,0.509,4.6,19.6,184,1950,30199,0
16760,"Hampus Lindholm",3000,D,BOS,DAL,8404830,659813,3,2,,0.068,0.2796,1.4951,1.4293,0,0,0,0,0.0159,0.0447,0.3476,0.0606,6.78,2.26,5.38,7.64,2,1.21,13.67,0,,16760,0.691,4.83,21.2,160,2153,31037,0
31746,"Radek Faksa",2500,C,DAL,BOS,8404830,659857,4,,,0.0721,0.1095,0.7243,0.5639,0,0,0,0,0,0,0.1816,0,3.21,1.28,4.47,6.32,3,0,8.93,0,,31746,1.14,2.73,11,181,1954,30523,1
17211,"Marcus Foligno",2800,W,MIN,MTL,8404890,522049,3,2,,0.1759,0.1898,1.1241,0.7216,0,0,0,0,0.0245,0.0304,0.3657,0.0549,5.39,1.93,5.68,8.05,4,0,12.66,0,,17211,2.879,5.13,14.6,178,1938,30272,0
34547,"Nick Jensen",2500,D,OTT,CBJ,8404870,733469,2,,,0.0312,0.2044,0.7375,1.3067,0,0,0,0,0,0,0.2356,0,4.67,1.87,4.99,7.14,5,0,11.06,0,,34547,0.838,3.47,16.4,163,2050,30618,0
893763,"Will Borgen",2500,D,NYR,LAK,8404990,878229,2,,,0.0415,0.1589,0.9608,1.6915,0,0,0,0,0,0,0.2004,0,5.62,2.25,4.77,6.64,6,0.68,11.73,0,,893763,1.875,4.47,18.4,157,2059,83676,0
2075138,"Nico Sturm",2500,C,MIN,MTL,8404890,1163937,4,,,0.1313,0.1443,1.1361,0.5949,0,0,0,0,0,0,0.2756,0,4.58,1.83,5.02,7.07,7,0,11.01,0,,2075138,1.364,3.78,13.7,178,1938,87741,0
35829,"Logan Stanley",2500,D,WPG,STL,8404850,920227,3,2,,0.0547,0.2592,1.1392,1.3037,0,0,0,0,0.0138,0.0363,0.3139,0.0501,5.76,2.3,5.26,7.55,8,0.31,12.49,0,,35829,1.678,4.67,17.7,169,53599,82920,1
4200188,"Nick Blankenburg",2500,D,NSH,BUF,8404930,1382727,3,2,,0.0903,0.3023,1.3908,1.0475,0,0,0,0,0.0293,0.0538,0.3926,0.0831,6.22,2.49,5.9,8.52,9,0.11,13.77,0,,4200188,1.032,4.75,17.7,173,1959,184512,1
5274308,"Max Crozier",2800,D,TBL,SJS,8404810,1172319,3,,,0.0525,0.2298,1.4097,1.0147,0,0,0,0,0,0,0.2823,0,5.5,1.96,5.12,7.23,10,0.2,12.05,0,,5274308,1.328,4.32,15.8,167,2218,262433,1
18484,"Adam Lowry",2900,C,WPG,STL,8404850,607959,3,,,0.1625,0.2218,1.2794,0.7085,0,0,0,0,0,0,0.3843,0,5.66,1.95,5.88,8.36,11,0,13.19,0,,18484,1.958,4.83,15.1,169,53599,30843,1
35939,"Jonny Brodzinski",2500,W,NYR,LAK,8404990,744965,4,,,0.1047,0.127,1.0769,0.4608,0,0,0,0,0,0,0.2317,0,3.95,1.58,5.01,7.05,12,0,10.36,0,,35939,0.593,2.97,10.3,157,2059,31397,0
17079,"Brian Dumoulin",2500,D,LAK,NYR,8404990,654336,3,,,0.0373,0.2261,0.8733,1.3213,0,0,0,0,0,0,0.2634,0,5.06,2.02,5.02,7.16,13,0,11.49,0,,17079,0.92,3.78,17.6,182,2054,30426,1
16699,"Zemgus Girgensons",2500,W,TBL,SJS,8404810,659858,3,,,0.1508,0.1433,1.4293,0.588,0,0,0,0,0,0,0.2941,0,5.2,2.08,5.15,7.17,14,0,11.79,0,,16699,2.503,4.75,14.4,167,2218,30275,1
34585,"Mike Matheson",3600,D,MTL,MIN,8404890,659869,1,,,0.1113,0.3057,1.7084,2.0574,0,0,0,0,0,0,0.417,0,8.9,2.47,6.25,8.86,15,2.43,16.9,0,,34585,0.945,6.13,24.3,162,2017,30000,1
31745,"Vincent Hinostroza",2500,W,MIN,MTL,8404890,681550,3,2,,0.1106,0.196,1.1209,0.364,0,0,0,0,0.0186,0.0393,0.3066,0.0579,4.26,1.7,5.15,7.32,16,0,10.85,0,,31745,0.783,3.35,11.8,178,1938,30786,0
35776,"Danton Heinen",2500,W,CBJ,OTT,8404870,831469,3,,,0.1266,0.2025,0.9826,0.4772,0,0,0,0,0,0,0.3291,0,4.4,1.76,5.3,7.6,17,0,11.18,0,,35776,0.974,3.52,11.2,171,2023,31458,1
34514,"Phillip Danault",3100,C,MTL,MIN,8404890,600128,3,,,0.1401,0.2219,1.2027,0.6383,0,0,0,0,0,0,0.362,0,5.23,1.69,5.41,7.7,18,0,12.15,0,,34514,0.872,4.01,14.4,162,2017,31116,1
1394916,"Noah Ostlund",2600,C,BUF,NSH,8404930,1394916,3,1,,0.1735,0.2713,1.2426,0.5441,0,0,0,0,0.052,0.0899,0.4448,0.1419,5.68,2.18,6.03,8.65,19,0,13.4,0,,1394916,0.423,4.2,14.8,161,2004,204710,0
9190220,"Isaac Howard",2500,W,EDM,NJD,8404880,1394927,3,2,,0.1546,0.1869,1.4746,0.3561,0,0,0,0,0.012,0.0175,0.3415,0.0295,5.15,2.06,5.27,7.41,20,0,11.9,0,,9190220,0.86,3.95,13.3,177,1953,204733,1
555386,"Trent Frederic",2500,W,EDM,NJD,8404880,920239,2,,,0.1444,0.1769,1.263,0.5248,0,0,0,0,0,0,0.3213,0,4.94,1.98,5.23,7.38,21,0,11.63,0,,555386,2.593,4.66,13,177,1953,82490,1
17077,"Cody Ceci",2500,D,LAK,NYR,8404990,659859,3,,,0.0386,0.2161,0.8588,1.325,0,0,0,0,0,0,0.2547,0,5.03,2.01,5.02,7.16,22,0,11.46,0,,17077,0.897,3.73,17,182,2054,30249,1
17367,"Vladislav Namestnikov",2600,W,WPG,STL,8404850,600129,3,2,,0.1517,0.2676,1.2086,0.5397,0,0,0,0,0.0216,0.0421,0.4193,0.0637,5.41,2.08,5.58,8.01,23,0,12.55,0,,17367,1.197,4.36,14.2,169,53599,30823,1
18560,"Barclay Goodrow",2500,W,SJS,TBL,8404810,790352,4,,,0.0757,0.0956,0.7599,0.7627,0,0,0,0,0,0,0.1713,0,3.56,1.42,4.49,6.35,24,0,9.31,0,,18560,1.505,3.11,11.6,184,1950,30687,0
5245899,"Reid Schaefer",2500,W,NSH,BUF,8404930,1394928,4,,,0.1442,0.1459,1.1045,0.5185,0,0,0,0,0,0,0.2901,0,4.52,1.81,5.02,7.07,25,0,10.95,0,,5245899,1.686,3.91,10.7,173,1959,204721,1
16667,"Cam Fowler",3200,D,STL,WPG,8404850,550762,3,,,0.0703,0.2751,1.1608,1.0944,0,0,0,0,0,0,0.3454,0,5.63,1.76,5.2,7.48,26,0.24,12.29,0,,16667,0.369,3.96,19.4,174,1944,30980,0
5278036,"Matt Savoie",2600,W,EDM,NJD,8404880,1394907,3,2,,0.1638,0.2243,1.4361,0.552,0,0,0,0,0.0116,0.0201,0.3881,0.0317,5.68,2.18,5.93,8.39,27,0,13.27,0,,5278036,0.56,4.16,14.9,177,1953,204712,1
36587,"Tyson Jost",2500,W,NSH,BUF,8404930,920219,3,,,0.1006,0.1689,1.1092,0.342,0,0,0,0,0,0,0.2695,0,3.98,1.59,5.15,7.31,28,0,10.57,0,,36587,1.029,3.24,10.8,173,1959,32100,1
6422693,"Igor Chernyshov",4000,W,SJS,TBL,8404810,1428062,3,2,,0.1774,0.2261,1.572,0.4365,0,0,0,0,0.0305,0.0436,0.4035,0.0741,5.84,1.46,5.91,8.38,29,0,13.4,0,,6422693,0.86,4.44,14.3,184,1950,449712,0
14207,"Steven Stamkos",5000,W,NSH,BUF,8404930,456624,2,1,,0.44,0.4619,2.4408,0.4486,0,0,0,0,0.1568,0.1837,0.9019,0.3405,11.02,2.2,9.03,12.91,30,1.66,22.58,0,,14207,0.927,8.01,17.4,173,1959,30516,1
14408,"James Reimer",7800,G,OTT,CBJ,8404870,446889,,,B,0,0,0,0,0.5122,24.6373,3.3715,0.0386,0,0,0,0,9.99,1.28,8.6,10.87,31,1.08,21,0,,14408,0,7.74,,163,2050,30203,0
