PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
31729,"Andrew Copp",3500,C,DET,MTL,8404120,744810,2,2,,0.1605,0.3026,1.2584,0.6348,0,0,0,0,0.0252,0.0587,0.4631,0.0839,5.9,1.69,6.27,9.05,1,0,13.93,0,,31729,0.503,4.36,15.8,172,2075,30594,0
18501,"Shea Theodore",4800,D,VGK,STL,8404210,741466,2,2,,0.1197,0.453,2.0662,1.4288,0,0,0,0,0.0159,0.0596,0.5727,0.0755,9.12,1.9,6.75,9.77,2,2.13,17.76,0,,18501,0.431,6.28,21.7,185,180961,30663,1
17172,"Mark Stone",6400,W,VGK,STL,8404210,556369,1,1,,0.436,0.7134,2.3328,0.6449,0,0,0,0,0.1177,0.2099,1.1494,0.3276,12.47,1.95,9.63,13.96,3,2.49,24.8,0,,17172,0.726,8.97,19.8,185,180961,31019,1
17211,"Marcus Foligno",2500,W,MIN,NYI,8404140,522049,3,,,0.1293,0.1439,0.8809,0.5492,0,0,0,0,0,0,0.2732,0,4.09,1.64,4.99,7.03,4,0,10.48,0,,17211,2.537,4.05,11.7,178,1938,30272,1
18467,"Anthony Duclair",2700,W,NYI,MIN,8404140,743259,1,2,,0.169,0.2138,1.3232,0.4784,0,0,0,0,0.0207,0.0383,0.3828,0.059,5.36,1.99,5.85,8.33,5,0,12.85,0,,18467,0.533,3.97,13.8,156,2135,30344,0
34547,"Nick Jensen",2500,D,OTT,FLA,8404050,733469,2,,,0.0305,0.1825,0.729,1.2154,0,0,0,0,0,0,0.213,0,4.37,1.75,4.81,6.81,6,0,10.53,0,,34547,0.819,3.27,15.2,163,2050,30618,1
37698,"Alex DeBrincat",7300,W,DET,MTL,8404120,920337,2,1,,0.4032,0.4146,2.9015,0.4177,0,0,0,0,0.1243,0.1507,0.8178,0.275,11.29,1.55,8.92,12.6,7,2.05,22.71,0,,37698,0.619,7.84,17.2,172,2075,37837,0
1279401,"Rodrigo Abols",2500,C,PHI,TBL,8404130,920579,4,,,0.113,0.1705,1.1572,0.5798,0,0,0,0,0,0,0.2835,0,4.56,1.82,5.18,7.34,8,0,11.19,0,,1279401,1.191,3.69,11.4,158,2229,92052,1
2075138,"Nico Sturm",2500,C,MIN,NYI,8404140,1163937,4,,,0.1034,0.1187,0.9202,0.44,0,0,0,0,0,0,0.2221,0,3.62,1.45,4.97,7.02,9,0,9.98,0,,2075138,1.149,3.03,11,178,1938,87741,1
4200188,"Nick Blankenburg",2700,D,NSH,CHI,8404090,1382727,3,2,,0.101,0.3036,1.5141,0.9542,0,0,0,0,0.0384,0.0643,0.4046,0.1027,6.36,2.36,5.92,8.53,10,0.23,13.94,0,,4200188,1.022,4.85,18.1,173,1959,184512,1
5274308,"Max Crozier",2800,D,TBL,PHI,8404130,1172319,3,,,0.0451,0.2046,1.2196,1.0663,0,0,0,0,0,0,0.2497,0,5.09,1.82,5.05,7.17,11,0,11.55,0,,5274308,1.312,4.03,16,167,2218,262433,0
14246,"Casey Cizikas",2700,C,NYI,MIN,8404140,521884,4,,,0.0948,0.1071,0.9089,0.657,0,0,0,0,0,0,0.2019,0,3.83,1.42,5.01,7.06,12,0,10.24,0,,14246,1.807,3.47,11.3,156,2135,30928,0
16700,"Rasmus Ristolainen",3700,D,PHI,TBL,8404130,741411,2,2,,0.0745,0.2724,1.7371,1.8686,0,0,0,0,0.021,0.0468,0.3469,0.0678,8.06,2.18,5.64,7.91,13,2.22,15.28,0,,16700,1.944,6.15,22.2,158,2229,31067,1
17079,"Brian Dumoulin",2600,D,LAK,EDM,8404150,654336,3,,,0.0265,0.152,0.6297,1.1562,0,0,0,0,0,0,0.1785,0,3.92,1.51,4.55,6.42,14,0,9.74,0,,17079,0.743,2.92,14.7,182,2054,30426,0
6231006,"Maxim Tsyplakov",2500,W,NYI,MIN,8404140,1072913,4,,,0.0944,0.163,1.0947,0.3514,0,0,0,0,0,0,0.2574,0,3.89,1.56,5.15,7.31,15,0,10.48,0,,6231006,1.408,3.37,10.9,156,2135,363028,0
16699,"Zemgus Girgensons",2500,W,TBL,PHI,8404130,659858,3,,,0.126,0.1159,1.209,0.5975,0,0,0,0,0,0,0.2419,0,4.51,1.8,5.08,7.11,16,0,11.01,0,,16699,2.437,4.24,14.4,167,2218,30275,0
34585,"Mike Matheson",4200,D,MTL,DET,8404120,659869,1,,,0.1025,0.3002,1.5357,2.0558,0,0,0,0,0,0,0.4027,0,8.5,2.02,6.18,8.8,17,2.1,16.41,0,,34585,0.918,5.87,23.9,162,2017,30000,1
31745,"Vincent Hinostroza",2500,W,MIN,NYI,8404140,681550,4,,,0.0922,0.1617,0.9821,0.3227,0,0,0,0,0,0,0.2539,0,3.64,1.46,5.11,7.28,18,0,10.18,0,,31745,0.815,2.91,10.7,178,1938,30786,1
34514,"Phillip Danault",2800,C,MTL,DET,8404120,600128,3,,,0.1704,0.2775,1.4409,0.681,0,0,0,0,0,0,0.4479,0,6.23,2.23,6.11,8.71,19,0,14.05,0,,34514,0.977,4.74,15.8,162,2017,31116,1
5721344,"Cutter Gauthier",6800,W,ANA,BUF,8404020,1394905,3,2,,0.3523,0.334,3.2577,0.4892,0,0,0,0,0.0662,0.062,0.6863,0.1282,11.23,1.65,8.3,11.56,20,2.63,21.85,0,,5721344,0.862,7.69,15.9,180,1997,204709,0
17453,"Jake McCabe",3300,D,TOR,VAN,8404110,660793,2,,,0.047,0.3065,0.8086,2.0009,0,0,0,0,0,0,0.3535,0,6.8,2.06,5.62,8.12,21,0.98,13.99,0,,17453,2.077,5.36,20.9,164,2146,30280,1
1394916,"Noah Ostlund",2500,C,BUF,ANA,8404020,1394916,4,,,0.1497,0.2004,1.0274,0.4673,0,0,0,0,0,0,0.3501,0,4.64,1.86,5.33,7.63,22,0,11.46,0,,1394916,0.4,3.39,11.2,161,2004,204710,1
9190220,"Isaac Howard",2500,W,EDM,LAK,8404150,1394927,3,2,,0.1116,0.1256,1.1358,0.2432,0,0,0,0,0.0131,0.0174,0.2372,0.0305,3.74,1.5,4.99,7.03,23,0,10.13,0,,9190220,0.63,2.88,9.8,177,1953,204733,1
