PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
409154,"Michael Porter Jr.",8400,SF,BKN,PHO,158544,1061724,-,32,23.9,7.48,2.27,3.8,3.03,1.21,0.13,26.17,31.38,33.65,1.34,9.75,10.01,4.72,9.73,3.73,3.08,19.74,8.52,37.27,37.27,40.15,4.78,10.67%,126,153,TUE,75295,1,409154,30.7,50.43,11.56,11.56,11.48,30.48,35.94,40.15,44.36,50.56,53.29,64.69,
1115132,"Nic Claxton",6500,C,BKN,PHO,158544,1061682,-,28.5,11.52,7.61,3.18,0.04,1.58,0.83,1.42,14.7,19.13,22.31,2.25,10.79,8.03,4.77,0.22,3.21,1.87,8.25,4.81,30.59,30.59,29.85,4.59,3.99%,126,153,TUE,71024,3,1115132,22.78,38.1,5.02,5.02,4.93,22.66,26.56,29.85,33.14,38.01,39.96,48.49,
1115590,"Terance Mann",3600,SG/SF,BKN,PHO,158544,879504,-,21,6.65,2.85,2.82,0.81,1.23,0.59,0.26,9.47,9.5,12.32,0.85,5.67,3.35,1.63,2.16,1.18,0.95,5.51,2.44,15.62,15.62,15.93,4.43,8.42%,126,153,TUE,74628,4,1115590,10.77,21.78,3.59,3.59,2.74,10.86,13.76,15.93,18.34,21.96,23.65,30.66,
3005094,"Day'Ron Sharpe",4700,C,BKN,PHO,158544,1243725,,20,7.76,7.09,2.21,0.16,1.92,0.93,0.22,9.97,14.85,17.06,1.15,9.3,4.92,2.83,0.69,2.32,1.6,5.61,2.99,21.11,21.11,21.46,4.57,3.67%,126,153,TUE,148967,5,3005094,15.7,27.69,3.97,3.97,3.94,15.61,18.78,21.46,23.9,27.8,29.51,37.56,
3005097,"Cam Thomas",5000,SG,BKN,PHO,158544,1232020,,21,11.76,1.82,2.69,1.25,1.3,0.08,0.08,14.45,13.58,16.27,0.16,4.51,6,2.45,3.58,3.61,3.1,9.58,3.7,17.16,17.16,18.37,3.67,0.37%,126,153,TUE,149404,6,3005097,12.32,25.24,0.29,0.29,0.96,12.25,15.82,18.37,21.18,25.26,27.04,35.72,
3005396,"Ziaire Williams",3800,SG/SF,BKN,PHO,158544,1231313,,21,7.65,3.9,0.72,1.28,1.06,1.38,0.69,8.37,11.55,12.27,2.07,4.62,2.71,1.13,4.05,1.84,1.55,6.76,2.41,18.56,18.56,17.86,4.7,11.26%,126,153,TUE,149033,7,3005396,12.02,24.28,9.49,9.49,5.79,11.91,15.38,17.86,20.34,24.56,26.29,34.23,
4878198,"Jalen Wilson",3400,SF/PF,BKN,PHO,158544,1174884,,5,1.73,0.61,0.26,0.29,0.17,0.13,0.12,1.99,2.34,2.6,0.25,0.87,0.65,0.26,0.86,0.45,0.35,1.51,0.55,3.43,3.43,3.44,1.01,0.04%,126,153,TUE,90541,13,4878198,0.79,6.54,0,0,0,1.06,2.12,3.44,4.5,6.62,7.67,12.17,
8985497,"Drake Powell",3500,SG,BKN,PHO,158544,1542179,,24,7.54,1.96,2.07,1.04,1.64,0.49,0.36,9.61,9.5,11.57,0.85,4.03,3.34,1.42,3.4,1.75,1.57,6.74,2.46,13.91,13.91,14.5,4.14,3.18%,126,153,TUE,503267,16,8985497,9.02,21.05,2.65,2.65,2.79,8.9,12.21,14.5,17.3,21.37,22.64,29.77,
8985498,"Egor Demin",4900,PG,BKN,PHO,158544,1523978,,26,9.03,2.73,3.12,1.75,1.86,0.61,0.37,12.15,11.76,14.88,0.98,5.85,3.6,1.47,4.42,1,0.85,8.02,3.22,18.07,18.07,19.03,3.88,0.55%,126,153,TUE,455367,17,8985498,12.58,26.38,0.87,0.87,2.15,12.52,16.28,19.03,22.03,26.54,28.55,37.06,
8985499,"Danny Wolf",4400,PF/C,BKN,PHO,158544,1415928,,19.5,6.75,5.03,1.26,1,0.76,0.86,0.43,8.01,11.78,13.04,1.29,6.29,3.36,1.3,2.85,1.36,1.13,6.21,2.3,17.79,17.79,17.64,4.01,0.34%,126,153,TUE,247158,18,8985499,11.99,23.97,1.15,1.15,1.59,11.84,15.12,17.64,20.16,23.94,25.7,33.26,
