PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
37814,"Luke Kennard",3000,PG/SG,ATL,CHI,156721,887661,-,17,5.94,1.45,1.64,1.27,0.81,0.63,0.08,7.58,7.39,9.03,0.71,3.09,1.54,0.75,2.87,0.68,0.61,4.41,2.02,11.46,11.46,11.86,3.95,0.00%,135,130,SUN,38279,2,37814,6.68,17.94,0,0,0,6.7,9.28,11.86,14.18,18.05,19.59,27.33,
409063,"Trae Young",14400,PG,ATL,CHI,156721,1060978,-,25,16.56,1.91,8.81,1.88,2.43,0.72,0.4,25.37,18.47,27.28,1.12,10.72,6.81,2.82,6.05,6.19,5.29,12.86,4.7,33,33,34.66,2.41,0.00%,135,130,SUN,75299,3,409063,25.97,44.33,0,0,0,25.67,30.81,34.66,38.51,44.42,46.98,58.28,
1115445,"Nickeil Alexander-Walker",11400,SG/SF,ATL,CHI,156721,1067668,-,31,19.76,3.38,2.77,2.54,1.5,0.8,0.65,22.53,23.14,25.91,1.45,6.15,10.24,4.59,6.55,3.53,2.96,16.79,7.13,30.82,30.82,31.56,2.77,0.00%,135,130,SUN,69666,4,1115445,23.37,40.89,0,0,0,23.16,28,31.56,35.12,40.98,43.27,53.7,
2439277,"Onyeka Okongwu",12300,C,ATL,CHI,156721,1185367,,33,17.81,8.38,2.65,1.42,1.76,1.46,1.28,20.46,26.19,28.84,2.74,11.03,9.71,5.11,4.15,4.42,3.35,13.86,6.53,38.3,38.3,37.91,3.08,0.00%,135,130,SUN,91845,5,2439277,29.39,47.33,0,0,0,29.26,34.09,37.91,41.73,47.32,49.61,60.3,
2439347,"Vit Krejci",6300,SG/SF,ATL,CHI,156721,1257428,,19.5,7.55,2.4,1.43,1.81,0.8,0.6,0.33,8.98,9.95,11.38,0.93,3.83,1.6,0.77,4.12,0.77,0.57,5.72,2.58,14.57,14.57,15.06,2.39,0.00%,135,130,SUN,161284,6,2439347,9.08,21.71,0,0,0,8.98,12.42,15.06,17.7,21.93,23.51,31.97,
3005263,"Jalen Johnson",15300,PF,ATL,CHI,156721,1230356,,37,25.72,10.36,7.29,1.48,3.15,1.5,0.53,33.01,36.08,43.37,2.03,17.65,16.68,8.28,4.16,6.05,4.74,20.84,9.76,52.03,52.03,53.85,3.52,0.00%,135,130,SUN,165214,7,3005263,43.73,65.18,0,0,0,43.39,49.26,53.85,58.44,65.33,68.14,79.37,
3587993,"Dyson Daniels",12000,PG/SG,ATL,CHI,156721,1357745,,33,13.83,6.73,4.13,0.61,1.91,1.95,0.3,17.96,20.56,24.69,2.25,10.86,11.03,5.32,2.29,2.23,1.36,13.32,5.93,32.94,32.94,32.42,2.7,0.00%,135,130,SUN,195261,9,3587993,24.64,41.16,0,0,0,24.44,29.08,32.42,35.76,41.17,43.25,52.49,
4878163,"Mouhamed Gueye",4500,PF/C,ATL,CHI,156721,1325101,,10,3.33,2.76,0.44,0.31,0.34,0.46,0.36,3.77,6.09,6.53,0.82,3.2,1.91,0.91,0.87,0.78,0.6,2.78,1.22,9.42,9.42,9.07,2.02,0.00%,135,130,SUN,180180,11,4878163,4.98,13.89,0,0,0,5.07,7.2,9.07,11.2,14.14,15.47,20.81,
6412725,"Zaccharie Risacher",7500,SF,ATL,CHI,156721,1432544,,23,9.69,3.06,1.23,1.33,0.7,0.98,0.54,10.92,12.75,13.98,1.52,4.29,4.99,2.22,4.01,1.74,1.24,9,3.55,19.07,19.07,18.72,2.5,0.00%,135,130,SUN,368366,13,6412725,12.34,25.76,0,0,0,12.05,15.64,18.72,21.28,25.64,27.7,35.39,
8985462,"Asa Newell",2700,PF/C,ATL,CHI,156721,1524332,,11.5,4.33,2.54,0.62,0.49,0.42,0.33,0.2,4.95,6.87,7.49,0.53,3.16,2.32,1.05,1.42,0.97,0.76,3.74,1.54,9.48,9.48,9.53,3.53,0.00%,135,130,SUN,457543,15,8985462,5.33,14.6,0,0,0,5.29,7.68,9.53,11.38,14.56,15.88,21.97,
409154,"Michael Porter Jr.",8600,SF,BKN,TOR,156722,1061724,,33.5,24.65,6.9,2.83,3.89,3.03,0.69,0.41,27.48,31.55,34.38,1.1,9.73,10.24,5.06,9.94,3.54,2.85,20.18,8.95,37.45,37.45,40.31,4.69,17.52%,126,129,SUN,75295,17,409154,30.81,51.08,15.91,15.91,10.53,30.49,36.18,40.31,44.7,51.16,53.75,65.64,
