PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,OWNERSHIP
409154,"Michael Porter Jr.",,,BKN,LAC,158460,1061724,-,33.5,24.38,6.53,2.59,3.88,2.52,1.08,0.14,26.97,30.91,33.5,1.22,9.12,10.12,4.81,9.89,3.81,3.13,20.01,8.69,37.24,37.24,39.72,30.25,50.02,0,0,0,30.17,35.7,39.72,43.74,50.53,52.79,64.11,0%,126,151,SUN,75295,1,409154,
1115132,"Nic Claxton",,,BKN,LAC,158460,1061682,-,30,11.84,6.42,3.81,0.04,1.32,0.87,1.6,15.65,18.26,22.07,2.47,10.23,8.19,4.88,0.22,3.37,1.95,8.41,4.92,31.35,31.35,30.01,23.08,37.93,0,0,0,23.12,26.81,30.01,33.21,38.13,40.1,48.7,0%,126,151,SUN,71024,3,1115132,
1115590,"Terance Mann",,,BKN,LAC,158460,879504,-,24,7.32,2.43,3.51,0.88,1.1,0.61,0.21,10.83,9.75,13.26,0.82,5.94,3.69,1.79,2.38,1.35,1.08,6.07,2.67,16.86,16.86,17.15,11.35,23.45,0,0,0,11.35,14.38,17.15,19.42,23.46,25.22,32.79,0%,126,151,SUN,74628,4,1115590,
3005094,"Day'Ron Sharpe",,,BKN,LAC,158460,1243725,,22,8.47,6.37,2.79,0.18,1.68,0.88,0.25,11.26,14.84,17.63,1.13,9.16,5.31,3.06,0.75,2.61,1.79,6.06,3.24,22.01,22.01,22.19,16.09,29.13,0,0,0,16.14,19.42,22.19,24.96,29.25,31.02,38.08,0%,126,151,SUN,148967,5,3005094,
3005396,"Ziaire Williams",,,BKN,LAC,158460,1231313,,24,9.45,3.53,0.94,1.57,1.08,1.36,0.82,10.39,12.98,13.92,2.18,4.47,3.34,1.39,4.94,2.3,1.94,8.28,2.96,20.56,20.56,19.88,13.47,27.13,0,0,0,13.42,16.9,19.88,22.61,27.09,28.83,37.77,0%,126,151,SUN,149033,7,3005396,
3587834,"Tyrese Martin",,,BKN,LAC,158460,1134107,,16,6.17,1.98,0.95,1.23,0.7,0.45,0.06,7.12,8.15,9.1,0.51,2.93,2.3,0.96,3.49,0.75,0.57,5.79,2.19,10.8,10.8,11.36,6.33,17.28,0,0,0,6.2,9.04,11.36,13.68,17.3,18.85,26.33,0%,126,151,SUN,89873,9,3587834,
4878198,"Jalen Wilson",,,BKN,LAC,158460,1174884,,16,5.96,1.53,0.96,0.97,0.47,0.36,0.41,6.92,7.49,8.45,0.77,2.49,2.26,0.88,2.86,1.6,1.27,5.12,1.85,11.08,11.08,11.1,6.37,17.04,0,0,0,6.2,8.78,11.1,13.42,17.04,18.59,25.82,0%,126,151,SUN,90541,13,4878198,
8985497,"Drake Powell",,,BKN,LAC,158460,1542179,,24,8.35,1.5,2.21,1.13,1.45,0.43,0.36,10.56,9.85,12.06,0.79,3.71,3.72,1.63,3.62,1.9,1.69,7.34,2.76,14.39,14.39,14.96,9.36,21.31,0,0,0,9.13,12.42,14.96,17.5,21.55,23.07,30.93,0%,126,151,SUN,503267,16,8985497,
8985498,"Egor Demin",,,BKN,LAC,158460,1523978,,24.5,9.32,2.23,3.25,1.81,1.55,0.53,0.33,12.57,11.55,14.8,0.86,5.48,3.69,1.53,4.53,1,0.84,8.22,3.34,17.9,17.9,18.83,12.15,26.06,0,0,0,12.05,15.57,18.83,21.59,26.11,28.12,36.4,0%,126,151,SUN,455367,17,8985498,
8985499,"Danny Wolf",,,BKN,LAC,158460,1415928,,24,9.12,4.9,1.73,1.38,0.83,0.91,0.55,10.85,14.02,15.75,1.46,6.63,4.52,1.84,3.76,1.58,1.3,8.28,3.22,21.15,21.15,21.06,14.83,28.49,0,0,0,14.79,18.05,21.06,23.82,28.33,30.34,38.61,0%,126,151,SUN,247158,18,8985499,
8998169,"Ben Saraf",,,BKN,LAC,158460,1590554,,2,0.74,0.21,0.26,0.11,0.22,0.08,0.06,1,0.95,1.21,0.14,0.47,0.35,0.13,0.4,0.21,0.17,0.75,0.24,1.58,1.58,1.62,0.53,3.27,0,0,0,0,0,1.62,2.59,4.54,5.83,10.37,0%,126,151,SUN,622358,19,8998169,
13315,"Klay Thompson",,,DAL,MIL,158457,457611,,21,12.16,1.99,1.54,2.7,0.76,0.33,0.43,13.7,14.15,15.69,0.76,3.53,3.82,1.62,6.99,0.94,0.8,10.81,4.32,18.38,18.38,19.45,12.65,27.44,6.96,6.96,3.35,12.54,16.38,19.45,22.52,27.38,29.69,39.41,5.40%,140,134,SUN,12329,22,13315,
18566,"Dwight Powell",,,DAL,MIL,158457,552309,,24,5.09,6.98,1.97,0.03,0.83,0.6,0.28,7.06,12.07,14.04,0.88,8.95,2.27,1.57,0.09,2.95,1.87,2.36,1.6,18.23,18.23,18.15,12.87,24.06,0.44,0.44,2.62,12.86,15.88,18.15,20.42,24.2,25.46,32.77,0.90%,140,134,SUN,12550,25,18566,
1115204,"Daniel Gafford",,,DAL,MIL,158457,1061647,,19,7.85,6.35,0.84,0,1.08,0.5,0.57,8.69,14.2,15.04,1.07,7.19,4.52,3.11,0,2.32,1.64,4.52,3.11,18.86,18.86,18.7,13.3,24.71,0.99,0.99,0.61,13.3,16.32,18.7,20.83,24.85,26.36,34.39,1.14%,140,134,SUN,71699,28,1115204,
