PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
1115132,"Nic Claxton",6300,C,BKN,CHI,158141,1061682,-,28.5,12.95,7.52,3.62,0.05,1.02,0.56,1.3,16.57,20.47,24.09,1.86,11.14,8.98,5.34,0.27,3.65,2.13,9.25,5.39,31.96,31.96,31.29,4.97,14.53%,126,130,SUN,71024,3,1115132,23.99,39.82,14.82,14.82,9.85,23.84,28.06,31.29,34.77,39.98,42.22,50.91,
1115590,"Terance Mann",3700,SG/SF,BKN,CHI,158141,879504,-,25.5,7.12,3.11,2.82,0.86,0.81,0.63,0.4,9.94,10.23,13.05,1.03,5.93,3.63,1.77,2.4,1.26,1.01,6.03,2.63,17.36,17.36,17.32,4.68,12.63%,126,130,SUN,74628,4,1115590,11.47,23.77,11.07,11.07,5.77,11.38,14.85,17.32,20.04,23.75,25.49,33.16,
3005094,"Day'Ron Sharpe",5100,C,BKN,CHI,158141,1243725,-,20,8.81,7.84,2.2,0.19,1.46,0.91,0.4,11.01,16.65,18.85,1.31,10.04,5.53,3.24,0.77,2.63,1.78,6.3,3.43,23.99,23.99,24.04,4.71,10.43%,126,130,SUN,148967,5,3005094,17.92,31.47,7.05,7.05,7.08,17.71,21.51,24.04,26.82,31.63,33.4,41.5,
3005097,"Cam Thomas",5600,SG,BKN,CHI,158141,1232020,,24.5,18.91,2.35,2.42,2,1.52,0.4,0.23,21.33,21.26,23.68,0.63,4.77,9.63,4.09,5.56,5.46,4.72,15.19,6.09,25.73,25.73,26.98,4.82,11.93%,126,130,SUN,149404,6,3005097,19.44,35.37,12.63,12.63,11.6,19.34,23.67,26.98,30.29,35.63,37.67,47.09,
3587834,"Tyrese Martin",3000,PG,BKN,CHI,158141,1134107,,20,8.68,3.09,1.77,1.74,1.21,0.63,0.19,10.45,11.77,13.54,0.82,4.86,3.34,1.34,5.02,1.04,0.78,8.36,3.08,16.29,16.29,17.1,5.7,18.15%,126,130,SUN,89873,9,3587834,10.97,24.18,22.46,22.46,16.63,10.72,14.29,17.1,19.65,24.25,26.03,34.71,
4878197,"Noah Clowney",5200,PF,BKN,CHI,158141,1401380,,31,14.92,4.44,1.84,2.64,1.8,1.06,0.72,16.76,19.36,21.2,1.78,6.28,4.6,1.74,8.05,4.42,3.51,12.65,4.38,26.55,26.55,27.22,5.23,21.14%,126,130,SUN,244975,12,4878197,19.83,35.69,22.75,22.75,17.93,19.66,23.94,27.22,30.5,35.79,38.06,48.14,
4878198,"Jalen Wilson",3000,SF/PF,BKN,CHI,158141,1174884,,17,6.78,1.47,0.37,1.11,0.4,0.6,0.74,7.15,8.25,8.62,1.34,1.84,2.56,1.02,3.27,1.73,1.4,5.83,2.13,12.72,12.72,12.21,4.07,5.05%,126,130,SUN,90541,13,4878198,7.23,18.41,3.68,3.68,2.17,7.12,9.92,12.21,14.75,18.57,19.84,26.96,
8985498,"Egor Demin",5600,PG,BKN,CHI,158141,1523978,,28,11.32,3.94,4.24,1.91,1.29,0.84,0.21,15.56,15.26,19.5,1.05,8.18,4.49,1.92,5.49,2.22,1.75,9.98,3.83,24.27,24.27,25.03,4.47,5.73%,126,130,SUN,455367,17,8985498,17.79,33.13,4.33,4.33,6.74,17.55,21.93,25.03,28.13,33.29,35.35,44.38,
8985499,"Danny Wolf",3800,PF/C,BKN,CHI,158141,1415928,,25,11.18,5.54,2.46,1.27,0.96,0.75,0.36,13.64,16.72,19.18,1.11,8,6,2.72,3.68,2.47,1.94,9.68,3.99,23.89,23.89,24.23,6.38,35.51%,126,130,SUN,247158,18,8985499,17.58,31.73,51.32,51.32,32.2,17.42,21.45,24.23,27.26,32.05,34.07,43.67,
8998170,"Nolan Traore",3300,PG,BKN,CHI,158141,1590550,,20.5,7.12,1.73,2.81,0.93,0.91,0.62,0.23,9.93,8.85,11.66,0.85,4.54,3.54,1.54,2.68,1.53,1.27,6.22,2.47,15.05,15.05,15.21,4.61,7.13%,126,130,SUN,622357,20,8998170,9.56,21.51,5.36,5.36,5.07,9.63,12.68,15.21,17.74,21.55,23.32,30.93,
18939,"Pat Connaughton",3000,SF/PF,CHA,DEN,158142,601514,,1,0.25,0.12,0.1,0.05,0.03,0.01,0,0.35,0.37,0.47,0.01,0.22,0.09,0.04,0.14,0.05,0.03,0.23,0.09,0.54,0.54,0.58,0.19,0.04%,136,145,SUN,12091,24,18939,0.21,1.16,0,0,0,0.25,0.41,0.58,0.75,0.99,1.06,1.1,
408896,"Collin Sexton",4700,PG/SG,CHA,DEN,158142,1061642,,20,13.07,1.61,3,1.18,1.54,0.7,0.32,16.07,14.68,17.68,1.02,4.61,6.51,3.2,2.93,3.64,3.14,9.44,4.38,21.02,21.02,21.44,4.56,8.03%,136,145,SUN,75326,25,408896,14.96,28.75,8.06,8.06,6.28,14.88,18.67,21.44,24.21,29.01,30.77,39.6,
409262,"Miles Bridges",6900,PF,CHA,DEN,158142,957479,,33,16.8,7.13,3.55,2.23,0.98,0.46,0.53,20.35,23.93,27.48,0.99,10.68,7.84,3.62,6.69,3.38,2.87,14.53,5.85,32.67,32.67,33.88,4.91,14.33%,136,145,SUN,75304,26,409262,25.65,42.78,15.94,15.94,10.75,25.6,30.12,33.88,37.39,42.66,45.17,55.46,
2439295,"LaMelo Ball",8100,PG,CHA,DEN,158142,1257420,,26.5,18.3,4.19,6.6,2.96,2.4,0.64,0.28,24.9,22.49,29.09,0.92,10.79,7.41,3.09,8.4,3.75,3.24,15.81,6.05,33.59,33.59,35.74,4.41,5.31%,136,145,SUN,161285,29,2439295,26.8,45.64,5.23,5.23,5.86,26.68,31.71,35.74,39.77,45.81,48.07,58.9,
2439366,"Josh Green",3300,SG/SF,CHA,DEN,158142,1193670,,14,2.89,1.24,1.4,0.55,0.24,0.35,0.02,4.29,4.13,5.53,0.37,2.64,1.12,0.48,1.42,0.42,0.27,2.54,1.03,7.35,7.35,7.44,2.25,0.24%,136,145,SUN,92617,30,2439366,3.58,12.13,0,0,0,3.45,5.85,7.44,9.3,12.22,13.55,19.4,
3005499,"Tre Mann",3000,PG,CHA,DEN,158142,1175356,,1,0.33,0.11,0.12,0.05,0.03,0.01,0.01,0.45,0.44,0.56,0.02,0.23,0.18,0.07,0.14,0.05,0.04,0.32,0.12,0.67,0.67,0.7,0.23,0.04%,136,145,SUN,91333,31,3005499,0.23,1.4,0,0,0,0.3,0.5,0.7,0.9,1.2,1.28,1.33,
3588157,"Moussa Diabate",5400,C,CHA,DEN,158142,1324359,,28,7.84,9.29,1.58,0,0.71,0.8,1.02,9.42,17.13,18.71,1.82,10.87,4.87,2.96,0,3,1.9,4.87,2.96,26.11,26.11,25.33,4.69,9.16%,136,145,SUN,179227,32,3588157,19.08,32.44,6.1,6.1,6.39,19.06,22.57,25.33,28.09,32.6,34.61,42.63,
4878218,"Brandon Miller",6800,SF,CHA,DEN,158142,1401381,,33.5,22.99,4.62,3.16,3.73,2.52,0.84,0.75,26.15,27.61,30.77,1.59,7.78,9.99,4.3,10.35,3.79,3.19,20.34,8.03,35.52,35.52,37.31,5.49,34.85%,136,145,SUN,244988,33,4878218,28.01,47.29,43.62,43.62,24.38,28.05,33.05,37.31,41.07,47.58,49.83,60.85,
6412779,"Tidjane Salaun",3000,PF,CHA,DEN,158142,1504463,,8,2.43,2.28,0.37,0.42,0.31,0.14,0.01,2.8,4.71,5.08,0.15,2.65,0.91,0.36,1.25,0.64,0.46,2.16,0.78,5.86,5.86,6.19,2.06,0.87%,136,145,SUN,448015,35,6412779,2.88,10.43,0,0,0,2.69,4.84,6.19,7.8,10.54,11.84,16.96,
8985519,"Kon Knueppel",6400,SG,CHA,DEN,158142,1519132,,32.5,17.15,5.15,3.12,3.37,1.86,0.82,0.42,20.27,22.3,25.42,1.24,8.27,4.6,2.08,9.76,3.65,2.86,14.36,5.45,29.87,29.87,31.55,4.93,15.71%,136,145,SUN,458104,38,8985519,23.13,40.52,15.59,15.59,11.47,23.15,27.99,31.55,35.11,40.71,43,54.71,
8998193,"Ryan Kalkbrenner",5000,C,CHA,DEN,158142,1236052,,20,6.11,5.74,0.56,0.35,0.57,0.39,0.65,6.67,11.85,12.41,1.04,6.3,3.42,1.92,1.13,1.83,1.2,4.55,2.27,16.39,16.39,16.11,3.22,0.06%,136,145,SUN,149525,40,8998193,10.89,21.52,0.09,0.09,0.05,10.82,13.84,16.11,18.38,21.65,23.16,30.46,
8998194,"Sion James",3900,SG/SF,CHA,DEN,158142,1232338,,22.5,5.2,3.58,2.43,0.96,0.53,0.49,0.39,7.63,8.78,11.21,0.88,6.01,1.85,0.81,2.79,0.97,0.71,4.64,1.77,15.25,15.25,15.3,3.92,3.95%,136,145,SUN,148709,41,8998194,9.99,21.77,2.1,2.1,1.55,9.85,12.71,15.3,17.89,21.78,23.6,30.86,
