PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID,OWNERSHIP
942480,"Cale Makar",,D,CAN,FRA,,1057102,1,1,,0.4433,1.2347,3.5433,0,0,0,0,0,0.206,0.5179,1.678,0.7239,17,5.73,30.93,39,,942480,0.727,11.87,19.3,,,87789,1,10.88,15.98,1,
31733,"Connor McDavid",,C,CAN,FRA,,878032,1,1,,0.8105,1.5532,4.2721,0,0,0,0,0,0.2184,0.585,2.3637,0.8034,23.85,10.07,40.87,37.33,,31733,0.739,16.12,17.7,,,31006,1,13.3,19.22,2,
17128,"Tom Wilson",,W,CAN,FRA,,659860,1,,,0.3571,0.337,1.9037,0,0,0,0,0,0,0,0.6941,0,7.84,0,17.88,6.67,,17128,2.225,6.51,13,,,30148,1,7.84,11.19,3,
35733,"Devon Toews",,D,CAN,FRA,,831460,1,,,0.148,0.5778,1.9553,0,0,0,0,0,0,0,0.7258,0,7.35,0.14,16.26,20.67,,35733,0.77,5.54,16.3,,,83302,1,6.96,10.24,4,
6418266,"Macklin Celebrini",,C,CAN,FRA,,1497708,1,2,,0.4902,0.7109,3.2661,0,0,0,0,0,0.0861,0.1481,1.2011,0.2342,13.75,2.95,27.09,23,,6418266,0.552,9.44,14.6,,,449320,1,10.42,14.93,5,
16668,"Nathan MacKinnon",,C,CAN,FRA,,741404,2,1,,0.691,1.1437,4.6561,0,0,0,0,0,0.2141,0.4222,1.8347,0.6363,21.08,7.77,37.53,33.67,,16668,0.614,14,16.4,,,30677,1,12.85,18.51,6,
31680,"Colton Parayko",,D,CAN,FRA,,680852,2,,,0.1035,0.2861,1.4852,0,0,0,0,0,0,0,0.3896,0,4.66,0,11.84,5.67,,31680,1.121,3.81,16.6,,,30565,1,5.61,8.03,7,
37779,"Nick Suzuki",,C,CAN,FRA,,1057111,2,,,0.2654,0.4114,1.5629,0,0,0,0,0,0,0,0.6768,0,6.83,0,16.35,5.67,,37779,0.63,5.12,12.7,,,40159,1,7.44,10.75,8,
1279531,"Brandon Hagel",,W,CAN,FRA,,920496,2,,,0.4857,0.4549,2.4875,0,0,0,0,0,0,0,0.9406,0,10.73,0.72,23.09,8.67,,1279531,0.597,7.52,13.7,,,92058,1,9.66,13.79,9,
34600,"Josh Morrissey",,D,CAN,FRA,,741443,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,34600,0.724,0.36,21.3,,,30599,1,1.15,1.15,10,39
17172,"Mark Stone",,W,CAN,FRA,,556369,3,2,,0.4321,0.6801,2.173,0,0,0,0,0,0.074,0.1389,1.1122,0.2129,10.9,1.05,23.07,17,,17172,0.511,7.85,13.8,,,31019,1,9.51,13.86,11,
14383,"Drew Doughty",,D,CAN,FRA,,456625,3,,,0.0723,0.225,0.9755,0,0,0,0,0,0,0,0.2973,0,3.22,0,9.38,3,,14383,0.632,2.63,16.2,,,29920,1,4.81,6.94,12,
14202,"Sidney Crosby",,C,CAN,FRA,,296786,3,1,,0.5583,0.8279,2.9367,0,0,0,0,0,0.1821,0.2747,1.3862,0.4568,14.4,2.73,28.81,19,,14202,0.765,10.21,15.3,,,30424,1,11.26,16.3,13,
1283915,"Thomas Harley",,D,CAN,FRA,,1172200,2,,,0.1344,0.342,1.6211,0,0,0,0,0,0,0,0.4764,0,5.4,0,12.88,5.67,,1283915,0.608,4.1,15.1,,,92099,1,5.84,8.44,14,
35796,"Mitch Marner",,C,CAN,FRA,,878035,3,2,,0.3514,0.882,2.0939,0,0,0,0,0,0.0594,0.1954,1.2334,0.2548,11.15,1.41,23.18,25.67,,35796,0.521,8.12,13.4,,,30483,1,9.4,13.86,15,
18501,"Shea Theodore",,D,CAN,FRA,,741466,4,2,,0.1514,0.6053,2.1385,0,0,0,0,0,0.0423,0.175,0.7567,0.2173,7.85,0.64,16.76,15,,18501,0.29,5.72,17.8,,,30663,1,6.96,10.24,16,
