PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
17121,"CJ McCollum",6400,PG/SG,ATL,PHO,158376,522878,-,26.5,16.14,3.2,2.91,2.3,1.63,0.51,0.55,19.05,19.34,22.25,1.06,6.11,8.16,3.67,5.9,2.47,1.89,14.06,5.97,25.9,25.9,26.96,4.21,2.55%,135,153,FRI,12451,1,17121,19.18,35.32,2.32,2.32,3.12,19.22,23.47,26.96,30.45,35.7,37.69,47.43,
37814,"Luke Kennard",3700,PG/SG,ATL,PHO,158376,887661,-,17.5,6.24,1.71,1.37,1.33,0.61,0.61,0.05,7.61,7.95,9.32,0.66,3.08,1.58,0.83,2.96,0.67,0.6,4.54,2.16,11.72,11.72,12.11,3.27,0.19%,135,153,FRI,38279,3,37814,6.95,18.26,0.16,0.16,0.42,6.96,9.79,12.11,14.69,18.55,20.1,27.57,
1115445,"Nickeil Alexander-Walker",7100,SG,ATL,PHO,158376,1067668,-,33.5,18.16,4.14,4.07,2.33,2.35,1.13,0.48,22.23,22.3,26.37,1.61,8.21,9.48,4.15,6.05,3.4,2.87,15.53,6.48,31.71,31.71,32.68,4.6,8.03%,135,153,FRI,69666,4,1115445,24.48,41.79,6.87,6.87,6.93,24.33,28.99,32.68,36.12,41.77,43.98,53.08,
2439277,"Onyeka Okongwu",7200,C,ATL,PHO,158376,1185367,,33.5,17.12,8.46,3.3,1.43,2.21,1.63,0.65,20.42,25.58,28.88,2.28,11.76,9.36,4.84,3.99,4.13,3.16,13.35,6.27,36.85,36.85,37.4,5.19,17.39%,135,153,FRI,91845,5,2439277,28.81,46.06,19.46,19.46,15.94,28.41,33.51,37.4,40.8,46.14,48.33,58.05,
2439347,"Vit Krejci",4000,SG/SF,ATL,PHO,158376,1257428,,16.5,6.34,1.58,0.88,1.56,0.47,0.61,0.35,7.22,7.92,8.8,0.96,2.46,1.36,0.58,3.66,0.67,0.49,5.02,2.14,11.97,11.97,12.1,3.03,0.12%,135,153,FRI,161284,6,2439347,6.91,18.7,0.32,0.32,0.27,6.95,9.78,12.1,14.67,18.79,20.6,27.81,
3005263,"Jalen Johnson",10500,PF,ATL,PHO,158376,1230356,,36.5,23.94,10.37,6.22,1.34,3.96,1.28,0.58,30.16,34.31,40.53,1.86,16.59,15.66,7.73,3.91,5.82,4.46,19.57,9.07,47.33,47.33,49.78,4.74,11.49%,135,153,FRI,165214,7,3005263,40.15,60.81,12.86,12.86,10.91,39.68,45.59,49.78,53.72,60.62,63.33,74.92,
3005340,"Corey Kispert",3800,SF/PF,ATL,PHO,158376,1077554,,20,9.69,2.5,1.23,1.79,1.1,0.84,0.09,10.92,12.19,13.42,0.93,3.73,3.27,1.52,4.78,1.64,1.28,8.05,3.31,16.23,16.23,16.87,4.44,4.53%,135,153,FRI,72585,8,3005340,10.76,23.53,4.26,4.26,4.8,10.79,14.1,16.87,19.39,23.67,25.43,33.49,
3587993,"Dyson Daniels",6900,PG,ATL,PHO,158376,1357745,,32.5,11.05,7.09,5.89,0.47,2.13,1.81,0.5,16.94,18.14,24.03,2.31,12.98,8.59,4.27,1.79,1.81,1.1,10.38,4.74,33.19,33.19,32.82,4.76,10.34%,135,153,FRI,195261,11,3587993,25.22,41.44,10,10,7.49,25.11,29.34,32.82,36.3,41.52,44.01,54.7,
4388493,"Keaton Wallace",3000,PG,ATL,PHO,158376,1063166,,1,0.47,0.13,0.12,0.09,0.08,0.03,0.01,0.59,0.6,0.72,0.04,0.25,0.2,0.09,0.24,0.04,0.03,0.44,0.18,0.85,0.85,0.9,0.3,0.33%,135,153,FRI,245561,12,4388493,0.3,1.8,0,0,0,0.39,0.64,0.9,1.16,1.54,1.64,1.71,
4878163,"Mouhamed Gueye",3600,PF/C,ATL,PHO,158376,1325101,,17.5,4.02,4.37,1.06,0.49,0.51,0.8,0.55,5.08,8.39,9.45,1.35,5.43,2.32,0.92,1.78,1.07,0.7,4.1,1.41,14.39,14.39,13.76,3.82,0.60%,135,153,FRI,180180,13,4878163,9,19,1.25,1.25,0.54,8.85,11.79,13.76,15.97,19.17,20.64,26.78,
