PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,OWNERSHIP
1636178,"Alessandro Segafredo",2800,W,ITA,SWE,,1636178,2,2,,0.0655,0.0865,1.3354,0.4964,0,0,0,0,0,0,0.152,0,3.87,1.38,4.59,6.41,25,0,9.75,0,,1636178,0,2.57,,,,,1,40
14130,"Mikael Granlund",6200,C,FIN,SVK,,550759,1,1,,0.2508,0.5223,1.9418,0.5731,0,0,0,0,0.0756,0.206,0.7731,0.2816,8.92,1.44,7.67,11.25,26,0.97,18.74,17,,14130,0.759,6.63,18.1,,,30288,1,
1283126,"Eetu Luostarinen",3400,W,FIN,SVK,,1057150,3,,,0.1571,0.2545,1.2965,0.5708,0,0,0,0,0,0,0.4116,0,5.58,1.64,5.58,8.01,27,0,12.72,10.7,,1283126,1.623,4.64,14,,,91962,1,
1636179,"Marco Zanetti",2700,W,ITA,SWE,,1636179,4,,,0.0426,0.0563,0.8685,0.3229,0,0,0,0,0,0,0.0989,0,2.51,0.93,4.33,6.05,28,0,8.05,0,,1636179,0,1.67,,,,,1,40
2033165,"Philip Broberg",3000,D,SWE,ITA,,1172190,3,,,0.0885,0.2837,1.0184,0.8628,0,0,0,0,0,0,0.3722,0,5.2,1.73,5.58,8.03,29,0,12.34,3,,2033165,0.555,3.82,17.7,,,112788,1,
922135,"Kevin Lankinen",8000,G,FIN,SVK,,1117047,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,30,-0.6,0.74,0,,922135,0,0,,,,81323,1,40
1285490,"Luca Frigo",2900,W,ITA,SWE,,1285490,3,2,,0.0592,0.0782,1.2069,0.4487,0,0,0,0,0,0,0.1374,0,3.49,1.2,4.44,6.15,31,0,9.17,1.7,,1285490,0,2.32,,,,,1,
969180,"Matus Sukel",2700,C,SVK,FIN,,969180,4,,,0.0668,0.0787,0.7622,0.2699,0,0,0,0,0,0,0.1455,0,2.59,0.96,4.28,6.01,32,0,8.07,0.7,,969180,0,1.75,,,,,1,
1166690,"Diego Kostner",2500,W,ITA,SWE,,1166690,4,,,0.0426,0.0563,0.8685,0.3229,0,0,0,0,0,0,0.0989,0,2.51,1,4.33,6.05,33,0,8.05,0.7,,1166690,0,1.67,,,,,1,
7005309,"Oliver Kapanen",3700,C,FIN,SVK,,1321692,,,,0,0,0,0.3774,0,0,0,0,0,0,0,0,0,0,1.23,1.27,34,0,1.57,0,,7005309,0.245,0.5,14.1,,,165003,1,40
1137267,"Adam Liska",2700,W,SVK,FIN,,1137267,2,,,0.081,0.0954,0.9244,0.3274,0,0,0,0,0,0,0.1764,0,3.13,1.16,4.96,7.01,35,0,9.48,0.3,,1137267,0,2.12,,,,,1,
1285372,"Phil Pietroniro",2700,D,ITA,SWE,,1285372,2,,,0.0213,0.0762,1.0777,1.4355,0,0,0,0,0,0,0.0975,0,4.7,1.74,4.58,6.32,36,0,10.56,0,,1285372,0,2.95,,,,,1,40
1144519,"Kaapo Kakko",3500,W,FIN,SVK,,1166551,3,,,0.1509,0.1991,1.194,0.2258,0,0,0,0,0,0,0.35,0,4.52,1.29,5.19,7.34,37,0,11.16,1.3,,1144519,0.596,3.42,10.8,,,88355,1,
