,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Aaron Wiggins,OKC,MEM,F,17.00000,8.21969,3.34302,1.37769,0.54894,0.16151,0.73484,3.10398,6.50588,47.7,1.21667,3.19857,38.0,0.79505,1.01836,78.1,0.91507,2.42796
Amari Williams,BOS,IND,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Brandon Williams,DAL,NOP,G,22.00000,12.30133,2.99278,3.30156,0.81465,0.25404,1.39124,4.24136,8.65612,49.0,1.23383,3.43684,35.9,2.58477,3.22835,80.1,0.70795,2.28482
Cody Williams,UTA,DEN,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Grant Williams,CHA,CLE,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jalen Williams,OKC,MEM,F,30.00000,18.06237,6.15943,4.50788,1.38235,0.51234,2.02299,6.64935,13.77091,48.3,1.58491,4.48665,35.3,3.17876,4.03717,78.7,1.20355,4.95588
Jaylin Williams,OKC,MEM,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kenrich Williams,OKC,MEM,F,14.00000,4.69249,3.50531,1.31545,0.54159,0.14760,0.64295,1.83782,4.15169,44.3,0.54967,1.65078,33.3,0.46718,0.73792,63.3,1.12610,2.37920
Robert Williams,POR,DET,C,17.00000,5.82479,6.21388,1.36363,0.63781,0.99821,0.88348,2.38838,3.92391,60.9,0.09748,0.26319,37.0,0.95055,1.15577,82.2,2.67032,3.54356
Vince Williams,MEM,OKC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Zion Williamson,NOP,DAL,F,27.00000,21.03162,7.99134,4.12209,1.03356,0.59080,2.36838,8.23761,14.95076,55.1,0.23700,0.80717,29.4,4.31940,6.15642,70.2,3.12691,4.86443
James Wiseman,IND,BOS,C,11.00000,4.86630,4.39754,0.37018,0.11355,0.45810,0.69858,1.99182,4.04629,49.2,0.14188,0.62685,22.6,0.74077,1.00848,73.5,1.29439,3.10315
Chris Youngblood,OKC,MEM,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
