PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,INJURY,MINUTES,PTS,REB,AST,3PM,TO,STL,BLK,P-A,P-R,P-R-A,B-S,R-A,2PA,2PM,3PA,FTA,FTM,FGA,FGM,UD,PP,FPTS,FPTS/$,POWN,TEAM_ID,OPP_TEAM_ID,SLATE,CORE_ID,REFID,RGID,FLOOR,CEIL,OPTO,PERFECT,SMASH,SIM15TH,SIM33RD,SIM50TH,SIM66TH,SIM85TH,SIM90TH,SIM99TH,OWNERSHIP
35181,"Jaylen Brown",9400,SF,BOS,UTA,157181,883436,-,35,30.71,7.11,5.32,2.62,3.71,1.43,0.76,36.03,37.82,43.14,2.19,12.43,16.92,8.42,7.43,8,6.03,24.35,11.04,50.08,50.08,51.7,5.5,32.19%,125,149,TUE,28025,1,35181,41.51,62.62,36.18,36.18,30.78,41.27,47.14,51.7,56.01,62.6,65.13,78.31,
37858,"Derrick White",7400,PG/SG,BOS,UTA,157181,796009,-,34,22.32,4.79,5.16,4.19,1.89,1.26,1.11,27.48,27.11,32.27,2.37,9.95,7.76,3.37,11.17,3.47,3.01,18.93,7.56,41.03,41.03,42.01,5.68,33.50%,125,149,TUE,38299,3,37858,32.46,52.95,43.19,43.19,31.31,32.14,37.45,42.01,46.06,52.89,55.68,67.83,
409191,"Anfernee Simons",4100,PG/SG,BOS,UTA,157181,1121307,-,22,11.5,2.33,2.05,1.9,0.79,0.53,0.16,13.55,13.83,15.88,0.69,4.38,4.78,2,5.13,1.99,1.8,9.91,3.9,18.65,18.65,19.42,4.74,15.38%,125,149,TUE,75325,5,409191,12.79,26.93,14.47,14.47,8.77,12.69,16.57,19.42,22.27,26.93,29,37.55,
2439093,"Payton Pritchard",6400,PG,BOS,UTA,157181,945610,,32.5,18.46,4.24,5.87,3.66,1.23,1.12,0.17,24.33,22.7,28.57,1.29,10.11,6.45,2.95,9.68,1.86,1.57,16.13,6.61,34.99,34.99,36.47,5.7,34.73%,125,149,TUE,73477,6,2439093,27.39,46.89,44.44,44.44,28.53,27.29,32.39,36.47,40.3,46.93,49.48,61.21,
3005208,"Luka Garza",4000,C,BOS,UTA,157181,1061057,,21,7.64,4.8,1.54,0.7,0.64,0.33,0.6,9.18,12.44,13.98,0.93,6.34,3.34,1.89,1.95,2.37,1.76,5.29,2.59,17.86,17.86,17.85,4.46,13.00%,125,149,TUE,72919,8,3005208,12.16,24.13,17.18,17.18,3.76,12.24,15.3,17.85,20.4,24.22,25.76,33.66,
3005606,"Neemias Queta",5300,C,BOS,UTA,157181,1142902,,24,11.3,7.4,1.53,0,0.61,0.66,1.12,12.83,18.7,20.23,1.78,8.93,7.24,4.78,0,2.61,1.73,7.24,4.78,27.21,27.21,26.26,4.95,15.18%,125,149,TUE,86307,9,3005606,19.78,33.88,12.42,12.42,10.75,19.63,23.46,26.26,29.32,34.16,35.95,44.11,
3022247,"Sam Hauser",3800,SF/PF,BOS,UTA,157181,922378,,20.5,7.03,3.23,1.16,2.02,0.47,0.41,0.31,8.19,10.26,11.42,0.72,4.39,0.95,0.41,5.06,0.17,0.16,6.01,2.43,14.34,14.34,15.02,3.95,7.86%,125,149,TUE,72761,10,3022247,9.22,21.99,5.11,5.11,2.53,9.22,12.38,15.02,17.92,22.17,23.98,32.68,
3588057,"Josh Minott",3000,PF/C,BOS,UTA,157181,1324299,,5,1.19,0.66,0.22,0.18,0.14,0.3,0.1,1.41,1.85,2.07,0.4,0.88,0.45,0.23,0.44,0.22,0.18,0.89,0.41,3.37,3.37,3.17,1.06,0.31%,125,149,TUE,179736,11,3588057,0.5,6.47,0,0,0,0,1.73,3.17,4.61,6.63,7.78,12.1,
4878181,"Jordan Walsh",3900,PF,BOS,UTA,157181,1401388,,21,5.84,5.02,0.68,0.95,0.9,0.85,0.77,6.52,10.86,11.54,1.62,5.7,2.07,1.1,2.58,1,0.78,4.65,2.05,16.84,16.84,16.41,4.21,11.66%,125,149,TUE,245001,12,4878181,10.87,22.77,15.9,15.9,2.57,11.03,13.85,16.41,18.97,23.08,24.62,32.31,
6412744,"Baylor Scheierman",3100,SG/SF,BOS,UTA,157181,1177129,,8,2.39,0.86,0.54,0.39,0.26,0.23,0.07,2.93,3.25,3.79,0.3,1.4,1,0.44,1.13,0.42,0.34,2.13,0.83,4.87,4.87,4.94,1.59,0.63%,125,149,TUE,90655,13,6412744,1.74,9.19,0.08,0.08,0,1.65,3.29,4.94,6.31,9.06,10.43,15.64,
